day,mean,min,max,var
1,6.690183586723225,6.245889137847237,7.200022678275656,evspsblpot
2,6.765152782778523,6.350030594325539,10.235844717798917,evspsblpot
3,6.6662700438414815,6.170296471350459,7.502565017251579,evspsblpot
4,6.6266476237076155,6.073728535917868,7.171712835104791,evspsblpot
5,6.739605339785628,6.071272700615364,7.719978465838278,evspsblpot
6,6.736419729903976,6.169769753460765,8.572008956267572,evspsblpot
7,6.679516168293821,4.116860630418674,8.22669674700042,evspsblpot
8,6.65294285124972,3.558446839956804,8.146311413336864,evspsblpot
9,6.6230577377243955,5.908290561955648,7.32158876324565,evspsblpot
10,6.573256484885664,4.318784126714687,7.517948132733974,evspsblpot
11,6.540203184645213,1.7307315159672763,7.903974275025102,evspsblpot
12,6.7641626096312475,6.259785311732316,7.695025734528056,evspsblpot
13,6.908372094922094,6.052487223277184,7.783894774244074,evspsblpot
14,7.034784176949957,6.29279205383304,8.279170403376076,evspsblpot
15,7.180163468287792,5.9219353517264794,8.672516617015967,evspsblpot
16,6.995737903186257,5.757028514746683,8.341482412815475,evspsblpot
17,7.049417758554912,5.848671831856293,8.61578654779624,evspsblpot
18,7.360364119112112,6.188603703442268,8.979108361114017,evspsblpot
19,7.354434020745746,6.249102591403026,8.925401069203312,evspsblpot
20,7.272714250169205,6.122489863774078,8.906332014952438,evspsblpot
21,7.308083350443495,5.807423885160815,8.52801211619628,evspsblpot
22,7.562336906755064,5.888607469996992,9.176457986501292,evspsblpot
23,7.6389443607667475,6.583048033500581,8.62139315115565,evspsblpot
24,7.52057676248033,6.148644914954062,8.785755618269262,evspsblpot
25,7.39852071610334,4.4031557874584335,8.885288963879457,evspsblpot
26,7.4623666895545995,4.731915504900583,8.980515473791822,evspsblpot
27,7.379920396737229,6.165010276017926,8.869796810417759,evspsblpot
28,7.519725995539262,6.546159603144743,8.686473513300887,evspsblpot
29,7.75608778325942,6.409028762433377,9.271264664627497,evspsblpot
30,8.175952218951341,6.572822977603207,9.30335217845864,evspsblpot
31,8.260724710703622,6.930488005748843,9.34939742930514,evspsblpot
32,8.017154553567972,7.143680789466643,8.743943120553837,evspsblpot
33,8.120998778376736,6.8204401514266975,8.584910991716749,evspsblpot
34,8.310449519939755,6.987440958648135,9.386790740238004,evspsblpot
35,8.336893493104613,5.085181262637678,9.13464382577659,evspsblpot
36,8.272590144764004,5.504626410551428,9.298967901415862,evspsblpot
37,8.336152253390477,2.5856750293751407,9.621460146653437,evspsblpot
38,8.450238986431376,5.593397322817922,9.13239890709648,evspsblpot
39,8.488210034403089,7.736883135363822,9.236107962579112,evspsblpot
40,8.470741670356654,7.707881301893901,9.010541366536316,evspsblpot
41,8.480928208951147,7.002637509469257,9.351364646372842,evspsblpot
42,8.527856826184747,7.3208189831299455,9.20716438305611,evspsblpot
43,8.454509433407093,7.738664446236271,8.98639145213182,evspsblpot
44,8.611806563174556,8.430332869461589,8.958414191715582,evspsblpot
45,8.643162106715526,8.242573985829111,9.302465362787931,evspsblpot
46,8.642727689226126,8.120048544019161,9.324794897554133,evspsblpot
47,8.854649650469774,8.023233399391453,9.439515177972538,evspsblpot
48,9.008632753873966,8.306241352297024,10.29271192019054,evspsblpot
49,9.23578768988761,8.352439136373706,10.376757840078584,evspsblpot
50,9.227011514314707,8.387132390464073,11.12321536123607,evspsblpot
51,9.125308105139887,8.222735256427088,10.439123668802802,evspsblpot
52,9.051075341542438,8.165535877445638,10.321692847100783,evspsblpot
53,9.16085481889504,8.636361515216299,10.181539861522188,evspsblpot
54,9.23434817545284,8.388083309120764,10.784067494096751,evspsblpot
55,9.077281794693622,6.326586022000389,10.797309556173024,evspsblpot
56,9.348879048832405,7.227761391517926,10.714981714521736,evspsblpot
57,9.232957969676212,3.700915467759707,10.320250862570633,evspsblpot
58,9.396882854467178,8.573589951342505,10.129284324107978,evspsblpot
59,9.462041513997011,8.917802189954624,9.740819369389932,evspsblpot
60,9.144883638179595,4.705102720575451,10.113811133754348,evspsblpot
61,9.36044690108139,5.950722823795565,10.045368687938074,evspsblpot
62,9.325687250292072,8.559378126486626,10.092187823793898,evspsblpot
63,9.337355190886301,7.7310421305318515,10.118829813111894,evspsblpot
64,9.47865606355686,9.130978352777591,10.082607379840775,evspsblpot
65,9.53842285089481,8.444719765200142,10.112298096159106,evspsblpot
66,9.483108795097246,9.142177684474573,9.955507992598431,evspsblpot
67,9.508031202857495,8.663527105134444,10.860261492476932,evspsblpot
68,9.56285814116123,8.747582370092802,10.097912316730008,evspsblpot
69,9.337483168147084,5.130665910238469,10.150292318852703,evspsblpot
70,9.232867554607283,7.527545911220206,10.127527006260696,evspsblpot
71,9.442766555636192,8.173001585834852,10.454481475258008,evspsblpot
72,9.746774037380478,8.981933856821863,10.261658872509022,evspsblpot
73,9.861766964381868,8.777193388950293,10.542252684495866,evspsblpot
74,9.813368117978285,9.111620008776079,10.758697148064991,evspsblpot
75,9.599237250140197,8.879335376805905,10.295893011749605,evspsblpot
76,9.758210274209766,8.76910095428637,10.865453795921235,evspsblpot
77,9.77831695660212,8.210499893787231,10.752176962806871,evspsblpot
78,9.675707191202319,7.36354004786777,10.486166735394105,evspsblpot
79,9.821003647111846,8.85542622421675,10.524755061469412,evspsblpot
80,9.740947485308814,5.824748965780619,10.940755206490712,evspsblpot
81,9.589810200314881,8.708059048246726,10.297381741393268,evspsblpot
82,9.660754354863396,9.006945569691892,10.309360691951902,evspsblpot
83,9.56337788046476,8.197096863529923,10.512780798804195,evspsblpot
84,9.64397608049104,8.349566690856284,10.77353178607452,evspsblpot
85,9.538829281232193,7.218220713499083,10.78351833322253,evspsblpot
86,9.768373654010443,7.160078319845778,10.995531666942474,evspsblpot
87,9.744938352978346,5.344864850759445,12.32369026392283,evspsblpot
88,9.819611974518114,8.241992654732124,10.863235940598235,evspsblpot
89,9.679629556579117,8.567183745076996,10.713106447317891,evspsblpot
90,9.606396522773208,8.764252004579854,10.650677695186523,evspsblpot
91,9.60266580278047,8.32404702155993,10.877188103497161,evspsblpot
92,9.695243857294498,8.60606952344037,11.010793031146525,evspsblpot
93,9.652835008050467,8.613572927017323,10.861375326484604,evspsblpot
94,9.87354547337383,8.906488473413996,10.933138818522705,evspsblpot
95,9.70955112554618,8.136921005183643,11.401972794406602,evspsblpot
96,9.845596262439711,9.034856390171683,10.896410334685802,evspsblpot
97,9.70887068300089,8.18900267642642,11.092533490288071,evspsblpot
98,9.703734710141187,8.220360796745675,10.925547848598784,evspsblpot
99,9.929686486337419,8.655462076194295,10.991170204165519,evspsblpot
100,10.169328230300911,9.198226444894283,11.588318459874634,evspsblpot
101,10.049554526935685,8.109346720544108,11.132551447591837,evspsblpot
102,9.71337778142151,7.0486052399639005,10.536523673319673,evspsblpot
103,9.732971455529796,8.14319657821208,10.673065084409737,evspsblpot
104,9.7785965544814,8.831121271618377,10.624952214607548,evspsblpot
105,9.687682176508932,7.054613432819788,10.808181161131612,evspsblpot
106,9.7437863417028,7.653329654302415,10.889430308105718,evspsblpot
107,9.83525584957601,6.720980884418928,10.911951781538724,evspsblpot
108,9.730058461100404,8.235520446330337,11.048229378997194,evspsblpot
109,9.677159350996268,7.856761291894267,10.562115591754157,evspsblpot
110,9.887908003003751,8.451017674559607,10.789369403760544,evspsblpot
111,9.789437591741445,8.718111954314088,10.924955032242224,evspsblpot
112,9.839072263791769,8.791379853848744,11.05791386794367,evspsblpot
113,9.754153723073959,6.298982397021089,11.10106135001326,evspsblpot
114,9.659322221330227,7.399720337504288,10.792560419830467,evspsblpot
115,9.80566666935903,9.036070373183206,10.900073316403178,evspsblpot
116,10.038141200447665,9.410651894452231,10.865284733140065,evspsblpot
117,9.975878240091447,9.206929975169162,10.973839792044975,evspsblpot
118,9.895415406557799,9.192985006395995,10.868663856810945,evspsblpot
119,9.620874533165878,8.405877350042113,10.553926318827587,evspsblpot
120,9.614936644517405,5.026274432238586,10.57023628279843,evspsblpot
121,9.693550109458043,7.852118495850324,10.985942220430111,evspsblpot
122,9.48636163046481,7.88901897889021,10.91200506883183,evspsblpot
123,9.38208092212704,4.808825191610265,10.97537501257296,evspsblpot
124,9.78865195338941,4.271400366976866,10.812552267035018,evspsblpot
125,9.877823765517935,8.880921010536406,11.667935594917095,evspsblpot
126,9.772138747704105,8.34734102067585,10.514192651250651,evspsblpot
127,9.713056372607893,8.957353177681458,10.8926804119659,evspsblpot
128,9.531608880153696,7.724334394291961,10.28665202306528,evspsblpot
129,9.655621658981863,8.349099991534516,10.446438009630386,evspsblpot
130,9.786090483521273,7.66487405908601,10.637953865007724,evspsblpot
131,9.700752413425224,8.69639372014913,10.529952329812202,evspsblpot
132,9.385769415437064,5.765684015932493,10.939326067880074,evspsblpot
133,9.826716343631436,8.759236712066045,11.464303167304024,evspsblpot
134,9.594052724111117,8.565144762297807,10.79592216168941,evspsblpot
135,9.249834931626019,7.595052238792452,10.560753298040888,evspsblpot
136,8.92025333958146,4.2346940928837284,10.60693086405377,evspsblpot
137,9.349379808563723,7.057364825152575,10.945488369551517,evspsblpot
138,9.417251002117867,6.676934668212198,10.218892785472875,evspsblpot
