day,mean,min,max,var
1,6.597344274161714,6.329026969100641,7.103300086941018,evspsblpot
2,6.484900774054762,5.600641969043419,6.727294849335519,evspsblpot
3,6.549282668465708,5.280894470338587,6.994243799618338,evspsblpot
4,6.507886498336961,5.943028821966088,6.915474119928909,evspsblpot
5,6.5256106654086325,6.1726718052970595,7.1004084145740505,evspsblpot
6,6.783509347169513,6.112658129576988,7.494055477563897,evspsblpot
7,6.90864475972273,5.953683361636339,7.861145369473007,evspsblpot
8,6.823443811825912,5.863671093578472,7.730183449724177,evspsblpot
9,6.729353264061186,5.456494590091797,7.5487053275582,evspsblpot
10,6.7786690983975095,6.303566260565797,7.55666923487739,evspsblpot
11,6.834762866915989,6.0910544733150225,7.7427776516343725,evspsblpot
12,6.991553883815032,6.143992234843586,7.955037619456085,evspsblpot
13,6.934730311523267,5.783002129387221,8.1672699559843,evspsblpot
14,6.832906661620658,5.650349160346283,7.937989722430142,evspsblpot
15,7.125185019972195,5.837849362431249,8.449312151077853,evspsblpot
16,7.32233946728762,6.44859033351285,8.763714826869197,evspsblpot
17,7.358579778977511,6.461560705199382,8.758431867054712,evspsblpot
18,7.435161673639784,6.163982378094643,8.95542870332355,evspsblpot
19,7.487193783312798,6.418067813252791,8.724781907279336,evspsblpot
20,7.528477417988744,6.1068923527390675,9.055306003144269,evspsblpot
21,7.664871975085725,6.159953679498149,9.351703599458475,evspsblpot
22,7.697514784876787,5.524348393146137,9.323525852654583,evspsblpot
23,7.833817114839993,5.924244918383676,8.636989487320204,evspsblpot
24,7.8793195830760485,6.327187403090669,8.857486335447255,evspsblpot
25,7.866753370754575,6.72250720575715,8.624708789287551,evspsblpot
26,7.952822043820631,6.956254329809976,8.789732384153686,evspsblpot
27,8.013871981098598,6.677371376714988,8.755958971297487,evspsblpot
28,8.17649946199003,7.0902995908187805,8.940159504879375,evspsblpot
29,7.99349281879606,6.53728541516434,8.8608024682451,evspsblpot
30,7.943713086203577,6.485545467079931,8.679601968461212,evspsblpot
31,8.022081639065052,5.915160005648051,8.777587780358884,evspsblpot
32,8.121935107656949,6.53050457391591,8.904408266753334,evspsblpot
33,8.06296772370327,6.702663010409519,8.613386138151045,evspsblpot
34,8.339535931286031,6.98498381764739,8.961271527574498,evspsblpot
35,8.363672853903765,6.450599923083836,9.45876328560727,evspsblpot
36,8.356392988655966,7.62957297081899,9.010199908715089,evspsblpot
37,8.359869606646807,5.9122726052385985,9.0252124177791,evspsblpot
38,8.460662883062783,6.303358779277314,9.107426096617122,evspsblpot
39,8.61068865728765,7.686201861777186,9.227038118955843,evspsblpot
40,8.685350061208139,7.561857244776223,10.1327933221664,evspsblpot
41,8.795561677665932,7.755142347563215,9.617408923459099,evspsblpot
42,8.796809052558745,7.995210103293599,9.877808161120056,evspsblpot
43,8.676766118203545,7.797629096470128,9.361748515191534,evspsblpot
44,8.605148897619758,7.5001495282221216,9.498223519499907,evspsblpot
45,8.609667035095281,7.784194271652628,9.458960309104198,evspsblpot
46,8.740680663576464,7.6848065386026825,9.925157740189144,evspsblpot
47,8.926938863706063,8.089803872841342,10.075316693175978,evspsblpot
48,8.817893561063233,8.021941668895082,9.84517395958285,evspsblpot
49,8.847211766886579,7.982062135261692,10.05172322615794,evspsblpot
50,8.957312344004587,7.734787758725748,10.003596365261217,evspsblpot
51,8.91674106282313,8.057154768966972,9.782527051191412,evspsblpot
52,8.903450919499862,7.8096003235916145,9.809672327449158,evspsblpot
53,9.159461120321698,8.178255695681623,10.160668480645056,evspsblpot
54,9.229451054115433,8.388466556877496,10.054854967065978,evspsblpot
55,9.197949822987033,8.040236910602216,9.717028000973732,evspsblpot
56,9.091099937362582,7.710096974580202,10.008851848142156,evspsblpot
57,9.133582897751266,8.06859809171012,10.114090183954886,evspsblpot
58,9.102375080812845,8.195480948476172,10.350176655216986,evspsblpot
59,9.122369321928716,8.201615091924651,9.879629891131325,evspsblpot
60,9.195224166490574,8.32708406971562,9.712528659551177,evspsblpot
61,9.15042834338114,7.94341201046925,9.804503154507463,evspsblpot
62,9.30164496290353,8.252581662700113,10.072955065759718,evspsblpot
63,9.351690085192796,8.306248050382711,10.105113597897153,evspsblpot
64,9.373794855894772,8.397514202856227,10.390679515607834,evspsblpot
65,9.470815732966104,8.609657725036143,10.59343222667573,evspsblpot
66,9.297233147709957,8.478455230950035,10.311430045631644,evspsblpot
67,9.396075379696178,8.487398978205514,10.088513135209336,evspsblpot
68,9.446234338542647,8.15709804377151,9.876562217566436,evspsblpot
69,9.470584956195271,8.276362418921625,9.936849219100376,evspsblpot
70,9.479312858831541,8.107698216278132,10.075672392032306,evspsblpot
71,9.577319927821929,8.640250142867913,10.165858543837174,evspsblpot
72,9.814253535063846,8.623361990014498,10.485928652598956,evspsblpot
73,9.871714381252879,9.176773815205642,10.511760875397922,evspsblpot
74,9.779752175695364,9.11575763787155,10.387219000055394,evspsblpot
75,9.802390445333788,8.87177564100256,10.298001559350304,evspsblpot
