day,mean,min,max,var
1,0.0,0.0,0.0,pr
2,0.0,0.0,0.0,pr
3,0.0,0.0,0.0,pr
4,0.0,0.0,0.0,pr
5,0.0,0.0,0.0,pr
6,0.0,0.0,0.0,pr
7,0.0,0.0,0.0,pr
8,0.0,0.0,0.0,pr
9,0.0,0.0,0.0,pr
10,0.0,0.0,0.0,pr
11,0.0,0.0,0.0,pr
12,0.0,0.0,0.0,pr
13,0.0,0.0,0.0,pr
14,0.0,0.0,0.0,pr
15,0.0,0.0,0.0,pr
16,0.0,0.0,0.0,pr
17,0.0,0.0,0.0,pr
18,0.0,0.0,0.0,pr
19,0.0,0.0,0.0,pr
20,0.0,0.0,0.0,pr
21,0.0,0.0,0.0,pr
22,0.0,0.0,0.0,pr
23,0.0,0.0,0.0,pr
24,0.0,0.0,0.0,pr
25,0.0,0.0,0.0,pr
26,0.0,0.0,0.0,pr
27,0.0,0.0,0.0,pr
28,0.0,0.0,0.0,pr
29,0.0,0.0,0.0,pr
30,0.0,0.0,0.0,pr
31,0.0,0.0,0.0,pr
32,0.0,0.0,0.0,pr
33,0.0,0.0,0.0,pr
34,0.0,0.0,0.0,pr
35,0.0,0.0,0.0,pr
36,0.0,0.0,0.0,pr
37,0.0,0.0,0.0,pr
38,0.0,0.0,0.0,pr
39,0.0,0.0,0.0,pr
40,0.0,0.0,0.0,pr
41,0.0,0.0,0.0,pr
42,0.0,0.0,0.0,pr
43,0.0,0.0,0.0,pr
44,0.0,0.0,0.0,pr
45,0.0,0.0,0.0,pr
46,0.0,0.0,0.0,pr
47,0.0,0.0,0.0,pr
48,0.0,0.0,0.0,pr
49,0.0,0.0,0.0,pr
50,0.0,0.0,0.0,pr
51,0.0,0.0,0.0,pr
52,0.0,0.0,0.0,pr
53,0.0,0.0,0.0,pr
54,0.0,0.0,0.0,pr
55,0.0,0.0,0.0,pr
56,0.0,0.0,0.0,pr
57,0.0,0.0,0.0,pr
58,0.0,0.0,0.0,pr
59,0.0,0.0,0.0,pr
60,0.0,0.0,0.0,pr
61,0.0,0.0,0.0,pr
62,0.0,0.0,0.0,pr
63,0.0,0.0,0.0,pr
64,0.0,0.0,0.0,pr
65,0.0,0.0,0.0,pr
66,0.0,0.0,0.0,pr
67,0.0,0.0,0.0,pr
68,0.0,0.0,0.0,pr
69,0.0,0.0,0.0,pr
70,0.0,0.0,0.0,pr
71,0.0,0.0,0.0,pr
72,0.0,0.0,0.0,pr
73,0.0,0.0,0.0,pr
74,0.0,0.0,0.0,pr
75,0.0,0.0,0.0,pr
76,0.0,0.0,0.0,pr
77,0.0,0.0,0.0,pr
78,0.0,0.0,0.0,pr
79,0.0,0.0,0.0,pr
80,0.0,0.0,0.0,pr
81,0.0,0.0,0.0,pr
82,0.0,0.0,0.0,pr
83,0.0,0.0,0.0,pr
84,0.0,0.0,0.0,pr
85,0.0,0.0,0.0,pr
86,0.0,0.0,0.0,pr
87,0.0,0.0,0.0,pr
88,0.0,0.0,0.0,pr
89,0.0,0.0,0.0,pr
90,0.0,0.0,0.0,pr
91,0.0,0.0,0.0,pr
92,0.0,0.0,0.0,pr
93,0.0,0.0,0.0,pr
94,0.0,0.0,0.0,pr
95,0.0,0.0,0.0,pr
96,0.0,0.0,0.0,pr
97,0.0,0.0,0.0,pr
98,0.0,0.0,0.0,pr
99,0.0,0.0,0.0,pr
100,0.0,0.0,0.0,pr
101,0.0,0.0,0.0,pr
102,0.0,0.0,0.0,pr
103,0.0,0.0,0.0,pr
104,0.0,0.0,0.0,pr
105,0.0,0.0,0.0,pr
106,0.0,0.0,0.0,pr
107,0.0,0.0,0.0,pr
108,0.0,0.0,0.0,pr
109,0.0,0.0,0.0,pr
110,0.0,0.0,0.0,pr
111,0.0,0.0,0.0,pr
112,0.0,0.0,0.0,pr
113,0.0,0.0,0.0,pr
114,0.0,0.0,0.0,pr
115,0.0,0.0,0.0,pr
116,0.0,0.0,0.0,pr
117,0.0,0.0,0.0,pr
118,0.0,0.0,0.0,pr
119,0.0,0.0,0.0,pr
120,0.0,0.0,0.0,pr
121,0.0,0.0,0.0,pr
122,0.0,0.0,0.0,pr
123,0.0,0.0,0.0,pr
124,0.0,0.0,0.0,pr
125,0.0,0.0,0.0,pr
126,0.0,0.0,0.0,pr
127,0.0,0.0,0.0,pr
128,0.0,0.0,0.0,pr
129,0.0,0.0,0.0,pr
130,0.0,0.0,0.0,pr
131,0.0,0.0,0.0,pr
132,0.0,0.0,0.0,pr
133,0.0,0.0,0.0,pr
134,0.0,0.0,0.0,pr
135,0.0,0.0,0.0,pr
136,0.0,0.0,0.0,pr
137,0.0,0.0,0.0,pr
138,0.0,0.0,0.0,pr
139,0.0,0.0,0.0,pr
140,0.0,0.0,0.0,pr
141,0.0,0.0,0.0,pr
142,0.0,0.0,0.0,pr
143,0.0,0.0,0.0,pr
144,0.0,0.0,0.0,pr
145,0.0,0.0,0.0,pr
146,0.2111869477698549,0.0,5.332877703774478,pr
147,0.04973329781465858,0.0,1.4865342270866237,pr
148,0.16574090876144407,0.0,4.257051904041946,pr
149,0.9105001544903204,0.0,10.055855525517046,pr
150,0.575791356574262,0.0,7.881319319473601,pr
151,0.7876496311455194,0.0,8.73747554134619,pr
152,1.2488991806126966,0.0,12.277046704159247,pr
153,1.1624846319509374,0.0,18.97319597996039,pr
154,1.2203362349402014,0.0,13.79701995077904,pr
155,0.7499610788955312,0.0,11.433538084943637,pr
156,0.6628130448652797,0.0,14.802629830585774,pr
157,0.23152651376387692,0.0,3.139116321282461,pr
158,0.7893807713274924,0.0,8.615154033876896,pr
159,1.8082385399711236,0.0,26.133786343082633,pr
160,1.2889739292796838,0.0,16.40182943226142,pr
161,1.9202919457805396,0.0,15.51207401220949,pr
162,1.745068844091279,0.0,14.38185110922757,pr
163,1.0826376239784576,0.0,15.314420835841707,pr
164,2.403038579648493,0.0,17.785812042195886,pr
165,1.659301271787232,0.0,14.368125998547205,pr
166,2.009362115309728,0.0,28.156075680455242,pr
167,6.035635662858963,0.0,56.54929540151631,pr
168,5.598388492864481,0.0,41.403476385599085,pr
169,2.2665204522656883,0.0,14.508308772140026,pr
170,1.3656489406546721,0.0,10.249131172494787,pr
171,1.0777092906565042,0.0,6.751297171438915,pr
172,2.3987710175220083,0.0,42.98850362761029,pr
173,4.050502288320565,0.0,42.21344183267035,pr
174,1.8514380281390266,0.0,17.66878065362388,pr
175,2.7538250566660585,0.0,13.436499248117096,pr
176,4.922807852481793,0.0,57.4437593486042,pr
177,1.7133587687267116,0.0,18.568844575970868,pr
178,6.0963278442169555,0.0,71.82703164003117,pr
179,3.199358959602795,0.0,34.60345707498556,pr
180,2.3844381115421127,0.0,15.50122431612323,pr
181,2.122401924845422,0.0,21.355675786458374,pr
182,1.2949513177019196,0.0,14.779269723773593,pr
183,2.528367044202967,0.0,19.07347506010336,pr
184,2.7006162790136026,0.0,13.26466714587005,pr
185,2.604197924916617,0.0,40.679039880414,pr
186,3.8275368310173454,0.0,22.65077962836631,pr
187,6.827851260469417,0.0,31.359715311937947,pr
188,3.725169387692761,0.0,19.823937770869822,pr
189,2.51282928220128,0.0,22.16773525509335,pr
190,3.324223693218281,0.0,27.745501542871185,pr
191,3.859718549619062,0.0,23.040176505856476,pr
192,5.684185924442434,0.0,31.744945174781638,pr
193,5.4615195705732305,0.0,28.081854508970096,pr
194,3.2098561751631838,0.0,25.662066010721507,pr
195,9.217835047117982,0.0,64.39986826692804,pr
196,9.661556237077248,0.0,43.937374272826624,pr
197,11.52142791566374,0.0,61.898336102365484,pr
198,13.422917578735602,0.0,63.24665338165017,pr
199,4.27011034071833,0.0,36.70900909953223,pr
200,3.477587743685898,0.0,24.01190473089262,pr
201,9.30549160116329,0.0,63.90483612244716,pr
202,8.605108057406023,0.0,59.42720906541705,pr
203,2.727115781040274,0.0,19.079650182098927,pr
204,2.8669058865003736,0.0,21.221057548848655,pr
205,5.736497293473331,0.0,46.660533980369685,pr
206,5.961813116457022,0.0,45.39230078756983,pr
207,4.621682307318736,0.0,35.18846455978276,pr
208,5.9482597308533185,0.0,33.15798910471506,pr
209,10.877984126060559,0.0,41.14260935267042,pr
210,7.277794218870755,0.0,62.251337184779516,pr
211,4.6234972205989076,0.0,27.16105082317399,pr
212,6.145215853807068,0.0,37.783907583452084,pr
213,6.008365539322776,0.0,48.65352715541855,pr
214,2.9726582087241504,0.0,17.90170600474123,pr
215,7.1089689679001475,0.0,38.25503000001904,pr
216,6.521359738164141,0.0,60.7996101652378,pr
217,9.027391264116014,0.0,123.3472197687404,pr
218,7.378914697402291,0.0,44.858481767742994,pr
219,11.58565109850234,0.0,48.66985481528664,pr
220,10.124563645393955,0.0,88.64234658275397,pr
221,5.121171843824195,0.0,32.432443909439776,pr
