day,mean,min,max,var
1,0.0,0.0,0.0,pr
2,0.0,0.0,0.0,pr
3,0.0,0.0,0.0,pr
4,0.0,0.0,0.0,pr
5,0.0,0.0,0.0,pr
6,0.0,0.0,0.0,pr
7,0.0,0.0,0.0,pr
8,0.0,0.0,0.0,pr
9,0.0,0.0,0.0,pr
10,0.0,0.0,0.0,pr
11,0.0,0.0,0.0,pr
12,0.0,0.0,0.0,pr
13,0.0,0.0,0.0,pr
14,0.0,0.0,0.0,pr
15,0.0,0.0,0.0,pr
16,0.0,0.0,0.0,pr
17,0.0,0.0,0.0,pr
18,0.0,0.0,0.0,pr
19,0.0,0.0,0.0,pr
20,0.0,0.0,0.0,pr
21,0.0,0.0,0.0,pr
22,0.0,0.0,0.0,pr
23,0.0,0.0,0.0,pr
24,0.0,0.0,0.0,pr
25,0.0,0.0,0.0,pr
26,0.0,0.0,0.0,pr
27,0.0,0.0,0.0,pr
28,0.0,0.0,0.0,pr
29,0.0,0.0,0.0,pr
30,0.0,0.0,0.0,pr
31,0.0,0.0,0.0,pr
32,0.0,0.0,0.0,pr
33,0.0,0.0,0.0,pr
34,0.0,0.0,0.0,pr
35,0.0,0.0,0.0,pr
36,0.0,0.0,0.0,pr
37,0.0,0.0,0.0,pr
38,0.0,0.0,0.0,pr
39,0.0,0.0,0.0,pr
40,0.0,0.0,0.0,pr
41,0.0,0.0,0.0,pr
42,0.0,0.0,0.0,pr
43,0.0,0.0,0.0,pr
44,0.0,0.0,0.0,pr
45,0.0,0.0,0.0,pr
46,0.0,0.0,0.0,pr
47,0.0,0.0,0.0,pr
48,0.0,0.0,0.0,pr
49,0.0,0.0,0.0,pr
50,0.0,0.0,0.0,pr
51,0.0,0.0,0.0,pr
52,0.0,0.0,0.0,pr
53,0.0,0.0,0.0,pr
54,0.0,0.0,0.0,pr
55,0.0,0.0,0.0,pr
56,0.0,0.0,0.0,pr
57,0.0,0.0,0.0,pr
58,0.0,0.0,0.0,pr
59,0.0,0.0,0.0,pr
60,0.0,0.0,0.0,pr
61,0.0,0.0,0.0,pr
62,0.0,0.0,0.0,pr
63,0.0,0.0,0.0,pr
64,0.0,0.0,0.0,pr
65,0.0,0.0,0.0,pr
66,0.0,0.0,0.0,pr
67,0.0,0.0,0.0,pr
68,0.0,0.0,0.0,pr
69,0.0,0.0,0.0,pr
70,0.0,0.0,0.0,pr
71,0.0,0.0,0.0,pr
72,0.0,0.0,0.0,pr
73,0.0,0.0,0.0,pr
74,0.0,0.0,0.0,pr
75,0.0,0.0,0.0,pr
76,0.0,0.0,0.0,pr
77,0.0,0.0,0.0,pr
78,0.0,0.0,0.0,pr
79,0.0,0.0,0.0,pr
80,0.0,0.0,0.0,pr
81,0.0,0.0,0.0,pr
82,0.0,0.0,0.0,pr
83,0.0,0.0,0.0,pr
84,0.0,0.0,0.0,pr
85,0.0,0.0,0.0,pr
86,0.0,0.0,0.0,pr
87,0.0,0.0,0.0,pr
88,0.0,0.0,0.0,pr
89,0.0,0.0,0.0,pr
90,0.0,0.0,0.0,pr
91,0.0,0.0,0.0,pr
92,0.0,0.0,0.0,pr
93,0.0,0.0,0.0,pr
94,0.0,0.0,0.0,pr
95,0.0,0.0,0.0,pr
96,0.0,0.0,0.0,pr
97,0.0,0.0,0.0,pr
98,0.0,0.0,0.0,pr
99,0.0,0.0,0.0,pr
100,0.0,0.0,0.0,pr
101,0.0,0.0,0.0,pr
102,0.0,0.0,0.0,pr
103,0.0,0.0,0.0,pr
104,0.0,0.0,0.0,pr
105,0.0,0.0,0.0,pr
106,0.0,0.0,0.0,pr
107,0.0,0.0,0.0,pr
108,0.0,0.0,0.0,pr
109,0.0,0.0,0.0,pr
110,0.0,0.0,0.0,pr
111,0.0,0.0,0.0,pr
112,0.0,0.0,0.0,pr
113,0.0,0.0,0.0,pr
114,0.0,0.0,0.0,pr
115,0.0,0.0,0.0,pr
116,0.0,0.0,0.0,pr
117,0.0,0.0,0.0,pr
118,0.0,0.0,0.0,pr
119,0.0,0.0,0.0,pr
120,0.0,0.0,0.0,pr
121,0.0,0.0,0.0,pr
122,0.0,0.0,0.0,pr
123,0.0,0.0,0.0,pr
124,0.0,0.0,0.0,pr
125,0.0,0.0,0.0,pr
126,0.0,0.0,0.0,pr
127,0.0,0.0,0.0,pr
128,0.0,0.0,0.0,pr
129,0.0,0.0,0.0,pr
130,0.0,0.0,0.0,pr
131,0.0,0.0,0.0,pr
132,0.0,0.0,0.0,pr
133,0.0,0.0,0.0,pr
134,0.0,0.0,0.0,pr
135,0.0,0.0,0.0,pr
136,0.0,0.0,0.0,pr
137,0.0,0.0,0.0,pr
138,0.0,0.0,0.0,pr
139,0.0,0.0,0.0,pr
140,0.0,0.0,0.0,pr
141,0.0,0.0,0.0,pr
142,0.0,0.0,0.0,pr
143,0.0,0.0,0.0,pr
144,0.0,0.0,0.0,pr
145,0.0030387709690320066,0.0,0.0911631290709602,pr
146,0.07628674178515084,0.0,1.2018137641566615,pr
147,0.39368036420564784,0.0,4.624166260797036,pr
148,0.18142397091771653,0.0,3.5335321511521194,pr
149,0.17948004639625656,0.0,3.6175082025224836,pr
150,0.5278179940746237,0.0,10.268171965127877,pr
151,0.7974914880764075,0.0,11.192602994852455,pr
152,1.4303824964740421,0.0,18.46903876261933,pr
153,1.659897329864794,0.0,14.43528634869555,pr
154,1.9364541539772704,0.0,15.929172926341389,pr
155,1.1210547794613,0.0,18.261190688123225,pr
156,1.6245376683662114,0.0,11.715366434598364,pr
157,1.8001332404796926,0.0,13.619162335189047,pr
158,0.8023705403266116,0.0,15.86625225091882,pr
159,0.6472710567077159,0.0,14.532463816575442,pr
160,2.1280911511110907,0.0,16.803516819599228,pr
161,3.156289303588095,0.0,23.500387657242868,pr
162,2.777255135177952,0.0,26.768328107717462,pr
163,4.481394561940568,0.0,38.50154706175666,pr
164,3.376054610732863,0.0,28.856672006663064,pr
165,4.592448940091658,0.0,32.558608688547345,pr
166,4.338519463029393,0.0,32.421151190156785,pr
167,3.2908400148202093,0.0,27.363458498277613,pr
168,3.10745807974132,0.0,20.278565893324444,pr
169,3.53344703401301,0.0,23.30705219283691,pr
170,3.896272362190843,0.0,20.320370744027677,pr
171,5.14369084839297,0.0,24.14254140444132,pr
172,3.4783273604759293,0.0,17.822201162765648,pr
173,1.8781488061132485,0.0,18.459620318450835,pr
174,1.1705499298700595,0.0,8.634703824730266,pr
175,0.7585548608200606,0.0,6.4526384621162896,pr
176,2.0474374200942718,0.0,16.96382438210421,pr
177,5.6850686309271,0.0,22.529200009717258,pr
178,3.013523446111417,0.0,29.39237938884254,pr
179,4.016039779576257,0.0,24.439368757399837,pr
180,5.548451200999648,0.0,22.708353548647462,pr
181,4.372249003303079,0.0,20.837075907738456,pr
182,5.228743250183367,0.0,27.44721422285082,pr
183,3.952777750657846,0.0,17.580342500766022,pr
184,3.8135808769842976,0.0,31.267944356689735,pr
185,4.927016844114581,0.0,22.775648054438502,pr
186,7.437147166210737,0.0,22.738573518442095,pr
187,6.910346480660608,0.0,24.122909768636102,pr
188,6.3594388881927735,0.0,21.45583358461138,pr
189,5.373159971652699,0.0,29.021722930587377,pr
190,6.140835323585137,0.0,21.890930835536324,pr
191,6.001002785494129,0.0,25.43483066393326,pr
192,6.051380463232409,0.0,25.92302578582361,pr
193,6.795250747089193,0.0,19.622606044692464,pr
194,6.149161828882268,0.0,20.870107001132073,pr
195,7.891686228912245,0.0,25.27736377780205,pr
196,14.347434087715836,0.0,45.8228151447854,pr
197,9.344210292391496,0.0,38.762422313427216,pr
198,12.450607162227532,0.0,47.661080785640216,pr
199,10.41847899021986,0.0,36.53082675858324,pr
200,12.621868454888697,0.0,37.90582132999023,pr
201,8.782709879862237,0.0,40.82299461966094,pr
202,13.036586947506175,0.0,46.59874385226407,pr
203,12.457889877696378,0.0,52.55729616460271,pr
204,12.618819472186013,0.0,42.50999707732199,pr
205,15.322362808249038,0.0,42.92617692237541,pr
206,11.041394766539081,0.0,47.94918174618908,pr
207,10.163838121378596,0.0,39.76115145459027,pr
208,11.834213013215399,0.0,41.07909848905231,pr
209,9.198621717001243,0.0,39.15539253383712,pr
210,12.455622159980804,0.0,29.431099429986087,pr
211,10.579949442228363,0.0,41.74156175346724,pr
212,14.580035908760731,0.0,53.27681916861176,pr
213,11.442289864712873,0.0,40.626259762796614,pr
214,12.700039738771011,0.0,42.04823119615809,pr
215,11.718419865921062,0.0,44.73466968912252,pr
216,8.540663963536266,0.0,43.97521135345274,pr
217,13.910075937336037,0.0,43.673929971951445,pr
218,12.43396183083192,0.0,55.57261407402652,pr
219,10.981323563935678,0.0,49.182119114245126,pr
220,13.757916236326063,0.0,46.51255943629521,pr
221,11.7829555179894,0.0,49.790863344178774,pr
