day,mean,min,max,var
1,0.0,0.0,0.0,pr
2,0.0,0.0,0.0,pr
3,0.0,0.0,0.0,pr
4,0.0,0.0,0.0,pr
5,0.0,0.0,0.0,pr
6,0.0,0.0,0.0,pr
7,0.0,0.0,0.0,pr
8,0.0,0.0,0.0,pr
9,0.0,0.0,0.0,pr
10,0.0,0.0,0.0,pr
11,0.0,0.0,0.0,pr
12,0.0,0.0,0.0,pr
13,0.0,0.0,0.0,pr
14,0.0,0.0,0.0,pr
15,0.0,0.0,0.0,pr
16,0.0,0.0,0.0,pr
17,0.0,0.0,0.0,pr
18,0.0,0.0,0.0,pr
19,0.0,0.0,0.0,pr
20,0.0,0.0,0.0,pr
21,0.0,0.0,0.0,pr
22,0.0,0.0,0.0,pr
23,0.0,0.0,0.0,pr
24,0.0,0.0,0.0,pr
25,0.0,0.0,0.0,pr
26,0.0,0.0,0.0,pr
27,0.0,0.0,0.0,pr
28,0.0,0.0,0.0,pr
29,0.0,0.0,0.0,pr
30,0.0,0.0,0.0,pr
31,0.0,0.0,0.0,pr
32,0.0,0.0,0.0,pr
33,0.0,0.0,0.0,pr
34,0.0,0.0,0.0,pr
35,0.0,0.0,0.0,pr
36,0.0,0.0,0.0,pr
37,0.0,0.0,0.0,pr
38,0.0,0.0,0.0,pr
39,0.0,0.0,0.0,pr
40,0.0,0.0,0.0,pr
41,0.0,0.0,0.0,pr
42,0.0,0.0,0.0,pr
43,0.0,0.0,0.0,pr
44,0.0,0.0,0.0,pr
45,0.0,0.0,0.0,pr
46,0.0,0.0,0.0,pr
47,0.0,0.0,0.0,pr
48,0.0,0.0,0.0,pr
49,0.0,0.0,0.0,pr
50,0.0,0.0,0.0,pr
51,0.0,0.0,0.0,pr
52,0.0,0.0,0.0,pr
53,0.0,0.0,0.0,pr
54,0.0,0.0,0.0,pr
55,0.0,0.0,0.0,pr
56,0.0,0.0,0.0,pr
57,0.0,0.0,0.0,pr
58,0.0,0.0,0.0,pr
59,0.0,0.0,0.0,pr
60,0.0,0.0,0.0,pr
61,0.0,0.0,0.0,pr
62,0.0,0.0,0.0,pr
63,0.0,0.0,0.0,pr
64,0.0,0.0,0.0,pr
65,0.0,0.0,0.0,pr
66,0.0,0.0,0.0,pr
67,0.0,0.0,0.0,pr
68,0.0,0.0,0.0,pr
69,0.0,0.0,0.0,pr
70,0.0,0.0,0.0,pr
71,0.0,0.0,0.0,pr
72,0.0,0.0,0.0,pr
73,0.0,0.0,0.0,pr
74,0.0,0.0,0.0,pr
75,0.0,0.0,0.0,pr
76,0.0,0.0,0.0,pr
77,0.0,0.0,0.0,pr
78,0.0,0.0,0.0,pr
79,0.0,0.0,0.0,pr
80,0.0,0.0,0.0,pr
81,0.0,0.0,0.0,pr
82,0.0,0.0,0.0,pr
83,0.0,0.0,0.0,pr
84,0.0,0.0,0.0,pr
85,0.0,0.0,0.0,pr
86,0.0,0.0,0.0,pr
87,0.0,0.0,0.0,pr
88,0.0,0.0,0.0,pr
89,0.0,0.0,0.0,pr
90,0.0,0.0,0.0,pr
91,0.0,0.0,0.0,pr
92,0.0,0.0,0.0,pr
93,0.0,0.0,0.0,pr
94,0.0,0.0,0.0,pr
95,0.0,0.0,0.0,pr
96,0.0,0.0,0.0,pr
97,0.0,0.0,0.0,pr
98,0.0,0.0,0.0,pr
99,0.0,0.0,0.0,pr
100,0.0,0.0,0.0,pr
101,0.0,0.0,0.0,pr
102,0.0,0.0,0.0,pr
103,0.0,0.0,0.0,pr
104,0.0,0.0,0.0,pr
105,0.0,0.0,0.0,pr
106,0.0,0.0,0.0,pr
107,0.0,0.0,0.0,pr
108,0.0,0.0,0.0,pr
109,0.0,0.0,0.0,pr
110,0.0,0.0,0.0,pr
111,0.0,0.0,0.0,pr
112,0.0,0.0,0.0,pr
113,0.0,0.0,0.0,pr
114,0.0,0.0,0.0,pr
115,0.0,0.0,0.0,pr
116,0.0,0.0,0.0,pr
117,0.0,0.0,0.0,pr
118,0.0,0.0,0.0,pr
119,0.0,0.0,0.0,pr
120,0.0,0.0,0.0,pr
121,0.0,0.0,0.0,pr
122,0.0,0.0,0.0,pr
123,0.0,0.0,0.0,pr
124,0.0,0.0,0.0,pr
125,0.0,0.0,0.0,pr
126,0.0,0.0,0.0,pr
127,0.0,0.0,0.0,pr
128,0.0,0.0,0.0,pr
129,0.0,0.0,0.0,pr
130,0.0,0.0,0.0,pr
131,0.0,0.0,0.0,pr
132,0.0,0.0,0.0,pr
133,0.0,0.0,0.0,pr
134,0.0,0.0,0.0,pr
135,0.0,0.0,0.0,pr
136,0.0,0.0,0.0,pr
137,0.0,0.0,0.0,pr
138,0.0,0.0,0.0,pr
139,0.0,0.0,0.0,pr
140,0.0,0.0,0.0,pr
141,0.0,0.0,0.0,pr
142,0.0,0.0,0.0,pr
143,0.0,0.0,0.0,pr
144,0.0,0.0,0.0,pr
145,0.0,0.0,0.0,pr
146,0.0,0.0,0.0,pr
147,0.04486636734367632,0.0,0.9215213937222031,pr
148,0.10379171992195525,0.0,1.892444456932149,pr
149,0.96464673218812,0.0,11.897449640122721,pr
150,0.6810989786530935,0.0,11.793294405124334,pr
151,1.372753599607311,0.0,21.53475308924067,pr
152,0.6953576185159126,0.0,10.903658189673392,pr
153,0.9866089963447672,0.0,14.966134198850243,pr
154,0.2900880460642158,0.0,5.172746714670914,pr
155,0.16985145438220295,0.0,2.946379941634564,pr
156,0.9581980702676888,0.0,15.634508783560989,pr
157,2.3174702781344876,0.0,22.317165149344294,pr
158,2.2693046343882677,0.0,22.915736592027486,pr
159,2.2327245734128245,0.0,21.64116290024478,pr
160,0.9571776500385466,0.0,19.377672063416288,pr
161,2.184799098557837,0.0,17.954466689352486,pr
162,1.7390083658044238,0.0,20.714067169651983,pr
163,3.3376967053960467,0.0,26.384331602117985,pr
164,2.071856984442908,0.0,22.829977026326628,pr
165,1.639246793260755,0.0,12.254064443913025,pr
166,2.5061742799093905,0.0,23.967902331339833,pr
167,2.596776781607188,0.0,26.723173375562038,pr
168,2.2442340250478647,0.0,25.477631515607907,pr
169,3.7095997311560063,0.0,25.58567056723463,pr
170,2.999702833112985,0.0,27.33207942105527,pr
171,1.6033905292761583,0.0,6.510614242901453,pr
172,2.328381615478753,0.0,27.73456541103621,pr
173,4.851415772150253,0.0,25.558494634760137,pr
174,3.8042811408191053,0.0,22.268305879681126,pr
175,3.64268589111294,0.0,22.647060328999277,pr
176,2.023541622110329,0.0,20.977520620577597,pr
177,2.636938306352446,0.0,18.38010655304437,pr
178,4.030458698949844,0.0,22.12834492240682,pr
179,3.50096413982222,0.0,20.569172689653886,pr
180,3.7264783582945578,0.0,24.911147428207855,pr
181,3.670066913186886,0.0,22.006506842382915,pr
182,4.004830862900637,0.0,22.006506842382915,pr
183,3.9672018527467126,0.0,21.751113589569087,pr
184,4.435943729910954,0.0,24.4082939881126,pr
185,3.900885322134387,0.0,21.657541955650604,pr
186,4.076463766875824,0.0,26.31432428237635,pr
187,4.465717596350404,0.0,23.82674235608808,pr
188,7.180383348551518,0.0,29.581826262072777,pr
189,5.596067925859532,0.0,27.175528182052485,pr
190,7.619714496340648,0.0,29.0747421079113,pr
191,8.624484481888066,0.0,36.31299463285452,pr
192,6.884110425318302,0.0,26.31015245837226,pr
193,9.642932958521586,0.0,78.44353834938825,pr
194,7.46753800090334,0.0,34.15553336973905,pr
195,8.982397320466303,0.0,41.63126391513028,pr
196,8.207911530589634,0.0,33.9230904662247,pr
197,8.141304627865377,0.0,39.31905903118658,pr
198,9.533576709309916,0.0,54.10078327277643,pr
199,10.145407489973202,0.0,67.08767170923859,pr
200,13.359696003334466,0.0,36.47523388359455,pr
201,12.37845310110243,0.0,33.003444574567084,pr
202,11.917828884086537,0.0,38.32515504208828,pr
203,9.882592938230239,0.0,32.71787929460293,pr
204,11.3398511227693,0.0,34.28534837887539,pr
205,11.25885878692654,0.0,41.874086490502215,pr
206,10.800897900282969,0.0,41.75534612957622,pr
207,16.27437066961316,0.0,41.16077964484636,pr
208,15.215894908521355,0.0,54.639059036081996,pr
209,14.135137442117143,0.0,48.31723657400587,pr
210,13.859611122689396,0.0,36.9677447175368,pr
211,12.865706007138762,0.0,28.070372232991172,pr
212,11.790900099149034,0.0,36.95318172720558,pr
213,13.065230804765019,0.0,39.01015213450692,pr
214,9.85044237414445,0.0,39.04115027405137,pr
215,14.678070766735694,0.0,51.99710157852169,pr
216,12.435499521298198,0.0,41.98917443744619,pr
217,8.885109123769752,0.0,29.09031702989844,pr
218,14.231306976365449,0.0,53.894646442044774,pr
219,11.368580742171106,0.0,105.68543894421282,pr
220,10.738648036707813,0.0,32.601870013632414,pr
221,10.272499483578432,0.0,51.09183326644787,pr
222,6.959409869384756,0.0,39.00199742701381,pr
