day,mean,min,max,var
1,0.0,0.0,0.0,pr
2,0.0,0.0,0.0,pr
3,0.0,0.0,0.0,pr
4,0.0,0.0,0.0,pr
5,0.0,0.0,0.0,pr
6,0.0,0.0,0.0,pr
7,0.0,0.0,0.0,pr
8,0.0,0.0,0.0,pr
9,0.0,0.0,0.0,pr
10,0.0,0.0,0.0,pr
11,0.0,0.0,0.0,pr
12,0.0,0.0,0.0,pr
13,0.0,0.0,0.0,pr
14,0.0,0.0,0.0,pr
15,0.0,0.0,0.0,pr
16,0.0,0.0,0.0,pr
17,0.0,0.0,0.0,pr
18,0.0,0.0,0.0,pr
19,0.0,0.0,0.0,pr
20,0.0,0.0,0.0,pr
21,0.0,0.0,0.0,pr
22,0.0,0.0,0.0,pr
23,0.0,0.0,0.0,pr
24,0.0,0.0,0.0,pr
25,0.0,0.0,0.0,pr
26,0.0,0.0,0.0,pr
27,0.0,0.0,0.0,pr
28,0.0,0.0,0.0,pr
29,0.0,0.0,0.0,pr
30,0.0,0.0,0.0,pr
31,0.0,0.0,0.0,pr
32,0.0,0.0,0.0,pr
33,0.0,0.0,0.0,pr
34,0.0,0.0,0.0,pr
35,0.0,0.0,0.0,pr
36,0.0,0.0,0.0,pr
37,0.0,0.0,0.0,pr
38,0.0,0.0,0.0,pr
39,0.0,0.0,0.0,pr
40,0.0,0.0,0.0,pr
41,0.0,0.0,0.0,pr
42,0.0,0.0,0.0,pr
43,0.0,0.0,0.0,pr
44,0.0,0.0,0.0,pr
45,0.0,0.0,0.0,pr
46,0.0,0.0,0.0,pr
47,0.0,0.0,0.0,pr
48,0.0,0.0,0.0,pr
49,0.0,0.0,0.0,pr
50,0.0,0.0,0.0,pr
51,0.0,0.0,0.0,pr
52,0.0,0.0,0.0,pr
53,0.0,0.0,0.0,pr
54,0.0,0.0,0.0,pr
55,0.0,0.0,0.0,pr
56,0.0,0.0,0.0,pr
57,0.0,0.0,0.0,pr
58,0.0,0.0,0.0,pr
59,0.0,0.0,0.0,pr
60,0.0,0.0,0.0,pr
61,0.0,0.0,0.0,pr
62,0.0,0.0,0.0,pr
63,0.0,0.0,0.0,pr
64,0.0,0.0,0.0,pr
65,0.0,0.0,0.0,pr
66,0.0,0.0,0.0,pr
67,0.0,0.0,0.0,pr
68,0.0,0.0,0.0,pr
69,0.0,0.0,0.0,pr
70,0.0,0.0,0.0,pr
71,0.0,0.0,0.0,pr
72,0.0,0.0,0.0,pr
73,0.0,0.0,0.0,pr
74,0.0,0.0,0.0,pr
75,0.0,0.0,0.0,pr
76,0.0,0.0,0.0,pr
77,0.0,0.0,0.0,pr
78,0.0,0.0,0.0,pr
79,0.0,0.0,0.0,pr
80,0.0,0.0,0.0,pr
81,0.0,0.0,0.0,pr
82,0.0,0.0,0.0,pr
83,0.0,0.0,0.0,pr
84,0.0,0.0,0.0,pr
85,0.0,0.0,0.0,pr
86,0.0,0.0,0.0,pr
87,0.0,0.0,0.0,pr
88,0.0,0.0,0.0,pr
89,0.0,0.0,0.0,pr
90,0.0,0.0,0.0,pr
91,0.0,0.0,0.0,pr
92,0.0,0.0,0.0,pr
93,0.0,0.0,0.0,pr
94,0.0,0.0,0.0,pr
95,0.0,0.0,0.0,pr
96,0.0,0.0,0.0,pr
97,0.0,0.0,0.0,pr
98,0.0,0.0,0.0,pr
99,0.0,0.0,0.0,pr
100,0.0,0.0,0.0,pr
101,0.0,0.0,0.0,pr
102,0.0,0.0,0.0,pr
103,0.0,0.0,0.0,pr
104,0.0,0.0,0.0,pr
105,0.0,0.0,0.0,pr
106,0.0,0.0,0.0,pr
107,0.0,0.0,0.0,pr
108,0.0,0.0,0.0,pr
109,0.0,0.0,0.0,pr
110,0.0,0.0,0.0,pr
111,0.0,0.0,0.0,pr
112,0.0,0.0,0.0,pr
113,0.0,0.0,0.0,pr
114,0.0,0.0,0.0,pr
115,0.0,0.0,0.0,pr
116,0.0,0.0,0.0,pr
117,0.0,0.0,0.0,pr
118,0.0,0.0,0.0,pr
119,0.0,0.0,0.0,pr
120,0.0,0.0,0.0,pr
121,0.0,0.0,0.0,pr
122,0.0,0.0,0.0,pr
123,0.0,0.0,0.0,pr
124,0.0,0.0,0.0,pr
125,0.0,0.0,0.0,pr
126,0.0,0.0,0.0,pr
127,0.0,0.0,0.0,pr
128,0.0,0.0,0.0,pr
129,0.0,0.0,0.0,pr
130,0.0,0.0,0.0,pr
131,0.0,0.0,0.0,pr
132,0.0,0.0,0.0,pr
133,0.0,0.0,0.0,pr
134,0.0,0.0,0.0,pr
135,0.0,0.0,0.0,pr
136,0.0,0.0,0.0,pr
137,0.0,0.0,0.0,pr
138,0.0,0.0,0.0,pr
139,0.0,0.0,0.0,pr
140,0.0,0.0,0.0,pr
141,0.0,0.0,0.0,pr
142,0.0,0.0,0.0,pr
143,0.0,0.0,0.0,pr
144,0.011011973137902031,0.0,0.27785844441585356,pr
145,0.14224498487465545,0.0,4.267349546239664,pr
146,0.5070946124544545,0.0,4.48045223025693,pr
147,0.4784719218584785,0.0,7.91594477796556,pr
148,0.1943302199665863,0.0,5.82990659899759,pr
149,0.0,0.0,0.0,pr
150,0.03522688250034633,0.0,0.9346819503965661,pr
151,1.1282804352296334,0.0,15.93428294416929,pr
152,1.5302777612130138,0.0,20.954682783399274,pr
153,1.6828067858315248,0.0,21.15538380193859,pr
154,0.6081156559730744,0.0,13.273193725236604,pr
155,0.6229785949509855,0.0,18.689357848529564,pr
156,0.051312098875310366,0.0,0.7513619211050577,pr
157,1.8319452334089774,0.0,22.045260910649038,pr
158,1.0066085507796898,0.0,17.5200532454455,pr
159,2.3255899409321077,0.0,20.17896923714203,pr
160,1.8380170883946956,0.0,18.79449390945999,pr
161,1.7231816447835044,0.0,16.27413603429208,pr
162,1.8324785536669526,0.0,23.7035495323877,pr
163,2.5531559839800453,0.0,25.986018798377874,pr
164,3.2966392875342896,0.0,24.623415985122307,pr
165,2.045748023637016,0.0,20.626749119836685,pr
166,2.189454921885501,0.0,23.08409231964023,pr
167,5.6746336765800285,0.0,42.161816183283165,pr
168,2.361609708815745,0.0,21.326137601615873,pr
169,2.6605061074967846,0.0,21.4952677198262,pr
170,2.8340702350792766,0.0,29.834020578446218,pr
171,3.65633493706371,0.0,25.500319726038004,pr
172,3.1540220318917016,0.0,21.88635053876339,pr
173,3.830244360718854,0.0,27.054671054157136,pr
174,2.8556527189673724,0.0,21.70278942476894,pr
175,3.3368531000986494,0.0,21.812407517365653,pr
176,2.7728018869649613,0.0,21.878548768786885,pr
177,3.375789751429756,0.0,24.287189883708148,pr
178,3.615672680022338,0.0,19.113437936013092,pr
179,1.8011062873867798,0.0,19.17072569851769,pr
180,3.512132639037279,0.0,23.38107364053762,pr
181,3.2326066428664704,0.0,21.842093432006163,pr
182,2.557125088513187,0.0,20.975304707072308,pr
183,4.25699640699321,0.0,25.50594363463978,pr
184,4.756532504451207,0.0,21.235358428759117,pr
185,3.720462148077131,0.0,22.54768882565571,pr
186,5.778553013484818,0.0,22.68852889581449,pr
187,4.493513607404545,0.0,25.42755280043553,pr
188,4.286841486477221,0.0,30.166247803308988,pr
189,6.924539141614574,0.0,32.64430369994465,pr
190,6.643973958407463,0.0,22.40130753437285,pr
191,5.571037898662284,0.0,26.926676654171942,pr
192,5.505866926353319,0.0,24.227732246954275,pr
193,11.275810438971154,0.0,72.13116477245732,pr
194,11.088185313604365,0.0,41.44169882996628,pr
195,9.35634732058932,0.0,44.567445441925535,pr
196,10.629321947878854,0.0,52.66620567933011,pr
197,10.061922910395475,0.0,50.26063499607898,pr
198,11.34509825431173,0.0,45.95397745547475,pr
199,9.849968348314578,0.0,41.737691638278534,pr
200,11.178033893771403,0.0,30.653131288951617,pr
201,13.214519268432744,0.0,50.56605798020016,pr
202,11.936219518974342,0.0,43.02407310501826,pr
203,10.034476482422342,0.0,84.0321853491646,pr
204,7.7281717177169105,0.0,31.008113119533494,pr
205,15.347930490130015,0.0,67.50482610332134,pr
206,8.527629532970009,0.0,37.78288004026384,pr
207,7.472959306041231,0.0,38.69855675419172,pr
208,11.486562686610155,0.0,34.02969685303981,pr
209,10.149901022798135,0.0,39.27051260583152,pr
210,12.73219028708495,0.0,45.690606202492,pr
211,13.497346030784815,0.0,45.756995261433055,pr
212,12.13075109153576,0.0,40.34010289801407,pr
213,10.149221968644307,0.0,33.614486530963795,pr
214,10.304406666085335,0.0,80.77476279140726,pr
215,10.767222791014273,0.0,38.018053042208344,pr
216,9.948226821394886,0.0,50.587816126915435,pr
217,10.715121495156358,0.0,41.87592239037859,pr
218,8.46761685136514,0.0,47.880922497303665,pr
219,11.859846978683557,0.0,42.1139266864029,pr
220,12.870087660286893,0.0,62.53860022049857,pr
221,7.113081526952706,0.0,35.026790747080774,pr
