day,mean,min,max,var
1,33.83418433634443,32.68220886230472,35.266221110026045,tasmax
2,33.91989605373809,32.135931142171245,35.15217081705732,tasmax
3,33.95924074978301,31.47588704427086,35.97833170572918,tasmax
4,34.1696187828912,32.51067733764651,35.951605682373064,tasmax
5,34.41669249471031,32.24471181233724,36.77668863932294,tasmax
6,34.55997040812177,32.15569697062177,37.21847259521485,tasmax
7,34.58524120754668,31.629006449381524,37.61736399332687,tasmax
8,34.697606716579884,32.647013295491575,37.46762298583988,tasmax
9,34.79038261922202,32.9888038126628,37.68810984293621,tasmax
10,34.986885952419726,32.69507385253908,38.407907765706405,tasmax
11,35.11947454833987,32.80981933593753,39.66803131103518,tasmax
12,35.226795289781386,32.292284393310574,39.87567291259768,tasmax
13,35.45028143649633,29.67410756429039,40.06868001302086,tasmax
14,35.74251205783423,27.64373453776045,40.735688323974635,tasmax
15,36.140558600531705,28.543352966308618,40.89932169596358,tasmax
16,36.343823235405836,31.856420745849636,40.67924474080405,tasmax
17,36.4151965450711,31.692175140380886,40.97835973103844,tasmax
18,36.8381093970405,32.05191126505537,41.854343770345075,tasmax
19,36.811425975274,32.17240763346356,41.542256848144525,tasmax
20,36.85632726008099,32.45658152262371,41.606741078694675,tasmax
21,36.424718995581756,30.344274037679053,41.531708272298204,tasmax
22,36.888472780015746,30.436105600992846,41.825327809651704,tasmax
23,37.100481848822724,33.25342274983726,41.20283782958987,tasmax
24,37.38152059936525,34.364339497884146,40.77701288859051,tasmax
25,37.70843067423505,33.20826370239263,41.10270156860356,tasmax
26,37.660496578640426,32.84408035278324,40.51551233927412,tasmax
27,37.92138688151043,33.63560969034834,40.4088491312663,tasmax
28,38.06069972059465,34.32866897583011,41.01544881184896,tasmax
29,37.7666152733697,32.692760365804055,41.20359293619794,tasmax
30,37.785135635376,32.75909347534182,41.215695292155,tasmax
31,38.01312408264163,34.379674936930364,40.68268198242186,tasmax
32,38.38164477199981,35.00994857788089,41.271056823730504,tasmax
33,38.956600206163216,35.11043345133465,41.222791900634796,tasmax
34,39.59571027289499,36.39651285807293,41.76463251749676,tasmax
35,40.13917406717938,38.35886113484704,41.234883626302114,tasmax
36,40.3283536427816,38.948777211507185,41.44301696777347,tasmax
37,40.37578479342992,35.77257273356122,41.1499612426758,tasmax
38,40.39114878336591,38.675893859863294,41.38884607950848,tasmax
39,40.248417000664624,39.40067642211917,41.06556549072268,tasmax
40,40.20965409851076,39.49992477416995,41.212785288492874,tasmax
41,40.221288187662786,38.75259195963543,41.423496958414745,tasmax
42,40.31761719767255,38.745191752115915,42.67921544392906,tasmax
43,40.450031641642276,39.203182678222674,42.09064585367843,tasmax
44,40.40456745232478,39.40359115600589,41.47349243164064,tasmax
45,40.45343642340768,39.37336883544922,42.226208699544294,tasmax
46,40.67159506903757,38.27635670979822,42.89504623413086,tasmax
47,40.7192826453315,38.15970932006838,42.293420918782566,tasmax
48,40.59775502183705,38.499251963297546,42.70003128051761,tasmax
49,40.71739504326717,38.94419219970707,43.20898920694987,tasmax
50,40.703918994479736,38.63959757486981,42.85704142252606,tasmax
51,40.9550183105469,38.54081665039064,43.235364990234395,tasmax
52,40.979971423678954,39.00956115722659,42.738121032714865,tasmax
53,40.74419493272571,38.17006657918298,42.08036397298181,tasmax
54,40.58457698737252,37.081785837809264,42.1188929239909,tasmax
55,40.74641360812719,36.92126825968426,42.171239827473975,tasmax
56,41.073485800849085,39.06443812052411,42.1747502644857,tasmax
57,41.38186434088815,37.771259358723974,42.487459615071636,tasmax
58,41.448553894043,38.721358642578146,42.49433013916019,tasmax
59,41.57627377149795,38.641039276123074,42.363556162516296,tasmax
60,41.69854355197485,40.662422129313164,43.33832839965823,tasmax
61,41.77469971889922,40.63823542277018,42.752235463460316,tasmax
62,41.64472349378799,40.86954956054691,42.35785929361982,tasmax
63,41.63686735704213,39.48233820597334,42.30696894327803,tasmax
64,41.76233113606772,39.56927352905277,42.68189961751303,tasmax
65,41.63283922492135,38.69079996744794,42.95450978597009,tasmax
66,41.4441617126465,39.704940287272166,42.7090026855469,tasmax
67,41.45758875698515,39.02603073120119,42.981393686930346,tasmax
68,41.57613798692494,38.61855662027998,43.057072601318374,tasmax
69,41.45229692416724,38.109573160807315,43.42962656656902,tasmax
70,41.43174761284724,34.85878789265954,43.07123580932619,tasmax
71,41.43410922580297,33.07406433105471,42.92819875081383,tasmax
72,41.339921629163975,32.52157964070641,43.17852401733401,tasmax
73,41.355673412746874,33.41936609903974,43.010864919026716,tasmax
74,41.1980831993951,33.29350814819338,42.79268880208337,tasmax
75,40.98198073662654,35.25370305379234,42.833385670979844,tasmax
76,41.23286892191571,38.65709330240887,43.30565027872723,tasmax
77,41.48254614427356,39.39269083658857,43.530682932535825,tasmax
78,41.61400495741104,39.355978190104196,43.987353566487656,tasmax
79,41.7962848968506,38.731877899169945,44.52492273966475,tasmax
80,41.90468827480743,38.799177246093784,44.378607889811235,tasmax
81,41.75752381388349,39.113386535644544,43.9167968241374,tasmax
82,41.62154485575361,37.920040944417345,43.52222661336264,tasmax
83,41.821144844902896,37.94095957438153,44.52759445190434,tasmax
84,41.79300909084747,37.69464121500653,44.90576944986981,tasmax
85,41.883917348225935,38.28296096801761,45.15752502441408,tasmax
86,42.00298098585343,36.511136220296244,45.276988016764335,tasmax
87,42.26116889784073,34.59357655843101,45.40908208211264,tasmax
88,42.032966284857885,34.96981211344405,44.98654347737632,tasmax
89,41.80769246758357,35.86458058675134,45.2242123413086,tasmax
90,41.702532552083355,36.235567016601586,45.322981414794924,tasmax
91,41.67290394083659,36.705990397135444,45.15232086181643,tasmax
92,41.71285662333173,37.11021606445315,44.960621287028026,tasmax
93,41.825551452636745,38.01537704467776,44.89973312377933,tasmax
94,41.82206444803876,38.93759007771811,45.253631032307965,tasmax
95,41.7258756679959,38.48048578898115,45.386630655924485,tasmax
96,41.85729175821942,39.155580139160186,45.472953898111996,tasmax
97,42.124814107259134,38.3493195597331,45.264177754720066,tasmax
98,41.96036119757761,38.58731201171877,44.80436543782553,tasmax
99,42.24218803066681,40.36258672078453,44.32796325683597,tasmax
100,42.04619363742407,38.45502059936526,43.95937779744469,tasmax
101,42.03778855048287,38.9828656514486,45.18875310262047,tasmax
102,41.95654388258194,39.19388631184899,45.11178110758465,tasmax
103,42.17580742179026,39.14428278605147,45.154860115051285,tasmax
104,42.34943508868751,37.725092061360705,45.00006478627524,tasmax
105,42.33945773654516,36.78019648234051,45.20510553995771,tasmax
106,41.99245007832848,35.94348180135094,45.29965204874677,tasmax
107,41.72924343024362,37.00131373087567,45.061886291503924,tasmax
108,41.600377900865375,37.45400731404626,45.03371709187829,tasmax
109,41.78508207363555,35.40231521606449,45.29390309651695,tasmax
110,41.90058021884498,35.25758051554365,45.25002141316735,tasmax
111,41.922605024549725,36.77384129842125,44.845727335612,tasmax
112,41.92669822353788,38.152737375895214,44.45963999430341,tasmax
113,41.937335630628816,39.66793340047203,44.24427235921225,tasmax
114,42.251114071316216,40.21493871053061,44.61971293131512,tasmax
115,42.353705612182644,40.315214589436856,45.04009348551435,tasmax
116,41.96980722045901,39.55019556681316,44.2464008076986,tasmax
117,42.05979742601185,39.62412516276043,44.44775614420575,tasmax
118,41.77801258511014,39.3326946004232,44.60990580240888,tasmax
119,42.219778954399985,38.54869689941409,45.179691263834656,tasmax
120,42.245407472398576,37.239243570963566,44.20601501464847,tasmax
121,42.115875934177005,37.603077341715526,44.81521682739261,tasmax
122,42.387470323350726,37.97670084635419,44.95835825602216,tasmax
123,41.88590240987144,38.948350779215524,44.853347269694034,tasmax
124,41.66873127916127,38.982941538492874,44.55346806844076,tasmax
125,41.575599082285585,38.69529958089196,44.7889126134237,tasmax
126,41.22579455905493,38.2340529886882,44.69463689168296,tasmax
127,41.38784280734594,37.84247522989912,44.73425186157227,tasmax
128,41.514372623019774,38.433916473388706,45.337866058349626,tasmax
129,41.29602085537383,34.71763951619469,44.2385935465495,tasmax
130,41.991924092610695,39.89315353393558,43.636378021240255,tasmax
131,41.917780936347135,39.63824529012047,44.41293950398765,tasmax
132,42.23862721591529,39.89456242879235,44.01066365559896,tasmax
133,42.181551140679275,39.57025222778322,44.77781311035158,tasmax
134,41.87139996337892,37.998233795166044,43.44412811279299,tasmax
135,41.49411096021868,36.67664255777998,43.39835688273114,tasmax
136,40.9244220191108,38.15888936360679,44.11695144653323,tasmax
137,41.126604649861676,38.480683288574234,44.560286204020194,tasmax
138,41.34254743618439,39.14413808186851,44.990696004231786,tasmax
139,41.045367575751435,35.642845255533864,43.54717112223309,tasmax
140,41.05400868564184,39.29670542399089,44.13859202067059,tasmax
141,41.118365051269556,38.073633829752616,43.55203109741214,tasmax
142,40.62202870347766,34.95857335408531,42.84581924438479,tasmax
143,40.15613557264543,35.2616594441732,43.081998291015644,tasmax
144,40.577870418972466,37.64689137776694,43.280794372558624,tasmax
145,40.585450148213724,39.24791946411134,42.87156860351565,tasmax
146,40.83753444247778,39.30223007202152,42.77966618855796,tasmax
147,40.67904868740507,36.904025675455735,42.93530899047854,tasmax
148,40.785378495958135,37.646449025472016,42.934475250244155,tasmax
149,40.627099789089655,38.330691731770855,42.48647781372072,tasmax
150,40.264419426489944,36.41099192301434,42.75457102457684,tasmax
151,39.93062760755754,35.310001780192096,42.99057922363283,tasmax
152,39.802889702691,35.315470530192094,42.28982864379884,tasmax
153,39.13273320007326,32.4030226135254,42.801180928548206,tasmax
154,38.88022325642906,32.758274332682326,42.09807032267255,tasmax
155,39.34831116739911,34.84369990030925,42.40031046549482,tasmax
156,39.064998151991134,34.90290730794272,41.91211023966475,tasmax
157,38.80286353556318,34.51327214558922,42.299971008300815,tasmax
158,39.1148109571669,34.37799672444664,42.45221649169923,tasmax
159,39.21469710047405,36.468785298665374,40.7957256571452,tasmax
160,38.92241774156361,35.42379119873048,42.55544158935549,tasmax
161,39.030522242228216,35.32575281778974,41.684751637776735,tasmax
162,38.69805620659725,35.79604283650719,41.25986816406254,tasmax
163,38.17007636854386,33.031893971761086,41.789697469075556,tasmax
164,37.26780901251902,31.26718668619795,39.601302591959644,tasmax
165,38.16873894076879,35.13739568074547,40.2237433878581,tasmax
166,38.00091438463001,34.728655344645205,41.86312993367514,tasmax
167,37.39625756496856,33.086227467854854,40.35693303426109,tasmax
168,37.449727528889994,32.45318796793622,40.70366455078127,tasmax
169,37.12236175706654,31.794963887532578,40.27478942871096,tasmax
170,36.77726812065975,32.93758850097658,39.96094141642254,tasmax
171,36.102008361816424,32.304390563964866,39.38663553873701,tasmax
172,36.20847381930884,32.19077367146813,39.76863922119143,tasmax
173,36.758959904988636,30.855665232340527,39.62917953491213,tasmax
174,36.64914830186634,31.18525594075525,39.63840270996095,tasmax
175,37.0807095794678,30.63861490885421,39.64012446085613,tasmax
176,36.74753982035322,32.37493952433271,39.5969153849284,tasmax
177,35.781737302992106,30.579214019775417,41.18601272583012,tasmax
178,35.99564362545439,30.764486033121766,40.46482950846356,tasmax
179,36.37839070129397,30.722866821289074,40.18748357137048,tasmax
180,36.26943063741051,31.917954508463577,39.74995717366539,tasmax
181,35.82732986619739,33.07542658487957,39.46377766927085,tasmax
182,35.71100345696346,32.634151560465504,38.563274485270206,tasmax
183,35.74321165805396,32.300930074056005,39.02966303507491,tasmax
184,35.3828306342231,30.554939168294293,40.33377919514978,tasmax
185,35.31249553256567,31.256890004475924,38.30139821370443,tasmax
186,35.155116409301776,30.762630869547554,39.63472269694014,tasmax
187,35.232211337619376,32.38920873006186,39.03149668375654,tasmax
188,34.89842900933163,30.765503489176456,38.417715504964235,tasmax
189,34.48412822129993,31.54621861775716,38.79340952555341,tasmax
190,34.30069827440052,30.870241597493514,38.18380406697592,tasmax
191,34.26945294019913,32.030600229899115,37.31655248006186,tasmax
192,33.981476452297656,30.184780120849627,38.138438822428405,tasmax
193,33.82382076856827,30.602156422932968,36.37814442952476,tasmax
194,33.72945814327666,30.815087178548197,37.8445117136637,tasmax
