day,mean,min,max,var
1,33.845389414469416,29.666187438964858,35.28563964843752,tasmax
2,33.90647012498646,29.41912587483726,35.97588322957358,tasmax
3,34.24037004597984,31.27746419270837,35.8528528849284,tasmax
4,34.398098785400414,32.155909779866555,36.09744430541995,tasmax
5,34.35583545260962,31.626828104654965,36.43405426025393,tasmax
6,34.464873567369274,31.396402587890663,36.570954844156915,tasmax
7,34.68698394775392,32.83850148518882,38.276274617513046,tasmax
8,34.79079821268719,31.532608286539745,37.7382825724284,tasmax
9,34.88708349609377,32.44168345133466,37.994972534179716,tasmax
10,35.03612266370987,32.91455230712891,37.53079528808596,tasmax
11,35.405704762776715,32.623544006347686,39.373462117513036,tasmax
12,35.6023772260878,32.86437301635744,40.120874277750666,tasmax
13,35.337562615288654,31.41929250081381,40.778777465820326,tasmax
14,35.598030946519664,32.57049209594729,40.46720932006838,tasmax
15,35.35365881008574,32.846086629231785,40.46995208740236,tasmax
16,35.48568471611873,33.0389498392741,40.11723693847659,tasmax
17,35.44567490641278,32.775375874837245,40.77295496622724,tasmax
18,35.13137157401193,32.39742335001629,40.94123470408122,tasmax
19,35.34778590732152,32.618271789550796,42.173680165608765,tasmax
20,35.75804085456003,32.8902341715495,42.15475519816082,tasmax
21,36.33795061069066,32.559121195475264,39.96646504720053,tasmax
22,36.90454974873863,32.16733673095704,41.409821929931674,tasmax
23,36.94496657986113,33.152870076497415,40.687272949218766,tasmax
24,37.24049283176,33.0001045227051,41.532463022867866,tasmax
25,37.858548210991785,33.67894363403324,40.68682540893556,tasmax
26,38.102158130221916,34.70955403645835,40.58083613077802,tasmax
27,38.117370522393145,33.95086247762047,41.86814473470053,tasmax
28,38.347240836249476,34.32359786987308,41.60870183308919,tasmax
29,38.67612039184573,35.46040445963545,41.975353851318395,tasmax
30,38.68353278774687,35.8572977701823,42.02765660603844,tasmax
31,38.46857709587947,31.052856241862013,41.34721298217776,tasmax
32,38.36664931064184,32.27673828125003,41.37217193603519,tasmax
33,38.337524286905946,31.611031239827497,41.32810251871746,tasmax
34,38.870321943495036,31.40584630330406,41.581525217692075,tasmax
35,39.31620615980363,31.336769765218122,41.35662460327151,tasmax
36,39.740858161078584,33.37491165161135,41.75948664347334,tasmax
37,39.72329546949602,30.524646148681665,42.13696416219077,tasmax
38,40.15498771328398,39.080068461100275,41.84457712809246,tasmax
39,40.30745936414933,39.6225787353516,41.94110687255863,tasmax
40,40.372043662194166,39.175415802001986,42.08079320271812,tasmax
41,40.44521902635365,38.74523076375328,42.86261337280275,tasmax
42,40.52476264953614,39.182812754313154,42.25571568806967,tasmax
43,40.382798365275086,38.79787216186526,42.30704269409183,tasmax
44,40.02205416700577,38.650807189941425,41.99168279012047,tasmax
45,39.887580585055886,38.07129745483399,42.17842051188152,tasmax
46,40.000225684271946,38.173860677083354,42.31073735555014,tasmax
47,40.11862432522246,38.18155110677088,42.24760401407878,tasmax
48,40.25082263353138,37.73354970296225,42.290659739176455,tasmax
49,40.306318920186385,38.27943166097008,42.21672821044924,tasmax
50,40.50804721747507,38.17224934895836,42.43328374226891,tasmax
51,40.88473732164174,38.18792007446294,42.522746836344425,tasmax
52,41.30875809054907,37.099600779215535,42.694947052001964,tasmax
53,41.62929626295304,39.06854756673177,43.101761118570984,tasmax
54,41.50270961337622,39.130190429687524,43.30603185017906,tasmax
55,41.337025266859285,39.560807647705104,42.824935404459644,tasmax
56,41.22240947977704,39.605583140055366,42.76364008585614,tasmax
57,41.35791327412925,39.03148534139,42.89326904296877,tasmax
58,41.53261508348255,39.6596896362305,43.02577336629233,tasmax
59,41.5160685831706,39.542202046712276,42.71376398722334,tasmax
60,41.40576328701445,38.683867441813184,42.597138977050804,tasmax
61,41.2679348670112,38.381290995279976,42.794626566569036,tasmax
62,41.20520616149904,36.462080586751334,42.89060399373374,tasmax
63,41.48830860731339,38.49440444946293,44.085861765543626,tasmax
64,41.64144574820626,37.95686976114911,43.25378178863526,tasmax
65,41.82324698384605,37.849117075602244,43.29735107421879,tasmax
66,41.8691367170546,39.03902796427412,42.80344614664716,tasmax
67,41.76976952785919,39.2561353047689,42.54851531982427,tasmax
68,41.55516471523711,39.26271052042645,43.315072479248066,tasmax
69,41.48357235548234,38.81312886555992,43.50803817749025,tasmax
70,41.19055727810333,37.96384414672854,43.094293721516955,tasmax
71,41.289326907687744,37.780532175699896,43.03151667277021,tasmax
72,41.28450505235462,38.196975046793646,42.84021194458008,tasmax
73,41.21948093329537,38.382033640543646,42.605985565185584,tasmax
74,41.44521888224286,39.193672790527366,42.583621012369804,tasmax
75,41.528578679402706,39.424927012125686,42.8620051066081,tasmax
76,41.461099811130126,39.605149790445985,43.058890584309914,tasmax
77,41.21289023335776,36.48214981079104,43.98596710205081,tasmax
78,41.413498102823915,36.36308919270837,44.41012349446617,tasmax
79,41.29258668178985,35.72579249064131,44.15520726521813,tasmax
80,41.2157281019423,36.44173767089847,44.70334289550783,tasmax
81,41.282751124064134,37.60490010579429,44.33414891560874,tasmax
82,41.44475525580514,38.353709004720066,44.59669703165692,tasmax
83,41.578627129448805,37.93503977457686,44.79013687133792,tasmax
84,41.571414825439476,37.74363250732424,45.25822402954103,tasmax
85,41.44864575364856,37.73037821451825,45.17697031656903,tasmax
86,41.55684164937339,36.359495646158884,45.229579010009765,tasmax
87,41.95411977810332,36.905044809977234,45.31892476399742,tasmax
88,42.036934309217685,37.83449859619142,45.0294903055827,tasmax
89,41.83371082390682,38.21769877115889,44.92248947143556,tasmax
90,41.5134095492893,38.175752054850285,44.398992462158226,tasmax
91,41.462501736111136,37.746293284098336,45.023676045735705,tasmax
92,41.34020458645293,36.88045110066734,45.05820470174155,tasmax
93,41.25690765719946,37.321809387207075,45.24842020670575,tasmax
94,41.5630431433784,37.097714843750026,44.91754699707034,tasmax
95,41.765221813625786,36.93460077921552,44.977780354817725,tasmax
96,41.90551268513999,37.15134460449221,45.329951578776054,tasmax
97,42.185259755452506,37.575406850179064,44.83653589884443,tasmax
98,42.259279583401174,37.71079798380537,44.97196604410809,tasmax
99,42.082293819851365,38.610944620768265,45.00400110880537,tasmax
100,42.33959921434192,39.95030283610026,44.983632914225275,tasmax
101,42.32790478176544,39.6396044413249,44.7657914733887,tasmax
102,42.08044962565107,38.796283111572286,43.7570406595866,tasmax
103,42.40480222235787,38.960117085774755,44.95677068074546,tasmax
104,42.63001637607153,39.30092987060548,44.949664306640635,tasmax
105,42.63383920627172,38.72355021158856,45.132911478678416,tasmax
106,42.46719195895727,37.9467245992025,45.39221313476563,tasmax
107,42.353159261067724,38.20844792683922,45.29793416341147,tasmax
108,42.72672239176435,38.578785603841176,45.21387018839519,tasmax
109,42.4132280951606,38.49213175455733,44.884230957031264,tasmax
110,41.851529032389344,37.491816813151075,43.765131632487005,tasmax
111,41.87340367974178,38.445379892985045,44.14305806477865,tasmax
112,41.895634697808184,37.54453811645511,45.67296071370446,tasmax
113,41.65847007412383,36.12531397501632,44.59094299316408,tasmax
114,41.563757954915374,34.16421346028648,45.02969309488933,tasmax
115,41.79794642300078,38.65503438313805,44.29669342041018,tasmax
116,41.75739675564237,38.35551188151046,44.13985478719078,tasmax
117,41.676159150865374,37.713697153727246,44.40070866902672,tasmax
118,41.55098644341364,38.36532175699873,44.30315806070965,tasmax
119,41.34817658148873,37.34194300333662,44.74107899983727,tasmax
120,41.421744362725164,38.13982523600263,44.56963643391929,tasmax
121,41.40560588582358,38.29371261596683,43.962982686360704,tasmax
122,41.438615851508274,38.64200612386072,43.49969360351565,tasmax
123,41.594660897149005,38.24962005615237,43.79943796793621,tasmax
124,41.93759897020131,39.379302215576196,44.25508082071943,tasmax
125,41.70396070692276,39.518863220214875,43.885627339681015,tasmax
126,41.75843342759877,39.68523269653321,44.56501622517905,tasmax
127,41.94124592420791,39.861067708333366,43.95248494466147,tasmax
128,42.120704642401826,39.18415033976239,43.67967213948571,tasmax
129,42.04576916334368,39.50927861531579,44.136832733154314,tasmax
130,41.78801213073733,35.680255889892614,44.05730082194011,tasmax
131,41.72810224066843,31.227045847574885,44.32015523274742,tasmax
132,41.670237938774996,32.64840713500978,44.11210673014326,tasmax
133,41.75675252617732,32.63856012980145,44.292330932617205,tasmax
134,41.69662872483996,33.14847579956058,44.54744695027671,tasmax
135,41.482158394707604,35.04163884480798,44.224164835611994,tasmax
136,41.56126149325903,39.10894322713219,44.26535481770836,tasmax
137,41.40603905741376,38.26282882690433,44.18817052205406,tasmax
138,41.092277084350606,36.85491561889652,44.675741984049495,tasmax
139,41.28568015204538,39.00353240966799,44.18819580078127,tasmax
140,41.09743926154247,39.479393463134805,44.18866017659508,tasmax
141,40.83305202568904,38.46381886800133,43.876280466715514,tasmax
142,40.834212454901824,37.371612294514996,42.75991444905602,tasmax
143,40.7168755306668,37.83822397867841,42.02738204956057,tasmax
144,40.7807258589003,38.879195556640646,42.38163391113284,tasmax
145,40.583355928209116,36.95792872111005,42.79258229573571,tasmax
146,40.50274287584095,37.41699010213218,42.95007425944015,tasmax
147,40.6564263848199,37.91326217651369,42.87933039347333,tasmax
148,40.34828495619035,35.48287109375003,42.63022176106773,tasmax
149,40.48586541748049,37.31578145345053,42.77603535970055,tasmax
150,40.28472324117027,36.818563079834,42.76040283203128,tasmax
151,39.65324541558162,34.463895009358744,42.48377807617189,tasmax
152,39.606312873602995,34.38566228230797,42.57828430175783,tasmax
153,39.01052725728355,34.35726343790693,42.35865183512373,tasmax
154,39.62675429789227,34.93404408772789,42.85405705769858,tasmax
155,38.813182342529316,34.55577265421551,42.879213867187524,tasmax
156,39.20102394104006,35.16451655069991,42.52543548583987,tasmax
157,38.69294407823353,34.56500295003256,42.73001047770185,tasmax
158,38.71337037150068,33.84045059204104,42.11652323404951,tasmax
159,38.85336693996855,31.835037180582702,41.80775533040366,tasmax
160,38.64967793952097,32.42378234863284,41.5124420166016,tasmax
161,38.745009329901826,35.14029017130536,42.11420450846356,tasmax
162,39.03050469122995,35.98194458007816,42.51958089192711,tasmax
163,38.50170948387996,33.114037984212246,41.86783409729006,tasmax
164,38.161399051242434,35.40648188273113,42.56519892374678,tasmax
165,37.843270380655945,34.65605814615888,40.62058059692385,tasmax
166,37.38212998114694,31.52595479329429,41.686264241536485,tasmax
167,37.25296913994685,27.801662597656286,41.490644836425815,tasmax
168,36.85372575378421,29.616037902832062,41.39404886881514,tasmax
169,37.24840226576065,31.224248148600292,40.867271423339865,tasmax
170,37.21520776197647,30.992228088378937,40.56718068440757,tasmax
171,37.2213552737766,32.5209399922689,41.273085835774765,tasmax
172,36.65045411851673,31.858317464192737,40.5804646809896,tasmax
173,36.55942556254072,26.60926106770837,40.193234252929706,tasmax
174,36.40716877407501,27.955508422851597,39.8259657287598,tasmax
175,36.53425589328344,32.07713445027671,39.74180124918622,tasmax
176,36.60182722642689,32.51622324625654,39.575086415608745,tasmax
177,36.2023869832357,32.10575276692709,39.3486676534017,tasmax
178,36.10352322726782,31.941626383463568,39.085729370117214,tasmax
179,36.088496955023885,32.44116877237958,39.69019093831383,tasmax
180,35.50684081014,30.194074401855477,39.377844289143916,tasmax
