day,mean,min,max,var
1,34.15554132419165,31.930095926920586,35.7061341349284,tasmax
2,34.59999896579321,32.74125493367516,36.277453358968124,tasmax
3,34.82217570665149,33.04832987467449,36.11377054850263,tasmax
4,34.85642896355525,32.777902018229184,36.232678070068374,tasmax
5,34.81457808430992,32.909345906575545,36.683944702148466,tasmax
6,35.065174697876,32.851437377929706,38.445710245768254,tasmax
7,35.101220499674504,32.72666168212894,39.18211212158206,tasmax
8,35.463896480984175,33.061466573079464,39.64032190958661,tasmax
9,35.41000720893014,32.93412139892581,38.879308878580765,tasmax
10,35.54963618299698,32.76803019205732,39.31246770222983,tasmax
11,36.113473592122425,33.3426124064128,40.54166961669924,tasmax
12,36.1684842681885,33.44052327473961,40.462799326578796,tasmax
13,36.49052600775828,32.143854268391955,41.519885253906274,tasmax
14,36.64591182454429,32.13040491739912,41.10031153361006,tasmax
15,36.636209598117425,32.485267130533884,41.76186676025393,tasmax
16,36.67683768208824,33.21292236328126,41.29754689534507,tasmax
17,37.04368672519262,33.08085606892906,40.805824635823576,tasmax
18,37.33664550950794,33.47915466308595,41.557701466878285,tasmax
19,37.117739422268365,32.265433909098306,41.29744181315107,tasmax
20,37.45713922119143,31.810835774739598,41.77939788818361,tasmax
21,37.967378558688715,32.55679300944012,41.37294006347659,tasmax
22,38.03379030693904,33.57899134318037,41.30422251383467,tasmax
23,38.611782761027044,33.75200475056969,40.98717789916993,tasmax
24,38.80168911953399,33.25372472127281,41.264499816894556,tasmax
25,39.17753373887807,33.709329477946,42.205437469482455,tasmax
26,39.62851452975805,35.57239420572919,42.33908370971682,tasmax
27,39.233705937703476,36.06746556599936,42.25982081095379,tasmax
28,39.25747290547691,35.58454360961917,41.733417256673214,tasmax
29,39.378729412231465,34.5014791361491,41.14128554484051,tasmax
30,39.70306760999893,33.108173522949244,41.86626917521161,tasmax
31,39.88413513353139,34.96504308064781,41.782066040039076,tasmax
32,39.914844382392054,35.555699513753275,41.667775014241556,tasmax
33,39.92772372436525,35.29404067993167,42.20900054931642,tasmax
34,40.21390317620173,37.10944142659506,41.48368352254234,tasmax
35,40.35772582499188,36.34036148071291,41.53874374389651,tasmax
36,40.563314936320005,37.470173390706414,42.26853006998699,tasmax
37,40.5152434692383,37.470444234212245,42.13582265218101,tasmax
38,40.73139327324764,38.15374252319339,42.138138071696,tasmax
39,40.76576012674969,39.954171600341816,41.97268590291342,tasmax
40,40.796528383043096,39.422453053792346,41.89749694824221,tasmax
41,40.71581992763945,39.84709767659506,41.83860422770184,tasmax
42,40.724591959635426,38.44597935994469,41.791167958577496,tasmax
43,40.818285473293756,39.98295110066732,41.96710769653321,tasmax
44,40.808983410305466,39.897742360432964,42.64389302571616,tasmax
45,40.80436556159127,39.68156316121421,42.71235356648766,tasmax
46,40.967960876464865,39.90700332641604,42.00725611368818,tasmax
47,40.999337726169195,38.176443023681664,42.847846781412784,tasmax
48,40.9817272474501,39.471615346272806,42.714779256184926,tasmax
49,41.16664496358238,37.93234771728518,43.56245488484703,tasmax
50,41.372167082909506,39.62629247029624,43.690960973612455,tasmax
51,41.26142889573841,40.24138234456384,42.71119517008467,tasmax
52,41.23778844197593,39.293464914957696,43.03568740844728,tasmax
53,41.333029971652586,34.89881388346356,43.24359054565434,tasmax
54,41.39312525939944,35.68945994059248,43.49735524495444,tasmax
55,41.75872251383465,35.814113057454456,43.705428771972684,tasmax
56,42.03287045796715,37.13414922078453,43.63895334879559,tasmax
57,42.28287156677247,39.116205088297534,43.67853642781578,tasmax
58,42.44010600450306,40.48515757242841,43.82966501871749,tasmax
59,42.464340057373064,41.04365844726565,43.338800252278666,tasmax
60,42.566259724934916,40.48993810017905,43.54329696655276,tasmax
61,42.63141108873159,40.4113688151042,43.631940256754596,tasmax
62,42.59569015333389,41.42964970906578,43.647119191487654,tasmax
63,42.5423070983887,41.13911646525067,43.72614649454756,tasmax
64,42.68286806572811,41.095682983398454,43.79364578247075,tasmax
65,42.739292502509244,41.18027608235679,43.6974922180176,tasmax
66,42.826465655856694,41.10695454915366,43.62599080403647,tasmax
67,42.85434002855091,41.522558186848975,43.57906483968102,tasmax
68,42.793813425699895,41.2100368245443,43.43657516479494,tasmax
69,42.89216724141442,40.42053380330407,43.59383305867514,tasmax
70,42.87900317043731,40.27143758138022,43.54438217163088,tasmax
71,42.89310252719458,39.78152898152671,43.8226978047689,tasmax
72,42.83189694892038,39.88938817342125,43.63030008951825,tasmax
73,42.93131090121801,40.678521169026716,43.700683441162134,tasmax
74,42.8825195465088,41.088177134196,43.677885030110694,tasmax
75,42.883314693874816,41.747724914550794,43.92117996215822,tasmax
76,43.00354184129506,40.398399607340515,44.572248586018894,tasmax
77,43.06981870185006,39.04242833455407,44.677695210774765,tasmax
78,43.029613440619606,40.27243713378909,45.59150217692059,tasmax
79,43.34728702799482,40.295555369059265,45.61937856038415,tasmax
80,43.29424407789445,40.21173914591474,45.215130259195995,tasmax
