day,mean,min,max,var
1,34.877965768669995,32.607729187011735,36.15018157958985,tasmax
2,35.10045765346953,32.84836095174157,36.76686630249026,tasmax
3,35.21550754316545,32.78505198160809,36.94796142578128,tasmax
4,35.41006902058921,32.485670776367215,37.13368840535483,tasmax
5,35.495479327663865,31.994327494303416,37.42272888183595,tasmax
6,35.60427762580027,31.336974639892606,38.309138539632194,tasmax
7,35.991537950303844,31.623382059733103,38.9290262858073,tasmax
8,35.84304392327204,32.35296147664391,38.621340281168635,tasmax
9,35.71492840576174,32.20501658121747,39.007331136067734,tasmax
10,36.35375245566476,32.18769683837892,40.07603185017907,tasmax
11,36.72046023739287,32.49704111735028,40.643018493652356,tasmax
12,36.6561756240845,32.2578323364258,40.039965565999374,tasmax
13,37.21075703348798,32.59309326171877,41.42509318033857,tasmax
14,37.78336235385473,32.86481465657556,41.79705184936526,tasmax
15,37.95536402045357,33.23837270100913,41.9865969848633,tasmax
16,37.70182090420196,32.994428100585964,42.27063374837241,tasmax
17,37.81254850494387,32.10107813517254,41.5736383056641,tasmax
18,38.003089369032146,31.927026367187512,42.07439081827801,tasmax
19,38.16474718560116,33.25805918375653,42.21330337524416,tasmax
20,38.260616634792775,32.936084187825536,42.251922098795596,tasmax
21,38.26965334574383,32.517015126546234,41.92648661295576,tasmax
22,38.76470925394696,32.3695423380534,42.149178263346386,tasmax
23,38.831014509413,34.01194630940756,42.51815297444665,tasmax
24,39.475404240926146,34.06306304931644,42.03489466349288,tasmax
25,39.860372980753596,33.79783752441409,42.402572174072276,tasmax
26,40.12192975855511,35.06484074910485,43.025466410319034,tasmax
27,40.24402385118275,35.51599736531577,43.494003906250036,tasmax
28,40.10855576070151,35.131329549153655,42.89648188273113,tasmax
29,40.13467959594729,35.529385172526055,42.61560867309572,tasmax
30,40.262836135864276,36.46417856852215,42.649504954020195,tasmax
31,40.05609546983509,36.28911539713544,42.369708251953135,tasmax
32,40.189053443061,35.319296722412126,42.66522064208986,tasmax
33,40.16178084309898,34.69720280965172,42.56550933837894,tasmax
34,40.1938902282715,35.810928700765,41.50694900512698,tasmax
35,40.40370056835601,38.12895294189456,41.540392557779946,tasmax
36,40.64155709367544,34.761399027506535,42.132269145711284,tasmax
37,40.932724319458025,35.586097615559915,41.8862743631999,tasmax
38,40.98125286695694,36.80089141845705,41.866085611979194,tasmax
39,41.04318613720366,39.74191004435223,42.24485692342126,tasmax
40,40.978381470133485,39.61743825276694,42.12428543090822,tasmax
41,41.21564671156144,38.49493001302087,42.27174082438154,tasmax
42,41.35701293097605,39.22081502278649,43.06581644694011,tasmax
43,41.43535430738663,39.646324412028,43.539145355224626,tasmax
44,41.464690460205105,39.03294336954755,43.32994049072267,tasmax
45,41.51852978685168,38.71273432413741,42.97147822062177,tasmax
46,41.40791844916453,38.48789148966472,42.76154830932621,tasmax
47,41.41050248209638,39.147350056966154,43.349298858642584,tasmax
48,41.593234003702825,38.57178751627604,43.49621210734051,tasmax
49,41.745473299662294,38.30103185017907,43.35455074717206,tasmax
50,42.00801067776151,38.66286478678387,43.76708943684898,tasmax
51,42.423041678212506,39.80631072998048,44.32353378295901,tasmax
52,42.42370165305246,39.844868977864586,44.32398258514405,tasmax
53,42.37215082263525,38.73720123291019,43.75035263061526,tasmax
54,42.78352297941422,39.010121053059926,44.43664464314781,tasmax
55,42.99450204637318,39.15451059977215,44.1906660461426,tasmax
56,42.73066042412654,39.8827109273275,43.53895177205405,tasmax
57,42.82335100021364,39.7668554178874,44.18601308186851,tasmax
58,42.97380281214399,39.48813832600916,43.969915669759125,tasmax
59,42.864249213104266,40.802410888671886,43.907028096516946,tasmax
60,42.42755941411338,40.49059270222983,43.87338134765628,tasmax
61,42.02042916508994,40.74976537068688,42.75954879760744,tasmax
62,41.881111997595916,38.40786066691083,43.209951934814484,tasmax
63,41.750202058359804,36.493392079671246,43.51759653065998,tasmax
64,41.705676779632604,34.711602986653666,43.71810124715171,tasmax
65,41.78855286639746,37.046272583007834,43.31210556030275,tasmax
66,42.11849130318537,39.000521647135436,43.18526713053388,tasmax
67,42.312471409115275,40.273895263671896,44.38522257486981,tasmax
68,42.51090624391346,40.20381520589195,44.089909057617206,tasmax
69,42.4388126193746,39.72177658081058,43.63202692667645,tasmax
70,42.282593291236054,37.46830006917321,43.635283152262396,tasmax
71,42.368242276357044,37.122149353027375,44.083116861979185,tasmax
72,42.59301237318253,38.57129135131837,43.90275288899741,tasmax
73,42.154232548607744,37.99841583251956,43.877462158203144,tasmax
74,41.896412990366635,36.41977711995446,43.948342285156265,tasmax
75,42.13003847249352,39.12470041910809,44.34260304768884,tasmax
76,42.43590322786122,38.78612014770511,45.00204935709638,tasmax
77,42.581702710418725,37.5565986633301,45.030812174479195,tasmax
78,42.72947216940988,35.98684509277347,45.82647954305016,tasmax
79,43.009831517537464,37.717425944010444,45.83904352823897,tasmax
80,42.9019866130066,38.11433603922527,46.02840510050459,tasmax
81,42.948128139970585,37.05043782552087,46.05318425496421,tasmax
82,43.41111258939957,37.5717838541667,46.14968465169272,tasmax
83,43.48357178922867,39.027596232096386,46.936443655904135,tasmax
84,43.33874999662613,39.37516250610352,45.54420710245771,tasmax
