day,mean,min,max,var
1,15.397914906819686,10.470445251464875,18.160658569335947,tasmin
2,15.092944751315672,9.422432200113954,18.512999725341803,tasmin
3,14.75082532416452,9.440046386718771,19.16039479573571,tasmin
4,14.867707492404536,10.533100789388035,18.351321055094427,tasmin
5,14.95370758056643,12.569090779622428,17.200550435384145,tasmin
6,14.884243777804928,11.761256917317732,17.476914978027366,tasmin
7,14.957567511664518,12.174636840820341,17.963119506835948,tasmin
8,15.056816474066867,12.088072713216178,18.917689921061225,tasmin
9,15.131682400173636,12.929995727539088,17.89065531412764,tasmin
10,15.138177753024657,13.149232126871786,18.428028004964194,tasmin
11,15.495133290608745,13.225161437988305,18.775002950032587,tasmin
12,15.537987255520315,13.312179565429707,18.67268524169924,tasmin
13,15.588870496961828,13.285329182942718,18.74492421468101,tasmin
14,15.42561023288305,13.279672546386735,18.32847981770836,tasmin
15,15.629305318196637,13.375864461263044,18.365252075195343,tasmin
16,15.841568283081077,13.177496592203795,18.602108866373726,tasmin
17,15.9705931752523,13.30048212687179,19.637140655517594,tasmin
18,16.117723619249155,12.60855270385746,21.062542266845725,tasmin
19,16.447153228759788,12.016789906819676,21.569570414225286,tasmin
20,16.380930801391624,11.415766550699885,20.668505961100283,tasmin
21,16.612676479763476,12.295793711344421,20.166301930745465,tasmin
22,16.668365512424067,12.938292643229184,20.212579600016284,tasmin
23,16.664694569905624,13.181529490153045,21.71573664347333,tasmin
24,16.538281021118188,12.892432047526066,22.376211191813166,tasmin
25,16.435919002956837,12.848568318684926,20.21425333658856,tasmin
26,16.731166953192837,14.08345652262373,21.39125111897789,tasmin
27,16.85153938802086,13.974422658284519,21.223816935221368,tasmin
28,16.892081456502304,13.809360555013049,20.704910481770856,tasmin
29,16.89744397989911,13.83087763468427,21.190139261881523,tasmin
30,17.08218321567114,13.9566660054525,21.882891082763695,tasmin
31,16.989451782226585,14.353318227132187,21.54651794433597,tasmin
32,16.90812205844458,13.535265808105493,21.86066589355472,tasmin
33,16.930244518703905,12.869233957926449,20.178078715006535,tasmin
34,16.952686579386416,12.015004119873055,20.465953776041687,tasmin
35,16.6723608500163,12.718196105957048,21.24288813273114,tasmin
36,17.076855626424177,14.369270121256525,20.926426188151073,tasmin
37,17.33397292205813,15.168563334147175,20.235785064697296,tasmin
38,17.363894529181607,14.972912495931013,20.211452789306673,tasmin
39,17.430247661641456,15.030412699381534,20.337903787231472,tasmin
40,17.414642064412458,14.811367645263696,21.55379903157554,tasmin
41,17.558462341308616,14.437985229492208,21.811532389322945,tasmin
42,17.743902055528448,14.540600992838554,22.313964080810575,tasmin
43,18.059635801527257,14.559410858154328,23.5565999857585,tasmin
44,18.190136033799945,15.253371938069696,23.123390197753924,tasmin
45,18.218728474714517,15.42168050130212,22.620579573059047,tasmin
46,18.308354695417638,15.716539764404331,22.506988061014777,tasmin
47,18.678370288425047,15.864468892415402,23.506315561930364,tasmin
48,18.498151175384546,16.145648600260454,23.203032982889777,tasmin
49,18.268361538136823,15.989436848958368,22.856958560689254,tasmin
50,18.198769852176266,14.770215962727889,23.53524185180667,tasmin
51,18.434087170071102,14.679809265136754,22.61310323079429,tasmin
52,18.775095789591496,15.125112813313828,23.543316141764354,tasmin
53,18.73711002943253,13.746598205566434,22.83654307047529,tasmin
54,18.799556891954225,14.215722452799497,23.73322566935221,tasmin
55,18.682764531453476,14.818627827962274,22.782497660319034,tasmin
56,18.986383234659858,14.380904846191433,22.443539276123072,tasmin
57,19.04648596700035,15.393139444986994,21.38607559204104,tasmin
58,19.50873970031741,18.063296254475944,22.431582845052116,tasmin
59,19.72887950473364,18.26381225585941,22.16841751098637,tasmin
