day,mean,min,max,var
1,15.496915425618516,12.609896952311232,18.86625030517581,tasmin
2,15.181429968939907,13.278669484456401,18.622668202718113,tasmin
3,15.021626325819257,12.972403971354188,18.28784891764325,tasmin
4,15.438068067762613,13.699861145019534,18.694309488932316,tasmin
5,15.566304626464868,12.01238444010419,18.836925760904972,tasmin
6,15.301784388224311,12.334142506917345,20.02596857706708,tasmin
7,14.908403082953583,11.318333435058614,18.18116200764976,tasmin
8,15.939100051879906,13.017335154215516,19.570760091145853,tasmin
9,16.153519259982666,12.575716756184923,19.84673848470054,tasmin
10,16.297002805921792,12.399049530029336,22.445827077229847,tasmin
11,16.636058997260225,11.961599426269553,20.891785888671905,tasmin
12,16.60612828572594,13.065760040283228,20.45911966959638,tasmin
13,16.644838155110698,12.88073669433597,21.817662251790363,tasmin
14,16.27346440124514,13.21191136678064,21.32298909505211,tasmin
15,16.18029727851022,11.97420725504559,19.2735953776042,tasmin
16,16.301105875651064,12.1852478027344,19.869925028483085,tasmin
17,16.270797441270645,12.590689086914088,21.87026321411136,tasmin
18,16.550341332329666,13.43592427571617,23.83549830118817,tasmin
19,16.87671284145781,12.304703776041691,21.84387603759767,tasmin
20,16.51741294182674,11.862061564127629,21.156604665120465,tasmin
21,16.669469280666803,12.313637847900415,20.562462870279973,tasmin
22,16.550256663004582,11.654844309488956,21.415379130045597,tasmin
23,16.7043339826796,11.185019683837908,22.57872187296552,tasmin
24,16.900630454118538,14.086813863118522,22.177010854085296,tasmin
25,17.313816002739827,14.080125681559272,22.912469991048226,tasmin
26,17.26082028537329,15.369539540608733,22.512836710611992,tasmin
27,17.532230438232443,15.643584391276079,22.678142038981132,tasmin
28,17.565641793145097,16.039493916829457,21.575860087076848,tasmin
29,17.846823572794623,16.727014668782573,21.764459788004576,tasmin
30,18.102566465589756,16.91331914265953,21.939497934977243,tasmin
31,18.54559770541723,17.491315816243496,22.160419718424503,tasmin
32,18.221915878702823,13.047251180013044,21.45787191975913,tasmin
33,18.136798646714976,14.953141072591174,22.802794087727893,tasmin
34,17.858300333658875,14.520930786132842,22.376088460286486,tasmin
