day,mean,min,max,var
1,15.989712951660183,13.685640258789098,18.359824930826836,tasmin
2,15.827440083821637,13.509779612223326,18.49224548339846,tasmin
3,15.492219214545377,13.093597005208352,18.69160319010418,tasmin
4,15.60060870869957,13.306679840087924,18.616830088297537,tasmin
5,15.782805538601364,12.966487935384142,18.9067562866211,tasmin
6,15.95749599063452,13.077681630452503,19.4248788035075,tasmin
7,16.381581620788598,13.35437672932945,19.5534642537435,tasmin
8,16.57179263644751,13.301112111409529,20.60157730102542,tasmin
9,16.676184624565995,13.424637858072941,22.339758402506533,tasmin
10,17.22532581414119,13.141062520345079,22.95758361816409,tasmin
11,17.400915551079667,13.058430277506526,23.326920267740928,tasmin
12,17.65045564185251,14.38834559122724,22.943525950113962,tasmin
13,17.708349134657137,15.320727030436217,22.25239929199222,tasmin
14,17.769488399929493,15.263064727783208,22.38078598022463,tasmin
15,17.57200422498918,15.3688420613607,23.593467915852887,tasmin
16,17.37758944193525,14.429125823974639,23.65340530395511,tasmin
17,17.2935535397,14.744484812418657,22.678884684244803,tasmin
18,17.388488384670705,14.880401000976585,21.801296590169283,tasmin
19,17.63898671298559,14.594939168294294,20.27126190185548,tasmin
20,17.681648603651286,14.17541605631512,21.187224833170593,tasmin
21,17.699467800564257,13.331834920247417,22.76547978719078,tasmin
22,17.65941053602433,13.350118001302112,23.64308685302736,tasmin
23,17.628856235080317,13.302161102294955,23.249640502929708,tasmin
24,17.627487957424613,14.320247141520213,23.733842213948577,tasmin
25,17.68085520595977,14.940491739908898,20.877030283610043,tasmin
26,17.89117662896053,14.813279469807972,20.913974863688168,tasmin
27,17.60922970581057,14.459948933919302,20.40978266398115,tasmin
28,17.25960583665638,14.526199137369824,21.018293304443365,tasmin
29,17.304733415391734,13.295004831949901,20.398686981201195,tasmin
30,17.622032026502843,14.188022155761738,20.466203409830758,tasmin
31,17.713142823961068,14.906024068196635,19.945136667887386,tasmin
32,17.95533600870771,15.950445251464865,19.901654612223314,tasmin
33,18.444912402682856,16.230177561442087,20.842408498128293,tasmin
34,18.7820757022434,16.402711690266944,21.706918589274125,tasmin
35,18.88829213799373,15.91663920084637,23.374974670410182,tasmin
36,18.869929072062195,15.549595642089875,22.9023994445801,tasmin
37,19.08880291578507,15.944609324137398,23.05102630615238,tasmin
38,18.942260542127837,16.061137695312528,23.162626139322935,tasmin
39,18.75366559007434,16.185080464681022,22.576459859212264,tasmin
40,18.949493847317186,16.445998840332056,21.710105794270856,tasmin
41,19.188473610772046,17.118936614990265,21.90720489501955,tasmin
42,19.27028597344294,16.644513549804696,23.842174631754563,tasmin
43,19.433973907470723,16.425325826009118,24.187629852294958,tasmin
44,19.667659908718562,16.222889862060583,24.961507161458353,tasmin
45,19.549644259982657,15.690481160481804,24.275191497802762,tasmin
46,19.441418207804386,15.961627960205115,24.74320393880212,tasmin
47,19.093026112874377,15.7297578430176,24.614621225992863,tasmin
48,18.88034619818796,15.507791595459016,24.575259653727233,tasmin
49,18.69772292412654,15.52912343343103,24.657048746744824,tasmin
50,18.50802935791018,14.933037770589229,22.680324045817088,tasmin
51,18.88845926751033,14.600270996093778,23.295759175618503,tasmin
52,19.456162870619053,14.928135782877632,24.250212402343777,tasmin
53,19.4235920935737,15.828392740885429,24.150453389485715,tasmin
54,19.527574350992868,14.917891591390003,24.163114725748738,tasmin
55,19.680417060004363,13.275674540201853,22.034033966064488,tasmin
56,19.755905590481248,12.376834004720072,24.169945271809905,tasmin
57,19.736520733303514,13.313224589029971,23.629017283121772,tasmin
58,20.14635463121204,16.27240041097009,24.60703308105472,tasmin
59,19.94444082472062,15.117701721191443,23.454828135172544,tasmin
60,20.205731867472352,17.518233846028675,23.549057922363307,tasmin
61,20.69329578145347,17.76665084838869,25.396314137776717,tasmin
62,20.670512556288006,18.019799652099625,23.953446146647178,tasmin
63,20.743052517361132,18.568596496582046,24.04725489298504,tasmin
64,20.679860383775516,18.444582824707055,23.645703582763712,tasmin
65,20.777948011610263,18.33942672729492,24.01981023152671,tasmin
66,21.134311977810352,18.978649749755885,24.357145741780624,tasmin
67,21.37683796183271,18.05545837402346,24.296699320475284,tasmin
68,21.60421073913576,18.34181177775066,24.358947347005245,tasmin
69,21.467101672702384,17.886237792968757,24.71432927449546,tasmin
70,21.232842408922004,17.7453094482422,24.09540654500329,tasmin
71,20.79374248080786,17.843429718017603,23.868915506998707,tasmin
72,20.51571027119957,16.903179016113295,23.034916737874386,tasmin
73,20.451484378390866,16.72130630493167,22.789342244466166,tasmin
74,20.497058658176012,16.817244517008486,23.072552490234386,tasmin
75,20.94935519748266,17.28912765502932,23.869962666829462,tasmin
76,21.050065222846158,17.876453704834006,22.790525868733766,tasmin
77,21.2243262668186,18.392697143554717,23.886728668212914,tasmin
78,21.510517544216597,18.66994232177738,23.665754699707048,tasmin
79,21.798429455227343,19.344136759440136,23.83063044230146,tasmin
80,21.82922628784182,20.27046981811527,24.30004776000978,tasmin
81,22.24097175370961,20.68158574422203,26.09820348103843,tasmin
82,22.184492752075222,20.606871643066437,24.56217778523765,tasmin
83,22.543304183959982,20.700965321858757,24.53297581990563,tasmin
84,22.575114746093774,20.291410725911476,25.459357452392606,tasmin
85,22.633474127875456,19.4153109232585,26.203221079508484,tasmin
86,22.770829299926778,19.829734141031924,25.836054941813178,tasmin
87,22.883720436943925,19.589198150634786,25.2785463968913,tasmin
88,23.176172039184596,20.762173004150412,25.759028523763032,tasmin
89,23.512150207519554,20.777960611979182,26.33728942871097,tasmin
90,23.598152674357117,20.76314407348637,25.58448740641279,tasmin
91,23.814008473714217,21.507417297363304,25.69512985229494,tasmin
92,24.016937550523565,21.325448710123727,26.003199717203785,tasmin
93,23.855121465047226,21.15248112996423,26.17354863484702,tasmin
94,23.91115322367353,21.507231953938817,26.837510070800807,tasmin
95,24.123426332261854,21.468044484456403,26.680762329101594,tasmin
96,24.24915447658965,21.23909052530927,26.89442515055339,tasmin
97,24.144410629272485,21.603443349202497,25.36861689249676,tasmin
98,24.379300704956076,21.932938842773456,25.57603322347008,tasmin
99,24.795280317518472,23.486979166666686,26.155715688069677,tasmin
100,24.624972718980604,22.771266021728547,26.615837656656918,tasmin
101,24.609352479722794,23.23579457600913,26.778587188720717,tasmin
102,24.721362380981464,23.1257881164551,26.63331960042321,tasmin
103,24.745704617529995,23.353890228271506,27.44899922688802,tasmin
104,24.95528947448732,22.811626790364603,27.800533142089865,tasmin
105,25.18082846069338,22.353367106119844,28.120721282959,tasmin
106,25.07630083719891,22.73493957519536,27.78366724650066,tasmin
107,25.222211001926016,22.80495417277021,27.47992411295574,tasmin
108,25.10227418687611,23.36763473510744,27.654622141520207,tasmin
109,25.047187335035552,23.11820246378583,27.671010996500666,tasmin
110,24.876161800808404,23.013628946940127,28.19503657023115,tasmin
111,24.888014261881537,22.895078125000015,27.65999059041344,tasmin
112,24.950896945529546,23.192586771647154,27.171729583740262,tasmin
113,24.97703361680775,23.263762410481792,27.561882069905618,tasmin
114,25.18183838738338,23.59882766723636,27.885181935628292,tasmin
115,25.20665025668677,24.249683176676466,27.602223459879582,tasmin
116,25.278534888373496,24.407352905273466,27.33743520100914,tasmin
117,25.242960545857773,23.811299896240268,27.072507731119817,tasmin
118,24.981603590223543,23.774664916992197,27.069622802734415,tasmin
119,25.033191945393906,23.662465159098332,27.251078745524115,tasmin
120,24.901240203857448,23.61042439778649,27.917465464274112,tasmin
121,25.121910015530077,23.464453531901057,27.790945790608742,tasmin
122,25.191845877753384,23.158370005289736,27.15909439086916,tasmin
123,25.14693147277835,23.41050292968752,27.40674402872723,tasmin
124,25.0788921084934,23.774057159423858,26.86755055745444,tasmin
125,25.17716655646432,23.90750762939457,27.630632273356138,tasmin
126,24.823524666680257,23.67851247151694,27.259905293782577,tasmin
127,24.776533920288106,23.324857177734412,26.824348602294947,tasmin
128,24.750363171047653,22.871556091308623,26.67363169352215,tasmin
129,25.06297837320966,23.164929504394554,28.088088328043643,tasmin
130,25.205350779215514,23.876793619791687,27.121017557779965,tasmin
131,25.23057132636179,24.228258768717456,27.765117543538434,tasmin
132,25.255514138014075,24.13210347493491,27.60715143534341,tasmin
133,25.29380737135148,23.711707407633508,27.514090220133482,tasmin
134,25.606322311401392,24.22171707153322,27.65177190144861,tasmin
135,25.450027228461398,23.9622248331706,27.389018758138064,tasmin
136,25.398375874837264,23.494681294759136,27.572753702799503,tasmin
137,25.4399631873237,23.65847386678063,27.489278920491568,tasmin
138,25.503804838392494,23.734174499511727,28.15743484497072,tasmin
139,25.424904742770746,23.767944081624375,26.976025797526052,tasmin
140,25.63424639214412,23.6199211629232,27.351775004069037,tasmin
141,25.61090127902563,23.74394414265954,27.134357452392607,tasmin
142,25.56295959981285,23.808100026448596,27.051977132161483,tasmin
143,25.365869299994596,23.837886657714876,26.85589375813804,tasmin
144,25.499074140760666,23.93224817911788,26.99105946858727,tasmin
145,25.380179729885548,23.929578959147165,26.429374338785834,tasmin
146,25.41970394388837,23.79007283528649,26.3828535461426,tasmin
147,25.414638029310467,23.942997029622422,26.485420888264997,tasmin
148,25.528681654188397,23.675712585449247,26.763374582926456,tasmin
149,25.47244266933867,23.75120203653974,27.76229309082034,tasmin
150,25.29172753397626,22.916178538004583,27.02645177205406,tasmin
151,24.904514529758053,22.296936187744166,27.360311075846358,tasmin
152,24.9122093132867,22.0987851460775,26.338566741943385,tasmin
153,25.290669918484184,21.67832412719729,27.324797414143905,tasmin
154,25.430158669365806,22.018630727132187,28.340381062825543,tasmin
155,25.66314154052737,21.521412913004582,28.107066090901707,tasmin
156,25.68499222479929,20.12466913859052,28.49958867390953,tasmin
157,25.940448055691213,22.771773122151718,28.315483601888058,tasmin
158,26.0092146725125,22.15836975097658,28.693453826904317,tasmin
159,26.17971205647789,22.26235661824548,28.53670262654624,tasmin
160,26.08068241204158,22.756363169352237,28.684856669108097,tasmin
161,26.073868019951735,22.877394816080738,28.471764424641957,tasmin
162,25.924839392768035,21.459535064697274,28.570377400716172,tasmin
163,26.292465728759787,22.354612782796256,28.80225575764976,tasmin
164,26.23843887329104,22.450422312418635,28.9519970194499,tasmin
165,26.30125458102758,23.019742177327487,28.682298787434927,tasmin
166,26.385318915473114,23.927898763020863,29.01577926635744,tasmin
167,26.469795069376648,23.007669067382853,28.88271540323895,tasmin
168,26.264804248385975,22.34468760172528,28.88539805094403,tasmin
169,26.438330671522372,22.59558766682946,29.085165354410833,tasmin
170,26.708761574639237,22.793678843180356,29.48123397827152,tasmin
171,26.882202957424614,21.55352834065758,29.296590067545583,tasmin
172,26.890638676961284,23.543485819498727,29.149899342854848,tasmin
173,26.873109617445227,22.448903910319036,29.131866556803413,tasmin
174,26.899415490315775,23.075228271484406,29.125254160563173,tasmin
175,27.124121665106905,24.253204142252645,29.462468363444042,tasmin
176,27.031584796481685,22.531577250162787,28.749043019612646,tasmin
177,27.311858461168097,23.608353474934926,29.672292327880893,tasmin
178,27.33391087680395,24.5227306111654,29.317550811767614,tasmin
179,26.887560404459656,24.423959503173858,29.457526957194023,tasmin
180,26.77932649230959,22.95895294189457,28.9479042053223,tasmin
181,26.386037445068382,22.773595326741553,29.211545562744163,tasmin
182,26.721478507147925,23.683143157958995,29.7034281921387,tasmin
183,26.588439958360482,24.022449188232446,29.185830688476596,tasmin
184,26.477713980780734,24.28402364095054,29.533337809244813,tasmin
185,26.467754260593015,23.135133107503275,29.367084197998064,tasmin
186,26.13941987779408,23.63327468872073,29.325583902994804,tasmin
187,25.949830381605384,23.670533498128275,29.267633870442733,tasmin
188,25.887442477756096,23.55555063883465,29.789073282877638,tasmin
189,25.9831175893148,22.862324879964206,30.225809682210297,tasmin
190,25.73419342719186,23.778388214111345,28.517994232177756,tasmin
191,25.382414552476696,22.878264261881544,28.559952036539727,tasmin
192,25.579609430948917,23.71221298217775,27.849890187581405,tasmin
193,25.76535087924536,24.12895680745446,28.915455780029323,tasmin
194,25.633182886759467,23.93016128540042,29.063000233968108,tasmin
195,25.40613855658639,23.808827718098986,27.748993784586606,tasmin
196,25.420399019029432,23.089426625569683,27.896955362955755,tasmin
197,25.4288150889079,22.903247578938817,28.039229431152364,tasmin
198,25.16431444464792,22.784144083658884,27.67650029500327,tasmin
199,25.2583098754883,23.41902933756512,26.958050740559912,tasmin
200,25.514321031358527,23.406695302327506,27.842391052246125,tasmin
201,25.779953818427217,23.090292816162133,28.295323232014994,tasmin
202,25.395836749606687,23.445648956298857,27.793480682373076,tasmin
203,25.041664082845077,21.915390777587902,27.923724721272805,tasmin
204,25.139663779364714,23.667988332112646,27.559635518391957,tasmin
205,25.03174979146324,23.847309824625672,26.517067362467476,tasmin
206,25.10292978583444,24.02847005208335,26.798530273437525,tasmin
207,25.12685279337568,23.424605967203803,26.82403203328452,tasmin
208,25.164271775987434,23.106498006184932,26.65963500976565,tasmin
209,25.141976343790713,23.309831542968784,26.416141001383476,tasmin
210,24.989001941257076,23.879518330891944,26.30195317586264,tasmin
211,25.059586715698266,24.21859095255536,26.30612823486329,tasmin
212,25.028756605360265,23.069936116536486,26.91020584106447,tasmin
213,24.88451421610517,22.82269271850588,25.912864125569683,tasmin
214,24.960963729858413,23.128468322753935,27.447798309326185,tasmin
215,24.782333353678407,23.095524342854834,26.221543121337902,tasmin
216,24.953305379231786,24.108643493652362,26.204256947835308,tasmin
217,24.929946626756482,23.65816416422528,25.982685912068707,tasmin
218,25.09858063252769,23.207281188964856,27.0641412862142,tasmin
219,25.232736858791796,22.368967590332044,27.453170776367205,tasmin
220,25.02292800564238,22.24530075073243,27.24572219848635,tasmin
221,25.199116644965297,22.25353541056316,27.12899795532228,tasmin
222,25.141164722018797,22.04715713500978,26.51593465169273,tasmin
223,25.138244659423847,23.10992228190106,27.037456766764354,tasmin
224,25.269143725925048,23.67277501424155,27.135922495524124,tasmin
225,25.12393240356448,23.326769053141316,26.751391296386732,tasmin
226,25.375196906195768,23.469332936604854,26.912977956136086,tasmin
227,24.962669825236027,22.171755065917996,26.37041417439779,tasmin
228,24.91433664618601,22.371074422200536,27.075445505778003,tasmin
229,24.899756986829992,22.39479838053387,26.385157216389995,tasmin
230,24.99318431260853,23.03617599487306,26.215328776041684,tasmin
231,24.934269682142496,22.312560119628927,26.19901560465496,tasmin
232,24.98832902526858,22.55557123819989,26.76563613891604,tasmin
233,24.844718934800916,22.688191019694035,26.20909912109377,tasmin
234,24.83936853027346,22.413808339436873,26.071208140055365,tasmin
235,24.76416648864749,22.318343098958376,26.155783996582063,tasmin
236,24.60769590589738,22.810371398925792,26.315871531168643,tasmin
237,24.87987584092884,22.825006306966163,27.45107192993167,tasmin
238,24.640605446709547,22.636119028727222,27.107227579752646,tasmin
239,24.443434187147375,22.748654429117853,26.226423645019555,tasmin
240,24.51265365431046,23.462152862548844,25.905369720459003,tasmin
241,24.42473970370825,22.47654612223309,26.17117462158207,tasmin
242,24.274145124647376,22.237674662272156,25.972249654134146,tasmin
243,24.0948016103109,21.520107981363953,25.748762105306014,tasmin
244,24.0830293273926,21.82930460611982,25.989737294515,tasmin
245,24.25015710788305,22.472879638671902,26.14675867716473,tasmin
246,24.2780504082574,23.084608306884775,26.46063227335615,tasmin
247,24.173632332695878,23.109672749837245,26.06569168090822,tasmin
248,23.974272301567947,22.678066050211623,25.910129852294943,tasmin
249,24.13270663621693,22.595860799153673,25.799821879069032,tasmin
250,24.19805707634822,22.582521209716827,25.728489990234408,tasmin
251,24.16125521681046,22.492590433756522,25.706948496500672,tasmin
252,24.090230577256968,21.941876271565786,25.411189829508487,tasmin
253,24.06567215813533,21.77266260782879,25.351529439290363,tasmin
254,24.273859966701956,22.484362284342478,25.66783630371097,tasmin
255,24.408274702284096,22.793979949951204,25.754918212890647,tasmin
256,24.274342793782573,22.843749643961605,26.55648513793947,tasmin
257,24.355555019802537,22.63623606363936,26.018945109049497,tasmin
258,24.189238271077507,22.75629994710289,25.6261548360189,tasmin
259,24.219156032986135,22.790556945800784,25.81969395955407,tasmin
260,24.25065755886504,22.791304117838564,25.426740570068375,tasmin
261,24.272085244072837,22.762443491617848,25.629641723632858,tasmin
262,24.1341537136502,21.48693181355797,25.330651906331383,tasmin
263,24.24700188530819,22.62783060709638,26.041004028320334,tasmin
264,24.46464237976077,22.24290552775067,26.33377360026043,tasmin
265,24.599526865641298,22.44705581665041,27.03401652018231,tasmin
266,24.735547125922327,23.067254384358744,26.412513173421246,tasmin
267,24.548635833841974,22.6039110819499,26.856184844970716,tasmin
268,24.718123962402373,22.582496236165383,27.743249867757175,tasmin
269,24.631479943169506,22.777206929524766,27.1314548746745,tasmin
270,24.79391307237415,22.096938883463576,27.02694925944013,tasmin
271,24.930197002834767,23.08451563517256,26.508560892740906,tasmin
272,24.79332695007327,22.700188954671244,26.609933064778676,tasmin
273,24.537139465332057,22.18691106160485,26.57679539998375,tasmin
274,24.77191443549264,23.232580617268912,26.701335093180365,tasmin
275,24.865982796563063,22.76493708292645,27.297094319661483,tasmin
276,24.9785175889079,22.187892659505223,27.530192718505884,tasmin
277,25.05680430094403,22.48050562540691,27.60826192220055,tasmin
278,25.216125993516737,23.47140324910484,26.85594055175784,tasmin
279,25.207560526529967,22.795834604899095,26.79089401245118,tasmin
280,25.2831098649767,23.14630788167319,27.730158538818387,tasmin
281,25.44328412712947,23.10941497802737,27.7589454142253,tasmin
282,25.48672976345488,22.169993336995464,27.917799326578802,tasmin
283,25.732894309149874,22.104565836588563,29.325566202799497,tasmin
284,25.894924096001542,23.740258687337274,28.443608194986997,tasmin
285,26.070247906155085,23.53762781778973,28.725287170410184,tasmin
286,25.89777961391875,23.053637797037783,28.378993733723963,tasmin
287,25.97958549499514,24.626515909830754,27.74605682373048,tasmin
288,25.880871970282687,23.194477132161484,28.28736775716148,tasmin
289,25.87686631774905,22.145747426350937,28.236899312337254,tasmin
290,25.717782987806554,22.040650685628265,27.905985717773472,tasmin
291,25.535384858873176,21.903113911946633,27.660659739176463,tasmin
292,25.796897064209006,23.150264739990252,28.86550710042319,tasmin
293,25.60115462239585,23.458054809570324,28.140950927734394,tasmin
294,25.781998058742975,22.427322642008495,28.288796437581407,tasmin
295,25.555763782077385,22.16755274454754,28.01901631673179,tasmin
296,25.714254960801885,21.98934763590496,27.925864359537787,tasmin
297,25.594382402208137,21.34286041259769,28.07944203694665,tasmin
298,25.926802517361136,22.043223876953146,28.825088806152376,tasmin
299,26.0402958967421,22.59993448893232,27.975790761311874,tasmin
300,25.704791459825326,22.66157948811849,28.079280497233082,tasmin
301,25.61259612358943,22.107830301920604,28.491056315104185,tasmin
302,25.18018975151912,21.913477427164736,28.874162139892604,tasmin
303,25.397788430107987,20.175802866617857,28.970541636149107,tasmin
304,25.08506035190161,20.23141499837243,28.405198567708357,tasmin
305,24.452796534220404,18.400354258219437,27.413092447916682,tasmin
306,23.833046500311976,17.509484812418645,26.796272481282575,tasmin
