day,mean,min,max,var
1,16.21379509667293,12.914401550293007,18.33465321858725,tasmin
2,16.011334808519173,13.17603607177737,18.175937906901066,tasmin
3,15.997975226508272,12.787307739257832,18.465000915527384,tasmin
4,15.975467998928517,13.20830368041996,18.035173441569015,tasmin
5,16.18049303860137,14.530638224283877,17.84144246419272,tasmin
6,16.168904425727018,13.187894592285176,18.258721415201837,tasmin
7,16.049830181715244,13.065861002604189,18.33949432373049,tasmin
8,16.343748558603945,14.39433736165365,19.1460196431478,tasmin
9,16.875262666659907,13.924676106770855,21.221939798990928,tasmin
10,17.100593227810357,14.852394053141305,22.538451436360713,tasmin
11,17.623876217312297,14.772068481445322,22.143626505533877,tasmin
12,17.46000951105756,13.957379150390656,21.54025344848635,tasmin
13,17.229344709608313,15.021432393391953,22.032348836263044,tasmin
14,17.373937174479188,14.66537546793622,22.451142272949237,tasmin
15,17.22249664306643,14.639800516764344,23.068316446940116,tasmin
16,16.91622320387101,14.388819936116562,22.9386868286133,tasmin
17,16.946810406155084,13.604425252278673,22.62769526163739,tasmin
18,17.101782241923036,13.960713195800802,22.1668448923747,tasmin
19,17.659220279015457,14.579481760660835,21.631189880371114,tasmin
20,17.80298736716379,14.691921793619827,21.550195871988944,tasmin
21,17.88517737469146,14.90758600870771,21.12680328369144,tasmin
22,17.66916705123903,13.479226175944026,20.540104573567714,tasmin
23,17.65409641977948,11.965382843017608,21.029814147949242,tasmin
24,17.547439628635004,13.220782318115264,20.848979288737013,tasmin
25,17.709053688083248,14.683839925130238,20.906106058756546,tasmin
26,17.88114187540692,14.45635004679364,21.495406799316413,tasmin
27,18.001063168877515,15.78171976725262,21.546597849528013,tasmin
28,17.906631244235587,15.562309265136738,21.56740224202476,tasmin
29,18.162565563625776,15.56265996297203,21.597935892740917,tasmin
30,18.326162602742535,14.602267710367878,21.69043019612633,tasmin
31,18.178273321940132,14.631733093261763,21.56454549153649,tasmin
32,17.9428661258952,14.771329701741555,21.128173929850288,tasmin
33,18.108515360243082,15.584464772542333,21.465873819987014,tasmin
