day,mean,min,max,var
1,15.336877339681015,13.598460083007836,16.9780453491211,tasmin
2,15.258215137057856,12.304513295491555,17.10112660725912,tasmin
3,14.906261620415608,12.533485921223985,17.881782836914095,tasmin
4,15.032059736463783,13.276867268880238,16.647611490885424,tasmin
5,15.278344936794726,13.16546630859377,16.762337443033875,tasmin
6,15.429032801310244,12.878819071451849,17.52109400431316,tasmin
7,15.757813617452008,12.605849202473982,18.56372680664065,tasmin
8,16.094959602576385,12.238508300781263,19.697158660888686,tasmin
9,16.19583148298478,12.459430338541685,21.030696544392942,tasmin
10,16.122143844604512,12.764219767252635,21.520496114095078,tasmin
11,16.372826894124373,12.790227254231809,21.56430948893232,tasmin
12,17.382563061184374,14.455583190917991,21.80427246093753,tasmin
13,16.737791693793426,13.155744934082065,21.43555297851562,tasmin
14,17.143432461208796,14.624220733642602,20.364725392659533,tasmin
15,17.446598900689043,13.585632731119821,21.524177246093775,tasmin
16,17.144079679938447,14.70134211222333,21.94697291768396,tasmin
17,17.05545127699112,14.496324106852228,21.03659784952802,tasmin
18,16.948883607838972,13.525578409830766,21.66949712117518,tasmin
19,16.73708709570993,12.886687215169284,21.901364898681653,tasmin
20,16.82574201795792,12.27578292846683,21.253816579182967,tasmin
21,16.934130850897915,12.200866292317727,20.83340113321941,tasmin
22,16.947906858656165,12.552986653645869,21.319444427490243,tasmin
23,17.097511978149438,12.726773071289093,21.63892786661785,tasmin
24,17.61121389261884,13.88432088216148,21.332832132975284,tasmin
25,17.196821893819198,14.047310180664084,22.281458623250348,tasmin
26,17.099651763203962,14.011150054931656,20.758775533040374,tasmin
27,17.08988091871476,13.915936177571629,20.849630381266298,tasmin
28,17.2053419969347,14.607245635986354,20.104503784179702,tasmin
29,17.01339080132381,14.814510904947932,20.46621465047204,tasmin
30,17.488622029622416,14.736056009928404,20.617048238118514,tasmin
31,17.665619057549396,13.977779642740908,21.785954640706404,tasmin
32,18.034561825222458,14.422945454915379,22.742974395751975,tasmin
33,18.356935775756863,15.273036244710303,22.398010711669958,tasmin
34,17.94442598639597,15.049426523844403,21.22211298624678,tasmin
35,17.851840368075916,14.899519856770857,21.33038894653323,tasmin
36,17.92451232615155,15.107232971191442,22.30401673685709,tasmin
37,17.89881306671145,15.013883158365909,22.30401673685709,tasmin
38,18.065834874911857,15.161116587320976,22.020304985555004,tasmin
39,18.063285160081673,15.345979614257837,21.55732889811199,tasmin
40,17.923547278510224,14.92964075724285,20.90280746459963,tasmin
41,18.3286351674398,15.0945844014486,22.758154195149775,tasmin
42,18.89444391038685,15.932671559651718,22.800651601155646,tasmin
43,19.195451841566317,15.78670720418296,23.16283233642581,tasmin
44,19.428418438381645,15.248658803304068,23.25069244384767,tasmin
45,19.29420987955732,15.249179229736361,23.30478790283206,tasmin
46,19.208994459364174,15.1795535786947,22.980781707763697,tasmin
47,19.02604580008615,15.453608347574905,22.96610692342125,tasmin
48,18.71648612297908,15.498104095459022,22.506521097819018,tasmin
49,19.06688812594946,14.936417338053408,23.67495493570966,tasmin
50,19.63756968349883,15.635866038004584,23.607527364095063,tasmin
51,19.59923984951446,15.234361267089886,23.595383402506542,tasmin
52,20.04339547756621,15.75285878499353,23.705285898844426,tasmin
53,19.98046059163414,15.629860941569035,24.327548268636104,tasmin
54,20.171759967380122,16.273245493570993,24.073466949462915,tasmin
55,19.893022902018252,15.582004140218126,24.0189326558431,tasmin
56,20.22724513414174,16.503925374349006,23.2754192097982,tasmin
57,20.131093317667666,16.73143295288089,22.7324664306641,tasmin
58,20.62724766201445,17.223065185546886,23.834702301025413,tasmin
59,20.712079174465632,17.723773905436207,22.995587819417363,tasmin
60,20.40410967848039,17.845156911214218,23.150602416992218,tasmin
61,20.325870288425048,17.891090393066435,23.129344940185575,tasmin
62,20.412391372680688,18.23004923502607,23.51477956136071,tasmin
63,20.417106770697718,17.29581883748374,23.728007096354144,tasmin
64,20.855061704711936,17.52585332234703,24.375034383138058,tasmin
65,20.961534420301668,17.29013442993166,23.69142557779951,tasmin
66,21.384816519843238,17.125004018147802,23.930545857747433,tasmin
67,21.550606918199346,15.940509541829442,24.07446782430016,tasmin
68,21.991777555542008,16.4096340942383,24.440662790934283,tasmin
69,21.81418798489044,17.279472910563168,25.09968414306643,tasmin
70,21.569080339745433,17.641141815185563,23.864917297363302,tasmin
71,21.287393585205095,17.372743835449228,23.65995107014976,tasmin
72,20.9668706267124,17.487343292236346,22.712438863118525,tasmin
73,21.01623954259239,18.945646107991553,21.729348246256535,tasmin
74,21.18555342942982,18.705000813802105,21.99523203531903,tasmin
75,21.617887090047223,19.31253417968752,23.44186472574872,tasmin
76,21.986503392537465,19.209132690429715,24.241649169921914,tasmin
77,22.021545030381965,19.3574060058594,24.004720306396507,tasmin
78,22.264920015123177,21.063230641682974,24.17658859252934,tasmin
79,22.233855376400438,20.816917877197294,24.439241156514516,tasmin
80,22.74636494784887,20.631607411702504,25.574468790690144,tasmin
81,22.4847917480469,20.34431360880535,24.53212443033857,tasmin
82,22.602032780965192,20.567880605061863,24.653067626953135,tasmin
83,22.566425783267576,20.73669677734377,24.879467163085963,tasmin
84,22.416802334577792,20.482435404459636,24.883818165588377,tasmin
85,22.629707897610157,19.751596323649096,24.617296346028667,tasmin
86,22.504733708699565,19.703283335367843,25.113880360921247,tasmin
87,22.724344729037846,19.658496602376335,24.194446383666985,tasmin
88,22.877626035224086,19.612887573242215,24.731786142985055,tasmin
89,23.243458602905296,21.060640055338563,25.176493275960297,tasmin
90,23.437807946879094,20.351544799804703,25.123894856770857,tasmin
91,23.142670676337378,20.414471486409543,25.17555760701501,tasmin
92,23.29236729770238,20.909047597249383,26.302681274414073,tasmin
93,23.505103352864612,20.65454518636069,26.748253377278683,tasmin
94,23.855674451734778,21.16108500162761,27.742201681518555,tasmin
95,24.16699588490807,22.074990234375036,27.45125147501629,tasmin
96,24.397641433715844,21.337927500406938,28.412550099690765,tasmin
97,24.383908626980272,20.953843231201205,26.92872828165692,tasmin
98,24.446124178517678,21.170070953369173,27.229678243001313,tasmin
99,24.536602864583358,21.210481414794952,27.085355885823578,tasmin
100,24.551736970689586,21.174984486897813,27.399244435628265,tasmin
101,24.789726042700888,22.64776824951174,27.256886901855484,tasmin
102,25.044695652245434,22.99905298868818,27.902123636372874,tasmin
103,25.086299250946066,23.318350219726586,27.22403793334963,tasmin
104,24.70751707967124,22.136840515136754,26.7302836608887,tasmin
105,24.59234063042537,21.630586090087927,26.26645329793296,tasmin
106,24.60649366487293,23.162790883382183,26.298862762451204,tasmin
107,24.699345917002383,23.343777923584003,27.56294683583577,tasmin
108,24.8828151783244,22.54201410929365,27.620550829060864,tasmin
109,25.096252225646992,23.196803741455085,27.620550829060864,tasmin
110,24.968140052914112,22.75877410888673,27.215579913838713,tasmin
111,24.798285222371437,23.36763000488284,26.983438161214206,tasmin
112,24.93193213568795,24.059008280436217,27.15529078165692,tasmin
113,24.971810740153025,22.711788126627635,27.029309438069685,tasmin
114,25.10250178087025,23.644358469645187,27.280224965413435,tasmin
115,25.182077314588778,23.704647471110054,26.84985707600913,tasmin
116,25.207937979431176,23.792737528483087,26.604092712402366,tasmin
117,24.91784416330976,23.327734527587904,28.16565296325685,tasmin
118,25.120954114752895,23.615399729410843,27.759812927246116,tasmin
119,25.07317819552953,23.61601547241213,26.168834584554066,tasmin
120,25.26308507113989,23.487184448242203,26.882463836669956,tasmin
121,25.200265249938987,23.43420552571617,26.420444223022475,tasmin
122,25.038761399637874,23.50676457722984,26.74192530314131,tasmin
123,24.72106819491918,23.444252878824898,26.04649963378908,tasmin
124,24.780489088270425,23.543692677815766,25.970465189615897,tasmin
125,25.107867994520422,23.82023549397789,26.33596313476565,tasmin
126,25.081832817925374,23.144441070556656,27.120259908040385,tasmin
127,25.272735507541256,23.500131530761745,26.861064554850277,tasmin
128,25.29476922946508,23.086101430257163,27.054982554117856,tasmin
129,25.476720781114395,23.80522079467775,28.049862213134787,tasmin
130,25.33142283460831,23.684306945800802,26.44386342366538,tasmin
131,25.153929275512724,23.691401316324896,26.41466862996421,tasmin
132,25.046959325154642,23.86294118245445,26.546945444742857,tasmin
133,25.391410552978538,23.952930094401058,26.74553766886397,tasmin
134,25.136197823418527,23.669684906005887,26.54286666870119,tasmin
135,25.185978943464516,23.906048990885438,27.0414718805949,tasmin
136,24.97520078421701,23.778252766927107,26.599777119954457,tasmin
137,25.056829577908008,23.407440592447937,26.816184031168643,tasmin
138,24.95443021250409,23.4556498718262,26.423324635823587,tasmin
139,25.123089952256965,23.49255172729495,26.70310145060223,tasmin
140,25.156291709052212,23.324527282714865,27.882036183675144,tasmin
141,25.164890695580404,23.895889689127625,27.30274254506433,tasmin
142,25.068693205820743,23.64389928181968,26.327112121582058,tasmin
143,25.085766293504534,23.51872446695965,25.840098012288433,tasmin
144,25.28947192772762,23.74280075073243,26.073073577880894,tasmin
145,25.027252368740527,24.320549163818384,26.00071797688804,tasmin
146,25.07376177878488,24.279520721435564,26.637695922851588,tasmin
147,25.392568329552567,23.91870315551761,26.7956846827189,tasmin
148,25.826304169989715,24.39379155476891,27.33962519327801,tasmin
149,26.001344273885113,24.823104095459012,26.926484273274763,tasmin
150,25.759640111287464,23.979765268961614,27.544526265462263,tasmin
151,25.796580340864413,24.3920030721029,27.800137022399895,tasmin
152,25.79595401509605,23.289031982421893,27.486664123535167,tasmin
153,25.96697537580705,23.66640833536785,28.39909424133299,tasmin
154,25.998211303727917,24.273691558837914,29.640006409200026,tasmin
155,26.119890343560133,24.09135004679365,28.50876429239911,tasmin
156,26.09098096688167,23.718724110921226,28.49692250569662,tasmin
157,26.0574068213569,24.11793375651043,28.375867818196628,tasmin
158,26.434503879123287,24.436748708089198,28.187785288492847,tasmin
159,26.397684126112217,24.46734446207684,27.77301132202149,tasmin
160,26.717894554867236,23.678859507242862,28.30744160970055,tasmin
161,26.683830490112324,24.479254506429054,28.309670155843122,tasmin
162,26.629846213277197,25.116763661702493,27.714338887532573,tasmin
163,26.944901207648403,25.06118601481121,28.61113469441734,tasmin
164,26.797484918179006,23.65613555908207,28.208233235677113,tasmin
165,26.736120339287673,24.886323394775417,28.596674397786472,tasmin
166,26.87865361531578,24.46547200520836,28.427937622070335,tasmin
167,26.870151260375994,24.037142893473355,28.299483744303405,tasmin
168,27.013196553209124,22.633670857747415,30.62482466634117,tasmin
169,26.820817160373288,23.24785919189455,29.28497583007815,tasmin
170,27.097109354654965,24.601083577473986,28.387898508707696,tasmin
171,26.930408663313145,24.845693511962917,28.312539571126326,tasmin
172,26.940814020792665,24.22147598266605,28.29291020711264,tasmin
173,27.13778166015627,24.121242574056026,28.564877065022824,tasmin
174,27.346322343478757,24.922584025065134,28.670797526041696,tasmin
175,27.45189953260636,24.926598459879585,29.026589605712918,tasmin
176,27.220109120025658,24.534880930582716,28.401838664245616,tasmin
177,27.37507103045996,24.67975102742515,28.355009969075525,tasmin
178,27.262244326222756,25.06945627848309,28.027484181722013,tasmin
179,27.280046110365152,23.496417490641317,28.658954874674492,tasmin
180,27.27715371025936,23.98715754191083,28.22769139607749,tasmin
181,27.380909929063602,23.951255798339872,28.347174682617208,tasmin
182,27.368119782036697,24.05038263956709,28.35176808675133,tasmin
183,27.24216926628963,24.840212148030616,28.18918421427411,tasmin
184,27.079022137654647,24.336463317871125,28.144868316650406,tasmin
185,27.055865168117972,24.404380544026708,28.058594156901062,tasmin
186,26.960034179687526,24.81525466918947,27.99585367838544,tasmin
187,26.824190498250346,24.771511332194034,28.259931945800787,tasmin
188,26.59458483973187,24.726039937337276,27.84685180664066,tasmin
189,26.173057264539953,24.056566467285176,27.596089833577498,tasmin
190,26.08671338229711,23.347463073730477,27.482136484781922,tasmin
191,26.16924972596912,23.12794397989911,27.654172483825693,tasmin
192,26.06765347980078,22.61440434773765,27.383946024576847,tasmin
193,26.13119283923681,24.103321990966805,27.531908620198568,tasmin
194,26.028124680192764,23.58595377604168,27.743704579671242,tasmin
195,26.29172989908857,23.957807362874366,27.763411051432314,tasmin
196,26.290554661204045,24.109088541666694,27.62075403849285,tasmin
197,25.98054355536569,23.733888905843127,27.72078557332358,tasmin
198,25.876684627092175,23.570569407145218,27.41494766235354,tasmin
199,25.879814541286915,23.094610900878934,27.67988138834637,tasmin
200,26.01161924996273,24.372113087972025,27.63672434488936,tasmin
201,25.54743683792117,23.721304321289097,27.170182037353538,tasmin
202,25.55307036419341,23.602964528401724,27.933815968831397,tasmin
203,25.680396930270753,23.517420247395865,27.239562123616565,tasmin
204,25.429366153784883,23.502437184651722,27.470095433044445,tasmin
205,25.515697634023056,23.610887349446642,26.89255086263024,tasmin
206,25.542858086666556,24.418552652994816,26.900355428059907,tasmin
207,25.572228954739064,24.330826619466176,27.17033828735354,tasmin
208,25.23953948694867,24.19693008422854,26.420366770426444,tasmin
209,25.252837994639105,24.225239766438836,26.19435843658445,tasmin
210,25.310460627831375,23.930043182373083,26.416475321451845,tasmin
211,25.510725813123933,24.160505167643237,26.486094614664722,tasmin
212,25.351487824079744,23.870029754638704,26.379201863606777,tasmin
213,25.31610335684884,22.827027028401698,26.743236999511737,tasmin
214,25.426141060723225,23.87111017862959,26.559063873291034,tasmin
215,25.395291742960634,23.63855336507163,26.59079915364585,tasmin
216,25.399229614257834,24.065062611897797,26.649376780192075,tasmin
217,25.4542189378018,23.93190831502282,26.507026824951208,tasmin
218,25.57187590535484,24.287087097167984,26.51110875447594,tasmin
219,25.566802617390973,24.542348988850943,26.560945638020854,tasmin
220,25.24787133789065,23.72250289916993,26.21348861694337,tasmin
221,25.286409501817513,24.09951695760093,26.182898000081405,tasmin
222,25.37322107103138,23.63943756103517,26.395948588053415,tasmin
223,25.43537090596519,23.342869517008477,26.44925811767581,tasmin
224,25.401485717773447,23.515847218831397,26.521719716389992,tasmin
225,25.442833043416368,22.734645080566423,26.297252756754574,tasmin
226,25.415981618245464,23.710338694254563,26.510903778076198,tasmin
227,25.54270474078711,23.80127553304037,26.292557627360054,tasmin
228,25.492092497083895,23.40109634399417,26.3137996419271,tasmin
229,25.419155390421565,23.12078023274741,26.3468683878581,tasmin
230,25.26269176228843,21.80701599121095,26.100804748535165,tasmin
231,25.08408263821074,22.08763814290366,26.16481297810874,tasmin
232,25.457591077609617,23.419680023193383,26.16626743367515,tasmin
233,25.483185662163656,24.148787434895866,26.213006896972683,tasmin
234,25.323320824517165,23.998753763834657,26.157796173095722,tasmin
235,25.409896736992753,23.97495508829755,26.130830942789732,tasmin
236,25.275073810153554,23.47099029541017,26.48985722859703,tasmin
237,24.936545930565753,23.0686666361491,26.23312037150068,tasmin
238,24.925207383897593,22.782692057291683,26.31719238281252,tasmin
239,25.162734403822185,24.09095204671227,26.149118855794303,tasmin
240,25.089010937669574,22.80577316284182,26.08829406738286,tasmin
241,24.80940434095597,22.776554768880242,26.12165318806969,tasmin
242,24.89771543545196,22.356206970214874,26.326558837890655,tasmin
243,24.903186299641956,23.04367741902671,26.231430308024112,tasmin
244,24.887038041856577,23.372079823811873,25.91964233398441,tasmin
245,24.640539201524543,22.8217274983724,26.013627421061226,tasmin
246,24.561165988498285,21.446268056233748,25.621028238932325,tasmin
247,24.561788187662778,22.674853515625028,26.1097672526042,tasmin
248,24.848053917778884,22.56597997029625,26.05963287353517,tasmin
249,24.874614778306764,22.111303304036472,26.26195312500003,tasmin
250,24.809350975884353,22.45567520141604,26.2861901855469,tasmin
251,24.58197673204212,22.169036153157577,25.881537272135443,tasmin
252,24.660234922621004,23.381758626302105,25.79546859741214,tasmin
253,24.647379484388583,23.016799316406264,25.4842205810547,tasmin
254,24.77622274447973,23.668960876464876,25.680350748697936,tasmin
255,24.806470110287158,23.626435597737657,25.65219029744468,tasmin
256,24.7874956156413,23.665338134765648,25.673406219482445,tasmin
257,24.549373561147075,22.820347493489606,25.530550638834654,tasmin
258,24.54988200547962,23.062381337483743,25.45563924153647,tasmin
259,24.462737070719424,22.51147613525394,25.58596918741865,tasmin
260,24.56419116380482,23.72644704182945,25.752110290527366,tasmin
261,24.684945695665174,22.722164967854827,26.065425364176452,tasmin
262,24.71102209642201,22.866688741048204,25.74162536621095,tasmin
263,24.630662933349633,23.56245223999026,25.777663269043,tasmin
264,24.690329840766086,23.249700469970737,25.80595530192059,tasmin
265,24.735905459933825,22.62113677978517,26.226856689453133,tasmin
266,24.953801379733637,22.697226918538433,26.270206909179695,tasmin
267,25.115761428782168,23.753560028076198,26.407389272054047,tasmin
268,25.058159069485153,23.086202646891298,26.737495829264343,tasmin
269,25.22986638142906,22.965545298258473,26.491371002197297,tasmin
270,25.1122539597575,24.014078369140634,26.43879292805991,tasmin
271,25.211748260498076,23.91399790445966,26.371845499674492,tasmin
272,25.39903841708715,23.74003692626955,26.711327225748715,tasmin
273,25.198091468505883,23.04527359008792,26.758232625325537,tasmin
274,25.416377527872747,23.497916259765635,26.655966491699235,tasmin
275,25.39462278801814,23.850531819661494,26.69080403645835,tasmin
276,25.579074869791686,23.79139567057294,26.820112101236997,tasmin
277,25.549018690897643,23.433515930175798,27.091226806640645,tasmin
278,25.724353364732558,24.236147206624377,27.025566609700537,tasmin
279,25.91875422329375,24.45240936279298,26.8518758138021,tasmin
280,26.022791648983443,23.860446573893256,27.029118347167998,tasmin
281,25.734218555992996,23.123549041748067,26.832860819498723,tasmin
282,25.823306865505668,23.637391204834007,26.98756978352867,tasmin
283,25.7246839548747,23.534546152750693,26.692278340657584,tasmin
284,25.812055982886445,24.0795862833659,26.750796864827503,tasmin
285,25.960077472262935,24.23975331624352,26.915493774414074,tasmin
286,25.849577663845512,24.573259633382197,26.853092549641946,tasmin
287,25.982675844065366,23.97720458984379,26.716827392578164,tasmin
288,25.85959004728532,23.83623219807946,26.875781962076843,tasmin
289,25.654548188951306,22.473920542399128,26.963800760904974,tasmin
290,25.714302471584762,23.10856872558595,26.596089426676446,tasmin
291,25.692049930233452,22.92378443400067,26.65413533528648,tasmin
292,25.84310750325523,24.248092244466175,26.62845830281579,tasmin
293,25.42880391438804,22.653711853027364,26.354760233561223,tasmin
294,25.245961759779213,23.068142751057962,26.582989959716837,tasmin
295,24.964372429741776,22.10685297648115,26.920842692057317,tasmin
296,25.072277118343795,23.155527191162133,26.72332646687829,tasmin
297,25.2573763648987,22.769241078694687,26.652044423421245,tasmin
298,25.318294098188627,22.929540354410836,26.85889027913413,tasmin
299,25.349309594065367,22.54735081990562,26.66689000447592,tasmin
300,25.59671774463232,22.528927256266286,27.064239451090504,tasmin
301,25.75282701368546,23.4190694173177,26.726954905192077,tasmin
302,25.419261951412647,23.636193186442096,26.851930440266944,tasmin
303,25.27745715201486,22.68291152954104,26.810428059895855,tasmin
304,25.015080764770527,19.546885325113966,26.65245152791344,tasmin
305,24.767935389590814,17.12210713704431,26.632726745605492,tasmin
306,24.74626211078222,18.095600636800146,26.246170756022156,tasmin
307,25.027097766452393,19.751688130696635,26.448146565755234,tasmin
308,24.74357014804418,18.867383575439476,27.25800221761069,tasmin
309,24.2972814826796,18.57389144897464,25.965556996663434,tasmin
310,23.77635303678727,18.009853363037127,25.939087015787788,tasmin
311,23.369624094645204,18.345452982584657,25.95443425496423,tasmin
312,23.024609071519667,18.12695449829104,25.743640696207706,tasmin
313,22.496630096435567,17.103494923909523,25.953781229654965,tasmin
314,22.222292063395198,17.57079920450849,25.351497141520213,tasmin
315,21.56767555184261,17.879670664469426,24.881725362141946,tasmin
316,21.121749762641077,17.835521596272816,25.232149200439483,tasmin
317,21.10145650397409,17.66825637817386,24.659294331868534,tasmin
318,21.432820189344636,17.869495137532585,24.656825205485045,tasmin
319,21.752548212771966,18.395557657877628,25.53971420288089,tasmin
320,21.698020904541043,18.19162521362307,25.531480916341167,tasmin
321,21.803917041354733,18.06993230183922,24.91926488240561,tasmin
322,21.166984558105487,16.189954833984405,24.91501088460289,tasmin
323,20.759818628946963,17.68505391438804,25.046471761067732,tasmin
324,20.7746846330431,17.747656199137378,24.335069834391305,tasmin
325,20.512373050265865,15.291716003417983,24.36772852579755,tasmin
326,20.273097426486565,14.619588877360059,24.739803314209023,tasmin
327,19.712989403618728,14.292797139485705,23.771581115722682,tasmin
328,19.595141425238744,15.226329803466834,23.740328979492215,tasmin
329,19.4578989274767,15.738921712239602,24.501396484375032,tasmin
330,19.27578440175376,17.0391013590495,23.897465260823594,tasmin
331,18.769058516387965,17.084600677490254,20.89099985758467,tasmin
332,18.519121816626683,13.612240498860691,20.731947224934924,tasmin
333,18.240898404218907,13.752855834960949,20.21496927897138,tasmin
334,18.386566122046595,15.134328969319691,20.299587097168,tasmin
335,18.1870933401659,15.046134134928414,20.21914928538006,tasmin
336,18.294169786699108,15.754119873046903,21.951667799377457,tasmin
337,17.98125913679337,14.543556416829452,20.61398041280114,tasmin
338,17.9178213517931,13.737500712076846,20.375639801025404,tasmin
339,17.692944115380204,13.547020161946639,20.294910176595085,tasmin
340,17.71655560472279,13.947558288574243,20.31047088623049,tasmin
341,17.797073404947934,14.176612955729183,21.259054870605507,tasmin
342,17.42694046868221,14.21173248291016,19.914645487467464,tasmin
343,17.111867792765324,14.58810704549155,19.489657592773465,tasmin
344,16.833725123087586,14.96977834065756,19.17391169230147,tasmin
345,16.891106402926997,14.34323247273766,19.114044545491556,tasmin
346,16.937976197984504,14.695223083496112,18.839652557373086,tasmin
347,17.3291535441081,14.861139170328812,19.460004730224625,tasmin
348,17.796172071668867,15.039206746419305,20.416475270589245,tasmin
349,17.768290500217038,15.066584777832057,20.67861292521161,tasmin
350,17.4542001936171,15.096095479329469,19.7014924112956,tasmin
351,17.496638941446964,15.619670562744167,20.13208974202477,tasmin
352,17.32332532755536,15.441574605306007,19.17834513346355,tasmin
353,17.455145289103214,15.0147853088379,19.77481714884441,tasmin
354,17.17093940921362,14.76726826985678,19.37892303466799,tasmin
355,17.080680482652475,15.307513682047547,19.865341186523448,tasmin
356,16.995296462843175,15.331227111816418,19.467081909179722,tasmin
357,16.963072352600122,14.933018747965528,19.556985590616893,tasmin
358,17.062945440843393,14.332730509440134,20.205231221516943,tasmin
359,17.262716978793698,15.276456960042339,20.554151763916035,tasmin
360,16.82232377200659,14.725822448730517,19.908216679890955,tasmin
361,16.71315321180558,14.534721120198592,19.80162231445316,tasmin
362,16.562717664930577,14.994166056315132,19.788048095703147,tasmin
363,16.66866571384008,15.173879547119148,19.299337107340516,tasmin
364,16.966680989244267,15.27577473958335,19.519136861165396,tasmin
365,17.112995815277124,15.774484252929701,19.66928634643557,tasmin
