year,1,2,3,4,5,6,7,8,9,10,11,12
1991,226.1534261537039,238.1999053852931,288.86632864159145,291.09042077981957,293.4036287299451,215.32541193886385,188.79831038355795,175.70221053829582,180.46104259705783,194.3578284137536,207.56476004667655,216.72041131145065
1992,207.89782093764595,233.54493916996847,288.176381291107,292.91212137993176,289.5054916194606,240.0690018467952,190.03888405603269,188.3402933213527,181.76565434906948,188.97163561093544,207.43344830761404,211.7703624465515
1993,211.07015791024864,242.1564541307116,283.60901480205786,282.05785634749475,285.2209284794449,236.62716380456197,193.50887213678254,175.3681010268761,187.7992266929815,189.48545762389045,200.5726032343178,211.03932500874384
1994,227.8791629932827,238.23654457526135,298.17140935968274,288.27349478760385,269.6510304026837,217.0524666615912,188.35676301292517,176.41642337757304,183.45316703439516,189.68415593719698,205.98215451757218,213.23387259233618
1995,219.74568737288033,245.51422000641,283.80389745111637,288.91571739966867,272.9378488737307,214.79208743298304,194.2996523542843,182.76108080606198,180.01408403041663,194.4370779380844,199.20199858456542,214.4802000511747
1996,204.242450427687,239.0068109170719,300.2614068329853,303.60773196918757,298.49748325604946,227.35971296935097,193.60103880451973,183.17953312067814,192.15983202455868,196.9652104593028,206.77066474403296,219.5922667887027
1997,208.00423958412446,244.22592694775062,300.78814066675733,284.1349232147993,282.3052741457786,224.09978750391994,197.79574685722272,192.66356141345977,189.44954451173268,190.39716497022158,205.70083514676196,218.02215255083345
1998,227.88096355433976,247.36367395335677,284.1790880259535,289.25155355132455,282.49738489738525,234.39331321030747,201.03010427717518,177.33383726283944,185.755455135992,184.22075726020515,205.5831636395342,217.73504743654703
1999,217.4610669829883,248.5516807679847,290.9968705416071,277.48161251012164,279.6174306945543,214.13309729500287,188.75608156340084,180.69807161394286,183.59520996723168,191.18884285627612,207.80972173762646,215.96692452883133
2000,224.99113201309007,239.40885063066565,290.00490877248654,285.0771859022278,289.9983444328302,215.3957447968101,189.01326774963684,172.93524079514356,177.48417405943647,195.94905981108627,200.465852411319,217.96316661191153
2001,218.2727141986854,234.969870683036,298.52550269324803,274.3168147775692,299.15572507361503,231.2726535030339,196.57222178114696,187.54845727477763,187.59097806916432,196.93224426346654,205.83383806313444,217.5336367829686
2002,216.57095518461506,239.4033524839945,291.1899844778705,289.55190051034145,279.95778667944694,241.74546409772742,191.4983253926087,169.41955078835213,181.52381558265807,195.02764643245175,209.0409981678696,215.29096617957563
2003,223.3499037396836,237.50692826819332,298.8010921165314,271.0753909093469,295.9065325447149,234.17715590579482,194.70108445402585,185.4618906092911,180.2492108928315,200.64174562619246,209.7796793628451,216.6884279152072
2004,213.4093356014121,239.27710482725848,292.8244328646188,292.9420526605698,292.07533023050775,226.57829716495328,204.39820317230308,188.7955441846189,188.0886255744855,194.02183969489693,207.5397822191374,219.4660774963845
2005,225.26785041793715,244.45483866862375,296.9967097840204,303.6055235591328,307.69931713727993,229.32542847114755,199.5456784893424,191.7433963921123,187.13900803097923,202.81893441825633,209.70482258424775,214.078626395348
2006,210.39446124712947,234.9618619618941,291.0717720862304,295.9724885361058,304.1834995463499,243.8841471944779,193.90323839548046,181.0543344294334,175.72808054833868,193.6494000245531,208.15434590894196,218.37266181962767
2007,228.8991964010761,250.38720952051054,275.8879317564343,281.8446038586116,285.5919086017566,235.80142262683006,188.24929615653954,182.21530157048835,177.96804107747747,200.40731257785706,204.66278309956382,213.16837599406426
2008,222.2152750530873,238.69305368007792,294.6006134022596,284.4284535426832,286.786209803407,223.42402894691034,200.54403048622413,189.16833728010235,183.11623294201146,189.33850965207208,209.60369875861812,209.06568307531288
2009,208.2131080141896,242.03669966941376,286.7301811372278,291.8130273454514,297.62530480976085,230.28615953857604,197.17054588135235,190.5185346044651,191.11258768703402,206.99376399464234,210.42898767116904,213.06550599922397
2010,218.327024175543,240.00322859756582,297.7841911386311,302.0039146425001,292.87133927522007,246.58543618862018,210.74031290023555,190.91354419651896,193.0033718108968,201.7546528522925,203.54081311511888,217.7537946298435
2011,225.1437174808976,239.45811712108772,288.4070319725608,297.8096865990226,297.2710187002254,247.26440386999622,203.10952484935132,185.15378762585337,177.02354977854165,199.71920948028696,206.10679633579238,213.40521591422095
2012,211.49989926391655,233.31554239600806,294.813027371064,289.31207583460775,295.1600323318105,222.53210136448908,199.65619991614977,179.38321132283306,180.94690455554087,193.58222697951553,203.66841727376143,212.12507000149975
2013,213.41956717142023,242.20227643180266,286.69919089979703,291.3766340601025,296.52110260201334,221.00521550121985,192.88443943928107,182.79809436523553,179.290206519631,191.41883163949487,204.98975416788647,208.01222861442199
2014,231.51291807797867,239.81372525160648,283.957657962518,287.3648030474744,293.54426697909463,221.3788414399336,197.37691312675372,185.3026378562583,189.77081939121095,203.83575739961296,203.57743951894724,220.38248196846618
2015,228.8488858950238,245.67546785988918,289.45601123750197,288.3889878941777,292.76502295568685,222.52684759103772,206.38645170947848,188.58178101855628,195.19660596702292,196.25946368070439,211.73411447032944,215.3654925923339
2016,211.334223468037,238.3469629410858,294.2054613061238,284.23113640148057,285.15958606012407,251.7655365842413,203.61198909692814,185.70685073496415,188.61537418443993,194.88956231946452,205.55387728322378,218.68161304580607
2017,227.9895345084567,247.48789657943811,294.30651430035465,297.2289956840373,299.73636391748687,234.78209974084072,204.3885581974499,184.92991996937246,187.8376159134746,198.14757154960387,209.52930727005798,221.55401156259987
2018,219.34369444831034,229.999160119872,289.10628696501504,281.82905089869985,293.6421581871097,244.56045879487368,197.95174037974837,176.14054650007483,178.90192500156232,190.566715138405,202.6026746282942,218.41773865133283
2019,233.79630585835278,240.96376531068088,288.72592034427544,292.8508241737603,288.0026229744363,223.69308426330034,196.66575118504738,189.1736443886899,184.91067374366023,188.69502597270014,206.9312536722797,215.20685540592993
2020,222.68153294238695,245.08516367090874,294.0963103535311,298.57846594454946,296.21772264700655,231.13858542055652,201.45041202162597,193.55049697449726,186.36135455668116,198.41623622347922,204.16679148023545,214.86437348343406
