year,1,2,3,4,5,6,7,8,9,10,11,12
1991,238.8021308227037,256.7120596112534,295.8809589241476,287.49861840249486,289.2300015329396,224.6728815649555,186.98677515472644,186.28860631430948,179.8924238934746,201.7115318069736,209.79044684976668,206.63348480263227
1992,219.29375653554527,244.2313023347886,289.5180225702734,275.3927326198936,283.43254946405744,237.46252467316992,195.4096156868544,174.38566605115687,197.97873637337494,203.48692088214054,207.6091164624474,219.61067768086372
1993,220.94463375660715,245.97292332582728,289.8368051827359,283.9119721795183,291.3562225686342,222.20240372555787,188.008304826626,177.28356565926902,180.5306540427679,195.0889206204637,206.10598751002152,217.74528417598322
1994,227.59809089819743,243.5346727804664,288.5240544058406,287.6239999790961,283.4501483985333,218.16257423405477,201.7383283189571,187.06967298318412,186.29660362399986,199.890057011106,204.78445007428422,221.54819029195633
1995,205.40952049641987,238.8669461470327,294.1612641328886,295.8331709268717,281.79805674570764,223.1167105994218,194.15062761280808,190.58228796499168,180.25005861939118,197.95631997773106,206.7549319300307,214.49991462950493
1996,222.99310779439259,241.69395222521374,289.73056699538705,285.5996695760906,288.58324071642335,235.17731552558047,195.67229192613303,183.77798974995417,184.4545072485616,201.78267784796296,210.7442991306207,218.42990573758865
1997,227.99102467196528,250.86244542483257,291.25226907786384,286.3839769707897,286.0478905691567,220.6035556718023,191.57866771499616,177.02054823841627,183.46722483935113,198.28572692046373,209.80725804019843,218.3502350694196
1998,217.73895310073954,243.26013520033285,299.4424153041825,293.7578268328803,284.4265145067525,230.50448737077232,192.72055523010104,184.12589155347632,184.62106707859604,198.03205571364185,208.71167588122708,204.06116031223183
1999,214.1816351131845,256.5428474350993,294.45309313654786,287.08798555589027,281.7073342261979,219.29082938242533,184.59030756071,185.10729828006617,186.14638186076712,192.26568334124397,202.59969090295237,208.12172205068248
2000,224.43048825923142,249.04290388155383,302.203679698635,291.3053523471575,296.5985833800065,232.77138490101984,198.8348821057171,186.51070007416752,178.94087490249981,201.3646271179939,206.82575594953664,217.27254893364042
2001,223.75099153095445,249.04013058976196,294.02991412951525,294.10483557006086,284.05001808689065,224.32281460251795,201.63178274462285,187.03221491654173,186.0437260212014,197.91640030765677,210.5758269244236,217.00302259407889
2002,211.90014496151932,244.1214921579274,292.123373707038,287.37096605639,297.3420848105253,243.27055510143535,189.32945257905257,177.49038854210133,183.96074420640872,202.90131595608347,204.96813593140794,221.89108343151938
2003,221.89551068607986,251.403141566656,299.10860236817007,288.1404073166455,287.77581386708096,225.70612980592048,181.29021404045542,177.97113183301278,177.68444965431843,196.0100578702564,204.2664188513255,217.42989015589043
2004,233.63155134048102,248.5386740696267,285.3538769589477,292.0530053680883,293.87178518282315,219.8311576585851,199.79849552095723,178.19748902981283,182.26689686694723,197.77018311094963,209.62037970990355,220.0786160076859
2005,218.61134608565888,243.9829350960377,295.3466738901324,285.58600573632475,291.60656212602765,241.7861007099589,186.06860807019822,182.17330137278483,185.1488865631706,195.65662629461357,215.0142974889093,218.76548893125627
2006,209.87308184484306,252.71883993068784,287.57507894805497,296.4512052130514,278.2994858584213,238.66828675406381,193.092488802381,177.06448827873515,183.46626288625941,198.36409627330846,210.43690205059215,224.53933695770024
2007,225.76425123425096,238.2335775251473,293.50769653777337,286.7066710982998,285.8442983195371,232.35378251326503,203.2300389571415,191.77897864574155,190.97134102589735,193.06523677573327,208.82165596742595,219.60455228143059
2008,216.6687138750724,242.22980087845076,294.7159638726087,277.53801958338374,280.20191198366246,229.49925401309568,202.8411791156744,186.37702643991923,189.06616961701337,201.54447598401518,213.2638202283402,217.97221379829338
2009,210.93406247369415,243.0927399176127,285.3821301014587,295.1339921226599,282.65129423416136,232.50744907957744,187.447214233263,183.9734547430982,184.62826113961503,198.14335381539544,207.89631950056318,215.59870491887662
