year,1,2,3,4,5,6,7,8,9,10,11,12
1991,212.92428656048764,233.20176631485717,290.5011265862126,296.12893081360306,299.10842956066995,218.78738175266417,200.15149941466822,178.6503614460366,179.50338378019322,196.10657560314203,204.18261302887132,215.432081676703
1992,225.6598794110772,241.4457108745865,292.7537353895643,288.73219429180995,289.4164816988922,221.62388822507853,195.65886443105774,171.48975586888383,185.83822691237475,187.49680553308647,206.96157578385845,211.18467362186988
1993,213.8090055280535,242.24086777604703,297.2463501772926,281.42469174774044,291.12909409321,232.0677582918623,185.40557813481084,186.87733313510648,173.55426750216492,189.19296699771655,202.08812907135678,212.8026442134958
1994,230.38037715868828,241.7310871293443,289.04908525958206,292.33418996115904,277.1816208578114,207.6503989115992,199.24313906368184,195.1460675155527,182.15897157681542,194.4017039847901,205.72173837733018,213.9997832361728
1995,204.27618953422612,242.01957416405918,297.00710167247746,278.57478560058695,279.5175187532691,223.037549263919,197.24887136710507,177.41869208092044,179.3506945702638,199.25808818701339,207.18539688314132,216.97566385451213
1996,216.10570739560933,241.09636297277177,283.1197678183969,266.8333892297683,281.5178291616231,216.14557116472082,188.17988555100536,184.81054789297096,189.10480049281293,193.86964296200688,206.90475734572726,210.58225003901075
1997,220.5602016895765,254.5835071129687,295.3282455401792,277.16449234778196,290.6766109072955,205.1503229484732,193.62572209300762,189.2854855288008,191.67788820228873,202.06074033110386,206.442664659773,215.26597335178204
1998,227.11604386045718,247.28036754343438,300.59107804008653,289.58800002741765,293.36740092667355,228.27110655689467,200.46110097135465,176.51314123134242,178.540693775859,200.8567405201055,210.50459397696676,219.31312791941968
1999,226.50091420986135,242.88579412340056,284.4370456907991,286.62949960870924,291.64688650165397,207.74968299979813,195.045460714177,192.36735326754174,181.08063142232353,200.15046460450452,203.06830625665128,213.15548627207153
2000,221.32061421584336,242.01142531868675,297.959231974912,287.45756147897487,291.8864121060925,236.4897085382578,201.73608503332585,181.04444571370175,184.9558273956359,198.39156511874398,207.40314697189706,211.16429473753556
2001,229.91814426673506,241.3554455306474,291.39113829209083,286.24716482659966,276.53156170299354,218.17701353452844,191.26609377111473,178.85714252933045,179.4492757619582,195.32008371409816,203.71419966742428,216.28432849904422
2002,214.5470776473525,251.82730669501984,301.8895962976504,288.12091390487717,288.82063771310834,232.1006590733367,189.67781827367355,179.36091737586116,184.70826149541725,196.6275236043689,205.3831644436259,216.39541464036213
2003,228.60168769434188,245.5258687469119,305.54534756190884,292.453988496311,274.388853782863,229.08739750313407,197.04370513063444,182.21593068648102,181.91832544323483,196.24519825443417,206.03429984928044,216.71771132660348
2004,216.0526515980169,230.75235122481328,295.85369522939413,290.73458144383847,291.11934428004815,243.57828354934875,194.2750803228812,178.8125402939359,178.84776755688853,192.46800634306987,209.70758574362316,220.77828060654548
2005,229.1906349184408,240.83713640255948,281.1883694646202,288.72292797515263,275.6297385784829,225.54019043750736,197.85880151217265,180.12236999827792,178.31279482808597,197.84778987539096,208.57665586236183,208.07277024012734
2006,213.35179288669326,245.25541583603527,290.47925294813314,296.13874765153486,303.3112878026314,232.61835050861671,196.97158563675507,182.96301940245064,194.04642460949262,197.88636726880551,205.7533703573215,216.58538962957
2007,226.23180065953866,236.1130281505021,299.13953061040394,281.09697107858113,297.4922973956732,247.57379024999514,200.11756694037445,185.21607082317357,184.70420385156143,201.42950350103405,207.38621511886848,218.50529814503074
2008,228.5130545946825,247.74120108693677,293.1241099618738,284.6091105088333,297.44701915693645,231.08481157942967,212.67729364145129,177.8227620858626,170.20651082893255,196.16720070420766,201.17476732270003,207.42174037138452
2009,214.06494822896832,237.94497740467824,300.7785203214472,297.690465105066,290.4907465185299,227.1263669375271,205.5817289342075,187.96557499732873,180.3008670211211,200.93816939172032,200.00464979650067,218.99174404364183
2010,224.8908396988888,248.9575575350998,289.1943116070885,297.4453812830055,287.7444565382257,244.87333656698104,191.6703500249981,191.4370538931102,189.41663285343145,192.8790187564992,204.6993224393963,215.94490032737983
2011,218.49641473101417,248.32236396987764,289.2789189502568,290.37682958414064,283.45197421414565,209.64228630554118,196.10666573812702,179.64222937788355,176.88026582011125,197.63062188721736,205.90644782030122,219.78062572929556
2012,242.5572728880715,244.8271696624981,299.329642037974,277.18780260189294,297.70657808946663,237.78214126895475,197.42046428515113,182.6880050244223,174.31088493202506,190.36421909416134,203.72643019198787,210.61714801815705
2013,225.9547958623432,247.30649988940647,289.1430747193242,298.9764361945351,294.80003195801714,236.64056566235146,201.29217394201106,185.00702409387762,175.80661490235246,193.19546758386505,204.37355005332037,217.0887724170638
2014,218.9733640663303,254.21919258705435,297.0234776915468,290.49699154130565,273.5570755952885,220.17125551703217,199.70036174011437,176.0310163502808,186.79261941878633,195.46581900369665,209.0906737610876,209.11800641623182
2015,213.04963765651607,240.09580669803626,295.48656545903094,283.1875736843115,287.61038275558974,228.71141211546473,211.24319065748946,175.84638233946077,178.14800366600608,201.5003850989284,204.05118838129215,214.76274870238774
2016,233.67314362876698,246.80436395241884,295.18955655068896,293.6344009855044,285.78059959349815,229.4766206349255,202.4602025457685,180.97605281175223,184.4017817579997,196.43609388840073,205.97984702281434,211.8886655133662
2017,215.88503646752682,246.49134125999544,299.8874460850462,278.066771954068,288.951193115467,236.66820667943156,207.8288542283876,194.68570590233068,194.98358062437484,195.6523115025812,201.89932237442528,212.89318429145095
2018,224.07895322024672,243.41709898714464,292.82053342325395,287.8102375280557,281.9856674250051,244.99432659145174,198.2098210180283,175.25179669059543,185.8706463037295,196.3710316740498,199.98949116687305,211.0353617764196
2019,209.92704378638075,251.20821033034952,293.3193195180465,294.46102285269836,296.8269560421848,241.53790352178802,203.95868254672394,169.83065749986068,177.3579307270676,197.3550697534319,207.978720306097,219.55621539424527
2020,229.47798340524403,247.4770636861151,289.5827145686006,289.8459612929418,273.49664794181604,209.13491956972558,192.10341712525485,184.49810429541267,187.19378698240342,198.24839192478865,207.44755100666345,219.22148436557407
