year,1,2,3,4,5,6,7,8,9,10,11,12
1991,218.03773977524673,240.7041633249338,293.4687230981,296.0500210419645,273.8685221527035,218.58008608182095,192.8653209355857,175.05071589809785,177.83724966667762,191.3005770239117,211.53588844511296,220.72247442491093
1992,220.5335636608052,254.1550505135325,287.08552023121825,286.9298250578285,281.1356863741886,218.43090924045643,187.17661251684493,173.88408173779305,183.14691397461155,188.880809446989,202.9288395424443,219.14385222082205
1993,227.76568952914255,243.14232188497306,304.48817039055587,292.4504416694706,292.04902407833845,223.3641851637483,182.82920894797755,187.3285560763346,178.62825851797848,193.02432646248488,207.0815847071112,218.6809670455054
1994,229.0527756223608,240.18406356585675,302.01166498388164,279.6050881466794,276.14904578947716,225.53636750448587,193.3907313906156,176.97806167509503,177.77905764380967,189.23348942622474,207.87065283244686,218.6301240660056
1995,224.8565791558836,228.1834597485581,300.432986317676,284.5190223476359,276.87878789004196,219.73394710897009,182.12049409285936,188.7246700335595,187.83419168721068,190.4531964161715,205.46440730857958,217.55835378806506
1996,208.26007514737452,252.03028132351798,303.9867028653763,303.0835430161441,296.07064145299597,239.08982957105007,204.49046932547495,193.35370832563467,189.83090678440635,203.0168479040386,209.22221090093097,219.38552946663188
1997,219.14471401361848,246.78196769096397,279.3718762458875,300.4895642611007,279.5784899275495,239.7765571795107,200.52059448697656,182.95927976659488,186.5275862078696,197.85067981189314,206.17581490553675,221.23506224612615
1998,225.61867618132467,253.60813740152312,283.50569681246196,291.4559740216667,290.9813648308271,237.20963261285516,199.7618017261906,186.77811428862188,177.83495055994715,200.6905089308148,211.64465761598842,218.21385887192267
1999,211.28201649546105,247.82375797685467,286.0110685112434,274.62287845527504,283.4640901343885,222.37712777382183,187.90831335413355,181.33587514389825,181.44398280072593,192.32597126426126,211.06948251463382,220.28218528770267
2000,226.729034374612,242.7171249249676,290.35272476919585,274.4559942452515,294.84133327261344,237.02014619714433,207.31217105964808,171.02462994036122,175.58402881601927,191.90878464263633,201.8220508302183,220.9723175385219
2001,215.10270932416924,253.20827205272658,294.0462107644676,273.18019123726305,305.93836842938697,224.316635439584,196.82669745205135,184.19815299287296,179.28764788252414,192.52179779564435,204.2205695483278,217.90925543384154
2002,224.59576964432355,248.8853782976388,291.7104564329756,288.256546307546,288.17178821716226,225.8084936150658,199.36438861320676,188.09321745830678,177.98921005198588,191.85164245087302,204.99698510266143,222.86309733801176
2003,217.9213570106997,247.77422005031912,305.7259268702642,302.5344558299467,294.1354852038626,225.634581059515,195.85385275695867,187.65378025105875,188.2906926779059,201.45092359034442,207.12187887431568,214.70708563684676
2004,230.08566355400515,240.2923350058172,296.66434703599,296.8053087167154,292.3848153411201,236.69854248226565,205.75289417181037,190.13792308045893,191.56266893574713,193.76206271217814,208.91191564482284,221.30643961346317
2005,229.47367902272944,246.12726930155344,285.52503672727715,281.30447712295245,285.5614640470327,236.26481577752813,195.711582175921,187.46182430915266,188.88359358395857,196.13000224754796,204.53873462852854,214.39386909244746
2006,220.12113221393443,240.06312107429918,293.80356728542455,292.955048932659,286.238203325946,230.4343089277821,188.36125312887714,182.10203038838432,187.99957946914836,199.02830572181216,208.932939739921,213.91982775910347
2007,210.92087171282435,241.2152560843801,289.3801088761704,292.5818765643397,289.67241045644266,227.1860320102772,190.71404122496364,169.11692758920236,181.91587769946165,193.83964660255577,207.7975199433281,221.01782725573784
2008,218.01282278470313,250.85735606965866,291.255421129445,307.793548143183,292.8370982931895,218.12628283479995,195.0695747210379,189.96448455215466,187.0895252358747,205.08730954922382,213.06237922218216,222.579936801744
2009,238.4188815072213,246.7973327436097,292.4963816090954,289.0074390089057,287.3696349467853,226.0603336010483,195.0125033945503,178.01647272306707,185.4674188427861,187.3960324989507,201.46952833517233,215.96219622401185
2010,234.13047179665003,248.23002411039707,291.52079085205537,283.542774974299,286.5693377246131,242.13322600145457,196.2160048169176,177.75627519181808,182.2201216873211,198.51970565709019,208.65785664945065,216.6124061209575
2011,221.43852849829028,241.33680380904912,296.365445345633,299.7274896548743,298.37656616402467,240.86745420358517,208.18750358250733,184.5154630132304,184.74476442404244,196.16474637054202,209.16350924883298,214.78099688959546
2012,232.58055750284436,239.73209530104512,298.27820145287654,285.78150472907384,291.37719349191497,227.59550031696563,194.59053426031332,182.1081822053282,183.85666640197473,199.40677513168907,212.17051537402986,211.42366380782053
2013,215.26623317737833,238.31419976966907,301.9898798344775,310.61990039331636,302.75032538568223,227.56336987294975,193.28321602605016,189.66496900569913,187.36105042114662,201.42639022265536,208.19034346537563,219.45001133331607
2014,210.36448199378702,240.71800550640395,292.0212464847812,284.2748817337209,290.68857181774365,242.2485850927439,204.54554854701888,179.75357862462798,185.4411358611405,189.56742504410755,208.34934242014026,222.1094858392814
2015,233.75748784063066,245.1466870467276,296.25751798980417,294.82110300061066,277.0992720218393,221.80727415841875,190.67314540632643,187.6768451925368,178.7319180074424,194.34353546158428,206.67618549913027,221.62759617633714
2016,209.99403115874114,234.42776515467824,290.4991838502251,278.3126686657019,287.4690015752777,254.6523257798871,200.43421595871163,189.82380689820303,186.40557743592635,202.74469908994365,208.47302234610916,223.11736796330996
2017,232.28366080250856,248.5810518862735,303.8854362064638,293.6368503656234,294.044911020239,244.52342138586855,202.52893192439996,185.53723506243878,190.56568863913148,201.90668650816806,213.98684710277823,219.83715534432855
2018,211.87758878062135,244.37505619624835,290.34160901888976,272.2711993090335,280.2839851202887,231.88367588547348,194.91880772176364,188.93134122384475,182.85217524777926,197.77879729503985,207.9518777950582,222.65775822941296
2019,229.58513996855095,243.18664403048226,281.418247133786,279.9935562948316,289.6111966036846,222.54982693157976,192.71182463519887,186.46504738888297,178.14364510467053,199.6276212933103,205.4011870516663,218.30154192562927
2020,219.77204966452922,241.95144672493697,301.3934234741825,286.9373359574775,291.6023579293306,223.86961059210586,191.13229801088568,181.90674383714304,192.78781805579294,199.18531451574592,211.41375542069926,217.08765481758135
