year,1,2,3,4,5,6,7,8,9,10,11,12
1991,221.39269750967634,248.0847165508368,296.64237544333895,301.107550819292,288.32776664299706,221.68493843095965,186.5011071260329,173.21229343819766,171.882171406727,200.9639723355523,210.0541761451358,206.42385889227236
1992,209.122263422621,244.26850956879179,299.52002745440063,296.9539927162598,298.7961641507909,221.00304884273658,195.0291889504573,182.1540947071233,179.0763131037126,194.5696104754769,200.58544192597324,209.7976272317122
1993,213.48591132812894,231.90939916394726,286.1691132553002,293.18962675749947,300.53442062522606,217.93332772796794,198.04906730205985,190.2308407869263,176.48890609572948,204.46608606863865,212.6178018814486,221.0357209601512
1994,221.5817259649049,231.07095706745397,292.33996489410004,271.35870099381924,284.42451332290176,225.05079204873456,189.81583191404232,168.12052500602576,178.3605103767857,202.28432646345348,210.6887282573237,224.27409108737592
1995,225.78090002059523,242.28442011055165,297.29732531045414,284.1323914415098,281.3491426407444,224.4996412781599,195.14420887557634,173.97744565766538,183.24887997570062,205.0730236128342,211.01485213617042,222.5710992654421
1996,222.67464481228856,244.22026355221251,295.18948063195876,285.69192774225445,281.7584803093076,227.87192587106873,187.85111630205668,176.2446382498186,180.94159906379232,201.9678913664918,205.61334864868266,216.34549322047044
1997,224.41720809981044,248.1569245291649,294.45810202674085,281.3598542297957,287.5431545244265,222.79994056065888,189.39032531063975,182.28565638007453,184.7494290436899,204.0469778159441,208.811380099385,218.79659680656715
1998,220.42405561243612,234.63336821276565,290.7255194341471,288.6062628801568,285.57507462385695,225.53084087549257,193.56150002761504,185.11061003885675,181.79006050469184,207.55861771646838,209.0577397755348,220.93767293239114
1999,232.30115648579533,246.1225472087665,290.8291313938096,292.6562590432371,282.57034235678583,218.24284375238375,200.68615182193366,178.16896788153215,176.7251027870901,209.8282728127943,209.2726050807487,217.33401558698125
2000,222.4000811478425,240.76732040164188,291.02089983034926,285.07072955277295,283.5573138514518,231.4576664383253,185.20982116772493,176.26097839073222,183.07304521463647,206.65825244579875,211.38673184090942,214.83714496789358
2001,227.3211231570465,243.2828827879091,303.1348162547051,294.015252808407,300.41527819614123,225.7017357406857,195.65052372130683,171.3476147125257,176.26345416897198,207.98380717976568,204.73869761955768,226.20055997108864
2002,227.64361289319382,248.46368206337178,298.642855788382,291.880927866936,282.62375577253346,221.14375543855576,185.18589237298755,182.17301642987587,177.16362494385328,204.91825644471535,209.30590175981143,217.55203586007318
2003,219.47318338913624,243.61588344150877,297.7503618842622,282.01551279451854,295.52924826067954,240.62012458794135,193.53532318416177,191.56221517053282,182.18005378577695,205.4703831530486,213.00273086508577,220.95441366175524
2004,230.24693113380818,248.44975181261725,296.5042368498475,301.42137705027056,297.62658654314714,225.5409174710177,204.7722839061062,190.2414131085179,193.46988648700668,203.31716294116214,212.36895089494024,216.01383143780214
2005,218.34046021363957,238.01584999198772,292.32361649440435,283.2806059252647,305.75858007520316,235.92413594948408,196.62489137026583,188.87080420448416,188.71228875055667,208.32085523296993,207.12246880944323,217.9104305491939
2006,224.81500918489084,243.60463535768886,304.509596689733,301.6184686104631,275.0209518065263,232.48071855309783,203.5042876546861,186.980861186948,192.64834711253144,209.32001797994974,213.80236555069087,221.29740247898414
2007,233.70846184835378,247.57032813143178,300.78554477821416,298.37005318881563,292.42879592053026,228.6125667684334,212.60239381404105,179.5454652310402,183.32182142091432,206.62166326749136,213.39994738278148,223.43661726174147
2008,211.4431679743043,242.00642981068225,303.84805742617135,288.24769360344015,291.41619901099637,232.42790278509523,201.23913831967332,187.7707470194673,181.61725699518396,203.13519501438788,207.54885884835684,223.35435233991822
2009,220.3194081277132,235.0836007162726,294.67953300437483,297.4759734753344,276.5493978630731,237.6753978487204,202.97007255295014,190.93797429012443,186.06966711864862,203.04029709972306,209.6054576951364,218.7529527531323
2010,209.8997356775112,235.02171375694058,294.62717615989663,281.7662105759904,266.8408350274881,229.57997909830817,197.90777800477696,175.25411696277487,175.3859474198322,201.2912678385828,211.56742184017455,223.41282347149044
