year,1,2,3,4,5,6,7,8,9,10,11,12
1991,224.10272068262998,240.50868658821872,291.83282681604896,283.50064815058386,282.6214870637247,230.73949649809504,195.38500415304216,175.69124871397585,182.90332778438247,197.67854693024805,208.65019378333614,217.4716907241081
1992,215.5618445143664,242.50338143244863,283.67246844440604,273.6071279127149,286.87451912554087,229.81719009819733,181.57541855079708,171.2732514525824,174.33147691808338,190.00687359933218,207.29801926693858,220.38457637162185
1993,218.74961199727764,238.021974116443,295.67202820460267,277.4005089815004,294.57389641518455,224.0613536178585,195.1485094358956,190.19109609821007,181.8096210268966,198.57562832917537,207.53325577323804,219.94207596011012
1994,212.728229021018,250.82739130466942,304.59137450660705,292.8231576946136,295.36801844351237,224.49052102379144,196.9130310340295,175.49167204546973,174.8123717070091,190.7966799835454,206.1835183824674,218.40258249869694
1995,217.70089262005845,244.43094515915135,278.91875371183204,293.35983823027925,295.3156242006751,218.0193969457371,190.7060823901062,183.63380433163601,182.1392722899688,203.55434234659236,205.4095395176675,215.42302333398678
1996,229.062705393102,247.54639208492063,297.8457008035142,294.6288698142037,268.2720346366861,224.00472623164222,195.4580623110508,183.3019848242281,177.147131902586,197.42638849047606,204.65405535456853,214.0262317922158
1997,215.92213725495645,242.05720594901902,296.5004116244932,284.7244754658743,292.6523049784108,234.60721965374634,210.24025120609616,191.7346194811732,189.95916378540363,190.92422183807145,206.8081171087417,218.16709960902506
1998,222.91176714632365,254.15491165385646,294.52489113131014,289.99085211593757,285.58412639069394,225.57668618013037,199.62260135072813,184.4308604411448,181.9771118988783,203.3584051386,204.8966618670747,215.66244079886667
1999,213.3759377215618,235.65264982329015,296.43569495370207,290.5415890177063,289.9923116373243,231.56203924642395,200.08614276140287,191.45105033063697,180.7751046322374,196.67607760258622,206.7508628281643,218.08659319835198
2000,206.86257013246603,244.44624284742378,294.88200165122254,299.6137671327278,302.95451185881615,229.53821930796738,204.6631066056634,183.250937593566,181.48964031780773,198.70237260629207,213.2740503195134,219.07435089249188
2001,213.4790017666989,230.91739905547723,292.7214562259163,281.6183222669807,286.6001524625342,225.0851850247957,192.72472703298334,189.23166200412697,182.45354532649418,198.82027515788513,206.58671774619833,216.69603186790928
2002,219.06291660042393,244.8414363208654,282.8095386287304,296.9245036957151,293.0029867550813,208.95671646064358,179.69118232742508,180.28426306942026,184.46714577666853,201.05196196533436,203.60472074500925,209.819759485166
2003,225.7435557622559,245.92588174616742,289.0605870451102,295.2563969893046,276.87243670952955,236.08063244224053,204.81772101267177,181.14255039092149,182.10202013727172,191.43524394548305,207.72239770869746,207.73473299223036
2004,234.7127095342411,239.9271780512523,285.1764669202272,286.2956504732746,286.8786384539201,239.05532772032709,195.93517729244851,176.8800907738419,181.90491926030148,193.47151393241248,206.25320361990637,216.98529722142865
2005,221.39050349671112,241.88700827345104,300.0021478333352,289.4768208835002,300.5430045940419,244.50026687573788,199.0903301905198,177.4594433940729,178.16797296410707,189.55342375494456,206.8035500752271,217.7705927490996
2006,232.34465446835577,239.98149864261865,294.546252344861,286.2342963714294,288.3822117303188,241.82342490412395,188.9189613053923,189.91604480860596,192.54488714848617,193.13417925607615,209.18239759013633,223.0039044204543
2007,223.39901863744214,238.73436265873968,297.37972210395776,286.8994288173488,284.5702267897295,226.8367001800634,192.97779341374994,167.38950140957823,190.42421060536822,195.06463352734548,207.97119456094245,220.69546715350958
2008,218.98082910060032,244.09823777694012,290.41330050247217,297.468132545782,289.47826348421955,233.32034668960267,191.66423210803404,183.1831660513348,180.05534822150142,194.78745108426182,208.64124701079612,219.2440381243521
2009,225.560255430362,251.8315770642504,290.3840682503782,295.1889211035691,286.632482315463,223.19464653914486,201.93044296745717,188.0399470989465,179.15992875163732,193.8229083623172,198.56249634134764,219.0334303171385
2010,223.77904510577548,247.50779077070658,300.644884958227,293.8528071078694,294.48620251017087,238.13091615403752,189.43356076527093,171.28823606895827,168.18526325085736,192.51400035991765,211.57379674948635,218.44371947685948
2011,231.69717536299584,246.1329878684698,290.4743803854995,297.9939902469974,298.31656447306386,226.604353333202,197.26785988153063,173.62489674077767,185.99881976856153,192.1960397619697,202.31872620228413,216.1923105766937
2012,206.66758396922154,254.8823611410476,294.97926704416614,294.6278676769304,299.47325936237553,237.62076396510943,195.371258451346,190.42176382676232,195.68085872150775,196.67676922294538,207.41215815566264,217.815218237022
2013,214.45493769622803,230.36718239616653,296.71197041719273,295.34662667602765,297.0255400495832,251.54543717707864,206.618969278864,188.32724487129497,189.62279014345995,206.3792674356986,209.36174157919038,219.57106839665647
2014,220.26534649678322,244.23287519168082,293.44360807517364,293.23105735395393,292.18197130489386,230.60287560683318,200.1483276726428,179.74672925254106,185.90372824947906,193.98125778761613,205.50793487573628,219.26739501478608
2015,217.51037352929276,234.4480688774435,299.472139621007,295.1913377087984,289.68529432467494,219.159424926015,195.21482342737582,164.36145898217623,171.63882884501035,176.02836155013873,208.02691719003522,212.53638228053592
2016,224.70662828428468,241.78645746339146,285.99125595277275,304.43306682948185,306.19403092497316,232.84878736745065,198.6749321452968,186.68131175387705,188.13340676390354,195.76614726907505,202.2613566035209,218.6568459042366
2017,233.07137028315344,253.46269458763183,297.61251653729397,277.4886420775159,277.2429821871995,197.8014570836643,199.17438627230752,187.27999542543088,186.91629246802336,190.84621255460533,205.75124942793272,216.9052891587131
2018,225.3307483020455,242.93684812757556,294.77140662378395,289.9566058738493,283.8522332709991,230.12806951753817,196.0592612275934,190.51452659379743,193.94949177550626,199.6741424005175,209.83244555532215,218.45639703171514
2019,209.33734552251795,239.4018729719211,305.2591233782392,284.4937815752801,287.73027686059464,248.04468878994894,197.87844072928206,179.54024603279296,176.5045224198123,189.84051987026214,210.14646521106485,220.09814275990263
2020,231.26805088898996,246.62802610645164,289.385568121506,289.668375858063,298.62294060791066,220.8040761344466,204.433683083001,191.81791898035442,181.71748343176367,196.15318683912437,205.3319003212208,222.59615248714843
