year,1,2,3,4,5,6,7,8,9,10,11,12
2021,219.2839360215766,246.61006741823212,287.4217927623969,292.5484786493162,294.0048142315407,236.0436977132414,203.05340634139847,176.62621770384337,181.5628303688468,197.41268746939522,207.18741821754116,216.2575637253431
2022,218.82177519668545,244.54820975990606,296.05791616007417,292.3529242751643,288.32895265523695,222.34833051974536,179.44573846873243,183.72679305852057,196.7358555981592,199.02244480396647,205.04122632734038,220.35074838995308
2023,224.1701371721667,251.00712302658783,287.4471951994183,289.78474526246765,272.3710885755122,236.31953088422952,191.9730997738194,184.15655376243384,187.42632077289682,201.64975249081928,202.0616171478935,217.65334302266163
2024,214.20416167031328,259.42116960671876,287.50150917289216,286.1166056972024,292.765169105704,225.9672700332105,191.82750597254037,182.87867838643896,171.93167269477908,195.26121437822357,203.88767593248883,218.26263798503174
2025,227.99175642587608,247.37203273081548,284.8471309393694,293.9990323738263,295.2695520119992,220.00747315198353,192.02658809792666,172.48655483440658,189.6682391554524,200.98237251054465,208.2331733882946,216.5029847539939
2026,212.0240283315274,241.51729181725736,293.7493029961558,293.1380329431552,287.06807715698216,238.16860998336898,203.88878687509614,192.51656639638605,186.53769146391753,201.05618643643962,204.6050713347219,217.53612361308984
2027,227.00984918819225,238.75767427181432,292.3028937208192,292.0149217481973,273.6515190065634,221.61871537607877,207.8715477966924,186.1448817937539,187.59447018011662,197.03330648674262,201.2684901640101,216.3710778736257
2028,218.3766435190442,238.33172343984094,288.620981380363,291.2015566312556,284.6848943122375,232.5267197899408,208.99080475254436,189.3377827471521,186.1654378086934,197.2602650673749,205.7630186072197,219.4824719842553
2029,230.96100038923365,244.19733229784305,289.9103120279087,282.78647802328334,287.5651658125671,238.71599773660785,195.91830530978476,181.77562973747388,180.85574866031408,199.67221517024672,204.75642806324905,220.99239379852457
2030,210.83416241047618,248.36560301608793,293.68625748016393,293.48832143573065,284.2428649344029,226.93716696936073,193.1521823299284,184.90799772792752,189.3688036784391,201.97476644993975,205.94231920464168,218.167503164615
2031,212.34691881351353,241.90804143360762,285.9529082198048,287.84995577695656,270.40488154099523,239.56755914472944,214.4872863036272,195.97380330354002,183.94413407360577,203.74464025676406,205.84558781068645,220.5896121229309
2032,226.69125572528893,252.9011111624168,291.2845277697812,283.35024437931133,283.29268055721616,234.89939716128367,194.0139532010719,179.79488097905391,180.46489041089725,201.18875045820664,205.82652008002148,219.62808585096988
2033,217.1078650880912,250.90638578268306,286.5921523428289,285.9510287253799,272.5127442755609,216.21286254557242,192.98273532891312,172.7611372031326,185.0823399232584,202.929367815939,203.1489531394813,220.8235533144488
2034,228.6082967842795,237.96782718783544,288.7980712107436,276.3003867639351,278.92989953879356,218.95933949582306,189.94571696569471,162.99646363800042,191.48331279341946,197.0578639272691,198.7181109818739,212.13233598695476
2035,224.96172034362246,241.76097338058887,292.8426965058828,294.3423339728684,281.6488633110301,214.04659018343605,203.97362914000036,183.13292134370923,178.59881532733402,197.38755758895346,199.42448257909152,216.3416482394655
2036,204.9876877999097,236.2278829751631,290.6789887204371,296.0302275425464,287.5806600501872,243.12813000819776,208.93253318201468,184.65642454076487,179.29596739419745,193.97312081365362,209.46277042904947,215.18159711589254
2037,225.7428092154585,245.80989833408896,289.89094364769875,291.35620985547797,284.78201154465995,245.19767650028118,196.6664585232033,181.1357157033809,183.369401565707,200.07817514023324,201.0757119979532,216.93624737232207
2038,213.40334772443592,246.49814775356745,288.33460919302286,290.0688829967097,280.6822530638604,220.93238469771026,203.57998804466308,191.68525111636694,192.80909379026497,204.28754692382094,205.16124127405607,218.11025303232012
2039,227.32474259950817,248.04030951245957,293.68716414476523,290.34082503992096,276.96458877812404,234.48005846052064,203.8523675397292,183.58787327770588,183.13907917091908,205.7376911336088,202.53813567436708,218.84381829698853
2040,216.67928494600307,245.3870434251346,284.9661724413156,291.4567664613595,287.25159626135803,224.16445775633318,204.73713108727642,179.40797743538707,188.1835368922932,196.65176216120315,201.345091085117,218.19089700795774
2041,232.83967721444986,243.20944446582726,290.73023176978785,294.19693180978953,272.6188447073368,213.48242339201346,190.89543075519407,178.86311662994723,182.20800286548896,196.33000355759273,207.48492487315852,215.00735490628315
2042,220.47307564469494,254.05908529566403,299.8087954520661,290.20244756258523,297.9339016074785,225.2232201173635,191.78312759868254,192.3726511358902,196.75365370784215,199.17095193005827,207.15542370605252,220.73418698025793
2043,226.02869390582595,242.51206912840536,288.24643777733644,289.67188606551656,302.7084346346983,238.7453175847556,212.44824759791493,194.51656282073282,202.45082870921863,203.60194592320528,206.94546350760874,217.3929629203751
2044,206.54065524596558,241.44500671378253,286.5046133598916,297.44969470206,299.5468243643959,249.26163186405228,207.53522253829757,187.55382976052766,192.54532231759515,210.02856145535966,207.7708341811171,218.66036297810734
2045,229.9005912426786,254.0024937512539,298.30524867984906,290.0051656729994,293.4184946176252,206.38694748635575,196.36108947441335,175.39220704655193,191.6453746049782,204.64792876376166,199.42457216077398,217.81356094796456
2046,218.33035762166628,244.77393047888253,286.5657412427089,288.5017066337522,288.5606301421047,215.7758240725992,198.54045499983488,195.97079656896648,188.81902865389517,202.0460336052161,206.6566648587233,217.75830783886354
2047,234.4411242061509,249.85949625981962,295.51781057659815,299.91658609105536,302.70694069687204,239.07703714936088,198.55123318996766,182.13544779339298,187.17424530518076,199.01954490234903,201.89665448293414,217.1213198640692
2048,213.19191472239774,254.53223178231292,287.2973241594724,290.0312029292918,290.0085624876121,231.197492149771,198.6176744819827,181.50928681543695,188.45985589897276,201.7894964416983,206.64457787058257,216.2124093227909
2049,222.8872143556981,248.681538370945,295.04040859272567,293.3379277202376,298.8067834760399,210.62257982840407,192.3600868697645,184.35964933248832,184.9313856887541,196.0351660100143,204.21695145896544,216.3026019624103
2050,228.36647088019564,241.4687640550501,295.9464926942573,296.2385808419555,300.93506033817897,230.3789522746114,203.89762735997917,194.33103917035208,200.41564520657963,204.87409827788784,207.80105400341068,217.30650890943116
