year,1,2,3,4,5,6,7,8,9,10,11,12
2051,225.83094543183267,231.61375706288032,303.0898686338398,292.01419193063276,295.8530384647097,253.8180232115413,216.84092995211338,190.07614778694074,199.69980825447675,217.14902152442235,221.219430652622,218.96362604258522
2052,214.40001913509622,246.66428770189876,315.0825688547378,303.3400666161025,306.4228572174247,240.8354856366488,222.42689378779414,209.89741979900072,209.44428793282032,220.87099917232447,223.40887477854733,222.0364222407342
2053,219.2193167773357,258.3229773431585,309.07761519647613,301.1985363547066,299.85408436291533,243.24000747317515,221.10779390596653,204.11337506937048,199.3621663057948,218.15412596236084,222.64107266208347,221.7971948209994
2054,235.56943310381442,262.3389567249293,298.25042998048923,293.526913280589,292.65556888830946,243.77276681442316,221.38948073582907,199.88562620487932,216.9442555350194,218.18515135401435,218.94660384986764,223.10150815644627
2055,216.42262137734622,251.18505382311022,302.46785868373473,306.07604990729675,309.9721848316967,260.43763069698315,223.09961129244408,205.5396362318751,210.63478284725647,226.44599352305977,216.49747330215487,218.0914198190996
2056,222.13784589114616,256.1787186750988,301.98445481806795,319.91362989128834,328.10462620625896,270.4362626438663,230.3393361417821,207.54507132086064,211.60083570219717,214.57780583579307,216.77235691285833,220.77862133768474
2057,229.32923325461078,251.3436847613183,306.85969788570895,290.80003305700444,283.50424996185205,249.14373251786748,223.8298088035063,205.9971218794894,202.9561272845205,216.32960664127233,224.64776331758446,225.16921970463042
2058,220.4427445604785,253.81212457431485,319.8433130652282,311.72072680137137,306.5560170621032,252.07798602495194,228.45505171992153,206.64843677617247,216.18544028204866,223.20241732913743,229.36964496520045,220.2932157378064
2059,229.7945619820037,246.56234648206387,307.67489203545284,302.71289290405,307.3183708931994,210.06435357232516,215.19361112741524,201.927549817309,208.8095994886931,217.52710738215228,222.8931223538101,222.33548532767156
2060,223.7245934278693,260.24836108317925,307.50709348680977,296.6133834005766,327.70165267666596,268.3802769343073,223.37133535848702,209.35367670603307,210.76765601880808,210.41429040859856,217.97308615374237,221.2820315267409
2061,235.08682365666067,260.3350190601851,301.2686481944552,318.2002569869346,315.075973140313,262.6512483845364,215.7969489610136,199.294073351239,212.4704650569589,220.9337477956644,221.151831361959,224.1297479090428
2062,240.68229487725367,250.23909779497086,314.98592277991645,309.9375417821558,315.9190135021479,256.7657634959111,223.22636865646263,210.60907337788294,196.4683733291742,215.5970995817365,218.03485406678905,223.43889883812625
2063,243.9611809948117,263.930040233346,322.6267223492249,302.2782326995484,301.2569775504826,263.87640082041014,218.70102047575887,205.39264612998582,211.77929869669177,222.3118194115382,219.6959766360662,221.99320558282122
