year,1,2,3,4,5,6,7,8,9,10,11,12
2051,228.26564283237107,236.86061081948822,295.4762799102593,311.0490371879778,304.2336030724082,255.78601771741526,207.46846606914002,201.49376197782732,193.81139881679218,209.12703645365735,211.55710246334726,221.00956365286433
2052,233.0258810158238,254.64516993339242,298.938337439253,290.85048052911674,295.36424200029677,237.32707422548938,214.69378882760338,197.56661143495327,191.62054864367084,209.06226576123794,217.08073346413326,218.2933592309449
2053,227.7144824238691,250.41880880951823,302.6520799177801,306.08587122668285,302.36878047599293,242.32775761662586,215.548057563707,188.13552411538382,194.6244533635715,202.6987874644828,208.25762971684213,214.74736413977553
2054,225.957827069524,255.33868603402735,295.8483917194072,297.8308134788488,271.35170935154787,221.77020598557218,208.18553617946944,186.97262175900488,198.1725629110744,204.42856864190233,212.7365261745868,226.50237033764213
2055,228.42407354979815,261.71843684404286,293.7652394404805,300.8889314884938,315.3600970077832,240.31160290899965,212.09097670646238,198.06223539934442,196.54328916791505,210.25998302318752,213.87468693887877,222.39529846955304
2056,228.78437280545918,240.06846538869507,301.09347722997865,301.2005545238295,300.25607898316986,234.46161161859197,214.21269894690806,202.67546517246862,200.7569080856595,209.88530132139073,214.9848624627655,218.33794304615014
2057,217.38678045696,247.1828099478298,298.295844917094,299.10504322738575,299.06977530873695,234.44358925086547,208.45517746487377,200.08932614528325,197.7687598542749,214.11439756461755,212.58739790186078,218.68282625641834
2058,228.41232802524212,251.22827524263093,291.6958338056035,302.13492185817825,305.06244205233475,247.60518249261517,209.75193926167992,198.53159078875862,195.3220655697751,212.63895612445287,216.6133896961034,224.20396970023114
2059,231.82234935755983,236.56010876012928,303.8475536128835,305.2367999221066,305.1142833243537,247.59480470950723,218.47245157351182,192.49661223631327,199.06225317238219,215.80212936430362,214.72358426280144,220.65314648491776
2060,239.20928816486838,250.534646593281,306.7961950406603,302.7515609731136,301.5106107766298,260.2696088159674,216.5930018686391,199.15157544519965,203.99020223751492,215.93980840750206,215.49174908397097,222.8997106026362
2061,217.32885381521444,242.60409974956255,298.12545277854105,308.0115963082436,294.08601479428916,231.4727993864255,206.03194546032174,190.53396566640293,193.909610891499,215.49129752895308,215.9308462235596,213.36889666585688
2062,220.91813916706286,243.9466971081767,296.733148464195,308.8605555414455,304.1874555330161,244.29219440599522,215.0671116707225,192.8017562748596,199.61165864369454,207.7568335780668,216.11390686366545,224.85225012441015
2063,220.9535109548879,246.79174783406742,303.1025722499274,288.2104305330897,307.28578984954544,255.30392369233098,221.17124830762543,198.65890477549192,202.10706658277633,216.16325011042872,215.43214114076488,219.32094918458475
2064,235.3146791607968,250.52427361745498,302.42205135085123,298.677157346799,303.16825981258734,243.22801831881816,201.3957780776756,195.31748456132243,200.02077291794242,208.91051102594682,215.00767286331154,222.29935353407546
2065,234.07489094289025,261.1353723621771,295.78103869154774,294.0567384735845,296.99002353030886,224.55771364328777,208.54195372870865,196.6008922161765,193.90341055293538,213.73701062184807,211.53066458180405,221.61489526165036
2066,238.57223119591018,251.78107400320934,296.52295468776293,304.40316194244264,297.82104519646333,245.51176424392418,221.12764939299467,198.09480908272272,204.89346355790053,215.1446543396445,217.23139048240483,222.5455569272948
2067,242.20612615537812,249.39723141799777,294.5926490888987,296.6835184883333,302.0735229354605,233.72935500148446,209.30087172977923,191.98606035159563,204.5952508899108,220.58090247274464,212.65656423832658,220.812002314923
2068,217.78273435311047,256.2079712817588,305.08716741881176,311.1908790966698,295.01520581466866,243.3043320581383,202.2180705308029,190.6248545740391,190.1896452411775,210.70027322122218,218.8207110583134,221.2686953896676
