year,1,2,3,4,5,6,7,8,9,10,11,12
1991,0.0,0.0,0.0,0.0,0.0,122.89850222776266,447.95540841063894,456.5424196799044,493.1720065952423,261.79700660767594,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,1.5165568652870165,200.41978790392386,179.15737966085038,128.60521887110616,0.17973236761634256,0.0,0.0
1993,0.0,0.0,0.0,0.0,2.1256104688893718e-07,9.205005994077464,259.57840006999595,374.60144246592716,266.9432758438303,55.076960907021885,0.0,0.0
1994,0.0,0.0,0.0,0.0,2.4852503180405883e-07,41.50812218586332,177.30885416362554,88.00257844199291,405.66866817111,71.0217399835553,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0037035036480575004,8.648028761853999e-07,363.76129298863947,100.8248993129248,442.3980901253081,25.886348913633466,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,13.271805386554503,242.5722776378296,499.7246166244279,478.8380779418648,23.84933053246757,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.7507933892145888,54.97438393363109,89.97983570522644,509.01284278264967,257.0912382367044,48.47842478634392,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,1.3389430675094596,502.2662707718949,331.3402764276447,407.0748814080653,79.83520325984814,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.9340317321610975,36.32925610898875,318.5805539630537,166.26698401384715,325.4212116123423,26.53336313080737,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,64.5091965731659,172.8852124745714,226.0413919275025,278.5715341469378,140.20344002153786,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.19392552219414938,19.188506073291485,303.4450001313027,201.13392066262952,193.29832261307618,84.68886052390681,0.08212858547958858,0.0
2002,0.0,0.0,0.0,0.0,0.0,7.185401921898371e-07,378.50051988520886,439.6370473159578,374.17595824292187,8.763625181645649,0.0,0.0
2003,0.0,0.0,0.0,0.0,2.5323101896651545e-07,102.74010388094035,222.65778025543312,247.10182720711478,318.2773276711412,3.840491854751572,0.00027830018675429013,0.0
2004,0.0,0.0,0.0,0.0,0.0,85.91030954942732,202.6798397020793,392.4476079062375,321.0169708481305,82.86854615945592,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,13.42179215107419,295.92376607209957,309.0963462983428,69.30004752513324,11.870297082264365,0.0,0.0
2006,0.0,0.0,0.0,0.0,2.1632453773786677,27.996980942456503,174.48933608320178,202.49823556016594,256.1614558623244,63.853089108969165,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,2.8370511764527513,182.97601258501862,188.18844633270103,489.62905365056145,9.595947213911026,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,1.6734259977280166,172.9123794375652,350.6537654349072,394.36146239079403,17.418460976461265,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,4.305355215302098,371.71045071404143,93.12698531365184,488.8445704177817,110.0043206231204,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.04768129797933125,3.312651522823637,209.54770948627797,632.5703912012835,355.93675855658915,4.586267395867161,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,118.91182448967717,228.92742128158076,529.0832884385893,321.90836738727086,117.82760251362532,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.14961646268147888,19.96662994860137,311.7211504749132,316.8866766513687,221.7832485372658,8.460200113627801,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,43.344127885233824,255.30354145912017,163.79174692369347,563.2930568757466,116.60051615038851,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,4.413506419582519,113.40351005741607,98.04402822996158,152.5051195392758,11.850189468835472,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.17432322716812945,102.41495925459381,289.40529498365953,531.4557522221666,37.92844380071688,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,2.2891020329263156e-07,204.41277561224825,235.13531726512414,427.24556345836555,2.1089825196794947,0.0002761934032045424,0.0
2017,0.0,0.0,0.0,0.0,5.009689612416965,36.530864086471006,249.8712382566274,557.587573969477,330.9774647271771,276.19412701597855,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,75.00034606748008,144.17693924918416,156.2037051333835,303.99043563551203,60.670344874778245,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.16613390653267246,76.36646811894137,249.93632300564047,232.6326170489364,316.0675067048783,95.47667523005586,0.010378406329125359,0.0
2020,0.0,0.0,0.0,0.0,0.0,11.108520981112344,291.7708117014406,449.2007941785462,230.3249059772008,38.55685873751736,0.0,0.0
