year,1,2,3,4,5,6,7,8,9,10,11,12
1991,0.0,0.0,0.0,0.0,0.5592319504093562,121.89387322789247,267.41776968046725,157.95996789237935,664.6486198208188,26.47484601915123,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,17.782821476948353,70.0745510832701,341.7696429379266,144.57165086157562,93.23435801881044,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,44.04960751540335,99.03432949038043,492.8468113526672,232.3812285357888,71.7282778979605,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.260554483816312,33.035789772900685,265.3390103677049,425.40405808124086,267.7859131925964,150.0693066226346,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,18.112967166325152,194.65285471982222,33.125808514611904,209.6051940012863,78.81061959559385,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,60.53130145901765,248.3251054184732,209.2107091979127,179.4659025260906,32.13728696720493,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,73.86269761141519,147.58735144190115,276.37882328202875,319.062143810084,214.5342955588202,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.3333141851570078,41.956004131179625,168.8485565762272,105.1063044286015,266.560917754152,15.005494769632683,0.0,0.0
1999,0.0,0.0,0.0,0.0,1.035100042576046,65.57170862167521,211.6376898695455,221.9115520951171,77.83725145178697,17.72850675691469,0.0,0.0
2000,0.0,0.0,0.0,0.0,15.882787275625871,27.360373610442185,580.3689993156974,316.60433458074067,183.35883941377855,84.66613879044141,0.026190860305054176,0.0
2001,0.0,0.0,0.0,0.0,2.0265476914030973,133.6888052134717,201.73331538564912,291.74445471436974,323.72532989312003,76.87653500808753,0.0,0.0
2002,0.0,0.0,0.0,0.0,29.674013343413353,51.39151849931911,449.87920828112686,350.9451917756994,357.5321468096947,22.109942619874495,0.0,0.0
2003,0.0,0.0,0.0,0.0,1.3692998272692822,27.426536742484792,138.18515266593903,506.5382850037901,197.399902094329,112.0539918589136,0.0,0.0
2004,0.0,0.0,0.0,0.0,3.449732435660652,29.05423012267283,91.85705823446123,399.66142384942924,114.21598486756798,15.350274985867397,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.595651446934497,45.4192675160581,150.9336701978026,353.4644031035092,170.33858790108582,129.14230146343726,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,27.50247914254576,187.43712369164143,221.25436113830892,231.9956813878667,15.82917221013529,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,29.992959128449897,113.03498612470077,202.70100193615022,126.30778307855806,63.182892424866644,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,103.93678756216343,221.55795443449222,246.25641506344073,171.19303575037748,69.87452932264745,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,94.82068224782314,161.62415925209737,292.07659431730127,442.92820380431226,94.69851251270514,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,19.48479216205046,58.70527332112324,261.37848543673624,137.00745333465116,73.11367642517959,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,9.508423916416081,137.86648999082496,309.12168662717454,260.2038141324481,27.930757706619943,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,29.541656752285192,62.81812518327576,113.5398998522042,143.64643892112508,35.20414174657287,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.7080622856228523,62.65991223456572,147.96705634910035,343.327471885655,66.81297517487684,38.67455425074047,0.0,0.0
2014,0.0,0.0,0.0,0.0,1.166670870987839,40.320322907072246,74.05166256045057,326.10949433165746,153.5303580641525,110.70311270572202,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,124.15983681584926,294.47701780059504,379.27819553983386,441.19981967538797,145.09562181823085,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,1.5076957553914772,70.02610067946213,315.71191020922913,157.54544133717374,26.99158444971871,0.0,0.0
2017,0.0,0.0,0.0,0.0,3.3322226328109714,49.272257281340984,273.0280114272325,380.71773744076006,232.0560649774838,102.64897669538783,0.0,0.0
2018,0.0,0.0,0.0,0.0,37.73441971094394,202.80174139655998,216.3554162388357,267.2517523441042,46.034796877402755,122.44616539459291,0.0,0.0
2019,0.0,0.0,0.0,0.0,2.753031334348961,82.54397014775265,192.9975509932983,405.14484217027893,216.7491143570321,28.459303878568797,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.032520050634609006,8.888754199670062,200.8730064612198,390.3324340230539,200.9365070943918,2.1062337319180955,0.0,0.0
