year,1,2,3,4,5,6,7,8,9,10,11,12
1991,0.0,0.0,0.0,0.0,0.0,40.47435561888371,250.80926002710885,263.3761914022506,402.4789111131559,34.150155141401626,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,125.38382057111588,202.35242042609013,361.96550002006967,423.92521874250497,55.618847637173495,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,46.94423123210585,296.42264963632505,346.3397653390215,379.7592572878739,74.8596730635205,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,55.66153375259805,219.99432215746924,276.8606892632123,489.9974156392506,78.04108283315765,0.0,0.0
1995,0.0,0.0,0.0,0.0,11.012238834785954,67.23184953398192,307.5500988281756,310.99794875769896,397.0515180547337,100.6319327470438,0.0,0.0
1996,0.0,0.0,0.0,0.0,25.22810370781074,104.02817593215336,325.3297770045418,270.33089751642024,453.79388524026876,99.34496109571779,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.29140976394200063,130.1130297648469,181.675403446129,304.00401610899627,249.3153393455816,173.82651148226077,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,64.06648325393648,193.3402674775713,262.15690760816256,210.62050632717336,49.152740949626576,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,79.51432041094861,394.02140620794836,256.4627462971327,310.2864938438212,138.37722764442304,0.0,0.0
2000,0.0,0.0,0.0,0.0,2.446369241354445,148.6727781329509,410.5380693139005,463.88628282626973,260.80935794358595,96.10131382874434,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.8161868436198358,47.2914028522105,270.84239287478755,314.7174423859833,390.43944308498465,116.44769672016112,0.0,0.0
2002,0.0,0.0,0.0,0.0,2.8080131115883717,76.39971565158699,257.9771761791945,273.8095296915743,379.9711767934849,149.06935376023557,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,86.90399047678274,198.47663992100996,419.41920557273903,282.7335749674957,57.44573919868118,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,15.985957517547833,327.7645953429318,345.45738684860186,465.49431653410926,190.77397598395854,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,64.44930879883944,344.8398006862613,280.0407523045554,413.2713283231373,112.99688527214778,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,64.9919282621703,202.51320412450417,381.068660776787,369.17682213779483,105.53008755261432,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.2189088290317179,196.3623410934757,338.4336967122329,392.7238473132969,468.16609476744003,41.92964424052996,0.0,0.0
2008,0.0,0.0,0.0,0.0,4.127529166767305,103.5151337742838,449.165200753747,318.6477606691284,305.88421495303527,48.52338273027786,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,8.556941350196883,268.55049428243956,266.0771835635079,361.4655242064994,34.18786415937825,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.07983427107113607,105.88081746647632,295.40464287182795,367.01262065015527,275.03046051125017,140.38026169393427,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.9081532619821693,49.95643018665103,353.23734635626397,416.24451957209675,63.59267769750991,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,111.79475270323181,234.9141768283746,205.6403578306926,211.70733307830034,60.815063161138355,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.24946668255443366,77.59885919567856,371.8866799917147,323.4403919841017,302.34858077363714,137.17184006928966,0.0,0.0
2014,0.0,0.0,0.0,0.0,2.6222478026638876,81.40422242739258,282.2628362818674,334.3263533254714,561.5108339973705,129.538786476093,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,17.35634072595115,329.5570715635587,277.5506104652403,270.86635829853924,231.08150248143045,0.20772463524946838,0.0
2016,0.0,0.0,0.0,0.0,0.0,54.17703782511204,257.6013974831849,271.79146300984326,324.06732329640573,180.92378266334384,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.861934065251398,165.78209405441015,251.42796476561,280.82657623977593,274.5836200777312,54.670310623847556,0.0,0.0
2018,0.0,0.0,0.0,0.0,16.507883475855316,185.41364504218507,278.6049913717131,379.453619329863,269.9300825979488,74.06255550941461,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,25.157113336036534,91.99860921907438,362.0546861982972,341.29344584875275,16.35590810503776,0.0,0.0
2020,0.0,0.0,0.0,0.0,11.588664843418465,47.760511288163514,392.95228018306864,288.1051748850346,510.47716278911446,115.63231981951489,0.0,0.0
