year,1,2,3,4,5,6,7,8,9,10,11,12
1991,0.0,0.0,0.0,0.0,0.0,155.0575811042564,277.8630037400357,279.32060687145014,337.693585577944,141.93787997942192,0.0,0.0
1992,0.0,0.0,0.0,0.0,2.549291637603848,0.0015613791565997615,176.68108862351176,139.47712209251483,135.28962213343434,63.90957703024791,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.7254775760546579,129.0129027597686,154.8178610771049,307.633911120261,555.1997846766782,226.17023144207855,0.0,0.0
1994,0.0,0.0,0.0,0.0,6.037327871682671,127.9036647745886,282.6312362749324,260.80350083444455,317.28752059471395,120.11934055448671,0.37266458117784534,0.0
1995,0.0,0.0,0.0,0.0,2.938219923437746,14.843023950784428,249.54339641311682,283.7527614005791,328.91847629481083,137.54161005701735,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0735273029162806,57.405773812681055,211.16023327242664,294.6640905124445,279.6165064386279,45.37429339776139,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,50.822344273044095,344.35968077636824,211.87245631337498,256.17345591186995,64.56732732217618,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.13523585824095843,121.34146331979665,392.76925196920547,396.4918437783909,581.161126838369,177.12944923290164,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,162.4065462613548,342.7500297485963,337.14494219420527,363.2343176233208,153.89708413948256,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,63.537752289686885,158.00810311742137,137.24623248200282,449.98725587228324,135.3130389213216,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,31.632945654474725,321.3737365590539,346.13542422818114,684.8612701654364,66.8036678670987,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,118.00011768065247,218.7686446221097,317.8271969541547,414.3210630307167,88.19522933074394,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,49.28499899031699,350.7726066965692,320.29078210751044,310.81609936285304,103.36721356808567,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,7.702884770763256,336.92805977392266,273.2690168755417,370.54949826109356,53.03150194360285,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,17.871929925263558,351.8197946604951,333.3824260499441,341.0555743202977,195.65722241249946,0.38013500903284797,0.0
2006,0.0,0.0,0.0,0.0,0.0,17.473752054785805,310.98669933862357,382.30450909491714,380.8200326746767,20.15018033541582,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,17.903631444986967,231.74996829505795,310.3963701423735,470.0562146840041,218.71386052132522,0.038189211063307034,0.0
2008,0.0,0.0,0.0,0.0,0.0,17.970965300037374,242.94758022562613,340.94072271574146,318.17217862776675,76.73155905242703,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,14.366439971294964,123.96329508186537,186.63415919861453,232.39047241994402,64.3097810703018,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,69.90973837375097,278.7425766513078,335.3146110525552,194.63669093921615,105.48712027971806,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.1717948399504511,94.38376855021038,255.89556246225777,452.91457438276643,394.96482297037215,13.443439362473477,0.0,0.0
2012,0.0,0.0,0.0,0.0,11.869910471389376,128.70819734933363,193.8791297559863,424.1057955523737,250.9728774388091,88.30639537780458,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,87.288262768433,314.9119883774421,360.9513996350493,274.56473904254193,35.76949332876427,0.0,0.0
2014,0.0,0.0,0.0,0.0,8.629837062924423,209.5286802042411,268.11343491009904,257.2702295822851,285.2048317576311,88.20771652884861,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,107.69808063918234,271.78395485415155,318.6159850800944,336.2511726395025,20.40945622918155,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,7.657352211591434,337.50270159139814,282.736510509423,525.3109228168057,96.06733299781698,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,106.09979865780241,220.9652443313227,383.9021494889633,448.96038172820124,68.4148219068301,0.16360034567796436,0.0
2018,0.0,0.0,0.0,0.0,0.0,137.23295727857158,275.5498228747341,269.80111289208935,386.23152189479896,55.849318280693474,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.8581664082751987,91.69958379212885,188.19238731655773,283.13011222504065,354.18925591985965,85.28391058034353,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,34.9194982422302,211.79771247224804,394.33653414554965,231.77110185556745,70.89161331798867,0.0,0.0
