year,1,2,3,4,5,6,7,8,9,10,11,12
1991,0.0,0.0,0.0,0.0,0.0,74.49483271052397,261.67470194623786,274.2369726835279,557.8393252645233,112.65124300629742,0.5978553373871981,0.0
1992,0.0,0.0,0.0,0.0,19.47537489968166,47.59365237544921,469.4760981683386,413.6582707375649,324.11551986747054,113.25799417746029,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.4318657301200777,194.08687512969516,485.0868012673933,413.5265768189988,419.787373117135,106.6296352674863,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,20.183087352450677,259.5740592783505,345.3872675987257,272.03028431425525,95.50853823270717,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,93.34415513075783,145.68861891228696,151.69675948887317,227.71976105472487,20.436233173261044,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,52.22988137760183,295.6875504855238,291.8791941377134,468.4627417931842,80.12192145648947,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.8246150211563834,180.90023756236846,319.4874510774937,488.65675429727446,301.95456896567634,171.54316359088833,0.0,0.0
1998,0.0,0.0,0.0,0.0,15.616598419139851,49.66016896529784,176.11986480137733,459.9202121849727,268.2127062334398,106.33781288988284,0.0,0.0
1999,0.0,0.0,0.0,0.0,11.645387722022104,88.45409340157184,252.4755536695929,304.8377731486793,484.35765759923567,76.04138472770997,0.0,0.0
2000,0.0,0.0,0.0,0.0,2.613574262355514,167.17746185146066,371.3587280151149,516.1096300903366,240.8904351746556,55.26234888002554,0.0,0.0
2001,0.0,0.0,0.0,0.0,14.625223454244788,22.07499198253621,269.5546227491099,420.02733652292807,340.2487204343457,71.85572995829793,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,100.88603350445942,263.41225737683885,342.0429399249991,375.84762257706245,109.33517391934912,0.08248656559430657,0.0
2003,0.0,0.0,0.0,0.0,0.0,59.264845471036544,200.00134144348047,216.52826754457402,342.7969879015731,119.1635350782673,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,50.57769386169309,232.33728823786618,330.24531186969944,439.5878575894035,110.95889026537955,0.0,0.0
2005,0.0,0.0,0.0,0.0,6.156917280766372,103.09472191888645,297.6342993715932,365.0672880099951,293.02156287799124,143.8622090501053,0.002594186810239741,0.0
2006,0.0,0.0,0.0,0.0,22.590404109679973,99.17714594355633,247.79696587941405,299.4680105718796,379.09714350549405,100.76810620289773,0.0,0.0
2007,0.0,0.0,0.0,0.0,3.7230882562843868,42.05345313073682,311.26822466302167,257.98540531888636,300.5135330735951,69.3009783361235,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,53.62648457717368,269.24872303455055,241.59846818580732,429.73831388417335,110.03536101148808,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,15.680967355650601,308.21599728027456,269.8915079784155,376.0683026536302,188.1135323606381,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.2786717507598608,57.08317193864163,222.95524721529026,143.5242352994099,171.35465246724934,155.35452886161397,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.4103481136529283,11.91411795642414,164.10189761376233,280.7231828774561,230.26791477156507,116.02384923509368,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,1.0085192761719135,305.78375473531435,230.81879677235017,405.95007651440875,190.42168384176887,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.12915709366001005,94.05908480296185,166.08762199260008,339.3141197512787,379.9600806752655,137.4452414392821,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,29.04442397552735,174.3076536578544,264.6827045204566,295.19259241859135,41.76335722137053,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,76.13487146854187,338.63742160324847,336.6230625301186,378.08546277896164,164.1734987166638,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,51.27663180380064,235.60071682817076,489.9092988869504,437.3425285668626,112.24341846735149,0.0,0.0
2017,0.0,0.0,0.0,0.0,4.131209138773489,87.73123888427006,304.24546813353925,472.15157483741206,453.03824627287025,65.73169972326603,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,129.91422230099184,204.44514442995856,243.41259821152104,332.81869768807945,162.50305796102305,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,39.96333592868177,326.4139766146953,242.64300134180104,411.7469472392837,120.32978791052973,0.19681796823391184,0.0
2020,0.0,0.0,0.0,0.0,9.605149626455226,52.40182311269468,276.92211389177004,379.14017349672673,353.5507531340072,182.51599678287994,0.0,0.0
