year,1,2,3,4,5,6,7,8,9,10,11,12
1991,0.0,0.0,0.0,0.0,0.0,143.7995752935732,390.26116043873964,317.9233718510615,372.85434962612635,325.87669574615296,0.0,0.0
1992,0.0,0.0,0.0,0.0,5.432984345393944,144.8584850678057,651.0342693970059,417.0648654514616,442.18110676083177,151.6882705636937,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,44.94648561553605,184.6589368478886,393.17499908247925,435.93435166409716,35.957023422860004,0.0,0.0
1994,0.0,0.0,0.0,0.0,4.68455342350653,102.24830674204938,248.3318296176843,216.52776436450907,388.78227885369097,98.7297095055348,0.03110695945939307,0.0
1995,0.0,0.0,0.0,0.0,0.0,211.78654872088478,321.3133013696244,356.92093053803404,411.4155642993246,11.611432134981836,0.0,0.0
1996,0.0,0.0,0.0,0.0,6.728641709864862,10.992176926398017,268.217287759743,168.61864152421202,335.4664724201678,90.73697189654428,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,148.50172102691033,354.83099780749785,377.95210116672064,469.3655934822798,22.26347682575179,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,34.80871125337029,213.10882504603063,284.48501641060005,244.31104170398328,281.26136761577834,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,125.02815879003566,405.45231475864585,422.7346379565601,537.3362482732826,204.40913087306132,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,8.861864834634206,180.4053021374452,340.1744827523118,231.19427746535976,216.06731216369133,0.0,0.0
2001,0.0,0.0,0.0,0.0,9.756204048186579,50.103296901240064,333.98446128711885,505.5934255140439,502.015977263801,36.714936232971276,0.146417044852849,0.0
2002,0.0,0.0,0.0,0.0,3.1450147586978097,29.952853855264312,353.30753126468187,412.08422288443785,530.1275508535125,230.62500535715662,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,57.96669364852499,34.079288527990926,186.07618032275417,431.5623534013223,172.8384987438267,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.6491671943646966,97.76631753832329,329.77814627777536,266.72961067166443,437.0711540825797,95.04268048450595,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,68.68017750280083,392.33250036901563,333.87101762368997,252.77745430823302,58.392092325158124,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.7323849128728877,79.80738722459765,390.32319351416766,505.823415193031,268.32317045712074,114.83854973813982,0.3472626556740117,0.0
2007,0.0,0.0,0.0,0.0,0.0,34.703176133791814,380.5702373085899,426.3139684397921,287.52820479827926,34.51625369907398,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,84.18342777646903,216.08949228479236,251.93376242537823,161.52187670670466,93.17109009155489,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,15.692574534736119,242.31990045018827,306.1543583975166,228.22942143244128,5.953992822611884,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,15.959163209210864,105.88330682023891,180.57879303056154,241.11012097972312,133.55503627926572,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,33.502571893676915,114.19879529914452,352.91890841755355,478.20106710120416,115.0385600705555,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,63.7579377329118,117.94074550480401,194.8680957220999,477.8027275749183,123.36696285588681,0.05482489084921743,0.0
2013,0.0,0.0,0.0,0.0,0.0,36.63106807832149,271.19542580361707,470.70030302166356,344.6274944689064,54.94353461612557,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.42123224179672164,4.752507661880703,72.50760671564215,355.13845040027775,42.857130098288856,34.48147885012793,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,84.4157775150038,158.60634870172595,304.4088124810789,501.3273969413382,57.56268176530861,0.0,0.0
2016,0.0,0.0,0.0,0.0,35.8763081331095,132.1629314807757,261.10082515684854,436.896586908891,248.26879112814757,97.4407282708307,0.0,0.0
2017,0.0,0.0,0.0,0.0,2.2483066880095737,60.77209792439216,241.92349423301263,184.33171795146134,372.1041590759317,116.62531964199184,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,20.025656645987837,208.04013944718596,307.2013987144873,289.39613075818795,137.83592808954123,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,23.203041486803624,195.3927429779978,302.7027854230943,179.95693505639738,41.64480777355039,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,28.27381043709979,209.03546547663305,334.3215944323097,413.9782471880598,21.844881896930936,0.0,0.0
