year,1,2,3,4,5,6,7,8,9,10,11,12
1991,0.0,0.0,0.0,0.0,0.0,20.783738677987827,254.97219093453853,417.77376929287584,413.8145255733956,0.028267924449210113,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,114.71868762085819,409.79952638472395,483.44621178405924,411.6254763478108,88.2406613091471,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,66.07244939946919,316.84355173481487,177.85297396014343,203.59070723977644,88.36004662354102,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,86.39059488965476,147.4460027277492,216.352093722528,364.2364508268123,38.69900993665337,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.11909186059134341,145.46388649206241,188.65698575222996,243.45042730643308,122.82471856071747,75.67546542414911,0.12109877162894774,0.0
1996,0.0,0.0,0.0,0.0,5.731842897712348,66.06806864026377,253.26170965907707,307.7105580393231,481.096701735835,24.540278909774,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.15317131083663355,0.43973458887626937,166.53290379136666,142.07500146475482,311.4505534125389,73.22684390640495,0.0,0.0
1998,0.0,0.0,0.0,0.0,18.738038923191564,162.58129339976708,169.05323481066986,256.1123588518673,112.24614204575468,44.945309839819494,0.23506656684229477,0.0
1999,0.0,0.0,0.0,0.0,0.0,122.11117483736894,165.32034164646151,278.6309609215603,580.2644225977194,173.37691134444844,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,87.90831561857011,60.887754005591006,241.5374732871962,284.1832780481785,2.8106144401158364,0.0,0.0
2001,0.0,0.0,0.0,0.0,13.284365283741757,76.52252132059225,322.69615269763403,244.25567961287499,363.0926938945207,16.5699316427631,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,144.0309660753808,356.71427616198855,250.59604817568786,164.0036437993769,140.98967071617167,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,20.61464990259371,204.8504321075772,450.6595782046053,190.7569043704575,137.3804657591938,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,41.68605407007253,299.61015069994403,276.83810915417337,435.9003318292603,100.42364494077361,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,18.390895292159488,261.37307489322234,221.22877333844318,356.96246477465263,95.41122112289065,0.0,0.0
2006,0.0,0.0,0.0,0.0,15.4376660984914,107.83555271972268,216.8702041505655,395.91122715479213,543.5894753703462,6.889900534372343,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,167.15154482631758,346.1385053176491,336.0077566209564,352.3182593925584,17.950476177023834,0.13989502681582883,0.0
2008,0.0,0.0,0.0,0.0,8.404466698986075,94.7992360996776,419.28582490645914,372.37424914775744,582.9776596744789,130.27895938549938,0.0,0.0
2009,0.0,0.0,0.0,0.0,1.9960872762129716,77.61890822568029,374.4820659817946,579.9077443272324,560.3949426648018,486.7574310390678,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,177.31893824231514,331.41011723704474,280.67224449600457,482.31286752943726,224.5612748473983,0.0,0.0
2011,0.0,0.0,0.0,0.0,4.2109960712178145,73.65465526347691,273.196818083685,231.71655423456264,360.22931324781456,13.851562864759597,0.0,0.0
2012,0.0,0.0,0.0,0.0,7.942064944120212,33.40547942725149,363.7219768696167,471.3684804679756,168.53201439611667,2.131807348067649,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,85.88814155814264,389.3663961571921,542.5487853222885,396.009758056156,144.27986310377906,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,67.983488399278,310.2613016301438,157.21258658821716,187.6163805293333,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,4.747668271624496,135.39200356263783,409.045060820562,339.5298689210849,749.5185163622551,84.92228995289342,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,72.18346400498173,200.54302219465984,186.8725637918164,139.8685838447525,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,36.63125216741677,288.067541308522,232.87690242573163,454.80466801018895,8.798696621365606,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,46.1729810560721,348.7541823443377,140.62861834042576,329.32058213144273,96.38077666645117,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,7.85507297035786,489.5697584085321,140.11029809614314,159.39730879597516,1.4250105465786778,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,48.129220313084794,94.8066248926493,314.7679918287891,189.1796235652954,21.919684633617763,0.0,0.0
