year,1,2,3,4,5,6,7,8,9,10,11,12
1991,0.0,0.0,0.0,0.0,13.784802720657654,99.11902044652719,188.2221310310854,250.07751873210293,601.1563858917426,77.5116094124447,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,51.034418721374564,435.5155631369101,386.39175237064603,786.6356752844049,114.41997668655814,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,48.28973202653346,363.44702225396844,476.5970829373431,535.9321122244594,194.27690116394825,0.0,0.0
1994,0.0,0.0,0.0,0.0,20.711632780900008,108.64368118934101,181.94934930350914,368.0350862222604,242.29842617862352,130.33236013902177,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,60.98596868221818,210.23281634212276,255.59050963859482,433.50692151415757,159.53757643068016,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,109.03906993222152,366.2621936982467,217.63791162311182,450.4116080776659,85.43782607049383,0.0,0.0
1997,0.0,0.0,0.0,0.0,10.349310783730084,28.637443567806887,382.0619125209437,262.6337329804773,350.70671670138114,148.56614740786952,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,117.05478333831866,297.7925102307956,278.97172106003507,289.2745514228312,42.03417048083405,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,128.5826064464006,110.70240019026139,324.81484882417044,420.677571796139,53.05052509670351,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.2924328634427837,114.23010281867779,313.49273011580823,167.1428251149267,295.8994897375572,70.54796103830094,0.0,0.0
2001,0.0,0.0,0.0,0.0,1.2162515099201936,80.41636747069921,125.25180842582786,244.9470805967169,408.1583279503249,138.93287375260968,0.0,0.0
2002,0.0,0.0,0.0,0.0,6.930281370502298,30.93939851052749,308.5629864954514,227.24019538428226,155.91603153904887,62.670675487473304,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,60.778320966082184,244.2747728521437,345.3102638180199,388.14529279925466,124.73077814682448,0.480771919319661,0.0
2004,0.0,0.0,0.0,0.0,0.0,8.826496651734555,84.06542607161889,510.39016613310326,251.6876926677384,60.703583050924905,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,56.66026226872086,209.9689192695687,376.85746192956776,528.9928328787353,50.68876146650127,0.534670088271246,0.0
2006,0.0,0.0,0.0,0.0,0.0,44.917761026538166,90.49389133678677,208.74959316609568,180.4811396225982,50.8121877072837,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,75.14016030450843,197.21656892334954,236.3689426656985,157.1804133819125,120.8789229705566,0.3940442187190773,0.0
2008,0.0,0.0,0.0,0.0,23.588181375688833,51.71502937195047,268.44571838040054,346.18870457928523,301.5636075998247,139.03710495398016,0.0,0.0
2009,0.0,0.0,0.0,0.0,5.034685461449559,131.22721560873288,246.08663950380742,232.7417398079597,233.15906280990825,231.94316162354235,0.0,0.0
2010,0.0,0.0,0.0,0.0,36.06007118553589,60.9699940552969,294.8277436958988,237.2204760289828,400.57144963869706,100.14795601471351,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,166.73738127998493,230.80565491134385,123.817255456068,365.8563638966133,127.72414191776397,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0029557618501195727,20.140909157750315,68.40501267292305,390.51663270976695,167.68783716248203,34.50055350561797,0.02212371925883812,0.0
2013,0.0,0.0,0.0,0.0,0.0,16.82472980734194,454.6018258327833,368.30365395883405,282.34479308023555,80.8300816834217,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,165.53040819295617,138.22833915004742,317.6870549868831,314.7627142743558,104.64548013326163,0.0,0.0
2015,0.0,0.0,0.0,0.0,1.5712617465779584,96.35715301637613,165.16857924353982,359.7679270938527,407.2469385655904,168.62777388996292,0.013754355229767798,0.0
2016,0.0,0.0,0.0,0.0,18.726565482665194,79.13118854260891,333.2770701443618,96.88969144779061,217.9434467722795,177.19603525166642,0.0,0.0
2017,0.0,0.0,0.0,0.0,3.7278060021034474,54.94536833370076,345.0784075679836,315.84869181666784,471.51907263506234,214.19427381713717,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,82.14475215830906,268.2978918758354,228.58686578579812,229.15425973539612,112.478873940087,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,36.838924529443645,192.98568046159667,205.2632183474057,207.52452349488107,118.34629437534032,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,64.63851577687062,72.09739936931476,354.6089371279431,268.0557109378126,44.409711707477435,0.0,0.0
