year,1,2,3,4,5,6,7,8,9,10,11,12
1991,0.0,0.0,0.0,0.0,0.0,31.922427679472797,315.3860823445595,407.1793222808241,332.96166436880355,113.90719003077274,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,43.47233994400436,345.8351771949439,376.96018035170795,290.2153914466573,84.58799529812654,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,25.49633756134495,292.24140521304616,363.33152289035434,391.00748984980737,94.52990031734033,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,37.988347336598935,264.7683910261382,328.27465546997774,483.61705052557966,63.81739341224498,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,64.97815768392749,366.1617932219418,332.1675784070119,392.63754826354386,11.494696735879348,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,65.78971997944889,241.53552405831743,336.914835790298,297.06625318450045,145.2555930027633,0.0,0.0
1997,0.0,0.0,0.0,0.0,6.673024029162456,155.81713528504756,276.20081705726386,381.30805794001,520.9784764946912,75.0713869252398,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,77.17185803587829,284.49413991515587,369.93554871135086,330.3448491519598,89.38232650256617,0.0,0.0
1999,0.0,0.0,0.0,0.0,14.706485614450244,141.82496175796172,209.2747969880891,383.0887369449068,319.08312596153297,155.2454771263581,0.0,0.0
2000,0.0,0.0,0.0,0.0,12.509401172275435,7.84269211533882,329.6300189544822,236.45630278882683,365.6416871612506,205.5328985000429,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,5.305941866347622,339.9810534348162,346.9420271157865,412.6340978361161,79.02935807013611,0.0,0.0
2002,0.0,0.0,0.0,0.0,1.0980903674958489,103.52285859564024,232.63121847465615,287.768329381272,466.223479320475,117.97091143395329,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,94.21016599157008,238.3398957291014,231.20446387635184,433.2417224700282,81.68696466178687,0.0,0.0
2004,0.0,0.0,0.0,0.0,1.003444622222399,107.29247753950555,334.82649646131,231.255995805978,425.6500774853783,71.95117406684246,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,96.79504193083156,418.92139414990237,346.14358863620146,344.19037859587024,73.21123490583484,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,36.165494110354466,248.65885151290664,394.9027598249291,387.11161630031967,86.66021557927716,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,72.28841384632857,292.55480763715036,283.28599058785903,436.21984773096034,64.46820238396631,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,22.592964121357635,277.33253211126515,254.35871213979803,196.9566530452747,61.395164991157074,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,80.72411607630282,269.2944137158144,411.83647918742054,222.51824183812582,190.0031605695025,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,79.82928187192552,159.36216785592708,319.0802491019812,315.0311661050216,88.74639705936445,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,50.328359652330896,352.553529242647,476.25018685129373,369.8278428835402,115.27628154791566,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,60.80221415844341,258.95070924576004,293.38952662058887,299.6827793959931,78.42838375786512,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,104.2343275223965,239.7774627990135,307.7926328726424,364.3395458565158,71.57918736804358,0.0,0.0
2014,0.0,0.0,0.0,0.0,1.654081751624289,70.58808503793982,195.06658470533736,328.44147431830004,281.02434291520865,17.684673473813344,0.0,0.0
2015,0.0,0.0,0.0,0.0,10.72270885579872,78.37136601416394,214.4634870359331,322.48202349817456,324.2474483723253,94.53868817603319,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,103.76574849714407,281.9579656950329,282.1520274059232,433.62735893998865,59.423206162806196,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,85.80039574233528,195.68514197900538,350.2281568306561,303.11129032472275,189.39469026132076,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,57.78153551748233,267.3553705079624,377.2928240430996,281.5088297190846,116.71585283256638,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,3.204019496619111,141.6480420815193,350.7586203067881,493.2882488704161,66.58726496749244,0.5356943509006269,0.0
2020,0.0,0.0,0.0,0.0,0.0,185.78789463215494,261.33761819718455,141.04666791623123,250.36514990128663,38.68059734489302,0.0,0.0
