year,1,2,3,4,5,6,7,8,9,10,11,12
2021,0.0,0.0,0.0,0.0,0.0,18.13377673799505,90.01135424941774,367.9966778558602,388.38994696620966,47.89644023114253,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,23.32290665868137,260.4883139751989,323.22647172016883,279.80921830264083,177.7942424323364,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,46.706785297884316,228.806342906404,279.7749233591382,350.82099692898,166.1987539637754,0.4781276544877049,0.0
2024,0.0,0.0,0.0,0.0,0.0,4.236762036163431,227.2813477729551,293.9601899859443,557.5836180798312,23.393378634395162,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,35.391167483902095,201.29838367184027,178.0288155540923,369.2100354525122,43.89442601034129,0.007626594843281654,0.0
2026,0.0,0.0,0.0,0.0,0.0,29.163179142906444,447.16975607770473,374.20602763018934,350.10618219515106,121.46757252736467,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,25.1678618994957,190.78814860646156,360.47774183758696,447.62360256657763,27.562762171420502,0.0,0.0
2028,0.0,0.0,0.0,0.0,2.5960333660404626,60.72527412467104,236.50903356041283,369.2190812674044,459.4661715345274,155.609661870413,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,4.250395174863012,203.52189825474574,297.82981181806656,201.7190399748653,66.6498064440577,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,25.499245353371446,289.26697025294925,253.90746342910919,293.8765131389468,67.72057040281123,0.0,0.0
2031,0.0,0.0,0.0,0.0,0.0,62.66604780890313,327.53487436869204,264.5258589293755,559.4596233819786,41.73001689475501,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,57.77475466343941,294.2393120350257,243.2272294434031,372.52043683498107,79.31554729903235,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,30.420379605262383,255.56497660877426,207.8870797015152,639.6462569308435,59.89510684209646,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,30.306020485881664,297.54245440641733,231.39947600672647,444.6182729863938,171.09878250649763,0.0,0.0
2035,0.0,0.0,0.0,0.0,19.06439990895756,124.83887825950501,205.9372318358034,357.12891185465946,453.30031381149126,171.7687489246037,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,19.77901040996405,302.9103737810519,298.2850806234661,491.00796401367666,157.73273724083407,0.01700835314264318,0.0
2037,0.0,0.0,0.0,0.0,0.0,42.686359749493135,327.54857829738796,342.9005521127623,288.2773547055357,123.344564364565,0.0,0.0
2038,0.0,0.0,0.0,0.0,4.443269454080227,63.374263894036474,225.4225010690784,308.88313622089726,389.7103232086142,183.92516075555415,0.0,0.0
2039,0.0,0.0,0.0,0.0,0.4523938437265183,59.10512013353057,253.48579237855643,331.43317006947046,375.31236977572513,95.22334039585691,0.0,0.0
2040,0.0,0.0,0.0,0.0,0.0,25.126270824743255,164.4100794093804,341.7453535901438,311.18071371619027,57.99399493098535,0.0,0.0
2041,0.0,0.0,0.0,0.0,13.342907145506636,24.33482580135119,387.72176290161946,250.79847299350075,313.63640174608685,71.4928219832691,0.0,0.0
2042,0.0,0.0,0.0,0.0,0.0,156.54786744671617,216.87297488604418,327.73939675662825,428.5937186070412,80.03783264040031,0.09484463380699332,0.0
2043,0.0,0.0,0.0,0.0,0.0,50.618289293924065,136.41596926474713,173.89154205365455,272.3411280641142,44.007685000650184,0.0,0.0
2044,0.0,0.0,0.0,0.0,0.0,55.43287824923782,239.04675829700105,371.83740110216826,494.61710169416665,49.16017189692516,0.0,0.0
2045,0.0,0.0,0.0,0.0,2.6992000539897543,35.95173916556903,171.87811022821177,408.74622347573313,284.664183786888,48.619321751059104,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.9869085953273219,46.12066699243293,207.4062822341258,441.14751470981247,309.74158904397336,50.80568496689324,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,201.8600503224334,468.38589091313304,252.81782667247094,508.70463172215887,100.08484684048727,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0,64.57451908713804,263.82360926717394,300.3635723643517,249.94880623407346,19.9682614094437,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,44.550049506629335,166.5717109480376,343.93586423679386,363.77284383282125,64.28331784521102,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0,9.902441907762466,265.5049837617669,269.69955112909463,381.4251671139097,133.33495126947943,0.0,0.0
