year,1,2,3,4,5,6,7,8,9,10,11,12
2021,0.0,0.0,0.0,0.0,9.125787244252528,125.22655703833419,287.7844131216834,294.5888518618554,499.30990369466895,126.53491916120882,0.0,0.0
2022,0.0,0.0,0.0,0.0,3.9633856825715092,84.66995063538144,235.06218113780304,352.39685278263,293.0220493499766,123.0904191919406,0.21251051943152416,0.0
2023,0.0,0.0,0.0,0.0,0.0,84.66183062287067,118.41812886945314,261.6271626171198,276.1994043244382,40.59451856609423,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,122.93546603801764,261.34445331230893,478.3848567391815,495.65381097116193,84.8162756072482,0.22366356518754263,0.0
2025,0.0,0.0,0.0,0.0,0.0,134.91970071815206,248.3006539204955,485.2459040906333,317.799932940587,8.935964443583147,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,78.70336166837201,294.9755406835093,200.16888458564367,205.78053588592513,136.87870398231092,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.021962507787037778,69.4063267899429,237.26476462406933,471.85743515317085,205.91151648164094,102.14870480094801,0.0,0.0
2028,0.0,0.0,0.0,0.0,17.46530992286549,58.35906869537487,207.14202984476992,383.5149229662766,580.1500065077483,58.244018409598524,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.5133885198076473,46.07451680236424,316.6963612279005,164.33384227665098,249.89870908361152,115.26435461684116,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,53.9591925121585,245.0353405628114,314.69925194992305,255.53215753426684,202.5306968249038,0.0,0.0
2031,0.0,0.0,0.0,0.0,1.5685446888224164,52.948973295069216,276.5010209807454,251.6027631013987,262.9628807635004,71.22267747374352,0.0,0.0
2032,0.0,0.0,0.0,0.0,6.403033116758772,102.69472929993763,379.62718380182787,401.72610801971786,153.11354013871704,61.53576356572681,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,135.50223693656517,138.83348079771994,312.36339057510264,203.25807759507575,90.66980464795635,0.0,0.0
2034,0.0,0.0,0.0,0.0,4.928918320897973,127.17606636992335,230.79907428399335,170.96652838379734,367.44113397032305,49.17192222911693,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,43.497757042711584,256.90969070439985,178.18452458921433,231.63121876360827,169.62107561276142,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,31.69516603798004,243.62096783058192,270.2143303105836,324.73411496668996,31.01676161357515,0.0,0.0
2037,0.0,0.0,0.0,0.0,48.01407951745576,142.2792794611586,395.6333149244449,449.0599360769249,385.26291678990856,78.10048087587768,0.0,0.0
2038,0.0,0.0,0.0,0.0,0.2180037893479189,57.93192675081503,360.3908446885616,427.79796252317806,480.70652002112877,93.62107118009719,0.0,0.0
2039,0.0,0.0,0.0,0.0,4.719733408177156,74.99998299339269,199.77749046946676,357.5965781305851,487.3000872081118,64.50271736699821,0.0,0.0
2040,0.0,0.0,0.0,0.0,0.0,94.37481883414047,110.16738016068888,178.8345150175359,246.96290525230037,81.0256095190075,0.0,0.0
2041,0.0,0.0,0.0,0.0,0.35190784541828496,71.1109837403778,217.41666397346432,265.7013329545464,328.28256201381726,55.20891678157466,0.0,0.0
2042,0.0,0.0,0.0,0.0,0.0,24.448023605460023,267.9327928334256,473.99292798174884,393.6991228951901,109.36226302668035,0.0,0.0
2043,0.0,0.0,0.0,0.0,2.909554053947444,75.49064568161971,188.1849087641818,416.163131823759,265.17913091005084,85.56565116937158,0.0,0.0
2044,0.0,0.0,0.0,0.0,0.0,6.100630173473279,285.08105446982603,438.9345328069954,376.57129289640164,80.88069055244227,0.0,0.0
2045,0.0,0.0,0.0,0.0,4.404278064832225,29.619372480832613,211.7143087282714,250.48879682954637,170.32905864376994,64.18393975893973,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0817247643776949,94.3956059329557,264.7595236746307,293.21167274586395,375.41727396721427,30.582140368103634,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,15.308945927050967,220.14294778383382,236.87115936136598,294.37644051442385,54.02835447482848,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0,108.65566708229694,205.73108586008755,357.4594454741814,440.71950112307053,87.79585601377332,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,62.00443408082351,176.97014254156153,506.2378706319469,343.08058956817587,143.04146113792456,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0,44.09302423326713,209.35740383077956,439.6284902721889,302.04193923443995,78.43749796884956,0.0,0.0
