year,1,2,3,4,5,6,7,8,9,10,11,12
2021,0.0,0.0,0.0,0.0,0.0,119.1741730946485,254.5191293260264,229.82240713642977,286.6112847634642,166.42691128661514,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,76.4995491950337,220.93354772180086,198.59206604654293,242.59049851621316,29.66206901095423,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.8394100946500668,182.99351899450164,211.1095157416608,438.0294044597038,416.9189655177879,100.15971554803589,0.0,0.0
2024,0.0,0.0,0.0,0.0,3.7957584518359533,33.12918583117628,262.14406954113036,196.9511008583639,359.66261778742955,41.00078195738313,0.0,0.0
2025,0.0,0.0,0.0,0.0,4.078176260684454,81.12929569665731,269.1737762390001,171.36920725493485,401.0555118998053,77.45632998647072,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,5.772765255011217,302.27044789096215,436.5466273125487,464.78267488545,111.68446884481511,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,27.7123095750546,178.69002116720083,240.76175186333927,233.34288615043317,200.2496846960742,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,148.39634878008948,253.26081543517134,289.601388595235,347.5616337369989,189.91442383579985,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,107.6339164154059,248.14095866820495,428.36541167213653,531.4573329268633,123.03933474554016,0.0,0.0
2030,0.0,0.0,0.0,0.0,12.80557151887444,162.29893386940543,364.567037090703,351.30551326307665,491.2712024692511,15.616132856375861,0.0,0.0
2031,0.0,0.0,0.0,0.0,35.79390096683312,148.7368875006091,182.29430898897553,255.43177883177415,392.6194659096987,82.72063440241945,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,22.496058489308087,373.8964011152336,297.9302443334229,379.2395866709239,70.16036497725095,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,182.54832695619444,214.08063765740206,350.9756918761857,15.854034424339833,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,32.66014310052995,285.6673641896603,229.5933157860827,408.95444844780786,144.22253177570812,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,75.11095545507014,266.55045794752635,258.73759460734703,432.041174480002,34.820293837984664,0.0,0.0
2036,0.0,0.0,0.0,0.0,6.339238712803568,18.77126519795575,440.1694453267732,250.5302890628841,109.4623230560843,249.363494419884,0.0,0.0
2037,0.0,0.0,0.0,0.0,2.791069791753617,200.75151925633594,334.2085745096823,320.1078006646809,321.6814750878171,168.20948973508254,0.0,0.0
2038,0.0,0.0,0.0,0.0,0.0,14.491703231576327,194.49450739035896,272.13887721038293,220.04562995399579,28.521212659777152,0.0,0.0
2039,0.0,0.0,0.0,0.0,0.1417934373515903,0.6692450173147817,278.85734693141075,256.5960914922674,331.5486684086714,115.15624733832789,0.0,0.0
2040,0.0,0.0,0.0,0.0,4.236730343027123,76.03293279115516,316.0936269471604,388.36306849829066,412.175872514841,103.4652775386433,0.0,0.0
2041,0.0,0.0,0.0,0.0,8.024962954615992,84.53315721971252,393.70208287718145,224.59373351020918,249.61326963764262,110.90973004876462,0.0,0.0
2042,0.0,0.0,0.0,0.0,7.270467075542449,46.40519038295002,216.86800622320436,297.28053050073544,460.4758837944522,81.8558260046497,0.0,0.0
2043,0.0,0.0,0.0,0.0,0.33151339955210557,0.04983779466665405,266.3573110992467,282.79095475803945,293.48324419690124,64.39662632821378,0.0,0.0
2044,0.0,0.0,0.0,0.0,0.0,44.136162998218616,336.1291314887529,292.03925491531754,405.1398864795324,144.03574534284692,0.0,0.0
2045,0.0,0.0,0.0,0.0,0.038236987296003874,134.46908746603674,294.2393753655245,545.5335089673267,488.705733450847,43.817179653898485,0.0,0.0
2046,0.0,0.0,0.0,0.0,2.096187026461234,75.52728709242825,420.6026378745313,474.2647094450707,466.648357881122,133.99713538667223,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,3.8898774394251316,79.79092751219692,442.34963335265263,374.55937382521057,36.88877002633103,0.11416084125007102,0.0
2048,0.0,0.0,0.0,0.0,0.0,109.94087922163538,191.8716091306196,373.5924541460454,494.52186686966024,60.537200132037825,0.0,0.0
2049,0.0,0.0,0.0,0.0,6.01197276812862,38.883286452536424,317.66063069577433,417.6763559661718,395.43786303583994,63.648389343066526,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0,111.0316521915575,243.26651517543428,335.93484779728846,599.396793609176,111.96721939439074,0.0,0.0
