year,1,2,3,4,5,6,7,8,9,10,11,12
2021,0.0,0.0,0.0,0.0,27.222051760566544,180.4906649606659,212.66797544462784,515.7315134488298,301.68232834606346,256.37062155369273,0.2045994048182569,0.0
2022,0.0,0.0,0.0,0.0,0.0,90.02767495308382,277.34068026213316,324.4504533515541,296.9146970555299,103.62961243992338,0.4413669401059656,0.0
2023,0.0,0.0,0.0,0.0,0.4156876156042842,42.93492951264877,216.61610797476987,242.01349161068225,481.7077624772165,109.79943970276474,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,145.97249824578094,396.92878997848123,450.5365470041813,352.6431765602667,74.22648474406598,0.0,0.0
2025,0.0,0.0,0.0,0.0,27.034667869920067,133.90282951740488,376.921185819955,324.22524437657296,461.8558545184875,74.0434842257255,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.09408867646517453,176.6385066975834,493.50590946419095,381.0514656419561,284.7081062022688,118.83735671117515,0.5189380610029448,0.0
2027,0.0,0.0,0.0,0.0,47.7522310914136,65.10558555337938,238.56104348520282,446.9954444662023,211.46648757551694,83.66079269904353,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,57.34137828175407,399.61581875593436,121.29240441245891,387.06245193538047,61.89937730302775,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,74.6796394903861,194.0725350409747,271.26272199197905,380.27965773173275,73.10401182613812,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,70.39251288933471,364.6189227659716,402.54880311052216,213.04208737381245,162.53659345867334,0.0,0.0
2031,0.0,0.0,0.0,0.0,0.0,73.69613901858537,326.11465530702446,490.005924749282,277.5569692901578,122.04294369869157,0.0,0.0
2032,0.0,0.0,0.0,0.0,15.641788916566007,46.5393884534682,462.1141929491866,330.091397723602,240.15682319245644,176.2147228801568,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.8242635341153264,66.14080601160927,297.912585878345,457.79119098597516,272.4416431054867,133.5860766987459,0.0,0.0
2034,0.0,0.0,0.0,0.0,5.023064505955546,97.3086460416906,171.15334426782593,386.60652568528053,376.0034295527215,24.69884699872073,0.0,0.0
2035,0.0,0.0,0.0,0.0,4.181752377135923,214.54718514103809,412.9572648503137,568.7508457894196,451.13982994784453,227.65658777289318,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,52.70188136404532,188.38037275282056,286.3721775036111,410.584808139621,40.421896591277566,0.0,0.0
2037,0.0,0.0,0.0,0.0,3.5672174163779253,92.69819421606749,307.7369661587589,564.1427521467641,486.6154840139477,83.77911895949458,0.0,0.0
2038,0.0,0.0,0.0,0.0,0.0,116.94177572161087,375.91896915254154,453.5449230243183,521.0218131831864,168.956460025332,0.4931169476462513,0.0
2039,0.0,0.0,0.0,0.0,5.757820678159557,98.80276806109146,390.9086011040895,292.5571492550291,543.4733305597598,95.8601735276153,0.0,0.0
2040,0.0,0.0,0.0,0.0,0.0,44.44389157883127,264.5888006572012,346.9505273906125,251.04058436929736,93.35902170064283,0.0,0.0
2041,0.0,0.0,0.0,0.0,0.7377025149594268,142.8555381674121,284.48428264956164,253.73765436806727,300.6819988601739,128.9733456771278,0.0,0.0
2042,0.0,0.0,0.0,0.0,0.0,152.0519460300606,340.4823239356161,310.6323089391927,603.7371020662077,134.2308214259033,0.0,0.0
2043,0.0,0.0,0.0,0.0,17.709942487274706,88.49357078580707,316.68729338826967,327.62121596053885,481.614904129105,123.37406585904232,0.0,0.0
2044,0.0,0.0,0.0,0.0,0.0,36.30218216855943,359.9186116034929,262.1183080256918,374.6254806406217,134.6714963377122,0.0,0.0
2045,0.0,0.0,0.0,0.0,0.0,87.33099315239288,288.9309620824396,313.34475121533717,324.60547931623114,143.6398112471853,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0,34.35543027966379,192.88321725349257,487.9664112852111,329.6607327701873,168.63944425096633,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,11.06563951755955,270.9677362100103,181.2661878421334,455.9005754893959,108.89184355556364,0.0,0.0
2048,0.0,0.0,0.0,0.0,28.097289995454368,55.047080307193994,276.727349084059,253.83969966297022,183.11301915768286,119.03976527312489,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,40.05761179248846,179.50742023022147,376.57533133954246,152.6718937455207,205.54513208086018,0.4391117580627307,0.0
2050,0.0,0.0,0.0,0.0,0.0,46.62097098285574,235.07914501993505,357.21395910726557,395.18664761593226,47.81358123160018,0.2500773506682037,0.0
