year,1,2,3,4,5,6,7,8,9,10,11,12
2021,0.0,0.0,0.0,0.0,25.62531030430031,79.84128557649899,336.78688061917774,296.358434955968,262.6828094778975,80.08741319624201,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,78.43440389955654,241.7805821086614,388.1200373229328,353.6783909808501,182.24182687345098,0.0,0.0
2023,0.0,0.0,0.0,0.0,1.1453133452714512,38.4891215982016,368.6474696128034,206.58930799747998,389.6349569773427,149.9218265442882,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,44.151470907373316,309.03805235917457,266.70204712695903,380.9556300760207,23.04376343982715,0.0,0.0
2025,0.0,0.0,0.0,0.0,3.3733143747622156,40.186025343120946,325.7282720750562,373.2846276135286,491.7126546898791,41.83176891504118,0.0,0.0
2026,0.0,0.0,0.0,0.0,4.806926105889211,62.5989307298895,296.81667422355025,364.8917264224292,628.5406660406114,92.52290122392775,0.0,0.0
2027,0.0,0.0,0.0,0.0,6.953006037521186,44.19663545202835,344.40052868099906,456.3418728905284,299.7761163742315,78.3367936182893,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,68.35912578552883,240.3034115685731,297.1780120637971,632.6883716515081,21.510350865702065,0.0,0.0
2029,0.0,0.0,0.0,0.0,1.9831243445629643,125.092147648892,346.2251134257188,174.93991766181932,321.5934366710331,70.13785694027635,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,61.84208426000021,388.31123516388664,246.3404529972667,374.6240835205865,24.455535518819104,0.05958084763259974,0.0
2031,0.0,0.0,0.0,0.0,8.254466756053858,109.52041865794556,337.31785336176745,170.82296544041148,324.087801833751,268.5644060140937,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,147.12694963510327,260.7879899417254,207.13169090116057,327.1517638345348,110.96850000586791,0.14701393103964913,0.0
2033,0.0,0.0,0.0,0.0,0.0,43.33902147210993,252.3779104103552,192.46666538642262,300.96318707482993,52.95670938568682,0.0,0.0
2034,0.0,0.0,0.0,0.0,8.673020397379366,65.14355330876928,290.494317338006,294.9886135172575,317.1095665172006,88.42637471987597,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,8.248521294902119,124.51453356767374,325.06347885964135,283.924764480333,43.19865808004024,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,0.8288100969592181,193.05206477839596,204.81984968271044,437.934224590379,64.0233061416685,0.0,0.0
2037,0.0,0.0,0.0,0.0,0.0,5.472970691759171,205.93096515375584,331.28536243415135,333.6078088974185,90.52734775287661,0.0,0.0
2038,0.0,0.0,0.0,0.0,8.34199113406108,77.09649839441079,263.1614922407948,328.8643023665599,271.2998275212365,31.357682942858,0.0,0.0
2039,0.0,0.0,0.0,0.0,0.0,56.66450718420646,304.7308022175137,391.0884427857919,305.46114975046765,76.1065243930521,0.0,0.0
2040,0.0,0.0,0.0,0.0,20.127859700942462,102.1073330791061,180.42473799852993,376.78571867698275,426.8995504097659,41.08974706865622,0.0,0.0
2041,0.0,0.0,0.0,0.0,9.307108731426744,121.341113282077,403.1700075556391,339.91505045844025,449.5759914897107,93.38536651746152,0.0,0.0
2042,0.0,0.0,0.0,0.0,0.0,6.749504625329808,164.4050118603303,306.7694109966435,492.2806668426784,47.13078107909624,0.0,0.0
2043,0.0,0.0,0.0,0.0,1.0574343120814045,65.40809005898737,327.03691335466516,291.04286666471086,411.0060484667935,46.50119104110752,0.0,0.0
2044,0.0,0.0,0.0,0.0,0.0,27.04798356093024,265.97445049414085,177.96321170668708,539.8830418335159,43.10946213040621,0.0,0.0
2045,0.0,0.0,0.0,0.0,0.0,214.70917191457912,181.6475032918938,290.3529297439675,592.6578670751932,35.70737028658328,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0,48.19230427765932,175.86730309903152,315.43316310700516,307.59958142564,41.440765004838035,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,53.815850448282156,144.47843793883916,246.37742993274423,420.9024912578717,103.25494058952863,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0,4.161076402532325,145.25151424090882,144.3227025683431,438.2838568361448,41.670717960635535,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,11.17919132742848,208.63540661655836,117.99561030436527,503.4294740926022,122.68041172222576,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0,6.122773492954444,135.22474256782525,261.5731691843625,324.879790725024,81.58606253447537,0.0,0.0
