year,1,2,3,4,5,6,7,8,9,10,11,12
2021,0.0,0.0,0.0,0.0,0.0,191.54632982015607,354.62457755104214,278.6506454932903,448.53966309613565,101.95233517773647,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,113.8264202575144,291.4350517016429,334.1365482501627,341.44638763587477,62.177262057165606,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,26.17438379555992,153.40325170007404,175.08565796621437,221.95917559583268,86.60501031783703,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,39.910088901769846,395.75752403622664,327.97599935595485,490.08343767078134,72.05051878025398,0.0,0.0
2025,0.0,0.0,0.0,0.0,1.6438412435339134,88.07159977065155,274.2756488226134,281.0265560396262,358.67772877058997,102.44319484063416,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,58.842678812483925,206.57267820810313,333.96302021014395,331.4805510817989,132.06898744809143,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,91.62460235718477,355.8533661266049,302.7028060588485,303.72892331516266,28.180532365592146,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,53.805150298082616,349.0809027477515,168.2369174038203,412.16966832285925,114.37697029124331,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,109.48231480450079,256.9831876034656,332.3375998142956,432.47188634169197,116.34578240856267,0.0,0.0
2030,0.0,0.0,0.0,0.0,16.735950369846137,112.8375316885925,188.9766671357013,247.03009055561674,307.4465698604278,89.92442459541809,0.0,0.0
2031,0.0,0.0,0.0,0.0,0.0,132.22515528034887,265.7500765350707,339.59309451278557,406.82682326444535,124.17111750365761,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,17.66667858325958,243.08238771112318,368.1346514091023,345.90180067725476,76.01969271843633,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,4.8972066606272895,183.0105071586139,413.98956993298617,577.0911186715304,271.0311597308175,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,6.531065918642227,151.51410607885768,370.0686621822506,251.69139808615859,74.23001042170048,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,89.18517601429424,355.499506815204,367.24888355442005,249.27730147270944,81.58717667176855,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0769151084301025,3.3628056409574656,205.96910266278982,179.74407856514557,201.177102903526,65.32095227295572,0.0,0.0
2037,0.0,0.0,0.0,0.0,0.0,1.1185053404773913,228.91712803164492,278.09421709776416,341.8662558826923,82.735357574875,0.0,0.0
2038,0.0,0.0,0.0,0.0,0.0705186244738163,126.32896079721081,256.7055172989239,365.7257683248672,242.87188958125535,15.532977630236033,0.0,0.0
2039,0.0,0.0,0.0,0.0,0.0,3.13424612967629,242.17713890693935,230.1520705744192,274.25980133994335,99.61436543776529,0.0,0.0
2040,0.0,0.0,0.0,0.0,0.0,14.282142303152877,219.24718615629257,529.9165974157245,380.2970090252679,78.55394591274228,0.0,0.0
2041,0.0,0.0,0.0,0.0,0.0,2.5029399010460973,196.0533038241099,403.44721800031476,267.94669590662295,93.65961825132426,0.0,0.0
2042,0.0,0.0,0.0,0.0,0.7755553195425059,201.06579678440312,256.74986299952724,403.93085178210316,361.6587875590696,24.00359263603415,0.0,0.0
2043,0.0,0.0,0.0,0.0,0.0,30.13425121539312,340.5414182452176,449.56447903353444,324.45561690341714,127.63748644872351,0.0,0.0
2044,0.0,0.0,0.0,0.0,0.0,18.20199297749679,190.59644154891248,359.00946295218426,230.42876196039592,65.26034274508301,0.0,0.0
2045,0.0,0.0,0.0,0.0,6.897990798487666,182.9468500402091,322.79949691141405,363.50140778754945,301.70755464487246,57.213107946856,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0,37.822246057806694,246.8300593993439,243.19093916287474,459.4588897011169,64.98225199516848,0.0,0.0
2047,0.0,0.0,0.0,0.0,6.18743866748677,61.32088483687949,257.2071245640654,390.24539121475595,272.0811948402371,62.26007604544199,0.0,0.0
2048,0.0,0.0,0.0,0.0,1.938260751293853,22.96894173775766,429.0172561597549,246.1353205064014,336.41951461933974,62.57641632259336,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,51.38866654509745,366.6993190343236,268.45536410439377,264.6250511752804,88.8313361056784,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0363908874662796,4.371414802975749,250.73136381546914,196.82959484251577,286.4923185223992,59.335612382536276,0.0,0.0
