year,1,2,3,4,5,6,7,8,9,10,11,12
2051,0.0,0.0,0.0,0.0,0.0,47.451319166234526,181.54323589852652,203.0334229395906,320.54317179569733,70.29585768502852,0.0,0.0
2052,0.0,0.0,0.0,0.0,0.0,33.79158322828319,250.67519769392356,286.0657041564042,409.1730268228673,67.48223618841853,0.0,0.0
2053,0.0,0.0,0.0,0.0,1.4112183964854745,54.414559768814435,219.66126366565308,192.6970996022514,452.3607411662686,54.90377388074001,0.0,0.0
2054,0.0,0.0,0.0,0.0,0.0,60.844102981657585,202.01532727269512,401.2480123362493,721.3487881275353,239.79627741828207,0.0,0.0
2055,0.0,0.0,0.0,0.0,0.0,22.415842751922344,240.56597014594576,212.93137288487185,187.21729053149792,3.637308165497386,0.0,0.0
2056,0.0,0.0,0.0,0.0,8.259624840748364,54.328628768697136,225.5155180140451,325.9153899821103,504.7843172064711,43.961959460369755,0.0,0.0
2057,0.0,0.0,0.0,0.0,0.0,121.11380825772439,126.64190104515704,232.5989105080173,316.5343457258762,27.237623841778227,0.0,0.0
2058,0.0,0.0,0.0,0.0,10.095265223934788,55.54858216295223,332.82695512039254,311.99900299707116,392.34638035952605,81.69041349268872,0.0,0.0
2059,0.0,0.0,0.0,0.0,1.3351364132617995,20.316307023130612,216.21055259385136,231.9367983948848,359.95892298066354,141.3426924480295,0.0,0.0
2060,0.0,0.0,0.0,0.0,3.7545855337064467,30.294669628231688,258.54128157402045,139.26753511135394,489.5585573860322,26.198755634742636,0.0,0.0
2061,0.0,0.0,0.0,0.0,24.64478406301201,243.60228663575631,185.46327817450137,318.96147166372157,387.60084870370093,157.71260368968848,0.0,0.0
2062,0.0,0.0,0.0,0.0,0.0,98.03207969664071,239.85187448588897,95.7505427874407,241.26021845970777,120.34932213146182,0.0,0.0
2063,0.0,0.0,0.0,0.0,0.7151337283929907,52.09279871521777,89.84441298083759,208.95410336351134,237.35523941995388,75.22326753293308,0.0,0.0
2064,0.0,0.0,0.0,0.0,18.04185403788659,62.75045922505555,326.54000851470033,319.4032627826575,373.46126983253293,228.92064583379462,0.0,0.0
2065,0.0,0.0,0.0,0.0,0.0,19.0319842211393,220.40594600685853,326.35974832244267,247.48475059241906,84.51097850986069,0.0,0.0
2066,0.0,0.0,0.0,0.0,0.0,37.98194357485288,67.15899663526574,176.08181610943268,262.1000284791211,28.741600618420552,0.20761317287817058,0.0
2067,0.0,0.0,0.0,0.0,1.3419546872671206,8.233469610246368,244.3768487865159,364.707097744334,218.15330940135334,247.18013487429758,0.0,0.0
2068,0.0,0.0,0.0,0.0,0.0,33.14695975729869,82.85554178722184,60.18644442602743,236.36465337263917,38.49568315903984,0.0,0.0
2069,0.0,0.0,0.0,0.0,0.8602880957371625,39.99041050630267,93.85886186020095,324.2543656303664,422.3831129011441,17.707248700012812,0.0,0.0
2070,0.0,0.0,0.0,0.0,0.0,63.6884503109956,41.013344163491446,256.8095795008523,315.33313743984024,121.47821232541041,0.013534441133370484,0.0
2071,0.0,0.0,0.0,0.0,0.0,23.85837586498022,153.68175766729192,260.2466845029488,182.43171723164593,235.91326296315336,0.44362066082191776,0.0
2072,0.0,0.0,0.0,0.0,0.0,40.937237829015324,223.8387293990703,383.26785086125824,245.78515518600048,54.47314181705097,0.0,0.0
2073,0.0,0.0,0.0,0.0,0.0,22.003606606215627,164.736134330219,223.67570209392045,305.6094853751087,10.818436476865942,0.0,0.0
2074,0.0,0.0,0.0,0.0,3.667927446522538,101.62043233893603,250.06240541285328,258.19998624283625,487.31264992875083,43.78506871983056,0.0,0.0
2075,0.0,0.0,0.0,0.0,0.0,14.044537490565093,75.31225786937651,180.87523897708476,182.3090489059165,74.756118108378,0.0,0.0
2076,0.0,0.0,0.0,0.0,0.0,30.22164469138432,236.9392017922381,194.98393193876777,433.30541488175334,124.62230263064994,0.0,0.0
2077,0.0,0.0,0.0,0.0,0.0,41.8744454515448,310.13324820547234,150.30225486132034,266.76417287798614,27.012199153384948,0.0,0.0
2078,0.0,0.0,0.0,0.0,0.0,7.731964331934465,147.30738881790856,99.29077518209363,276.87241565679335,72.21420170862831,0.09188177922484037,0.0
2079,0.0,0.0,0.0,0.0,0.0,36.81464418499574,123.43248379740054,418.03496174707374,347.3298726012779,123.62649674630148,0.0,0.0
2080,0.0,0.0,0.0,0.0,0.0,10.805356084173148,102.41868513623206,196.7395927025257,395.38040532921104,90.82775004384607,0.0,0.0
