year,1,2,3,4,5,6,7,8,9,10,11,12
2051,0.0,0.0,0.0,0.0,0.0,30.701401211709715,230.8085530675564,353.62299702441254,389.93342659443795,62.905403474928434,0.0,0.0
2052,0.0,0.0,0.0,0.0,0.0,114.4795774879547,305.6519716616842,328.4776277882465,439.0879320156231,106.70783672539794,0.0,0.0
2053,0.0,0.0,0.0,0.0,0.0,64.66413461865419,300.03688923449903,394.18447564287504,308.2644058278789,97.79336567025054,0.0,0.0
2054,0.0,0.0,0.0,0.0,0.0,29.10653622076545,407.4124331600375,194.7161837939017,429.97524721661136,59.29914973224966,0.0,0.0
2055,0.0,0.0,0.0,0.0,0.0,40.93568034254303,188.561467640327,325.430397376809,231.28424752690728,103.00039738687877,0.0,0.0
2056,0.0,0.0,0.0,0.0,7.545927913047244,110.82007083035052,492.94203206494194,313.1810992674427,275.3215756463293,344.47388701321483,0.0,0.0
2057,0.0,0.0,0.0,0.0,5.3718237425080355,85.66841676941162,373.0403807119829,202.79903430906472,423.77214784708684,60.25950466743879,0.0,0.0
2058,0.0,0.0,0.0,0.0,0.0,85.9343744656788,250.9027858806454,380.2763705865118,323.5882312674679,61.58525252580736,0.0,0.0
2059,0.0,0.0,0.0,0.0,11.975917032664922,43.82089823458324,282.53693560608383,213.87923843088947,383.01413436711994,91.21260645423345,0.0,0.0
2060,0.0,0.0,0.0,0.0,0.8081733035671235,9.248195199893459,282.373843062578,474.3911033775725,346.802550990624,80.04889263762762,0.6382683995634629,0.0
2061,0.0,0.0,0.0,0.0,0.0,141.06165555293072,268.77403173852565,333.65120633975596,381.9142223392755,117.99972006764634,0.30691819420829436,0.0
2062,0.0,0.0,0.0,0.0,0.0,59.203453833078996,363.4200189301349,385.2929170119646,299.2011588849676,120.18970699085136,0.0,0.0
2063,0.0,0.0,0.0,0.0,0.0,55.78454552687649,212.4708722521243,558.2762996423886,324.1066401430232,143.1163517295145,0.0,0.0
2064,0.0,0.0,0.0,0.0,0.40211804404953283,74.45763598083258,418.73535753668773,364.52379277967276,472.95166214716255,48.292277494659075,0.0,0.0
2065,0.0,0.0,0.0,0.0,0.0,93.08800336204264,260.6820950075287,301.41777913207545,392.5412459028832,61.316039561889625,0.0,0.0
2066,0.0,0.0,0.0,0.0,0.0,156.0418628429583,214.00297184868217,438.47297126357313,326.44664884664076,93.29983569428552,0.0,0.0
2067,0.0,0.0,0.0,0.0,1.6433709520501238,47.506959187092264,345.7100606254617,411.28433681637404,276.2004654006767,69.45658082497124,0.0,0.0
2068,0.0,0.0,0.0,0.0,2.877941572773354,87.72937559125073,335.99940988453625,702.3672368080872,368.40490646315,72.06754684016705,0.0,0.0
2069,0.0,0.0,0.0,0.0,0.0,54.723741113201555,228.38683843056558,330.1895795393238,309.14923259099965,2.604465133055975,0.0,0.0
2070,0.0,0.0,0.0,0.0,0.0,57.3616250930357,353.78702785227733,324.5456568525956,346.4672014339709,100.9477846836762,0.0,0.0
2071,0.0,0.0,0.0,0.0,0.0,34.94508763354666,302.8730232627815,419.326048487716,289.1608210806661,102.16880283644602,0.0,0.0
2072,0.0,0.0,0.0,0.0,0.0,38.40282987052871,287.01033167632494,608.6459553572595,329.87718122530543,155.10382037877056,0.0,0.0
2073,0.0,0.0,0.0,0.0,6.860644286003433,292.2843679522572,363.5038337293814,327.9510772704634,448.3647290874741,202.68839940862824,0.0,0.0
2074,0.0,0.0,0.0,0.0,9.25963612794522,106.34703855383988,263.0039647894386,149.06025428809016,448.6061486074885,70.08890394827638,0.0,0.0
2075,0.0,0.0,0.0,0.0,0.0,3.9379415805938467,204.46292797556754,206.52610518703068,380.0190860121326,21.43347139754273,0.0,0.0
2076,0.0,0.0,0.0,0.0,0.0,48.583375946888054,408.21247464747756,229.78189256419003,471.6183899608639,23.152138831281537,0.0,0.0
2077,0.0,0.0,0.0,0.0,0.8147033133275935,31.078276635719764,371.67804746455676,437.0361285188957,372.2684979512671,35.010341790794286,0.0,0.0
2078,0.0,0.0,0.0,0.0,0.0,45.54271115897126,250.4145893296214,206.31518952189813,444.1505064915056,6.535764234721983,0.0,0.0
2079,0.0,0.0,0.0,0.0,0.0,91.96573788099306,375.71330621869356,341.1128798357117,372.8210422002161,27.08535987024873,0.3916831218165793,0.0
2080,0.0,0.0,0.0,0.0,0.0,68.96029135467683,317.9809038648555,347.56457065228454,350.8910521135063,157.362845310312,0.0,0.0
