year,1,2,3,4,5,6,7,8,9,10,11,12
2051,0.0,0.0,0.0,0.0,0.0,4.354125043617098,161.25047324368794,205.34454129166022,301.0624479481397,75.8911530816971,0.0,0.0
2052,0.0,0.0,0.0,0.0,8.931547754068605,13.047318753239214,192.57414596863916,326.7521322637018,260.65647883946394,52.052739565247464,0.0,0.0
2053,0.0,0.0,0.0,0.0,0.8136249661439409,14.163562617235684,263.10624443308143,380.18574110548604,378.15725852823846,198.6826266722955,0.0,0.0
2054,0.0,0.0,0.0,0.0,4.778772130627184,43.91472048604465,366.8102406478245,392.6745315236221,460.139723448411,63.60201613871494,0.0,0.0
2055,0.0,0.0,0.0,0.0,0.13822799941623395,123.83951622811583,176.6147090465699,264.08589158778545,396.5510565153543,129.6227439800517,0.0,0.0
2056,0.0,0.0,0.0,0.0,9.995116045906919,127.38254100377111,238.79230341522074,277.9472497443488,364.3821453642608,53.57885757554264,0.0,0.0
2057,0.0,0.0,0.0,0.0,5.130100756690122,41.291706752194564,318.08912348688756,375.5096968800924,504.6511187476094,154.6617555124756,0.03678726756838906,0.0
2058,0.0,0.0,0.0,0.0,0.0,96.03946536304318,249.89902282663041,331.77612970108294,395.2669018271359,34.36848724049944,0.0,0.0
2059,0.0,0.0,0.0,0.0,0.0,207.31630381816896,377.91837493098683,300.1002649384872,364.17884409907174,57.66372124513373,0.0,0.0
2060,0.0,0.0,0.0,0.0,0.0,17.021675329984234,75.77111133728708,159.9027725281255,377.27332352933644,78.5884865031861,0.0,0.0
2061,0.0,0.0,0.0,0.0,0.0,0.0,161.98645736088667,412.5868663140146,523.530081707816,139.85483904801245,0.0,0.0
2062,0.0,0.0,0.0,0.0,32.267478952554114,107.50241020065775,226.6634346790215,317.82665166651134,359.69335214895807,52.88896056787005,0.0,0.0
2063,0.0,0.0,0.0,0.0,1.0157838429768924,3.3213066764331662,303.95021483109326,265.5508204465176,384.4675339548886,197.8007874238537,0.0,0.0
2064,0.0,0.0,0.0,0.0,0.0,70.19973381237071,262.9022811408678,452.59025169535306,433.5088980961301,190.4896784541467,0.0,0.0
2065,0.0,0.0,0.0,0.0,0.12435006291718909,76.46125961854644,370.5054558541983,302.81795855915453,454.3172889875578,67.7716119922808,0.0,0.0
2066,0.0,0.0,0.0,0.0,0.0,27.48758666248498,286.4539580653163,361.8870158491949,267.8676890188358,68.05343309945181,0.0,0.0
2067,0.0,0.0,0.0,0.0,0.0,56.9071900532587,240.90798581617094,286.2479505326176,380.1380595960762,107.24046377694314,0.0,0.0
2068,0.0,0.0,0.0,0.0,0.0,7.439324471341617,194.30659732453526,157.4742487548246,522.3375252965551,141.6687229210961,0.0,0.0
2069,0.0,0.0,0.0,0.0,10.701018741275236,61.418065922888026,310.9457418637785,226.39088532470444,363.96261466734404,66.1069937959749,0.0,0.0
2070,0.0,0.0,0.0,0.0,0.0,108.26238891530934,366.36623278098745,305.37973987734205,193.00062080890763,57.56255997714663,0.0,0.0
2071,0.0,0.0,0.0,0.0,21.886295835784033,124.61755911484063,401.1712753563797,318.0491016462708,225.4167661612126,101.03192613688185,0.0,0.0
2072,0.0,0.0,0.0,0.0,0.0,68.99645142894472,328.64126258637714,370.0719825550937,260.82210435414885,91.99220946700288,0.0,0.0
2073,0.0,0.0,0.0,0.0,0.0,84.13720348618743,190.8842692201615,357.8066301867284,369.5589169468609,37.5667225618973,0.0,0.0
2074,0.0,0.0,0.0,0.0,0.0,79.5865409233524,140.15915335303802,338.613226813308,369.5777061178048,81.74281099436573,0.0,0.0
2075,0.0,0.0,0.0,0.0,0.0,54.71890447231824,254.6283369845994,329.46948268687055,351.52229727317064,222.39037258301522,0.0,0.0
2076,0.0,0.0,0.0,0.0,10.116472352514982,33.9804182268503,369.9412464012181,459.2801284184154,317.7509874691048,256.5126155854258,0.0,0.0
2077,0.0,0.0,0.0,0.0,0.0,164.69973153264465,332.77663483574617,358.7819176208787,283.1285021831711,136.21780232412954,0.0,0.0
2078,0.0,0.0,0.0,0.0,0.0,123.1802310109608,184.25001703783317,303.8082893250011,549.6139453083972,104.40939113041965,0.0,0.0
2079,0.0,0.0,0.0,0.0,0.0,60.235562102652736,219.0948644868436,357.16477666256463,635.4846783461039,118.77799815139713,0.0,0.0
2080,0.0,0.0,0.0,0.0,0.0,69.09814242967592,212.09291577939834,164.6844194213158,525.9554810831362,57.46239592196092,0.0,0.0
