year,1,2,3,4,5,6,7,8,9,10,11,12
2051,0.0,0.0,0.0,0.0,0.0,31.337968678316514,135.0721269572821,295.7572802599167,316.26191849160557,116.15986862676417,0.0,0.0
2052,0.0,0.0,0.0,0.0,25.318525583524217,88.01481015299522,380.1862804812258,314.6821606782014,453.8192696852496,193.47677202298988,0.0,0.0
2053,0.0,0.0,0.0,0.0,0.0,79.68336977448816,27.44703701994425,214.61686466688687,209.65444544847833,136.9051224477035,0.0,0.0
2054,0.0,0.0,0.0,0.0,0.04782166306364972,19.023726309526193,317.35902030853975,327.5774677401621,405.84187202919856,131.41956785698633,0.0,0.0
2055,0.0,0.0,0.0,0.0,10.509036349901274,90.67368680670585,251.11386843911225,393.88949959021267,502.8756511534424,101.54607495046795,0.1934204915169753,0.0
2056,0.0,0.0,0.0,0.0,0.0,51.908423822494896,292.1292844519894,346.5254141366833,315.57312260278053,178.40761177857843,0.0,0.0
2057,0.0,0.0,0.0,0.0,0.0,3.4335123271639043,196.40331696705223,241.6825506071899,301.950228148772,45.81303883892736,0.0,0.0
2058,0.0,0.0,0.0,0.0,0.0,129.8963701118282,223.2445480716342,132.91143652579493,327.481928162716,151.70137303790528,0.0,0.0
2059,0.0,0.0,0.0,0.0,0.0,90.61760733909385,353.27075772803437,415.2083856847416,427.40167047433,139.0851274750046,0.0,0.0
2060,0.0,0.0,0.0,0.0,12.087592704616307,159.82002070158617,435.3253493343096,370.85327180723266,280.20922793785275,170.92175761676467,0.0,0.0
2061,0.0,0.0,0.0,0.0,1.4367684442513269,62.334281156654725,281.262408100411,346.0503775197624,477.95937344575776,114.41258379478359,0.0,0.0
2062,0.0,0.0,0.0,0.0,0.0,29.687555701446577,228.24653469015584,162.29974745722154,515.2949455103097,34.65976251909654,0.0,0.0
2063,0.0,0.0,0.0,0.0,0.49937665606294346,55.785393945600646,452.7599633501788,287.6766375783,380.97526151228504,34.43391166028961,0.0,0.0
2064,0.0,0.0,0.0,0.0,12.946081616802145,97.76538478613818,350.0551392653571,287.0602920011262,467.03256218651273,114.53495193864377,0.0,0.0
2065,0.0,0.0,0.0,0.0,0.0,8.492084025495858,179.90255207113495,159.41092091795733,204.33525340884336,84.68548488119765,0.0,0.0
2066,0.0,0.0,0.0,0.0,0.0,28.181160198837407,107.9702510242878,181.9265162779112,108.11766533733005,14.668481537485333,0.0,0.0
2067,0.0,0.0,0.0,0.0,6.004343895150696,3.1000202931886585,252.72778806185008,275.43527940472495,117.11510671165517,279.83311070605856,0.0,0.0
2068,0.0,0.0,0.0,0.0,1.8673955433561122,40.84263900943101,497.9083286577041,476.66715150886864,314.1114237648456,100.84365975138765,0.0,0.0
2069,0.0,0.0,0.0,0.0,3.117709899092097,1.9371787097824558,370.00000687141204,249.6164458973924,319.02830448946617,71.75366432719218,0.38229422486443754,0.0
2070,0.0,0.0,0.0,0.0,0.0,61.200041116996324,269.809285669201,464.9591762558574,453.8915052967206,80.44659746872051,0.0,0.0
2071,0.0,0.0,0.0,0.0,0.8248344306347736,91.43676865833507,345.3766054585287,481.0068509705777,490.1614717777105,39.09875880483277,0.0,0.0
2072,0.0,0.0,0.0,0.0,8.417804659925274,105.20337501345121,548.4935997493873,432.11563610026644,353.61716636774486,101.20131688028913,0.0,0.0
2073,0.0,0.0,0.0,0.0,6.91545456818025,19.15863147671917,206.1821899994131,344.33613164863044,354.77601744757544,87.55639165334222,0.0,0.0
2074,0.0,0.0,0.0,0.0,0.05867005168385386,3.6921847650779585,273.04968499551177,409.4620359792614,415.44707877963845,117.11168605139144,0.0,0.0
2075,0.0,0.0,0.0,0.0,0.0,97.20740262218017,213.53572765830475,318.9862483059695,599.0255346299945,187.50200648921734,0.0,0.0
2076,0.0,0.0,0.0,0.0,3.8608146953612676,49.45581601009902,209.38671418402114,142.69860115482447,201.0744132379442,120.48868420218066,0.0,0.0
2077,0.0,0.0,0.0,0.0,0.0,23.821708434501033,100.96109185329628,257.3534632719211,218.80028526389935,19.00005487044861,0.4248483252174718,0.0
2078,0.0,0.0,0.0,0.0,0.038059771766713636,72.00101346113502,380.9454424701689,374.61008335956484,258.942928499395,164.27655028572383,0.0,0.0
2079,0.0,0.0,0.0,0.0,0.0,40.20312443399569,387.35727675355685,236.04659766375082,267.00387254569756,108.41983725403507,0.0,0.0
2080,0.0,0.0,0.0,0.0,0.0,81.70344031043845,126.19223792179531,208.19311065045116,190.98884807734754,103.03204082402918,0.0,0.0
