year,1,2,3,4,5,6,7,8,9,10,11,12
1991,34.082532360117945,39.98612575167704,41.60334939279867,41.492668794420055,40.93203870055499,38.103360961914085,32.269488187400256,31.91457333308396,32.214594955444355,33.90561972669379,35.99561673651804,35.69105312552505
1992,34.3532152516355,40.39581907363168,41.48454210999193,42.27228279113772,40.98344688333492,37.69535109795467,33.95973077097249,32.21437229935843,34.49911525444882,37.086070597658896,37.679352361043314,36.57263071531892
1993,35.76230286957117,40.278315024603,41.417263736519786,40.24648143174916,40.60900191768526,37.50931321546769,33.74172964772873,31.423805131809708,32.769956598917666,36.18984139391173,37.18432852851022,36.02396816950975
1994,34.46834257228402,40.354754769461515,42.199810779530544,42.50033040873211,40.63093352287049,36.567527430216494,33.995697626913774,33.95412464593049,33.60912253994414,35.66853514312418,36.91759206305612,34.92942814652639
1995,37.003021085874515,41.763202545529346,42.47522175942701,40.00485152180992,40.74179426131713,39.03890180291071,33.13932962233023,33.90506395729641,32.54733386400013,36.23149338260776,37.58926233249243,36.611770920292045
1996,35.31639824323759,40.740835511343846,41.496067135718576,41.73261172485354,40.995230768675476,38.06922250705298,33.97963841592114,31.25357825166438,32.47651768832739,35.921529531171274,36.58903202141658,35.60159728511689
1997,35.26504230130106,39.89571446010047,40.67852372200261,42.24397000800241,40.71599214943509,36.68708607143829,34.90575758575114,31.878106522098687,33.68761806742353,36.0993712591356,37.29172030978735,36.36748941401002
1998,36.09140848467429,40.79378762563072,41.79249142390427,41.519226130167674,40.99105421825124,38.44027537706165,32.79519282187188,32.330235861501414,32.59855743238663,35.344088633547564,37.53501156785755,37.68989640266666
1999,35.64382351290797,39.99157601311096,39.666949728688905,41.517693796793644,41.179780903477834,37.2790385199653,32.484241337930015,32.98869812503939,32.87812720235191,36.69634516398113,37.01437673441572,37.05453094646497
2000,35.71512044763055,40.13189099448069,42.11854978992094,42.19519864061146,40.924456962667506,38.31155314805775,33.933795848559335,32.77211857949536,33.19020886569555,35.865189660185145,37.72495983717179,36.395701625372794
2001,34.573186688166814,40.226307027907616,40.73715624737486,41.964685869852715,42.04532642815705,36.80193488226999,34.72866831789738,33.432353139897856,34.31436643303767,37.16355852680824,37.211360110812734,37.404113679291136
