year,1,2,3,4,5,6,7,8,9,10,11,12
1991,35.08540556876892,40.03345603034612,41.28405436033846,41.59945581393774,40.75405631937009,36.61905398898657,33.37153365760723,31.8147035036805,32.67104049852162,33.99651471702004,36.885136842515756,36.216252772833734
1992,34.97769610005043,40.767486750284846,41.72369598552747,41.723127746582044,40.80926153367569,38.59491246880428,33.039690340103654,32.010742640341505,32.88881981574168,35.25860966179963,36.98714692857532,35.927720030097575
1993,34.03931959746989,40.73032564617341,41.56921414939308,42.08240988667808,40.97070548436977,37.503490826076955,34.02666223669567,33.71311079455963,32.391762096828906,36.20336269747829,37.898725652058936,36.001464943834556
1994,35.46068091771938,39.762836187453516,40.95742700556274,41.14553784518774,40.237646727203064,37.10516726345488,33.38179695703652,31.365365894276632,32.69012602742516,35.40721692813342,37.22481912400989,36.15084149104295
1995,36.507852364817,40.0656777318319,41.79815074633529,41.38714795600047,40.75155915783301,37.34977844238283,33.383033005909276,31.877816501740508,32.298205852932426,35.81312626828432,37.424640292697504,36.14002606627764
1996,35.47498624247892,40.118398486546134,41.63613861083988,40.27991493564185,40.86382265808764,35.67128659396703,34.5312806898548,33.39800610121863,34.447181318495026,36.05953496625349,38.01297629123267,37.29213060276485
1997,34.208197671213476,40.33044600895476,41.90119849912584,41.80312400139704,40.79944115423389,36.69552804904516,32.87691722582748,31.96725405621275,32.32365600077314,35.17896526213618,37.15673521931968,35.85529889178535
1998,36.183810723417565,40.83649451119561,40.43215792584165,42.648127590603316,41.77373620966432,37.3409645436605,34.11433604250674,32.65774635725126,33.35838898552791,35.953289445446416,37.459229141235376,35.797302758001535
1999,34.86695993402956,40.843225933256626,42.071757843673886,41.415168950398794,42.17904974004276,37.79550819057891,32.53912165816114,31.32274735153364,33.67054746839737,36.282190679734775,36.53723124525285,36.545295257568384
2000,35.96691860896288,40.453011966887,40.777707596645584,41.759415276421464,41.992685092392804,36.37528300645619,33.83010517243418,33.585874797862076,34.31029272969566,36.78472356488629,37.84274696011015,35.066488878803895
2001,34.62281212919503,40.19576736450198,41.80685951807168,42.64798195902509,40.61744057111845,38.01474177551272,34.547444064232636,33.19321339925133,33.51081100294327,35.45358539540283,37.445305948893264,36.88506075130998
2002,35.41728844591369,40.685694890703495,41.66610780941544,42.86459876675079,41.90960981143421,37.845529707166904,33.65076620942805,31.38917248469529,32.15764387512209,35.30458118889924,37.311381846110045,35.79161515758886
2003,36.12255403744279,41.119841666448714,40.10547058105471,42.068597073025195,40.77497930547244,37.82274189419219,35.00265624671856,34.79061642062282,34.59676165432402,36.63125822990174,38.236229287041574,36.43685834823119
2004,36.32452176658059,40.63037597111296,41.84428592476795,42.070245691935256,40.68616149902346,37.28653046502009,33.0906490957609,31.665562069800618,33.765392359415706,36.548658012472195,37.77381354607478,37.54158328476775
2005,36.68870765439928,40.90805611928307,42.239780501499006,41.65208097669815,40.74367067726712,37.780843390570766,33.98345997307893,32.23381132884694,32.71356386481393,35.60247754989135,37.50478788418241,37.11022891465056
2006,34.88289310250233,40.37762244088312,42.009947755875146,43.13417628479006,41.30582013201972,37.52107349480525,33.762312042892646,31.820372491651984,32.42405731201175,35.68121366603401,37.123844182332384,36.108111375378044
2007,35.95655572542583,41.1430682118734,42.373259121474426,43.55901072353788,41.44368716004077,39.18382581244578,35.04925659343762,32.73121310818583,33.069582178751645,36.23423991705784,37.54445525614424,36.613631444131194
2008,36.50083928426109,40.96802557809014,41.80959362399196,41.62313801405166,40.70361835082683,38.84525980801056,35.05701940721084,34.39434267433743,34.45495270623102,36.716901282853996,37.96899136352542,36.212455662553054
2009,35.02930679813511,41.52292332967125,42.859565091697135,42.75255486721466,41.9162787816858,38.29251495022246,35.68141890109484,34.74877309665477,34.65480381763037,37.466387007518506,38.07785762363012,37.561489064206384
2010,37.515294210782656,40.33353897458033,42.319176624257096,41.34040663825143,41.93668463922318,37.87502502610951,35.59432203067249,34.976557407174084,35.24130973137752,37.00779308360113,38.32986797587079,37.07114392352363
2011,34.96942576254569,40.33720756349111,41.83460077429333,43.366533026801235,41.66833003874752,38.83836312018502,35.50532172582484,33.90865517565002,33.30906948004831,36.529571100050426,37.88077658250599,36.47478278539516
2012,35.411625000328165,41.21538998740062,41.74372335782617,41.595979393853106,41.06151122390585,38.12486897616919,34.13766002531977,33.61369734077045,33.43225859069826,36.30004495108002,37.81259358045792,36.71058459702361
2013,36.52443895401496,41.61500441778277,42.500593084519934,41.53841014099123,41.43997542350527,38.86051055908205,34.28332518546813,33.763748738278636,33.823142837524436,36.11125646447625,38.12055507405602,36.97566761632122
2014,36.72380538940432,39.79775707789832,41.57298231063353,42.11105024549699,40.76649341870381,37.920899113973014,35.045353885773714,34.85386792582854,36.021668741862,37.44834226874898,38.04697665066191,37.42741478048349
2015,36.4704773933657,41.4155539921352,43.16070625387214,41.943288211398674,41.70583162861487,37.498049011230485,34.81962509647495,33.522368690736855,33.97189166598852,36.739423312935806,38.345300991482226,36.44880258703747
2016,36.42451705276328,40.88404697054911,42.572028442710995,42.084860151502845,42.029370671754265,37.891525339762396,34.758742904958446,33.62092184907648,34.149156260172546,36.14138939313993,38.23154303826229,36.71999780306254
2017,37.07441470894764,41.6878724397932,42.547077674455565,42.96377488708497,42.328519866287095,37.5911707509359,34.400388252504435,34.04668328233948,33.81191774495446,36.25019275624267,37.96364880032012,37.395410796134726
2018,37.608472009474255,41.83701254526776,42.546352189587026,41.122917692396406,41.852408716345366,38.37065583631729,35.11992278560518,33.99462227770079,34.70511157735191,35.649645218387754,37.071357284545925,36.04320620136878
2019,36.08813672465664,41.31528587159658,41.877286160376784,42.2845477277968,41.24367786858674,37.56381491767038,34.753090116094796,34.51402720461611,35.05283700052898,36.59204131916007,37.66030696614585,37.32295914024437
2020,34.79561380529918,40.644242838904994,42.345992446407216,41.64162198893232,40.60610109882971,37.16768443983292,34.26450193835845,33.84567487819223,34.65439779154462,36.351462906047885,37.84317279052737,36.60571943713774
