year,1,2,3,4,5,6,7,8,9,10,11,12
1991,34.75997418475409,41.166682016281875,42.18954941124047,43.091919952392594,42.10085104829524,39.256775958591064,34.02403091758813,32.777138264973985,33.47849624972876,36.19169304468301,37.940260640462256,36.689859610937
1992,35.491904520014295,40.63256714957104,40.56409547867316,42.00957985772029,40.61310263520931,36.97717061699764,33.65048720164968,30.856756608204197,32.517165110270206,35.34545019006219,36.71397273763023,37.27223936183481
1993,35.16740142165976,40.14243188767208,40.71620411534467,41.763931949191665,40.90386607836653,37.04492531161841,33.423942022836364,31.40272897863904,32.765417160034204,35.675719850601716,36.85854653761124,36.38412019627071
1994,36.102065073649115,40.966430644080766,41.82538828860048,41.646907708062095,40.284975782825136,38.66503091600209,34.273788709743066,32.56038032449704,34.08864216613772,36.966778165755755,38.21179351467559,36.27836519959155
1995,35.130268615394534,40.694465842474095,42.51016191544074,42.313079745822506,40.26743190150109,36.613013905843125,34.098546797229424,31.93478114630589,32.61168280368383,35.81780891828642,37.10352579922149,36.36214865735786
1996,34.642759532313214,40.03530020032613,41.881055466846774,41.39161723497181,40.48860953710415,36.87478287421335,32.41220798779562,31.358666749359482,32.652767805311434,35.10855497298705,36.841038753933404,35.81837291102258
1997,34.23249739123931,39.58335180918379,42.17720876878308,41.58567263454864,41.42151246265702,37.46335628085669,34.35839248493156,32.083369739491474,32.59520667860245,35.666779043546306,38.10468226453996,36.35840695945168
1998,34.56400720411734,40.677918537684874,41.86422289776549,42.24341294521758,40.95907184067595,37.758678190443284,34.433589256040534,34.279329240040134,35.45269630940757,38.10940431492305,38.44736847601998,37.70093995617284
1999,36.93321545672675,41.80413394927981,42.584037636377495,43.4742795766195,42.06328312371368,38.5174945102268,35.02037571732718,34.49680525748962,33.77181959364152,36.08330103228171,37.27862108188207,36.47746203842986
2000,34.651052479077435,40.16039792378746,42.166726228447395,42.44027142842613,41.231168790427596,36.95767480468752,33.22258020216422,32.33296174080143,33.16805578613283,35.397263396888675,37.683354617648675,36.06087929674377
2001,37.00866607994165,40.70063351585753,41.991042199903944,41.95467002360028,40.5813203430176,38.778167292277054,33.81227911672287,33.559146717030536,35.082562159220394,36.53748483473257,38.09536784023711,37.37994012319917
2002,34.87019097276916,39.77429458436514,40.78659353440811,43.191334013197185,41.41194772535757,38.00785682339141,33.21840075749225,32.30410294399469,32.93403659735788,35.36292647987286,37.343714367336716,35.93686363302253
2003,37.38428872549407,42.226324913388225,42.43241369596094,41.603407760620144,42.312923372330225,37.6685414428711,34.99613491755662,32.58289189492505,35.114640777587915,35.95968812511816,38.09220953708227,37.260500680246686
2004,36.79504166633855,41.107197774251325,41.31350976923463,41.529709408230275,41.272551369615805,38.638114513821094,34.27419644427558,31.874484003538747,31.8379997558594,34.412296285321666,35.98029826354983,35.40872790757048
2005,34.680465752386304,40.77979519072035,42.160825484081,42.8805674455431,40.803518958963394,38.226282321506105,34.01489364295881,33.15091099892896,32.96949529859757,35.32390068464384,37.7824309522841,35.28961101080784
2006,34.508965924991095,40.00979416256861,42.26790191322246,41.99592726474341,41.11823969359042,37.904653625488315,33.8814335008847,33.39910644859398,33.41174416266549,35.84446522702454,37.60969638400611,36.1115566754085
2007,35.28813879689865,40.74757752191455,41.48349059566377,41.80872191704646,41.086032552411496,37.32011321682403,33.50149290187387,32.96119203629034,32.69137109375002,36.69694312803209,38.38812040201825,37.342736274965375
2008,35.86948898971724,41.35502917516802,42.51155965989638,42.18670646667483,41.73130906135809,38.19623284912112,35.150556353497265,33.073292265861284,35.901639587402364,37.558009164461545,38.304309958563934,37.54677125171951
2009,34.88754449167562,41.609223400297644,41.57243565220988,42.427531389024544,42.07447604271676,38.35540939839682,33.71985527612832,33.568919387325195,33.61064434305829,36.0755624570129,37.23792548624677,36.14558377173641
2010,35.98695219470611,40.623625312078595,42.61532749135009,41.84068951416019,42.09885091638053,37.62538769192168,33.65946539766047,33.08011104624761,34.13413647291397,35.97917950701973,37.62309487406416,36.666573128649
2011,35.29441307149909,39.82812379019604,42.6457213371031,42.78871556939022,41.82908243651034,38.507832997639994,34.869825678999725,33.015408545053155,33.99784560139976,36.208943012196556,37.75890701293948,37.24000202794232
2012,37.91565143380116,40.570504488263836,42.54776390485868,43.17044867960614,41.993806606825984,38.28292135959204,34.109877731159195,33.649309131253176,33.30085527886286,37.309363998905326,37.984621344672334,37.599089212725254
2013,37.782719001359865,41.29465668451222,41.900452862811356,40.89874953036841,41.77109664752922,38.624939531114386,36.19385174823066,34.15817370999246,34.440786266750784,37.02926372405024,38.03570021904843,37.60985842797067
2014,36.31538333359588,41.89578945159915,42.32054404966294,41.799489030626106,42.167793339555004,38.58152180989586,37.257475352953854,34.10447423627301,34.25255185445152,37.01469125891247,38.15012140231665,38.166937595490516
2015,37.209251761487764,41.600682249523366,42.0480730873026,41.800695809258386,43.198638157998396,38.95438125610353,35.336390156079396,34.58453539120256,35.91280365498862,36.864206003168604,38.605143422444684,37.60700483752837
2016,37.112198543753706,42.06281004769463,42.731610425723524,43.98296952650285,42.51615314934845,39.134564024183504,35.3210044417843,34.037957002373176,34.35940778774687,38.08826304281914,38.605123184204125,36.661445570094635
2017,35.4301310746388,39.874152775719075,41.94535513436926,43.55091893174915,41.81979792605167,38.650046881781705,34.79266351679322,33.110555920344545,34.75270004611548,36.90401724374425,38.425734631008595,36.213091279716934
2018,36.09366342031829,41.74449818929039,42.47279042397778,42.626317782931885,41.40438892815704,37.617997826470294,35.2201019418368,34.1317874309581,34.155524380154105,37.284394050516134,38.96692891608346,37.27383629583545
2019,35.66608051587178,40.48626447405137,42.00425907258069,41.968641837226045,40.99606894708452,37.95494741143123,33.696419254426054,32.10296907650529,31.726679523044183,35.4565990948421,37.845881881713886,36.60060298796625
2020,37.17063947616088,40.78578295208161,41.500072976389255,43.136556028578035,40.904773425030484,37.89396971299916,34.88681825043055,32.967715585359976,34.70285816107858,36.66946639522432,38.15260344950358,37.55341899748774
