year,1,2,3,4,5,6,7,8,9,10,11,12
1991,36.32217235770279,41.22278901781357,41.618490341350615,43.458673094007736,41.990083012734715,39.56378833346899,34.1929501195108,32.89300218971829,32.305822599622964,35.38695704470401,37.37937342156306,36.537455747871014
1992,34.047689709407045,40.81234114873979,41.569200623214904,40.93364023166235,41.558615867040515,37.137599249945765,33.470706626317856,32.7596236066921,33.124589387681766,34.96980151104673,37.028558056301556,34.70946983583514
1993,33.89426438198297,40.3698371705555,41.33170932072467,41.35596258544924,39.909539978683654,37.002716308593776,33.168618436423706,31.933098124842513,32.344012427436006,36.10588583013064,36.893659335666264,36.404628784836
1994,36.749376685029745,41.26296047210696,41.70047560168854,41.33165536838109,41.36941690260367,37.17050249565975,32.50925976004655,31.499089827999015,32.2675850728353,34.68469314082978,36.41864136250817,35.60045830183134
1995,34.01131843320787,40.84546576908658,40.71089201240131,40.21138711717396,41.10695005191272,37.310079325358096,34.354901485648234,33.29654392529561,33.29071814982099,36.12921382452854,37.07751693386504,36.61741619479273
1996,38.00953466271844,40.823375997997495,41.89111988846976,42.948234420776394,41.585804006925216,38.258169238620354,34.00895447925858,33.43479080036125,33.69353261650936,36.10226398262929,37.93770344713001,36.5570127950689
1997,37.51100741150562,41.6947151729039,42.4247270694856,42.9701933983697,42.00486311061409,38.33256420220271,33.673750743250714,33.23789790327833,32.90204103597008,36.23960125994941,36.97600568135581,36.35064579297139
1998,37.67530463434037,41.54090049562002,41.45128445697088,42.94163256496854,42.509865719374815,38.97854031880699,32.9728386023737,32.68821365028301,33.49714543830026,36.81325196789158,37.82578912523059,35.620110642628035
1999,34.63009876210205,40.45663989475797,42.3882434492214,42.066247906155084,42.17857154271938,38.82605908711754,33.77544427851197,33.08108355286303,33.98992736985951,36.86018671015259,38.156497280544734,38.32116170411471
2000,37.0033352447838,40.71011213756744,42.125511940576715,42.77588567097984,41.61817963466851,38.60447270202639,34.066661977460335,32.4532337607107,33.8250276489258,37.09825483588764,36.81931375969783,37.21100173950198
2001,37.194837923767764,40.97163776034404,42.77294004050637,42.86962202284073,41.009397313928126,37.930549504598005,34.02413058045092,32.63774614887855,32.687780037774004,35.748040771484405,37.05017015414771,34.83862566712084
2002,35.24131563084102,39.59499651409333,40.906028429257,42.04781451416019,40.909831347721905,36.57412997775611,32.98390469786944,32.061206802860404,32.48771191406252,35.588267618815124,37.09638360087079,35.31265819590582
2003,34.779511881182295,40.91370888846264,41.42826124950123,41.469964418199346,41.39942333918749,38.048976620144344,33.60035024991603,32.60975210046258,32.87644767422149,35.26380742719099,37.29438117302791,37.6020569421912
2004,35.54802023938909,40.83595883324034,41.77255688246861,40.760022794935466,40.99170030491329,37.13955198160809,34.1980892878707,33.07223457910683,33.37217208862307,35.158916374944894,36.90137286376955,35.60086578697288
2005,34.971635292627504,39.541626299903534,40.61299824540336,41.151915588378934,41.66378175468858,38.29247780354821,34.757737390661774,33.34199318506386,33.22233601888023,36.00914341916322,37.46271219211156,37.163247762700585
2006,37.50884740849979,41.28160287221274,42.35563716273156,42.60996596611872,42.35097609981416,38.61434589979387,33.6515012695969,32.87693983180551,32.93288517761231,35.86350051223593,36.26862885538739,36.03130524994227
2007,33.81220100156725,40.45889001573838,41.764134615006014,42.29428559197323,41.268870569044566,36.94368281046552,33.550424519200504,31.699310110768987,32.7709028828939,35.544216011621636,37.3437876637777,36.22777308474308
2008,34.44231353431622,40.83131904965357,39.761745365922195,41.46383265516496,40.129027307982106,37.21616508144805,33.849567357545276,33.211959303989225,33.60943791368275,36.21882124705984,37.17938960096574,37.39211042014504
2009,36.97948272869154,40.282059687659874,41.46131745861425,42.23385580274797,41.63159192977414,39.91370526462133,34.737288137456446,33.21640575449956,33.67922529093427,36.60305920016384,37.93342682393394,37.370270157680736
2010,37.90026206560035,41.81584073929561,42.27686984154487,42.317943042331294,40.19092225269607,37.780271794637066,34.59357907367012,33.61822523792228,33.68115566338436,36.96950923960699,37.46375700887047,37.623800084924206
2011,36.42793586648923,41.0822883260818,42.044449859947306,42.90018443128801,42.26565031646403,37.65632102966311,33.81686184790829,32.692304037770946,32.288577194213886,35.734381366032444,38.140683176676454,37.03163300216841
2012,34.291209226218626,39.659814738319064,41.62270721107403,40.725937179565456,40.709632035122155,37.800869876437744,34.57163833782239,33.25340469852573,35.00782641092939,36.74729789159633,38.393559717814156,37.42841336158016
2013,38.237660642234246,40.90770320165728,42.30737302554554,42.19685978020564,42.246079249228224,38.67907870822486,35.17055910992368,33.871791636149105,34.589813330756314,36.365111937164,38.83976215786406,38.05167708530224
2014,37.34284407420827,41.2565944344657,42.903430544945515,42.38399013434518,41.00507416591852,39.62901825290258,35.2380783524052,32.81123688892654,33.49185607910158,37.16864043861309,38.5685739254422,38.05069162020121
2015,39.10161773189424,42.523114794776575,41.40277460405906,43.19020145161949,42.52906852640134,37.78932809787329,34.95855428059898,33.582971270161316,33.9066254340278,35.67307580763296,38.08042721727161,36.41114819926602
2016,35.95807987992483,41.69957266126362,42.60854243616907,42.821860388861786,41.43782530917919,38.4271103346083,35.26924807312671,33.60216630012761,33.39687409803605,35.97386066395751,37.229333101060675,37.56902160316388
2017,35.17878845707065,41.1694698370071,41.519374837567746,42.937171986897816,41.42573299777126,38.479465540568064,34.11567403321628,32.76252660935928,33.55478229946563,37.008253621747436,37.601281856960746,36.661636994064516
2018,35.79991819320188,41.05885290418355,42.10223254132017,43.19275207010908,41.9257437445528,37.18846058315704,33.95457271452875,31.871590882988404,32.42644388834637,35.484799259965165,37.28488106960723,36.62621525426068
2019,34.8379417156917,41.28420984177364,41.94348956200386,42.79648092990453,42.62188176144838,38.56468896993003,35.657007370815506,34.662765222364875,33.49778962029353,36.65888491394701,38.33690180799699,38.437214686896226
2020,36.92419182890207,42.000977147420265,42.539061930666705,43.68341557481558,43.140459885135805,37.67312221781415,33.23669647380872,33.13122530865415,32.950196709526935,36.38567107005788,37.28621350945369,37.64307658533898
