year,1,2,3,4,5,6,7,8,9,10,11,12
1991,34.109900909752,39.02056577228367,40.706475680771725,41.341922314114065,42.207166209887454,35.42497114902075,33.20666508500296,32.82292439778648,33.169238457573805,34.97909708658857,37.431091934204126,35.981785183157996
1992,35.36500960975567,40.611241267976325,40.151503394342264,40.97793288845489,41.254496189240506,39.55354807366268,34.903765401532596,31.91243298930509,33.21379187350805,35.07771839264903,36.22965166219078,35.6845714593703
1993,34.799505114811744,39.996292077927386,41.733932941395786,41.09496821424698,41.500088025164885,36.66369985792374,33.20312171525855,31.769438579928508,32.195193099975604,34.556867536319224,36.46082737053767,35.49779194985669
1994,35.11824210054134,40.469350564139255,41.41644484161051,40.59741559516062,40.68768046389347,36.31794852871367,32.16953156994237,31.624172115531042,32.73938685777455,34.98588813043413,36.65334975687665,36.14265647970223
1995,35.25318499329272,40.06095529647103,41.5138700079149,41.419925267537465,42.09156602921026,38.436736850314695,32.84168710524039,32.849261402417284,33.133453035142715,34.924404529858684,36.889097042507615,36.3966761156308
1996,34.663385428151805,39.793133601234096,41.16159026771465,41.466205423990914,40.51588292111636,36.37596918572322,32.737001354258574,31.44368413289391,33.283842761569574,36.7169581653226,37.687447118123394,37.69990719538865
1997,35.671657601633406,40.19176183973042,41.71460675803566,41.474453152126756,40.61251359672958,39.25432898288306,33.19750375727174,32.576150939285135,33.34565978834366,36.14797591342724,38.11732113647464,38.33013077766667
1998,35.159893544515,40.26080561683294,42.01466115972049,42.42938470289445,41.81263760966641,36.997607750786706,33.8836986336657,32.479124396539525,32.08173578389488,36.18775429182158,37.400262364705426,36.49921149797339
1999,36.011766413206715,41.28200843811038,42.17026978195357,41.929071004231794,41.40163960938815,36.91388129509822,33.61661518876273,31.979200127714446,32.64039191691083,35.003343368038074,37.2578491872152,35.77494490100494
2000,35.799224167690504,41.02087605975925,41.3752228259015,42.47896495056155,41.08907055762509,36.095140392727345,32.57714111984419,31.90714347921394,32.87251204935713,35.05092775242305,37.461029671563075,36.782138202626236
2001,35.82694337250087,40.73506044478646,42.07875099264169,42.25163196139867,41.905411649314324,38.93045285712351,33.28578847249351,32.69163579961307,32.207866982354076,36.45088539041502,37.973333896213134,36.89129579441524
2002,36.344080470915785,40.89020634424121,41.835390833372735,42.59361077541778,42.37875226912961,37.139432727389895,33.85429790865993,32.22838919854936,32.63363827345109,35.60760039790986,36.61622109307186,36.32904896725892
2003,33.6416308035902,39.95070395151776,41.987395539642684,41.66015147399906,40.04052616898734,37.102270494249154,33.00099657612464,32.51251836633172,33.20609463670521,34.94885729553881,37.42235269165041,36.838180066180506
2004,35.81531983406315,39.960155508858826,41.509854025892054,41.63600410970054,40.52235434091222,37.38043704223636,33.191482835995274,33.56768643779142,33.21057994927302,35.18002628121327,37.54289919874405,37.39613538352394
2005,37.16941065142234,40.48077471596856,41.15624892860333,42.974549265543644,42.16481657458893,39.63688209872778,33.79991883308659,32.04878812728391,32.61290548875599,35.10913676108086,37.05287534247507,37.024604656260514
2006,35.820647302443,40.80551198868527,41.761998894804286,42.14411758422854,42.06726703110566,38.715242685953804,33.15946177328788,32.33713765134095,33.94170374721954,36.48771527033982,37.507434599134676,37.17187021070913
2007,36.4769103872648,39.48226629529682,41.99656249015564,42.00602648078073,41.25275751093385,38.77615193176272,33.60415937034035,32.74150030812912,32.3251404130724,34.64345149706771,37.39289338345001,37.129397082585186
2008,36.13083416846492,39.96298901875815,41.57537911527902,40.95390567694772,40.86051608998291,38.20249455261233,34.079737033638914,32.062274105933426,32.75281125217017,35.83468968545239,37.261226250542556,37.359194652598426
2009,36.424047905706615,40.35996715727309,39.18038747479842,41.62497856648767,41.709548167567114,38.273228727552656,33.209183370938895,32.01260219286849,32.89222455851239,36.76338393180603,37.70613649156361,37.06204999041816
2010,36.09057641306234,40.37593095143638,41.20217321088238,42.58051962280276,41.41862320602582,38.78997162543405,34.076481247768626,33.53712958387152,34.638310896131756,35.65694801576679,36.98695531548396,35.918762892856414
2011,33.46278779224685,40.166822669619634,42.14423129174019,42.44495910983617,42.44505557644754,37.38631532965768,33.50604847569622,32.17436258295533,33.18926786126033,36.657875571302206,38.08621193101673,37.16028923116707
2012,36.78779667023692,40.90550958724251,41.98308769472187,41.598769156561985,41.64644098261354,35.80070407952204,35.3054701757944,33.37382316015102,32.491279976738845,36.12567284368703,36.36871684943307,36.870207708215226
2013,37.44754575339699,40.7659509113857,40.66909704885178,41.10498096042212,42.14965101508688,37.70010491265193,33.63528336719803,32.76076751216767,34.62891346910267,36.46121027956728,38.80927544657391,37.947647946265455
2014,34.60525327456897,40.65356140681678,42.24908290083693,41.73434233940974,41.42936561502439,36.37205008273657,33.81630363382322,32.55958732358873,34.00254015096031,36.752749973420194,38.277709035237656,36.5169265336888
