year,1,2,3,4,5,6,7,8,9,10,11,12
1991,35.182691035116896,40.56807702200756,41.142810454009705,42.354955766465956,41.43881158808229,38.51565337117515,33.52084572576709,32.61892992081183,33.16013970269099,34.77500432332359,36.87765039062503,36.21530116583714
1992,35.162860215710076,40.48705710819791,39.77809615596651,41.60499716016984,40.56392427341915,35.534690119425484,32.48584849203788,31.522308810654526,32.23230944315595,35.49330067952476,36.78630111355254,36.6429309984433
1993,35.363654201056384,39.79572687239876,40.6881499538627,41.43876377868654,39.79629180744133,36.413776241726374,32.16081256989512,31.792851772513462,31.978186847262936,36.18837243521088,37.3680099656847,37.04726261754192
1994,35.93028938211423,40.234577197120316,41.74787057199788,41.714887006971594,41.257588594498195,37.518200787014464,33.44590690694831,32.07941405429637,33.19333185153538,35.632657393588836,37.51198870171443,35.96637571273314
1995,34.597522916076024,39.94154365539553,41.703684569328075,41.63976619974774,40.84405554986771,36.40741258578833,34.13652988392822,32.292730107461274,32.5085955963135,35.12770558182914,37.2444625498454,36.45122980097291
1996,35.255293456046836,40.18001538049608,41.55054108486383,41.03754670037165,39.49116048177085,36.67396279568144,32.957011628509875,31.708211318805674,33.082520753648566,35.806555444861,36.2616853349474,35.111217820362405
1997,34.802558659379216,39.101890100751625,41.324400733209444,40.86986583116321,41.28848915674356,35.49826172892255,33.18591490058491,31.48018778975294,33.22930482482912,34.200827722036735,36.38746536933054,35.13721099853518
1998,35.284463189237876,40.245168536049995,40.90202435729328,41.426438956366674,42.136580636629525,39.208394383748406,34.51834388650876,32.54287017330049,33.10454004245336,35.78156454059234,37.61431226942276,37.57202142859021
1999,35.90846081641415,40.976066681998134,42.23050862466137,42.65405017089846,42.683971370573985,38.21305175611711,33.5613030808972,33.619601251745756,34.120203756256124,35.143138649232945,36.90658239067928,36.490752294396856
2000,35.0666417997627,40.64168947310677,41.694308245258966,41.847683742947076,40.319435211509806,37.82509344651966,32.687871123283166,32.39206808602941,33.563692253960525,35.917173878659504,37.43169793870717,36.115360378142356
2001,36.035867992114014,40.11391423724948,41.54266045026884,41.96679795498321,41.01301946004234,37.47343830023873,33.27458507578862,32.18179895544567,32.89978930664065,35.32658888950145,36.882506383260115,36.514341662007006
2002,34.326524098714216,39.85906018938339,41.09469728367306,41.767806455824136,41.22871897707706,37.35043158128528,33.587385524626725,32.3592895803144,33.20056199476456,35.471802858742365,37.72699599372018,35.92892900528449
2003,36.91601105228549,40.83204855600996,42.5863639158844,42.05988542514378,41.60583878876063,37.82492150878909,34.436592400663656,32.46723049040766,34.24086782667374,36.0782475116689,37.44002632141116,37.03396955100441
2004,36.27584527456634,41.03249330066502,40.99730607555761,41.221038455539315,41.604775334840205,38.23358043077259,33.96313620946742,32.87042258642055,32.35709055074059,34.73784504716117,36.90192017618818,36.23044121855051
2005,34.89424517231605,40.32358055478053,42.00125087779058,41.327341186523455,40.92520386562555,37.51431920030384,32.70300988146056,33.386748184696344,32.73539521111385,35.23069984189928,37.528347785102014,35.80235647550195
2006,33.82635177284161,40.90591195969357,40.792144258560704,41.37462828233508,41.56190238050237,38.75947464328344,33.04284021028911,32.718986964071966,33.116149286905944,35.93170821159119,37.593692737155514,35.93321042788928
2007,35.04743151592954,40.60133128574919,42.24033252675049,42.53562781948515,41.584428829070085,38.07883675977921,32.878663047872585,31.800154450119205,32.831894053141305,35.20467195244249,37.01059937710235,35.84264978552381
2008,35.32708780104117,39.767128016154,41.28488936065348,42.4728754425049,41.12246572186872,35.77915899319121,33.1912303801506,33.265649061305574,33.212572297838015,36.866699555099665,37.99730086263023,37.434398756129795
2009,36.19020890758886,40.7719327926636,41.869928363135585,42.29969146728518,41.84688907254129,39.23941511196563,34.076225241384215,33.36829677950954,33.84722686089412,36.13528431061778,37.2150985429552,36.51433833460656
2010,36.893408385246055,40.981258672078475,41.99936663391771,40.84010754903159,40.062896154260144,38.18369021097821,33.96598087926068,32.10770642680509,33.07070778571237,35.83168406660841,37.71704486931698,36.555318608437844
2011,35.994596656061006,40.17124093373618,40.648729120069966,42.06769602966311,41.97649797993322,40.51462849087188,37.57197976266186,33.04605855470064,33.49844835069447,35.621175937447525,36.922578045315234,36.4956299582861
2012,36.40069908060056,39.33166506631037,42.32491361884663,41.831382224188935,41.70402707499845,37.36885817972822,33.96366592407229,33.58611926810975,33.45132329305015,35.29736842329787,37.425135228474964,36.52896147861278
2013,36.12476884575304,40.838506751287575,42.372150788666126,42.68160565016007,40.51619222661502,36.78707628546824,32.65815822314193,32.29817483389251,33.949571273803734,36.01382600517686,37.9874922502306,36.0086226301296
2014,35.25003706901307,40.760752728780126,41.42417231241864,41.94152744377986,42.415025957989464,35.56614734564889,32.314774119059265,32.628347776679604,33.20788892449275,36.49596835720926,38.24883370632598,37.4309008149178
2015,36.54333421932757,41.35915192377002,42.38300451791416,41.266808858235706,42.584729218841915,39.37664841885039,34.170575753488876,33.60102984520699,33.307336337619375,35.31434617401454,37.70435019090443,36.95224174253404
2016,37.84990821100053,41.02549876803447,43.002640005132214,43.95037633599178,43.65645160634033,39.07137547980416,34.29199206116382,33.6094065971785,33.8430057932536,35.95895024945661,37.57947956339521,36.69000095654562
