year,1,2,3,4,5,6,7,8,9,10,11,12
2021,37.54975511776506,40.96609120323547,41.582494808730274,43.202684441460526,41.7649146065661,38.774429475572404,35.61883523592387,32.281948965749464,33.736525811089436,36.23607846331855,37.367561187744165,37.829090727119066
2022,37.57095005650676,40.79177110944477,42.15398607971851,43.21180846828887,41.259950812555154,38.97781831020781,35.331370847968664,32.24017318725588,33.013335623847134,35.90919541225641,37.646334574381534,36.88304020543254
2023,34.3344389835481,41.70724519457138,42.34894837738368,42.003936360677095,41.933726558890406,40.17258129543731,36.18400506132394,33.8248134735928,34.82567945183651,37.20457349223478,38.226300158962694,37.130179805960736
2024,37.27627722135156,40.373991777329245,42.55450991650655,41.71398843553334,41.93976148543821,39.6812245772807,35.261203772432076,33.05411845053398,32.824718829684805,36.566425633584316,38.12026491122778,37.28982052054459
2025,37.58620177402294,41.43490449996224,42.33977382865006,43.111929399278445,41.93674717400667,38.508750342475075,34.78918083108883,34.548782194404204,35.04827218241376,37.0547458788144,38.18125798543296,37.22061190041164
2026,36.30100478469687,41.10912065051853,42.29723739624025,42.74623691304526,41.85777873049502,38.2600052202013,34.11466480706329,32.615176183228876,32.85033186848961,35.51964688044725,37.51461115349666,37.93269453643473
2027,34.935422328825936,41.315423193432075,42.26177445606521,40.760501368204785,41.81685521935905,37.71866685824926,36.03479750010175,33.00103271812523,33.84320339118113,36.90346076719225,37.42548996988935,37.762346667217976
2028,36.35244463848814,41.87444502988545,41.101547746555816,42.67662784830732,41.58509340840004,39.7612046322293,34.81002740839479,34.606309376378235,33.49046122911243,37.043880380610005,37.93715931362578,37.3196258380849
2029,39.27714907636748,41.5060140409924,42.14175018307268,42.75449560885962,42.09884863445323,40.03058121405709,36.001081790719,34.3378055547899,34.77015701124405,37.11302057737947,38.484488060845294,38.0384687641103
2030,36.65070347447552,41.349248257591626,42.04054779380883,42.165830569797116,40.86670010474423,37.453151424831844,33.14495170183081,34.11863906647059,34.7335880141195,36.81842349801014,37.45687161254885,37.39484468521612
2031,37.64699984314624,41.093688957577676,42.20473721575994,42.216196224636526,42.228423223073015,38.337288650512725,34.89818778417446,31.632572646602526,32.32626804945207,35.18688493462022,37.33635250006784,37.299032915997266
2032,36.10030052595243,40.30527534121561,43.008844715668076,41.94427314419219,41.62637493174565,36.93316490342883,33.994265663393115,32.259699362477974,33.027328660753064,35.5220352189259,37.16068356831871,37.02275356825963
2033,35.56198319629958,41.31600140707837,41.192976925757634,41.53293747626413,42.24396380680865,39.6718933477614,33.57119786908552,32.064761795536185,32.69126355997724,35.13818618774417,36.191722169664196,37.311031374367346
2034,36.01778503417971,41.55269249144057,42.530248063610465,42.654650029500345,41.95112860238684,38.32706675550674,35.97927073549663,33.24186630577172,34.51148984442818,36.33419985043108,38.08462722608781,36.88468595935455
2035,35.39386489375947,41.20399093876795,41.495701241441985,42.51475751000301,42.625845977750416,39.59052835252553,35.1393558766355,33.750138449720176,33.24130995856394,36.63125924715434,37.88025478956436,35.5874667161511
2036,36.4386817210208,40.50561191922145,42.70903002667173,43.04176315560237,42.02819340531546,38.25889101155602,34.50109025524511,33.85990083920061,34.81766827731664,36.39789798859629,37.96207767910429,37.23762824273881
2037,37.23609590591925,40.109251184009395,41.726382749824126,43.850789330376536,42.179265525571786,39.874044133504256,35.94450561575943,33.123757537513676,34.46204000684953,35.67735473140596,38.02495244004994,37.792275344684576
2038,36.69682356967722,41.55032844543458,41.827353658368544,43.60573618062339,42.1181486905006,40.26878589036732,36.16617680183331,33.47629568537232,34.421282348632836,36.08054479291364,37.987515899658206,37.971475785778445
2039,36.66223663330081,40.967873015630836,43.04032328451835,42.91035486518013,40.47725066318309,37.54364912584094,34.16711735879223,31.98003836026757,34.215196475558834,36.68901850710634,38.084393495347804,37.365023774177814
2040,37.26019392421273,42.05267242431643,43.27056334464781,41.91291346062557,42.44196905648839,36.73774180772572,34.791546056702344,33.08329840055079,33.54460777113175,36.381510036017325,38.152133338080525,37.202939577820494
2041,37.112030918572565,41.06840194533214,40.33172251547538,43.17213949245878,41.50088807136784,39.37610188463001,35.52705704227573,33.48668917256019,33.172059748331726,37.099149266724964,38.34672335306805,37.09595614033363
2042,38.113781539752935,41.18190561203732,41.153257976244866,42.978511181301556,42.433042246090494,38.56870573086211,34.431179025399835,33.02931430939707,33.83125799560548,35.84062911495088,36.89181210835777,37.575085754394564
2043,36.82943776284497,41.96865826016383,43.03872155482799,41.95464911058217,40.862579047090286,39.07827471584747,35.73670319901335,34.12176248201762,35.1463990837267,36.94551316292058,37.48823083157013,37.97372987972795
2044,37.8453868562432,42.09652536483041,42.05255506782124,42.66935339525012,41.22821247811269,39.038081570095514,35.67833240468017,34.5215142471806,35.49412897535538,36.07869046118954,38.087474999321856,36.27879229966033
2045,37.321518516950725,40.91047523887273,41.8045759320003,42.55230062060889,41.95047926051645,39.49190898301868,33.61936076338575,32.429913359611284,33.16905734422474,36.135387190952116,38.026228929307756,37.897275151078446
2046,38.938629652454026,41.19166670299713,42.68647885886574,41.85849492051867,42.23662083287397,37.75624478997127,35.204661039947204,33.93576668031756,34.86611074150935,35.580297484039,37.93122322252064,36.38284189367809
2047,37.86914620184131,42.04288264556161,43.866485886424094,43.41568770175512,41.55454628072762,37.934600955539295,35.48528047459102,32.397584082490674,33.074751108805366,35.983489676854965,37.69622309197322,37.34437525431318
2048,36.90312959896623,41.61835212707522,41.775095099992676,43.18618217807348,40.80935667304584,38.75500901455352,36.226086620060116,35.185985306442454,35.709655420210105,36.366806025351266,38.11938102213544,37.445153007917526
2049,38.62188422395441,41.617346681867346,43.2872298636488,43.68396545169409,41.39142900692521,37.67742116461862,33.96396172636302,33.19718008897024,35.08253486633303,37.02509707050941,38.20497213392472,37.65948425621118
2050,36.26302795082012,41.388148466437215,42.222579765730025,42.298007870144346,41.525577824090135,38.396518612331846,36.0181261632776,32.633200298022224,34.684202733357765,36.849238780031946,37.96937600029842,38.106372001401866
