year,1,2,3,4,5,6,7,8,9,10,11,12
2021,36.99427769650698,40.734211843581456,42.14392836047759,42.98985051133899,41.82125705349833,39.45801569451228,36.33245920168971,33.06604574880294,33.87592546929257,36.425285729439054,37.86074153476294,36.22629343668622
2022,38.742315883841584,41.23181293305898,43.40823397236489,43.07102275085451,42.262155169415244,37.95673218112524,34.28425925962389,33.368089476554644,34.24737238735624,35.525195558609525,37.361454408298094,36.48478552049208
2023,37.28556377451908,40.62785449981691,42.03654153311127,41.765863828871005,41.498946741575864,38.25868353441029,35.64304706204324,33.59257433163224,34.23615313212079,35.63833608155612,37.47830774603951,36.15732213830438
2024,35.84935870919178,40.96053892408101,42.22253760389105,42.8858822784424,41.154529123613926,39.4676949479845,34.66235557802265,32.88023133800878,32.513135091145855,35.764451326759925,37.47885045708553,35.99536222232288
2025,36.46381664481216,41.19673906598774,42.167555986630035,42.71865965725371,42.0417044723675,38.832471810234935,34.13473641344299,32.97646209552725,33.58957175191246,36.39638138473677,37.64100972663034,37.68350313412249
2026,36.12495141142161,41.019794564020096,42.131313064739295,43.476961659749364,41.516998942385456,39.57658702426489,34.16414189820651,33.21456449611215,33.49744102817114,35.73753017958777,37.70286502922908,36.13199945429323
2027,36.726730998049526,41.37005283537368,42.71645820535641,43.33067892116973,42.62111151582452,39.438825444539425,34.309456516388956,33.64285278648461,34.08368881903757,36.56786477037659,37.8032246721056,36.155270103536644
2028,35.73363596762382,41.13734352475122,42.60695677562428,42.55530168999567,41.7482611756684,38.27927196926542,35.324589133313935,32.60852971558932,33.25049768744577,35.828349627423044,37.70198841349286,36.70232744770667
2029,37.564072270547214,40.96032716115318,42.54873414726669,42.43137477164376,42.250872284263714,39.553556852552646,34.89305629279027,33.30524463940694,34.1372199673123,36.25240915934248,38.052797575208906,37.205008305375316
2030,37.134976463728066,41.274189436776325,42.842345118368854,43.40233902316626,42.07685935892087,38.95243065728084,33.9785617508427,33.76813843429732,34.13922628275555,36.997049040435485,37.922704494900195,37.191868686470954
2031,37.78381594422044,40.82682119460335,42.18820481331119,42.74839745754669,41.99807706223356,39.00028416612416,34.68663666591852,33.01340385683124,34.08970482042103,36.91206084384716,37.83959251064727,37.07235611454136
2032,36.8433657328288,40.91268047332766,42.39132583946313,42.00403787231448,41.44133818759716,38.27078014458553,34.16530827183879,32.862251158683556,33.43850387912329,35.99298961516351,38.02769447157121,36.729294722362255
2033,37.22994363107992,41.112724885486436,43.157931119857324,43.49831791008847,42.495909827447726,39.388207992553724,34.852483628796016,33.388510820942564,33.709813851250566,36.70383035311138,37.49577276272247,37.11317861577518
2034,37.51719643049345,41.0947850508917,42.09213467833819,42.96756596204971,42.17183360110049,38.62956818305124,34.64350694061609,32.8243021827616,33.40472791375056,35.8805483664236,37.52062040032283,36.53680596792571
2035,36.87566969512614,40.8617755417597,41.85012148129045,41.30541954549156,41.094789402459284,37.235642481486025,35.019180752333796,32.928315122871005,33.23655536905927,36.0217757128644,37.5709778679742,36.77405882148334
