year,1,2,3,4,5,6,7,8,9,10,11,12
2021,36.25555162983559,41.301436947413876,41.740870792840134,41.9379184265137,41.891166532783124,39.65997239685061,35.65545631818876,33.16611844626809,33.59310648261178,36.28206569384505,38.01228315056697,37.26984970420921
2022,35.73166522118355,41.37310293470112,41.83551083964689,42.49188994174536,41.62339831772673,37.25033067830406,33.778583059003296,32.86217750959501,33.44330152723527,35.9524333945654,37.1944745669895,36.917544767318255
2023,36.22031476584816,40.9336800430843,42.698567956083586,42.574633841620575,41.45614637477426,38.730342534383155,34.017539917320356,32.37959164034938,33.64780051845977,36.05175037953368,37.77475833808053,36.89804739511143
2024,35.8953706605973,41.35179743993852,41.83494832684918,42.595020075480164,41.43454843269269,36.66308212788902,34.34848501554102,32.71086113878478,33.6112966478136,35.097883543609306,36.800622838338235,36.52394924204838
2025,36.581191599856155,41.51885851178854,42.71658517652945,42.489172982109935,42.08691767866897,38.94350166998972,35.98754196166994,32.61958189833448,32.94583920627172,35.88448832522158,37.88754589504667,36.71310574111121
2026,37.33813161378268,40.97857804979599,42.34123789636758,42.63826994662817,41.63512010307725,38.71268562655981,33.79549771708829,33.341024079681745,33.42157006157772,36.15881029682777,37.24119163513187,36.80518391434867
2027,35.8227083251297,41.59261831011093,41.68747582712483,42.402132308959985,41.91325781381261,39.28740954420304,33.523998163695005,32.92138490574337,33.320639506022154,35.82654347409486,37.59657706536189,36.88196079049061
2028,36.622253879013904,41.314607763744554,42.25458098380799,42.53302929348417,41.52115885744816,37.836887488471156,33.61128131169147,33.301813936951355,33.704439832899325,35.59480768511374,37.66015164354114,37.75104089414537
2029,36.86197631671867,40.82058603559225,42.28867850190853,43.314688542683946,42.20612526021979,38.555698286268466,35.24842454971809,33.526838159048445,34.341644743177646,35.7227686629757,37.51631172180178,36.99887162731541
2030,37.6775904543641,40.13538336072652,42.523031350412694,42.12985668606231,40.44784851566439,36.66953844536678,33.46463899673956,32.81801521055162,32.79147508239749,35.126961686329196,36.85684952460396,37.02459115141183
2031,37.074852908554924,40.469348360697445,42.106229134836525,42.4745010477702,41.924281498078415,37.51054118686254,34.07119754422097,33.18172750657606,33.86336952887643,36.687622910710836,36.9244175398085,36.951838111467275
