year,1,2,3,4,5,6,7,8,9,10,11,12
2021,38.736251918013394,41.20476123628164,41.23138383926886,41.99430067274307,41.33591473815264,38.79560965813533,35.54769514842702,33.85769709105134,34.764390296088344,37.321442790698,38.5035496741401,37.12917328537154
2022,39.524184537497916,41.830037538437644,43.548369060229255,43.94357792324492,42.612475288965406,38.39410941738554,34.765455701274284,33.640358968755265,35.862795436316624,36.72683790965749,38.35254081726077,38.15147582679669
2023,39.09545430173158,42.52039964948384,43.63929264519808,43.8471026746962,42.91384001044819,38.14898071458606,32.90749146984472,32.324674282279084,32.50644372049969,35.34011184364239,37.444329993353975,36.916770779189264
2024,36.37858160203504,40.936795983087464,41.626648159232225,42.37412282816572,41.11465265909832,37.49832007005482,33.86699093070084,33.56103154172181,33.868043511284746,36.856214821107955,37.41135729471845,38.70618247739732
2025,37.05059602306738,41.14466165451778,42.27942105693204,43.65250739203561,42.18843844834196,38.79747442626956,34.74163999003751,32.93036205496842,32.44764572821726,36.752402916364794,37.345629586113844,35.61634889171972
2026,36.9293917305239,41.884968606858045,41.750868605747044,43.5383894212511,41.61650301861508,38.590534930759034,35.40041371007121,33.15275618686473,34.068731416490365,35.95828532393263,38.23284311930341,37.10575770880589
2027,36.66111566358999,41.559832093375086,41.213287128735644,42.35129008144804,41.60161562191545,37.5100825941298,34.44048062232234,33.21027292887372,33.59023264567059,35.98040762132216,37.879637291802325,37.32447842833819
2028,35.45414064140733,41.29762272426063,41.04336098783762,41.104530068291574,41.39106323242191,37.07756867641876,34.50808877104074,32.985145867460545,33.64592647467721,36.02489216630179,38.052753189086935,36.25805951026181
2029,35.72135721186158,40.667798494611496,41.67908235939603,43.36291100735138,42.02215920561106,37.57493341573081,33.7344212899157,32.46792960054134,32.55486876085072,36.32604826076059,37.534509623209665,37.51469761345979
2030,34.54751028737717,40.72768232618063,41.361159723753595,42.48585253228084,40.42530280000422,37.206338441636845,33.443786479991,33.10160466512046,33.079796283298094,37.4888821624428,37.39243276638458,36.95159002652735
2031,34.68355319115425,39.923936413356266,42.22491610291186,42.18982526482479,41.57236950946114,37.87197723388674,33.521451570244274,32.98795419016193,33.282772048950214,35.38699372978622,36.94986295403376,36.99296202792919
2032,36.708939537130405,40.84278856549946,42.31966883341474,43.1098750305176,42.57821034913425,38.31550373331708,34.412677976546775,32.72542641588439,33.537176932440886,36.43657179965769,38.14869255744088,36.65158788701542
2033,36.31533808226229,41.62452398754304,41.46388061687512,41.31903807237414,42.346027795935214,38.439017659505225,36.85888707971062,33.96016927575554,35.78265819513958,37.87003187282113,38.86168920220271,38.614830898161884
2034,39.294832730857294,42.50268159593856,43.5923390361827,43.057559934828035,43.45406278056485,40.476632592095285,36.18652036441272,34.21003768264609,33.632000254313176,36.61711593463859,37.18218532477486,37.178255424909715
2035,35.76441909954114,41.008438620794415,42.51084319904289,42.927338787502734,41.17883903421383,37.69666064453127,34.1633193543137,32.64721813571072,32.852454255845835,36.532677408854184,37.446564683702285,37.61093048095705
2036,36.159694673271616,40.72578008742561,42.542750114522974,42.831782024807424,41.56852935626944,37.79770337083607,32.94568122945808,32.711402899629356,32.93928277926977,36.151136978313495,37.507499945746545,36.87177009992704
2037,36.212270607897054,41.14823769523986,42.39632750316335,42.8113541191949,41.68691783781977,37.55998281351727,33.30514739662091,32.804616723829724,34.52245575290258,36.03783919467723,37.084288302951414,36.747906513829406
2038,35.48395480576385,41.67398411887035,42.43812029930855,43.41110375128855,43.35187693320656,39.418470533582905,36.377946626396614,33.91098823137183,35.27865751817493,37.60761356969035,38.083237038506425,39.08957433392927
2039,39.2738107578729,42.622051527840775,44.43177310738515,44.37406219312882,42.895551209808694,38.50741380649145,35.36177422800374,33.207706139677335,33.860453311496336,36.4658557703162,38.34397487216529,37.9455587719333
2040,37.49357661093437,41.378065792265396,41.89949576593217,43.85352157423234,43.177504425048845,39.371309319390214,34.988600291590565,33.232200816164756,33.298282109578466,37.10135854905654,37.20415778774688,37.01816327823107
2041,37.22025994741791,41.30157912481401,42.031792228452645,43.29913918389217,41.76815458236205,38.40058936733673,35.1879782514675,32.87331398256366,33.911331866794185,36.968604626399234,38.21053060574004,37.638971511676765
