year,1,2,3,4,5,6,7,8,9,10,11,12
2021,37.44327506772937,41.34741666339695,42.338005883001536,42.76518943956167,41.803348731584464,38.684263705783444,33.88375948506019,33.4808425214214,33.11267769707577,36.57903995144754,37.81682670593263,37.78112270068099
2022,37.06202001592167,42.0117057782128,42.12125429871265,40.39155824618872,40.104681946128956,38.26473145209421,34.25192763461864,32.33949480610511,32.97046289062502,35.80004976990404,37.69463206481935,35.75763375559163
2023,35.95351683421804,41.65121454148068,42.055227858020444,42.228648298475505,41.074800803892096,39.66289599100751,34.976929431218,33.44376694545953,33.32958226691354,36.18095276042981,37.416960138956725,37.97240472937144
2024,35.31893498574536,39.92450472150532,41.43605993783604,42.05902782016332,41.37454360961916,38.769061794704875,34.77109279673589,33.13386196341568,33.863072735256644,36.378168161043575,38.0541323021783,37.24250356858779
2025,37.68712087979883,41.69791396913077,41.56243152249247,42.76986203342017,41.11792822232813,38.39443038601347,35.996417306879536,33.900831402194136,34.28078116861981,36.90511503814371,38.19227056715226,37.06735243438394
2026,38.24970484743839,40.91888202122282,42.83469199067805,41.15818703884551,42.530168096070675,39.031971411811,35.03558069372692,33.35080607424502,33.40075813293459,36.65888431015837,38.1823026190864,36.57825176280035
2027,35.946192466161605,41.219772589547325,42.559968609553536,41.27057360839844,41.658267850158055,39.19222542995879,34.48530914306643,33.815728252780076,33.85257970004614,36.300805483582224,37.94911202155221,37.26303997737108
2028,38.23392573530958,41.25378421965102,42.806954578686806,43.35946546596954,42.160197662025396,39.05137279764814,34.39487569009106,33.50415692729337,35.257033035007076,37.09991232923285,38.119216652764244,38.33419008152462
2029,37.601707832582555,41.409281238374284,43.50787728094288,43.55446060350208,43.00344436481438,40.267997404310464,34.976768131051045,33.970953541417295,34.547157813178195,36.5574369434644,38.8902212744819,37.809858442737244
2030,34.98676666916059,42.24382253737679,43.10897183161913,43.02316398620608,42.537599184048574,39.311788809882295,34.703958782893366,33.37177828552905,34.03142851765953,36.36259387436736,38.03142659844295,36.81728946972921
2031,36.898570666569555,41.802949661981515,42.37347915813489,42.69057696024579,42.19851399739585,39.46361257086862,35.053594348866476,33.62689848540934,33.91082631429039,35.958785743303224,38.42300921969945,37.4016950020739
2032,35.3144043887559,41.66285745711556,42.26920197517644,42.9904336802165,41.54413596696753,39.35185444810658,35.52872918898063,33.51365856703894,33.934131922403985,36.941442255820014,38.43776906670466,37.69071265764136
2033,36.4056517914803,42.24218126206174,42.99599311418434,42.16746632893882,42.1887547942131,39.54633299764,35.46098107614828,33.836842178836974,33.93522992282446,35.87852355136668,38.45307536824547,37.472635007468625
2034,36.339467547016774,41.896052812848794,43.529816294024094,42.671506376478426,42.474458162041145,39.98379819403756,35.21904021068288,34.09198134391541,34.1559114210341,35.10247856222175,37.25379212103952,36.36177039361771
2035,35.45306942683397,40.877062554132394,41.89780363349505,42.423014979044616,41.31934059225105,39.43228271484379,34.64971753356279,33.96518149263118,34.241000740899004,36.05410272577759,38.745009619818816,36.901873395366074
2036,36.43185796758182,41.05718795049761,43.256906260828835,42.945246983846054,41.43270549651116,37.54331562805179,34.14504394859399,32.95159365089992,33.16220681423613,36.507505022274565,36.844922710842575,36.0299392618159
2037,36.414499711887835,41.20693848201209,41.82197248397339,42.57711975606285,42.50372120026621,39.91385255262589,35.17602672946071,33.04454057426865,33.45797963629831,36.78002689156484,37.85306559414336,37.971231490924815
2038,37.01743188837525,41.56275830768406,41.540879688878235,41.96985474989152,41.4648444210586,38.18375781080461,34.56375895838586,32.78604252476848,34.20338853793676,37.011171745382356,38.04715955607098,37.52830951485585
2039,36.75160758069769,42.02296605973017,43.48866611439698,43.7307341393365,42.13153904084239,38.93557053460017,33.990102256856964,34.13918605025099,34.97488717990453,37.70384344285536,38.90660972934301,38.133299759075236
2040,37.514676640008105,41.401400729588126,42.92085191952286,43.90504439798993,42.114780726279,38.5570252448188,36.073528296357864,34.74457324120309,34.25130707804364,36.34631790161136,38.63678264363609,39.48708957302958
2041,39.55012127291774,41.82175412132629,43.01154018607193,43.95216342841256,42.786021593975796,39.91071765306263,35.81559254964195,33.5733235266901,34.76720899793839,36.179330984136136,38.420343109130876,39.024977037983575
2042,38.012445519560146,41.27025131952196,42.846922697662045,42.42134572177466,41.64645099927023,39.553746992323155,34.86162540394775,33.29980602961717,34.08652817620173,37.66768686109976,39.11084568956165,37.77282683177663
2043,38.52380391766951,40.74262966882617,42.173191392139735,42.95087310791017,42.334353439166996,39.477168424818274,35.6058470055365,33.942770886164865,34.812270284016954,37.505832266858846,38.53855589294436,38.801409882576245
2044,37.26359069660148,42.824099024818096,43.619759802049224,43.06572467888727,42.87946371591221,39.88577613661027,36.44699885542676,34.687500769502385,35.07554582553441,36.66300199118996,39.03339853413902,38.81240322810349
2045,36.603431450628484,41.90971739087788,43.282318771526405,44.07759753078886,43.2824053774598,40.512404534233966,37.1257190515662,34.2633008895382,33.80152417670357,36.6812521313083,38.37945724148222,36.40469768729264
2046,37.1954149832777,41.484465159461635,42.961639538836764,42.75121099853517,41.6374579612158,37.96994314575197,34.51198317332937,33.51830226611067,34.19494792853463,36.37995315223615,38.02853168063696,37.35592110746652
