year,1,2,3,4,5,6,7,8,9,10,11,12
2021,37.00948455923759,40.984624648321265,42.12999835927002,43.032825770060235,41.542631227226686,38.09334845987958,35.04370680614187,32.94843087145079,33.82887866550024,35.95535693260933,38.03300388420954,37.24955349337672
2022,38.57444038686448,41.37556896028067,43.29839807818014,43.13147925991484,42.519856959517305,37.94030008273657,33.34376886675437,32.783420218190855,33.916574371337916,36.42621198100431,37.50176592508954,37.46331438290177
2023,37.326555228284626,41.26237809135803,42.251146699638795,41.58139109632706,41.79156287244573,35.230746025933186,34.28826594855198,33.28475708171888,33.70210338846845,35.78668715118082,37.965068044026715,37.67805705737045
2024,35.126373322189515,41.222970497494664,42.42627438124792,42.71366075981989,41.454008536390106,38.05990537346736,33.81458129882815,33.41567950997303,33.828828228420704,36.25779033537836,38.02770486280655,36.546721598307315
2025,35.91379103957969,41.18170347486227,42.63789529123615,42.41534197828507,42.28413904169557,38.38760315280493,34.06704564740583,33.14213155931045,33.48774484761558,36.4662449465516,37.931768230862104,38.14258452220633
2026,36.71258795953568,40.52366651262558,41.79265537713166,43.429380525614434,41.95536073582148,39.970232020060244,34.4057575348885,33.6408992677094,33.01733783467613,35.14852829471714,37.799712419297975,36.51081771850588
2027,36.62197549963512,41.26839924403601,42.70654600902273,43.510367799547005,42.2888724132251,39.15104247029625,34.042305932814095,33.31365761705627,33.222050633748395,36.7134749152071,37.78150469462079,37.304735392908924
2028,35.87116084601293,41.44535235813687,42.40530467207716,42.98936339823407,41.86337279945294,39.07200891113283,35.92756526823969,33.28830836306338,33.46116098870173,36.227046397219446,37.82962517632381,37.505335097774406
2029,37.1931274594543,40.952665786743175,41.82796804448613,41.96885051133901,42.284521531956194,39.58826746622724,34.58811548868817,33.221985540902764,34.272842876858206,36.755834795223784,38.23692731730146,36.85350952148439
2030,37.68651367351575,40.91602483113609,42.446605405089706,43.115596895005986,42.68952038672665,39.26659058973527,34.446946181430626,33.154122053577076,34.365085030449784,36.94539708783551,38.139369554307756,37.19566270725703
2031,36.99340813421437,40.65433346339637,42.22973244615783,43.2269478241306,41.4262043253581,39.25130934821238,33.85326374177012,33.20801343856322,33.88095953538685,36.91055621239449,37.995726938883486,37.85970409762477
2032,35.95181739396949,40.68436204819455,42.27083874117945,41.53601000807023,42.00111398184175,38.460545895046685,33.86635034704723,33.45071693994668,33.213997848510765,36.13198045956193,37.79459028116864,36.378511798817655
2033,37.61443648471631,40.93577275412425,42.945198721936976,42.94887832302519,41.26986731580511,37.88307558356393,35.073785132951656,33.824448232343144,34.07030560302738,37.039719947076634,37.89228892856176,37.90520159321449
2034,36.987363328831194,41.287940953572615,43.12542529198433,43.558974816216384,42.29693499821491,37.5779245283339,34.17376786590906,33.06215647379559,32.96170842319068,35.36199870283888,37.505936782836926,36.256222448861756
2035,36.8636943792528,41.018120297023245,41.74053013463176,42.1112681410048,41.84650377663235,35.72910939195423,34.08134953652661,33.46021415300269,33.44233649868438,35.240198707170414,37.100176567925374,36.64541312433061
2036,36.97842278265187,41.12324186960858,42.52657248056066,42.77142535569934,42.19622545139766,40.2383947313097,35.590724292057835,33.345243925689395,32.95900100538468,36.0445741386824,38.090215923733204,38.0697341836909
2037,38.74395107966599,41.19563854944141,42.7866149081979,42.70411285569935,41.98217083182388,37.44933853318958,34.52358547087641,34.342615874916014,33.75357821824818,36.4985452976022,37.87850202602813,37.91291241553524
2038,38.479208410119526,41.15693654014952,42.289581090209325,43.89755731370715,42.470568755775396,38.421227930704774,36.64725225406771,33.63487055132468,34.449413309733096,36.47155806018462,38.15419488525393,37.79385210755053
2039,38.080245024978495,42.32924011848088,43.636916329988885,43.3174666815864,42.18726257980513,38.17959885321726,34.07934266941523,33.39481473697131,33.54655643547908,36.254426185854044,37.95614451090497,36.98660850442867
2040,36.05269641841768,41.54509919302807,41.651264349824665,43.79201258619523,42.77240455545408,39.48228870646162,36.220444458992276,33.19021615141183,34.650994544135216,36.99480723719446,38.483552325778554,37.88848057244416
2041,38.35209827874299,41.141995286487415,42.96191558770622,43.28030626932782,42.26708074657484,39.04883834669327,34.846748132192985,33.78988652875349,34.50121030219187,37.32938106085666,38.89232966613771,38.07091598182598
2042,39.41059625276958,42.249919566381564,42.63883263329949,43.21353282067196,42.609498607676535,39.1944069349501,35.457506451350405,33.00370669785369,34.38275393641156,36.46759373490529,38.00475376044381,37.44493148311494
2043,36.8497382297311,41.53714991978239,41.98295588011385,42.076383048163535,42.38891174316409,39.18879198201499,34.77533300748437,33.688348250850574,34.073806035359716,37.07096262285789,38.58608733791777,37.392890900642655
2044,37.52999829200009,41.698159335908464,43.351550329064835,43.392251734415716,43.12167985437868,40.79237848917645,35.951209354195555,33.67495838452414,34.081393800523564,36.1050548085859,37.85006017049156,36.75291659611529
2045,38.50340205859114,40.85638476235528,42.05104344357729,43.0850672929552,41.841328243132594,39.42010760498049,35.68065372261953,32.67602316907659,33.22135904778377,37.24610979141729,38.10446785481772,38.40717018865773
2046,39.2657483749554,39.989417314075304,43.0760801828036,43.88529557969836,42.85853145640387,37.94814863577951,33.63761822280066,33.89559802639872,34.00264286465117,35.99618738318004,38.06624663798016,37.750784943283264
2047,37.66245199224003,41.46431581769673,43.21214714460477,44.27436523098417,43.326036958936484,34.86213482326934,33.72567531134494,33.798104886290865,33.95864849344891,36.64914897467503,38.06421146138512,37.391650577668244
2048,38.33471209946501,41.29263617197675,42.30809889598562,43.67819765896271,43.67616948120775,39.16865981377498,36.26248972903018,32.810236740932694,34.079085817125126,37.27624217414448,38.57496907450361,37.891697863507034
2049,36.628989830427294,39.83846218835742,43.40609143164853,44.04781253560385,43.27647801060832,40.99899644187082,35.817005357639786,33.794401158158514,33.72556199306915,36.062244960005586,38.012261010064044,36.9474575461111
2050,36.85336262692689,42.17510730561758,42.88642626198393,43.80939844089087,42.59721066546699,39.409703443739176,33.974531912854935,33.46725583476407,34.41736588202585,37.055398100822224,38.650835835774764,38.66530066869594
