year,1,2,3,4,5,6,7,8,9,10,11,12
2021,36.56041842552925,42.21024389539449,41.53565791796614,40.94945319790313,39.953107814993935,37.1329317355686,34.18361573414138,32.566717932916475,33.7592661963569,36.857173058294514,38.84257257588706,37.74329884190715
2022,37.420221362370334,40.46339546203615,42.66224586240709,42.750903111775735,42.42085021480439,38.38059485202368,35.01277222828201,33.48600348195724,33.36350962151424,35.36500413956183,37.87364214409725,37.097527793966336
2023,36.80646474530622,40.20944018772672,42.621657465452806,43.46204606289336,42.12328408190002,38.84376293097604,35.416686716387375,33.16165865662279,34.66787342495391,37.059006303356554,39.13300258212622,37.71710060693887
2024,37.15710684663509,40.191048996335,42.671848720427505,42.59645975748701,43.03303933256418,39.75601555548777,34.458365398119874,33.06036992062807,33.47933975219728,35.712754511679385,37.66944393581817,37.13513348158972
2025,35.59368537984871,40.75586207798551,42.35835808046404,42.583205022176124,42.29759100144911,37.347620388454885,33.54970377768242,32.950870904409776,34.01609410773385,37.01384838145269,39.243822394477014,37.68715735650834
2026,38.03850858954976,41.62311096191409,42.170666855022496,43.13285381571453,41.742506500572304,37.48359548611113,33.132631865470664,32.28849362773282,32.96924487135147,35.99039974253667,37.97702685546878,37.497409348026416
2027,37.26086648264241,41.84433798835393,42.33625915855491,43.21272801038957,42.76249769477437,40.322808191935245,36.15321326963366,34.023129242927816,33.721391905042886,36.59979824599402,37.43051702202693,37.37023152177055
2028,37.298440684656974,40.4507713372367,42.566032801802464,41.594339428371875,43.50051175681495,40.45606724717884,36.28868734052107,33.60821853965844,34.45774184332956,38.32753702448365,39.43556447855634,38.94039737332254
2029,38.842057572231525,41.74845611027312,43.197053071709114,44.2558059048123,43.409304781677925,40.92675970289445,36.1391474914551,33.75516786144628,35.495321306016734,37.226125320926805,38.04715344577367,37.74679327523839
2030,37.04226897372997,41.52740911937899,41.859278749855626,41.03130448065867,42.72486963087515,40.392546634250245,34.45238239411386,31.543885921355233,33.466452414618615,35.44829507315033,38.23785709804961,38.5286572364069
2031,38.21243127474223,41.67836181640627,42.212935700775496,41.28254471842451,41.67456337057138,38.278189236111146,33.943810470745156,31.782068428941983,33.21338582017689,35.59223167665545,38.813201594034844,36.57236405403386
2032,36.910352261451,41.1288227553595,42.42638013942269,43.266087422688834,42.31185320454261,38.831841079711936,33.6780112071704,32.71251226445682,33.654823727077925,36.99342875983127,37.70412217542863,37.414407891714475
2033,37.199437421573116,41.30471727280392,42.14728573870917,42.6388592766656,42.02285397437313,39.32237992350262,37.16450277810048,33.90297642533499,34.41521562194827,36.452348744382164,36.771856786092144,37.487358342652705
2034,38.79334901871222,41.01488060179213,42.848379334480555,44.4737015889486,43.17793615033551,39.61641834513349,37.0031718855007,34.36812230428062,33.40069391716853,35.864809516168435,38.5430386166043,37.73119361139115
2035,37.88193200060119,41.95640062786286,43.361485503822266,43.850631730821405,41.91840012745193,37.09718703036841,34.28228961083199,32.97925188126105,33.07103005811905,36.424385523642286,38.145185735066754,37.44754141858831
2036,37.05081993677285,41.796056785583524,40.922011080506046,42.97052763366701,40.55098151422318,37.56601009962297,33.641304559194936,32.492669014879475,32.998943030463344,36.743852050124985,38.825748779296894,37.66715666412026
2037,37.96606683546499,40.63878800346739,42.179620056152366,42.21422050476076,41.76166724748511,39.055189058091926,34.89673573483705,33.75563993556528,33.64496530659995,36.964991422263545,39.25716244506839,37.6635906490203
2038,37.55336841542236,41.308131428673164,41.04233011881514,43.62704684956871,42.96155040617915,40.180359242757184,35.833354926980974,34.02224831037626,34.47520494588218,36.06464814873154,37.95894170973039,36.382673587594
2039,38.52491462953631,41.41519990285239,43.18105356852216,44.055025421142595,43.62839225522936,41.98182010396325,36.71987486808533,33.67607355097291,34.70314011637371,37.13701667047319,38.026557951185445,38.22639247279016
2040,38.35775890227289,41.4487535730998,43.54033472861015,42.318488093058285,42.19575730026412,39.86593903096519,34.657612499934395,32.67460525348624,32.79642785814075,36.02496742330574,38.24418286810983,37.96606248424901
2041,35.56418710524038,40.38065703619096,42.63632861393757,42.96186566501196,41.217263928485195,38.777793979220945,34.22440765709008,33.334885649322196,34.42703114318849,36.79262853478874,38.04484484693741,37.75456264865016
2042,35.742874732889184,40.8753939074562,43.42020718154088,43.51416255527075,43.37953063800773,39.813170869615355,34.91864016625191,33.58311608919536,34.13609665086537,37.25942248764861,39.033047578599735,38.15688385830133
2043,38.469736490557295,41.834291441781204,44.64260993399673,43.00254820929636,43.89508169850996,41.02483959282771,35.88233135756627,34.26682241624404,34.043027355617966,36.58117459204891,38.67764658101404,38.38169741230628
2044,38.56239716232466,42.19350206284298,43.51293461953442,42.97833794657392,42.66543399277557,40.86197575547963,34.42498395858275,32.8058700528709,33.85142756991918,36.17331297023324,39.058901497734944,38.28207239786786
2045,37.90369799049953,41.57616272335963,42.140715059670086,42.66375494384768,42.66035699167561,39.4741750132243,36.01508989231563,32.55541125553913,34.13954456922746,36.609579290574615,39.02288007269967,38.2526558168473
2046,38.69206480128793,42.03252394358319,42.99932232600388,42.60145774502226,42.30645888133717,40.77004935031469,34.14041233842093,33.86546104185045,34.44129064602324,36.659049574329025,38.40151221381295,38.44643991613903
2047,36.97908945719403,41.096535482860766,42.847937192199076,43.536502322726804,42.788922155236705,39.27383414544001,33.92326293781242,33.06569350047781,33.46047207641604,36.73222612770656,39.30646144273548,38.72668489845852
2048,40.35749336160643,42.78789002554759,44.473140332621924,42.86877808295358,43.046487681070985,40.06400569239301,36.42290679275351,34.31141600249918,34.32197452969024,36.92114857663392,38.55386420355906,38.36654199415641
2049,37.95547754923504,41.82842894781205,43.12457772039601,44.20875086296932,43.3389152215117,39.83850122748483,35.71344886861825,33.38277470086213,33.543591505262604,37.35999952418833,38.88297653198244,37.850005334013275
2050,37.82594457318708,41.947672716776545,41.52246046004758,43.143304538302964,42.52897166754613,38.35287657674156,33.46068254532355,32.19259201706099,34.01225197177465,36.656633512435455,38.571463439941425,38.05983486544704
