year,1,2,3,4,5,6,7,8,9,10,11,12
2021,35.77874825590403,41.369556703113396,42.5964148769584,42.33209815979006,41.8273197723717,36.284232009887724,34.011523271786295,31.98250928981332,33.5757280697293,35.76767824726723,37.692220192803305,36.61772821405885
2022,33.157921623312035,40.98592110770091,42.287930806477874,43.15298128085668,41.889505544683,39.937323803371875,35.80319774668706,33.416786830450924,33.05380292765302,35.14915274179112,38.02397183397084,37.1020626125541
2023,35.32800865091305,40.69801884424121,42.446188554661276,42.294847378200984,41.831851576938455,37.96403671434193,33.47701686900152,32.21411137734693,33.26835479397246,36.59329367524836,38.1083018595378,36.79392126432031
2024,37.093617786694615,40.58194294884093,42.38588034845169,41.626277008056654,42.31038496120004,40.30489193895131,35.54088407947173,33.50277944913477,33.66270477803551,36.272138538975895,37.31060275268557,36.41030227825209
2025,34.93493266279982,41.27866064889092,42.74194347094466,42.68769653489858,41.75373551235407,38.44304858907066,35.51055830104379,34.20447839552359,34.43255206637914,36.039372136926154,37.82351778835722,37.06679827782419
2026,36.03682173205963,41.599695142110214,42.48946812127228,42.892750239054386,41.75200362338818,40.78994081793894,35.318449524910235,32.88361743721914,33.210260854085305,35.39630003898377,37.33508928087024,36.69244843021519
2027,37.096398602557464,42.38159861065094,43.00767233243555,43.20252287292481,42.509345406152896,40.50529903496638,35.7453479578162,32.95541885211905,31.631948072645418,34.556005360593105,38.14492748853898,37.22121629120203
2028,37.94841003253898,41.496752916971865,42.35577006514356,43.19276265801326,41.97478498233266,37.3923240305583,34.87026662682976,32.987648814211624,33.87303192986385,36.44073651877785,38.19466026306154,38.39446553055961
2029,37.40566233809278,41.380732943216984,43.14083513977709,41.47096210903593,41.64496985814907,37.01361930508086,35.286429858464096,32.84375614781536,32.09977624681263,35.299390823200206,37.45807479519317,35.3402823926044
2030,35.26619234146613,41.16218744550435,42.79135939239177,42.21209344312883,42.530609186644206,39.35925722588435,36.38156624086444,32.26389217745875,32.91009036933054,35.10167420910254,37.19102318488229,36.5406227735294
2031,35.47429623511532,41.953661250159875,42.01887442311935,42.38873007371694,41.64853415048252,37.91429860772029,33.38080173615488,33.06952246553156,31.94476426018611,35.898410749537994,37.723955895317935,36.58958043908562
2032,36.46096095915765,41.09052582332068,41.25735320060486,42.5154994252523,42.06422630063951,39.3972483113607,32.97369882399038,32.66523769255609,33.07536946614586,35.12442306190411,37.27374251980254,38.04947464645552
2033,35.70423470609934,42.11356985182992,43.23502257644491,43.32111994425457,40.55622685914401,38.717791398790176,34.468964146439774,32.41648602557441,33.07769917975534,35.939150331558736,38.08853185187448,37.3540074863229
