year,1,2,3,4,5,6,7,8,9,10,11,12
2021,36.14011592085646,39.158489850362166,42.18810993809856,41.86246701897516,41.033670093167224,35.73407521396216,32.87284201016992,32.388744178689954,32.83389518229169,35.850055074384166,37.37976767306859,37.0350119297479
2022,34.85101585142076,39.79389633905322,42.98645861225746,43.318227155897375,41.59278050904636,39.13177567376033,35.278972837386625,33.158426113333775,34.21366530863447,37.405249625880764,38.032632088555246,37.860689997519245
2023,37.07560598211804,41.98417055947443,41.95195174818144,43.4895064307319,42.80803740596978,39.49103128390845,35.54337787401755,33.10476239112118,34.31698483445912,37.00979443129676,38.44001476881242,38.15536143313174
2024,37.38196707284581,41.59953438713439,42.62575673760857,42.774907981024874,41.642513816587396,38.37494726392959,33.61350144581131,32.73338923628615,33.12416900465226,36.02474296980009,37.769274478488526,35.65710617721724
2025,36.23571604903029,40.44038986206057,41.06980257752124,42.37666762966582,40.90140504898565,38.42929725477434,32.92118284492085,31.602372052592635,32.13186063300241,36.405678776566724,37.76261888800729,36.75170597691691
2026,36.68465135471798,40.609411808195595,40.722171442175444,42.490214046902146,42.46031771259926,38.022722290039084,34.78501491915798,32.81763588033699,33.852360404120574,36.476750109272636,38.10332211303714,36.69283274332684
2027,35.5378222967989,40.98044496990387,43.46278308223602,44.56707089063858,42.89390382007888,38.48562292002362,34.33423652624316,33.11237365722658,34.08703634521486,35.8450900760774,37.61502934434681,37.9008200762349
2028,37.81354674800751,41.56467656635105,43.13973895801834,42.9203754807197,42.35440131895006,38.26538485682172,35.08745976930025,33.538948114866876,33.163914864434155,37.0957033038396,37.95840652635365,37.72393916550506
2029,36.94370612694527,41.46003284454348,42.63910112114366,42.11730416361493,42.08301337129329,39.05280962626143,34.03494735717776,32.519977323470606,32.534203330145964,35.88788132698308,37.62190845065649,36.120013445782426
2030,34.572999561268816,40.52114821116131,41.185793404527914,41.65036476135256,40.96435768537627,36.38251628621421,34.51365942185928,31.6368444282778,32.57819734870065,36.496004418814074,37.48366305372452,37.050604435090115
2031,36.33194352344802,40.77734137035553,42.45055743473834,42.43103888787166,41.50113229895153,38.03221243116594,33.50062817481259,32.67295597855765,33.0376076541477,35.662341224916545,37.39500272284616,36.72169868879423
2032,36.125983811245206,40.568578767322386,41.654718257124735,42.62781758117679,41.88189919092324,38.00818279520672,33.21362388692879,31.99580175256219,32.14684384833444,36.10479826240132,37.120115361531596,36.596100598407055
2033,34.44433092999204,40.6113188825335,41.74062860304312,41.802220898098426,40.689216771279625,37.912136249118404,33.472582469653084,32.05397145425122,32.346938479953366,35.70854908112559,37.239366414388044,35.366612852363204
2034,33.86638254801434,40.40084867023289,40.160043064240504,41.51092883470326,40.44935781499393,37.869344150119375,34.16714546613798,31.78627386769943,32.934165262858095,35.35942337200208,37.590847293429924,35.97763659405454
2035,36.89981472056401,41.81572610582627,43.10217940135672,42.19811926269535,41.902680239113444,38.65194309658476,34.860831210228724,33.591258417978615,34.40830917188858,36.415035306869036,37.84185134209529,38.52389355731269
2036,38.71429495370519,43.05547444116503,41.61159987660072,42.12872902764217,42.17295331729358,40.0628834021505,35.092033168587655,33.27865696732717,34.08848513943145,36.511819682787845,37.80154810926651,36.1342527147519
2037,37.520615559239566,41.443104912894135,43.25099649408814,43.79650334157309,42.1588083181074,39.20852725219729,35.20572974277622,32.83829260705109,33.41213165961373,35.46684486143052,38.07555547756621,36.130562050111855
2038,34.07561042375464,40.611756764366525,42.5096063773863,41.39005874972876,41.30276047081079,37.99228190104168,33.365061848958355,32.824808092014784,33.616201309204115,37.16020657317462,37.8782982940674,37.19919589134956
2039,37.53893675609304,41.16462619781497,42.72959435575754,43.35830201890735,41.89450963338218,39.374910929362,33.97494098458241,32.43568124094319,33.475016311645525,36.22275002100136,38.18141295199926,37.45194532825102
2040,35.32001380838376,41.38675171080092,42.78728393226544,41.96317790391712,41.4194324386761,39.53604503546823,34.82059951782229,34.53880094305881,34.91435194654677,37.4527757863855,38.644607234853126,38.96041241269677
2041,39.99395604672996,42.91686619896662,43.45816281967986,44.902068451402464,43.03046783704862,39.60997546088326,36.67174842768845,32.94864669333839,34.40067197786121,37.04475511940579,38.428267594621474,36.929722559118794
2042,38.913784644014115,41.72747351328535,41.16950154294253,43.023326890733536,42.23785821730093,39.10705459849042,35.45628776912896,33.202672074840926,33.00601562160918,35.4989997273107,37.73441024102108,36.7315032762097
2043,36.31263325188752,41.044724244617306,41.97375458419966,42.04872371588816,41.818203709099905,38.42772337849938,33.047680728051006,31.891159825478848,32.56396283637155,35.45762378979757,37.49120775349937,37.39275516140848
2044,36.774801173056346,40.14818786257791,41.489023555632585,43.02506525675458,41.20071653960856,39.14222636074492,34.71509440268241,33.14623229342227,35.03611049714832,37.40998584214079,38.751651538069,38.876180410241595
2045,38.50347097113827,41.987012000311005,42.595021482619444,44.388051476372645,43.340497726932675,39.344629703572615,34.34597364528207,32.90303274995539,34.633864952935134,36.06064153691776,38.16851061333553,36.999108163156855
2046,35.49393086587231,41.12404529753188,43.63378465057704,43.64634788682728,43.08854497969436,39.29096165127227,35.61677311230734,34.09494314870529,34.00212579684789,37.244799282295496,38.16638713714602,38.19569367603591
2047,38.142176436557584,41.61225702921552,43.28884881624612,43.536401446872304,43.131105732366116,40.29982972851226,35.72153838991557,33.818734703490584,34.438584760877845,37.03386418547274,38.69550918899539,36.244677419354865
2048,39.010401438034236,42.879025577345374,44.18692679789556,45.18794506335791,43.46948498700873,40.09664644465131,34.608059867940945,32.446333020938354,33.58201245625816,36.63610240813226,37.483478769938166,36.91340044247209
2049,38.41384951519712,41.22345018296017,41.892062984999804,42.853641560872425,42.2442398497879,38.35094357130265,34.124203077747005,32.16862642021592,33.019178543090845,35.70403966431979,37.913258587307425,36.127462596278065
2050,35.31742914343395,39.5163391476586,42.14508467643494,41.774351550632076,41.69057123984063,37.393442923651826,32.561518285607804,33.12859240788288,33.54508792453344,37.019657404434064,38.21876313103573,37.97110891198602
