year,1,2,3,4,5,6,7,8,9,10,11,12
2051,36.0784119964928,40.987693595886256,43.00856502081759,43.65813878546822,42.76725940007038,40.49029437196523,35.734682385844586,33.14970471289852,35.26675900824655,36.638663425240495,38.7585155622864,38.02215474446617
2052,38.53906935989219,42.382928506760386,42.84629371211556,42.82931455824113,41.24371669154015,37.78957304043242,34.60295502529352,32.59487715526296,32.725219933403885,35.1304709846743,36.124375128852016,36.52771803989207
2053,36.152679382652394,41.1385248965309,42.82150457894932,41.79934523179798,41.67494454988873,38.442012149386954,32.841814468547874,33.392310454665996,34.16448791503909,36.16210003924628,37.49150192260744,37.13811876358526
2054,35.8160708388462,40.68144349052795,39.46879111177181,42.65506731838652,42.63445871004497,38.28993663703073,35.082645747687245,33.639237277123264,34.472196763780396,35.32574416457968,36.40147953626846,36.26937376617107
2055,37.19108113114554,39.927809693472746,42.348249247561235,43.91677999708391,40.626255050166975,38.51834997558596,34.97890100622693,33.64283576555152,33.706682652791365,35.612585019347506,35.80283989969892,35.796313806349254
2056,36.00828577841484,41.59565634772894,41.77453277916038,43.534600640190995,41.236685769686154,38.09343728129071,35.66026269728141,33.52459312521004,33.723306835598436,35.96902360977668,36.99881089782717,37.98683952413582
2057,37.15634236489576,42.06252382550923,42.498203661518744,43.27667685445151,41.83800008466169,40.36107454088001,36.934483437486904,34.00906104467251,33.199290625678195,36.04503798782186,37.58616319105363,37.31542596304292
2058,37.82778876191829,41.600777141970696,41.950652470742526,43.331985600789416,42.41387526779998,39.084557096693274,36.309847543367795,34.4391214166621,34.35815010748971,37.197656012094164,39.05301296147666,37.733071443291145
2059,38.662655944824245,41.4606180808658,43.245660095214866,41.27310494995119,42.14287873530237,39.86350880771216,35.202265233242926,33.243455036122334,34.097004750569674,36.651402794622626,38.5710542416043,38.15691384428295
2060,39.40897819272935,42.495829631260484,41.55241860010293,42.61855195617679,40.511591398177636,38.210050616794184,33.74153379542855,34.35935333580102,34.532452521430145,35.93863161312638,37.23261692301435,37.758600332608815
2061,37.17866680251913,42.27103694915774,43.16777929925409,43.370613532172335,42.43377507527671,40.676380786454956,34.8847954495666,34.807946907141925,34.80821603993736,36.76432038830175,38.54775414021812,37.7117276181457
2062,37.974718349005606,42.25993949194411,43.485264704156705,43.4042813212077,41.18641013032649,39.28255563693578,34.3584621864237,33.97049069968605,33.64291868082685,37.698650779330364,38.91448073493112,38.6131960534537
2063,38.20021246305078,41.19279690535411,43.51684050007483,42.34105042351619,42.84230829026418,41.79573170171105,38.17170936763314,34.63078426238032,35.30498966668026,35.98249757171961,38.35741491529679,38.65189824858636
2064,39.45703498249671,42.31824328649615,43.79513460816416,43.773642591315394,42.17792583506597,40.095595450507304,34.51575172014137,33.737399917110345,33.93075168016224,36.167423786450485,37.57184946695966,37.85030983118858
2065,37.26713820754843,41.49409379686631,42.323531880942745,43.23962362162274,42.84893836236772,38.064489557902036,35.203337527039245,34.039563915293726,34.854282366146535,37.33087407789335,39.0558106648085,39.06840318086688
2066,39.37043860900225,42.585681548000544,44.0227280667705,44.464565213436565,40.800441431845414,38.40540077379017,36.153534936392205,34.38477861708777,34.69870717000328,35.88900532220002,37.38527526685928,38.03167869978056
2067,39.080732387419694,42.062827097920035,43.20217898461129,43.56461803653295,42.360293461412034,40.44973841673111,37.69331147592198,34.261529348541615,35.56547686991375,37.70664629541215,39.005341239318874,39.27446551946827
2068,38.56290843840571,42.558250720160366,43.67711846531695,42.196867241753495,40.38456831737234,37.688173551771406,34.73809573922108,33.50379617998679,34.21533783806697,36.397349584435936,38.21519910515682,38.5606545577511
2069,39.48402077951741,41.59596121628174,42.87933157151747,43.69886907124838,41.90129701958114,40.567754425048854,35.78513886810632,33.865389409219084,34.45861661614314,36.26737124207201,37.29430867004397,35.994586406420666
2070,38.0968135448169,41.21358833857948,43.52674451274259,44.70798936860829,41.17696544031945,38.39701510789662,35.67946229668077,33.94575605495003,34.33893989223906,36.68571771273051,38.69821040234037,38.21698783792477
2071,37.884844534268964,41.75413752964567,43.00222307309388,43.30040510050458,42.27477077361079,37.851603496975386,36.94269198511597,34.10814081850773,34.546343366834876,36.95473218856321,39.333867423570446,38.61901700941518
2072,36.96010340530234,42.34480808984667,42.277897955781704,43.92893951383805,42.69003857543291,41.204872117275684,35.436735339421126,34.44451588088828,34.408347093370246,36.19807021110291,38.538223807440886,38.49039283711425
2073,39.76591052180466,42.39578234016785,41.647761729250696,44.21136881212025,42.67553595243066,38.55353224521215,34.80196610973729,34.151989872429986,35.71794986044992,36.48610212100452,38.80606804063587,38.13803125283849
2074,37.1415903907694,41.94241058678403,43.35988929239911,44.31342425640533,41.62114364788098,38.983384238349096,35.117917395150805,33.77142112157681,34.024654880099845,35.88054051881198,37.54317508782283,36.52918927920765
2075,36.604528887348806,40.15431071871806,41.74156655752534,42.947025839911596,42.229933852329076,40.68591750929094,34.838504074260776,33.40359167611729,33.980377739800375,36.035984964678384,38.038463823106575,37.70068637560775
2076,38.45580738846975,41.62573491596042,42.14182878370391,42.96010824300132,40.24634745444023,38.7907389238146,34.92253392209291,33.10289829377207,33.34091307067874,35.903947447089756,36.92407207573786,37.93268559937838
2077,37.503794631137666,40.738871171133894,42.06551863311442,39.87274209764271,40.55938285089311,37.824618142022054,34.95995847640501,33.4327888833323,33.79664284939238,35.398707713465555,36.88711520555287,36.58647963985323
2078,36.58894847418675,40.97373126983644,41.81389409219066,42.74272215270999,40.487008296187234,37.84426046922474,36.158669863465036,34.132138064115814,34.2059079996745,35.81033863682902,37.146788523356136,36.69378038139756
