year,1,2,3,4,5,6,7,8,9,10,11,12
2051,38.22154953539451,41.81594557262605,43.31499724849581,42.837277981228326,42.74105528592348,37.8651338076613,35.25259661930866,34.090948793144655,34.68001142883303,35.9087638986239,38.42535009257002,37.40459146971345
2052,38.43495870938867,42.812618905930314,42.88328250843993,43.58987914042157,43.11299106556884,39.137345304701086,35.26035179548369,33.957349784604986,34.57515848626033,36.809760325442106,38.27671731397844,37.85565733058481
2053,38.06313185332926,41.933577057974695,42.658414635410125,42.03004030863447,41.80525791783489,39.296761233859606,34.920033659576106,33.564486522059305,34.309836437649224,36.15088423862254,38.38192964172366,37.29403179537868
2054,37.11070347775697,41.8306799753825,43.66363135225031,42.14941663784453,42.14568736906977,36.243647352379725,33.08264427267097,32.92136580272389,34.04246810404462,36.20530073924734,36.972259618123395,36.23603761734503
2055,37.60291509484733,41.16125315529962,42.15913401121737,42.58797697787818,42.85186424501483,38.65878559705948,34.33339171378846,33.30423882269092,34.0413454030355,36.95414182437364,38.25208484903973,38.28836829960323
2056,38.248792655698736,42.53735587405252,43.613460259878536,43.04883217556426,43.06507629235382,38.45168168301055,32.53427209013254,32.42869092551613,34.57480964660646,36.690241057693335,38.04182933722604,37.4973139051212
2057,36.98775404243062,42.20292194366457,42.67824854368806,43.66373386298288,43.08498753896736,39.51545957268611,35.67951521909982,33.71961125691733,34.74197376844621,36.11766136087399,38.49675274488664,37.7555098125499
2058,39.82031735237698,42.175522270202656,43.00039095242411,43.86094785563153,43.41971708728424,39.770495718078635,34.14735942061232,32.835953034431725,33.77280536227759,36.11267598962274,37.846485243055575,36.0635399061634
2059,35.23701663437712,40.876628180004325,42.505418651949995,42.155811960856134,41.97479962420722,39.95136631096736,36.066746491462986,34.798553870514915,35.409122200300445,37.231044418236536,37.91766261800132,38.43017924852271
2060,38.35711932930897,40.92482975914366,43.023492233112336,43.07781799157039,43.12702366654594,39.403285578409864,36.159859935801535,34.508526048557755,34.87030846150718,36.58402512745193,37.856366061740474,37.7097772266019
2061,37.38443936583818,42.57013633909681,43.1422425751717,43.637665837605816,43.05962577901863,39.24146595255536,35.36609771072225,34.46953937463248,35.31394670532226,37.20440656111524,39.57367976160687,38.400495004485784
2062,37.96492068218931,42.953564009893526,43.8711072761782,44.325775408681245,43.556507508226645,40.84423867265491,37.1866005674793,33.9560974777386,34.4351692420112,36.40628800586989,38.108403901841925,38.64110856251052
2063,38.50161319932837,41.813021559942364,43.78326485418506,44.06814860114206,42.95122152184929,39.35432928466799,35.4423833801926,33.34674742339762,33.9109591844347,36.65913719095212,38.4975462273492,37.42700377105387
2064,38.2465708916449,42.516922337904454,43.35778065999352,44.85654939141169,43.563212188392576,40.81201092825997,36.04948414792299,33.68739012523366,34.41030261739097,35.81640114076678,37.60650536261666,38.220406649698255
2065,38.20608018608505,42.188724699474555,43.28879747944494,43.89049438620676,41.77178813154982,40.86225297715931,36.05420245755106,32.605311394147996,34.71187628004289,35.94053200670469,37.80293546719023,37.85105760471797
2066,37.37356645645636,42.30018884023032,43.84679527249902,43.8164259728326,42.005780283610044,40.895146284840926,37.74543900172738,34.77142157277756,35.58588135608251,36.19303541286019,38.01890113661026,38.86550459338775
2067,38.706180470784524,42.2911154325213,43.05131309817737,43.79166921657987,42.94590844923453,41.01830744396636,36.15898219118838,33.72905482958724,33.674933648003496,37.161280255061335,38.640061250474744,36.77863770679763
2068,38.500976467337686,41.9636846949078,42.36393394552253,43.91761225212947,42.08227645217735,40.114528552585206,36.374243974583145,35.06216554412844,34.485592348785424,37.11267353540239,38.95924180942114,38.671635205668814
2069,37.88342584589479,41.931975066775394,43.5473468985609,43.76346770841812,41.96285072900918,40.653901875762955,36.756593967134236,33.9092483684581,35.28885586095176,37.05528258394633,39.44268222898698,39.7461298067811
2070,38.80054311541488,42.75510925474624,43.62144263669907,44.461029468638124,43.568680294570136,41.015540862799774,36.066488916540685,34.49160220074399,34.99743389723039,37.30873575258975,39.40697452355282,38.70973619724399
2071,39.338046920940464,42.06946070716497,43.57492392473119,42.75393449062772,42.932902416483586,38.26624770270455,35.57370436867337,34.963933625334064,35.35566491826377,36.96494510617821,39.337288080223956,39.11296038801953
2072,38.219027134064724,42.67795543708803,43.788369025773925,43.566593536376985,42.19763950963178,40.43304894860164,36.917906735327946,34.38814387988021,35.164401994493296,37.08028327531715,39.24830162556969,39.38868379162206
2073,39.36159942152785,41.286617300851034,43.72374536456038,44.20320530880401,42.59889396421373,40.389362326728,35.918245448040736,34.53743561565442,34.3153844740126,36.68640529837662,38.71147662862145,38.43531422841063
2074,39.011371354363575,42.39784428216846,43.74873579954745,44.261363893297,43.250771295691074,39.81729012044274,37.11094925981749,34.2380410989741,35.49488405153064,36.62152328491213,39.4346006510417,38.245894626084215
2075,39.2357036146923,42.3645027880351,43.36606228407996,42.916648178100594,42.5820832475724,39.33518854437936,35.069375731765604,34.075762770457956,33.736473776923305,36.406483228129744,37.87478640916615,38.51538969470611
2076,39.18493939963722,41.99803637368341,43.46078841884163,43.9398881208632,42.27040600028091,38.04626418050133,34.5163302234937,32.99572805589248,34.493781443278024,36.508205899474454,37.48932888285321,36.7006453663816
2077,38.644475240399785,41.754184243338464,43.43895886985207,44.45206429884171,43.26420470305415,37.819185192532025,33.975343462215974,33.18534425797004,34.08630387539336,36.5206606218892,37.80325686645511,37.37408167685234
2078,39.181899977604054,41.886381255667565,42.54146026119111,44.49892046959774,43.66711644049205,39.48135889010962,35.60391849928008,34.49629886620637,34.804862970987976,36.39795333698233,38.656026143391955,38.56686838295231
2079,39.87258971019461,42.61157539004374,43.31898845549555,43.672642147691555,43.6429667089319,39.23131687588164,36.22673466140586,33.92205731135545,34.75348819308814,37.29542949397592,39.471735346764476,38.87762297107329
2080,40.33609981023319,43.010904080890484,43.28379155037173,43.98483897759333,44.05004815668909,40.859059464823424,36.884321147270626,34.45364584317774,35.82122550369264,36.80320049546767,39.17082680192739,39.73346546051683
