year,1,2,3,4,5,6,7,8,9,10,11,12
2051,38.78472618185066,41.006316684541275,42.51437716740436,42.86955665927466,42.7381902682397,39.40210453626847,34.57913030480828,31.83392586328652,33.56652042304147,36.324263182609336,38.5638175252279,37.66632293701175
2052,36.191932486257265,41.208679662432004,43.482709532707,42.972090053982235,42.48289775233117,39.523291627672,34.3438770778205,34.206436634679015,34.74302890014651,37.15887400473321,38.6940664215088,38.215478448355086
2053,37.59578289944231,41.91490839821954,42.689118978849045,44.047419503767244,42.54679320304627,39.147842914157465,35.381560255481375,33.67893353112336,34.076189654880125,37.27254277711276,39.01327894083662,38.41422619563279
2054,37.49846632270405,41.73669991447815,41.63236965384537,42.85845128207739,42.93524713167582,40.18292704094783,33.85111087265838,33.37690689579135,34.17613925170901,36.899473893360444,38.68897687784833,38.139355947843185
2055,37.429591630505,40.82242992401125,42.86077523021085,43.13337511020238,43.418010650880895,38.58551709493004,34.45981908162437,32.93176499561599,34.73167201402455,36.94865139376735,38.432443564520966,37.856012868573615
2056,37.87419493152251,41.2932334700085,42.772866030457216,43.01335735744904,42.285088317214814,39.7066931728787,35.62153089461791,33.938202609810794,34.219021123250336,36.34103489865541,38.75967184617787,37.474129248178144
2057,38.17659426125149,42.45891100747247,44.52449293239145,43.2254692484538,44.024655778126075,39.01225951978897,34.96265551823444,33.70441036429458,34.77364588250057,38.16233662762387,39.067030675252305,37.582733708863636
2058,38.668806117888444,41.82253472827732,43.38686349520122,42.97421802435984,42.42778095040272,39.467754197862426,35.78646580521781,33.23469616141373,34.538127554999484,38.194247881161296,39.56238876905655,39.247960577523855
2059,38.40444578929617,43.3163949821109,42.52057296588859,43.56851690504289,43.64125088271277,38.34071446058488,35.62779380552232,33.82292581209574,34.13378761291506,36.91014423821564,39.04264075046118,38.37709006032639
2060,39.000879787322035,40.66787632351832,42.58119298627301,43.957906265258806,43.81559078913865,37.75385186428496,34.894607438938614,33.462772684404946,34.611780604044625,36.686094406292035,38.766890747070335,37.74933988345568
2061,39.03980624127136,41.938961779258385,42.35632032004738,43.49719120110408,43.10542870962494,40.95195479498971,36.61529148060791,33.287613887991974,33.45409402804907,36.967492306617025,38.75258210076229,38.929032620665865
2062,38.48019430509179,41.90444083985831,42.697159940658096,43.08938754611548,42.912477083923996,38.9002755669488,34.06205357049103,33.001665875834824,34.57857182990183,38.0389650668893,39.093166417439804,38.41936303743754
2063,39.30736012282836,42.24486437116353,43.55725863056801,43.175435414632176,43.034155821441345,41.17051087273494,35.077258847144364,33.88914391630442,35.16592016092939,38.234428732267006,39.03952002292212,38.203024638186236
2064,37.8763088661112,42.09809148334323,43.821052031798025,44.009465289645746,43.34929170177831,40.25573170147367,35.87930115799444,33.91058194232246,35.90132217731055,38.786963657731924,39.980921069675034,38.09538176833944
2065,36.69031885946953,42.36358339460465,43.10702498405211,43.71855365159778,42.767110013243986,38.98636003282336,34.0563070120863,33.64059714204524,34.26983349948462,37.29419017996842,39.75320967271595,38.220672979867615
2066,38.35488207581224,41.74988518124537,43.21261153354441,44.01417908393015,43.27979120069937,41.20223654852976,36.26472529585645,35.32149618802637,34.55468748813208,37.59761338671615,39.256471629367425,37.44217600340487
2067,37.713991472798035,43.39366399677824,43.57565478089035,44.81992717997236,43.67012627886702,41.19239431666058,37.51416405172042,34.40075732067479,35.28446579657663,38.37848123756329,39.61108618333606,38.45241695609146
2068,38.3511717421009,42.78563424428307,43.514986245760376,44.89487847457888,43.58766074231878,38.23287987433541,35.45858989920671,33.40328152564266,34.5602036556668,37.43622187132478,39.180040625678195,38.31281697919294
2069,38.524158801007026,42.1341805576143,44.001717460386246,43.8155194637214,44.21121176951421,40.68255973741322,36.38987940634453,33.38520379507416,33.52125389438207,37.73230972125969,38.72381929863827,38.91902032667592
2070,39.649608575964514,42.49903923216323,43.66528120143441,43.818338238186335,43.20935926211779,39.00060855272083,34.71545395553755,33.24682413408835,33.6756976759169,36.255332167430616,38.870110575358105,38.28304788240824
2071,38.44417888190158,41.91976747785298,43.93491143339426,44.63089429728192,43.41255204054311,39.098235312567844,35.05630039174072,33.68644432642128,34.027468612670916,37.68637891051592,38.660727410668294,38.37873701526274
2072,38.19854311050909,42.34507274082731,44.76045308844455,44.31025790810482,43.74166800377961,40.21073048909508,36.29365960233958,33.580377312116745,35.36119048185562,37.44049063405686,39.24784499782989,38.32812755953883
2073,39.48896055210894,42.222028948466004,43.9576281492172,44.08090240859988,43.40988515382174,39.7217529924181,35.95749246084564,33.0787568992697,35.24005625067819,36.81638909259102,38.60740765719945,38.62146915394776
2074,38.514161637829226,42.77507199060352,44.06419719472908,44.939338521965894,44.0251709296114,39.41144750330609,36.60763616746474,33.714058572092384,35.41782191936919,37.22171305338544,39.66840299479169,39.035158449529845
2075,40.26514983968429,42.387141386013965,44.85091385393043,44.960759043375674,44.70477110610473,38.86591932339141,34.64077714161208,33.26224461281071,34.409981628417995,36.046758849441396,38.576845306396514,38.3164529943979
2076,38.97114284720474,42.78172540028892,44.00382966236404,43.64039440917972,43.20422638759821,40.16659462822811,34.89084716304658,33.55152187388432,34.71645379638674,37.837667236328144,38.34516236199275,39.21275210039695
2077,39.39690595173171,42.186530614580455,44.492154613060094,45.032590337388804,44.33902815623952,41.6375921579997,35.560588844578255,34.243720656118114,35.39535899920995,37.47197679088964,39.652584067450654,38.53101685062534
2078,39.857785068635046,42.68133229573569,43.937528821063324,43.92145925460817,43.98403306622251,41.295913842332645,35.01113512264787,34.018229059149654,33.97727225433352,38.0544039387693,38.771793487226724,39.313309727789786
2079,40.39412855587213,41.13307032267255,44.04367032621652,45.47167046300254,44.35091307830814,40.04519573465985,37.69524040115522,33.7228596480175,35.61115015106202,37.052456727386826,39.44932199820628,39.98459832543816
2080,39.49053684505343,41.44484883626304,44.4681033686156,45.45644198335438,44.23173150495305,41.13615528559369,36.62661622734482,34.314569846532706,34.55351960923939,38.69898148949738,40.10125219587541,38.67118520264986
