year,1,2,3,4,5,6,7,8,9,10,11,12
2051,37.94812969741003,42.0958734566825,42.53019849551623,43.861754353841164,43.64185185914401,40.26503236389162,35.89974668460972,33.29522697896652,35.255272588450126,34.9747642899052,36.43798533630373,38.47322856123732
2052,37.93687673887849,41.64185722203937,42.88951654666369,44.51555600460478,43.569424550407184,39.78587798733185,35.93485935498311,33.33017035863735,33.47252190653486,36.97196424094582,37.72080553521052,37.44419231455816
2053,37.2353332388273,41.469229331243625,42.444893862816606,42.422170733981694,41.418354756345046,36.66736968824601,34.00162980930782,33.26030254405034,33.452762868245465,36.70205825913954,38.82978086344403,37.50507639731131
2054,37.57377645696827,41.00802569798062,42.69102613059425,42.52120752800838,41.92611126807431,39.479618826972136,34.11133675359913,33.24391562020909,33.921032435099306,35.86957786149878,38.037531577216264,37.40366498557473
2055,38.224662891707894,41.079501540774416,42.94205416935749,43.30509387522382,42.65996803037584,38.472689695570224,34.38648833900372,33.382986560124245,34.256702526516406,35.24308296449725,37.22349198235408,37.83700311084052
2056,36.94145738006922,40.92751870473228,42.92077286586969,43.95495991177031,43.07932680800244,39.330711144341386,35.45261886596681,33.56403538037374,34.6172241227892,36.27145624632479,38.65746654023915,37.771773286224715
2057,37.38889393632132,41.961666586739696,42.777986566457464,42.95678228759767,43.107764597935855,39.878115710788315,36.91752979135823,33.787364365772554,33.77937870958118,36.93115970079978,38.688537112782825,38.6889866753035
2058,37.99374906642465,41.43866670517697,42.613685739168574,43.05736273701987,42.51842969996957,40.12731085374624,35.62793501823181,33.40789294171079,35.556978219994456,36.96487005746496,38.800269172448075,37.37824722162065
2059,36.50795731247114,41.87898492540635,43.88775628268336,44.28911030385336,40.30134749381776,37.67255556572811,34.45763938985847,33.81475341140586,34.61833686319988,35.78627406950922,37.335896740383596,36.988749028687856
2060,36.67318144439372,41.45253897349041,41.99283232165923,43.63704938422312,42.16691965738935,39.55792718675404,34.490265885219806,33.993457044375866,33.935975502861886,36.70297844835509,38.21866144307456,37.487688478859546
2061,37.752923249275476,41.76681347983226,42.30642334968816,41.83484475538468,42.111283667779766,39.50672155253095,34.5564797858782,33.55403342134212,34.120052478366446,36.535365777784804,38.42266436679419,38.21284314883654
2062,36.19915153749529,41.18498199099588,41.56631970969582,42.878582363552546,43.233074091429366,40.95651322089304,36.04534053515365,33.867853006014286,34.508079243130176,35.785163032777874,38.114500401814794,37.52900860530076
2063,35.8026640073715,41.696627119155174,41.892331057312695,43.97622900027807,42.49271223498932,38.49887254842125,35.62721991918423,34.3229329558342,34.369665181477885,36.72416923769061,38.76214041841297,37.83676818519512
2064,39.407207371176476,41.03560250781834,42.25860033589028,43.3633591900635,41.28736970963019,40.60674662780764,35.72504387794415,34.79354683567173,33.915599083794504,37.043180966498284,38.679586039479595,38.19590442944601
2065,37.877162974367884,41.952260604549615,43.59941428344072,44.208384953816754,43.48222138284665,40.559008497890915,36.65013495078141,34.22430343075006,34.05153599139746,35.706651488273394,38.006114269680474,38.829938960364586
2066,37.37323564426875,42.1385729593913,43.32973152994138,44.69290102627227,42.78744104932562,40.25987761433922,35.89231202812607,33.701901522400576,33.989300445556665,35.52921970490489,37.54021360270185,36.72564111360942
2067,36.38121313279677,41.52108003525509,42.330360030307595,43.81053554958769,42.06250288440337,37.51002690294056,33.47398505590298,34.370102278186465,32.686744262695335,36.30335510089835,38.68246426812068,36.349704000821696
2068,35.92889059087285,41.84323693774997,43.48647118681222,44.334323835584875,41.79220239946922,38.85543894788956,35.56193509501798,34.06461329798547,33.61210651482479,36.10597111035421,38.295265163845514,38.097394965387174
2069,38.29306795181769,41.44957156408403,40.851428769019364,43.3740439910889,40.97035926572741,38.95157523600263,35.05024689869216,33.47436702933365,33.87634039137101,36.230982042538244,38.081229660288514,38.038915369177396
2070,36.68341715002575,42.28018639579049,43.19259403512609,44.441865946451834,43.04902792981878,40.713584769999194,34.46075501308649,34.45755469373479,34.33588521321617,36.63518951729398,38.75673624711781,37.399333056378126
2071,36.32185304375108,42.312814139611405,43.58866509550363,42.72307821122914,40.47726826821607,38.54558422342939,33.876213992539306,33.05262952907113,34.06395733518814,36.90077149074106,38.12570726691355,37.82889123357959
2072,37.4280202836888,42.05473224094938,42.989028458133845,44.83383174775867,42.70540236934542,40.702581292436406,35.355132316507344,34.324607353292514,35.22709946640016,35.89299427319602,38.24330698940703,38.333955665506366
2073,35.746764877483436,41.94185213906428,42.91408542756113,43.65466076321075,42.57576402397567,39.80572198655873,35.036156896775786,34.21251566733085,33.53990022956002,36.986579992872684,38.88948028549196,37.41895649735648
2074,37.99138836276149,41.859189418611095,43.66041568590392,42.43301366714479,41.00037252282586,38.20882480027943,34.48553584765365,33.4713228910713,33.599556087917776,34.08658791162637,36.20890341356067,37.85959170926004
