year,1,2,3,4,5,6,7,8,9,10,11,12
2051,39.02367049380069,41.886877127147876,43.16437095560057,42.620189854939795,42.665430530835245,40.26549728732641,35.03918936944778,33.52911744968868,34.73549889797637,37.284166694559104,38.82374721272789,36.63280633741811
2052,37.92813269994594,41.898566565740694,42.136049640614516,43.380967938469794,42.02241990448329,37.78292060512969,34.25040158671721,33.77073091732561,35.34035355631512,37.451039138301745,37.731231177436,38.0591912234727
2053,37.93719139837452,41.394000683739094,42.49300880842314,41.85240609571671,41.36886663183399,40.4682121986898,35.25566221996023,33.90358131818876,34.980738608466275,37.57799265379549,39.256902964274104,37.81760129867063
2054,36.58353383546236,41.41991351173039,43.55369943790233,42.524077738444035,41.67309974096157,38.67353019205732,34.23711191320935,33.75449158371138,34.30468947516549,35.574115777784804,37.35896543036569,37.81918206655854
2055,37.682116974861415,41.82514311290925,42.4658928754253,44.11561334567602,42.76397406629339,38.308889662000894,35.26937911659161,34.235554053193795,34.992112191094314,37.55554359189928,39.577260966491714,38.51783089253418
2056,38.733418766144815,42.445010526330144,43.15382056451614,43.941108520202654,43.134237118792804,38.47418635898169,34.626247642271004,33.6550325159873,34.705955322265645,36.87406918925626,39.03951943122018,38.302062609272646
2057,37.489478280672486,42.65973024282913,42.80992427538802,43.975119903564476,42.84710244188208,37.81486189270022,35.29607889318982,33.24747392715948,35.141550688001864,36.750539901897504,39.02596988254125,38.123136872322355
2058,39.711603257292076,42.22811593191966,43.41147924995013,44.53320629826866,41.54441375240205,36.6686112620036,33.44831327212756,32.96984629969445,34.38198198615183,37.573281681512015,39.408135225084116,38.48652695686589
2059,37.06180257325533,41.01214042300271,43.33301617037868,43.05321995573259,42.2675667365946,40.41715527438696,36.028718910381386,34.763035951085264,35.9076816880968,37.91618399999477,38.57261139933271,37.841347809773126
2060,37.93220314271991,41.15778396243143,43.63953796983947,43.32232704021879,42.83497838338218,38.852129274156376,36.05885811426308,34.70300023856217,36.109833515540245,37.80969524654266,38.83534996710886,38.21918338406473
2061,37.48867030646214,42.57824842907136,43.42336768974389,44.184176618788,43.44193799746935,39.27752323235408,37.02877027121925,34.36775010453093,34.25277145555287,37.02032342069894,38.93295956081817,38.22057880360596
2062,38.64749226231731,42.47831982203894,43.88977742618029,43.86633958604603,43.08412967673683,40.33462208048505,35.93590203726167,33.31615931685255,34.56963734605579,36.88898344306538,38.64379759575741,38.99558473320419
2063,38.00323031681843,41.90686670757477,43.05319199264694,43.779641017778204,43.318588159803184,39.85980570427791,34.9519697734874,34.261147487189206,34.01298425971139,36.671914407053315,38.84556010097929,37.7623619456958
