year,1,2,3,4,5,6,7,8,9,10,11,12
2051,36.00449679631061,41.45110571180073,42.37563836866812,42.40892607286243,41.62011953538466,37.681640888790575,35.96987535475866,33.5505688985189,34.85887154981828,36.19732347344841,37.58380744255916,38.35468718068114
2052,38.08036513790009,41.453427165803475,43.00313496907554,43.1846614295112,41.93360530238001,38.83997951331246,35.39654071230326,34.43362482709989,34.04141172956682,36.21310584129419,38.3018234921604,38.76219959311538
2053,39.03090195466731,41.94338652519955,43.303841306624896,44.3086903990004,42.75080103064098,39.02723624165856,34.80836961000506,33.49954728145806,33.23268407864043,35.21829243649721,36.19067115783694,36.26718891102783
2054,35.94490406815725,41.74328650883268,42.61323023806338,44.482886669582825,42.44014174745623,39.80746389233061,35.46492310453028,33.977775067007435,34.59661599053279,36.699926256946874,38.998819014333115,38.16399034317183
2055,39.451249293911864,42.29827110984441,43.847619912736164,42.53348268975153,42.03068519559473,37.94257775370283,33.871517937773035,33.32968529485889,34.62043050469295,36.23269291211202,38.61318977308488,38.26616147769396
2056,39.01440646111274,41.345115044911715,42.663892671318486,42.66359072367352,42.892392946944724,39.06543134004384,35.68445440399828,32.47316244474023,33.10752602132164,35.33715140065841,36.573860768636095,35.56438162198633
2057,36.15600294051633,41.244469446454744,42.20717352754329,41.39001170688208,40.63768735824095,38.202830512152794,33.28297078122377,33.456456948557225,33.56991453542076,34.1459435132755,36.96685229831273,37.579021242203275
2058,38.42749499905496,41.395417930966346,42.63358730685329,43.91378482225209,42.18116273674095,38.44160101728654,34.62401726835519,32.9185550090831,33.55265187581382,35.27369977889524,37.70959838697648,36.98798481766898
2059,37.15683995892927,41.47125506083173,43.27028151317313,42.95386189609107,42.151787166800574,38.82817745293514,35.007766137892226,33.12396798082579,33.811746181911914,35.93742535495556,37.329756757948154,36.96361534364765
2060,36.043377528036814,41.602075872875425,42.47740614039926,43.15051038106285,41.96756213608611,38.647664633856905,34.58855695334816,33.10525160430582,34.315157138400636,36.77750232614498,38.319235670403394,37.94838405814224
2061,37.25980238240562,41.23238753473193,42.682291917698386,40.48190669250491,41.39445955666165,38.353827462090415,35.817162493633994,33.38373967949654,34.37670074801977,36.79426938597978,38.23291099039716,38.367652917841454
2062,35.854597338604705,41.77055333637058,43.46085928228238,43.09254693264434,42.493764335058096,38.0069461330838,34.3122129953036,33.055276609031125,33.739545386420374,34.9548072010984,37.63698202684192,36.44617798015638
2063,36.48453651510261,41.22228762672063,41.88409909976429,42.046652828640426,40.95904123613914,38.24032671949601,34.916509935932794,33.830803869103896,33.704736521403014,36.53526103029972,37.759048478868294,37.63015283892234
2064,37.617186003654254,41.67655220395045,42.757538728283315,41.78269687906903,42.04332005162396,38.873889282226585,34.44003038600801,33.0801984987977,34.34014886739097,36.95909485342377,38.70933123779299,38.02300736294
2065,38.716190024755356,41.15604828244166,42.188233545775084,42.92949874852501,42.791153523303635,38.82435803222658,34.88348761773881,34.26973792947751,33.83867061530222,35.56324250775411,37.38429469129777,37.415033646450276
2066,38.453100124892394,41.11015391031902,42.45623607348373,43.266359429253505,41.28744606945081,37.99753367024743,35.48295180959395,33.820566038726504,33.62941106330026,36.18991278043359,37.25829731241865,37.27371031238189
2067,36.00426008491108,41.14333636510942,43.17520655478203,43.806773354424394,42.02174026489261,38.47574427978518,35.8373226161834,33.77739092794441,33.67833474900989,37.14892876534413,38.24432644653322,38.37527662379768
2068,38.15447382431852,41.41221163068501,43.348479840678564,44.29435009731719,42.53873242829027,38.163771994730645,35.31454545719599,33.497288266762375,33.698983573761005,35.15681765484556,38.39649175342138,38.67833473221976
2069,38.33364145097632,41.388620344761456,42.22266304754444,43.7065423752679,42.28387216711559,38.23825320604114,35.38349997543829,33.44660338042887,34.142828981187634,36.95359157767349,38.12626667107478,37.22707152992168
2070,36.35683990806663,42.13392642758689,43.71052535477506,43.43549686177573,41.12423212616626,37.81631251356339,34.41559390363798,33.760168332335795,34.4787263268365,36.20122464415849,38.49461140102813,38.558320426038534
2071,37.089384801721074,41.9608101654053,42.75171417072257,43.38464758334692,42.825226621517075,38.26533371480309,35.11417391048967,33.47965056552684,33.18258534071183,36.59432096583872,38.17519763861765,38.10787781319569
2072,38.1917360432943,41.6076084270296,42.68502072570148,41.27252641974557,42.395991462576276,38.4703131849501,34.7741699577906,32.647075959892696,33.27623511081274,34.16720177599181,36.795452106052004,35.871380794073964
2073,37.528834056239,40.58653792245049,41.388897299817835,40.5625224270291,40.7465138950143,37.72863679334855,34.98176331386774,33.95741613080427,34.59451077779136,35.87417042065694,38.72387925272626,38.70797735891036
2074,37.712420820010635,41.83371410551528,43.69812549385976,44.050099804348434,42.88265621967933,40.12190667215987,34.88445007488294,32.646460755050846,33.97311298455135,36.302518425398006,37.444822730746814,36.94308212116203
2075,36.46217822331256,41.57378120422366,43.283371225992866,43.346323184543195,42.09596147331322,37.96685735066733,34.72680628888533,33.24610830166726,33.818644846598325,35.943122571719606,37.682742666185185,37.17051069854411
2076,37.0747882391817,41.62399548121863,42.801096910456195,42.91219513108997,42.04092038062313,39.54796720221628,35.00024879373533,33.71930061094226,34.59278224182131,35.649125015275224,38.14326290045845,37.53257347845263
2077,38.124119513727024,41.765793286278154,43.52255570114303,44.342696308593766,42.530841146686534,37.668334072536915,35.698442113732796,33.279396774127946,32.88942906358509,35.99147330827613,37.65905950080026,37.826054488971685
2078,36.561673213179404,42.06373798370363,42.90324313420124,42.17540625508629,42.380143745996655,37.2071846330431,34.227656668386174,32.98825077508088,34.31061943901913,36.721787726289506,38.24303593614369,38.198999852252285
2079,36.76841420209333,41.13991307394847,43.5296939611948,44.4839937761095,41.67910623580771,38.0428340318468,34.40457528227121,33.63597069692306,34.07987627834747,33.87531066074168,36.8727263997396,36.28151156845915
2080,36.1353287383049,40.50683073316304,41.98413324499646,41.23655968051489,40.22705446140743,38.71909819030764,35.646491268100554,32.4646314313335,33.60557984754776,36.608393400229204,37.63081989034019,36.99092894359303
